"","state","city","date","city_ibge_code","confirmed","confirmed_per_100k_inhabitants","death_rate","deaths","estimated_population_2019","is_last","order_for_place","place_type"
"10851","AC","Acrelândia",2020-03-29,"1200013",2,13.1096,NA,0,15256,FALSE,1,"city"
"10450","AC","Acrelândia",2020-03-30,"1200013",6,39.32879,NA,0,15256,FALSE,2,"city"
"10004","AC","Acrelândia",2020-03-31,"1200013",7,45.88359,NA,0,15256,FALSE,3,"city"
"9521","AC","Acrelândia",2020-04-01,"1200013",8,52.43838,NA,0,15256,FALSE,4,"city"
"8991","AC","Acrelândia",2020-04-02,"1200013",8,52.43838,NA,0,15256,FALSE,5,"city"
"8407","AC","Acrelândia",2020-04-03,"1200013",9,58.99318,NA,0,15256,FALSE,6,"city"
"7804","AC","Acrelândia",2020-04-04,"1200013",9,58.99318,NA,0,15256,FALSE,7,"city"
"7146","AC","Acrelândia",2020-04-05,"1200013",9,58.99318,NA,0,15256,FALSE,8,"city"
"6445","AC","Acrelândia",2020-04-06,"1200013",9,58.99318,NA,0,15256,FALSE,9,"city"
"5666","AC","Acrelândia",2020-04-07,"1200013",9,58.99318,NA,0,15256,FALSE,10,"city"
"4823","AC","Acrelândia",2020-04-08,"1200013",9,58.99318,NA,0,15256,FALSE,11,"city"
"3954","AC","Acrelândia",2020-04-09,"1200013",9,58.99318,NA,0,15256,FALSE,12,"city"
"3014","AC","Acrelândia",2020-04-10,"1200013",9,58.99318,NA,0,15256,FALSE,13,"city"
"2030","AC","Acrelândia",2020-04-11,"1200013",9,58.99318,NA,0,15256,FALSE,14,"city"
"1014","AC","Acrelândia",2020-04-12,"1200013",10,65.54798,NA,0,15256,FALSE,15,"city"
"1","AC","Acrelândia",2020-04-13,"1200013",11,72.10278,NA,0,15256,TRUE,16,"city"
"4824","AC","Bujari",2020-04-08,"1200138",1,9.74089,NA,0,10266,FALSE,1,"city"
"3955","AC","Bujari",2020-04-09,"1200138",1,9.74089,NA,0,10266,FALSE,2,"city"
"3015","AC","Bujari",2020-04-10,"1200138",1,9.74089,NA,0,10266,FALSE,3,"city"
"2031","AC","Bujari",2020-04-11,"1200138",1,9.74089,NA,0,10266,FALSE,4,"city"
"1015","AC","Bujari",2020-04-12,"1200138",1,9.74089,NA,0,10266,FALSE,5,"city"
"2","AC","Bujari",2020-04-13,"1200138",1,9.74089,NA,0,10266,TRUE,6,"city"
"3","AC","Cruzeiro do Sul",2020-04-13,"1200203",2,2.26306,NA,0,88376,TRUE,1,"city"
"6446","AC","Plácido de Castro",2020-04-06,"1200385",1,5.06047,NA,0,19761,FALSE,1,"city"
"5667","AC","Plácido de Castro",2020-04-07,"1200385",1,5.06047,NA,0,19761,FALSE,2,"city"
"4825","AC","Plácido de Castro",2020-04-08,"1200385",2,10.12095,NA,0,19761,FALSE,3,"city"
"3956","AC","Plácido de Castro",2020-04-09,"1200385",3,15.18142,NA,0,19761,FALSE,4,"city"
"3016","AC","Plácido de Castro",2020-04-10,"1200385",4,20.24189,NA,0,19761,FALSE,5,"city"
"2032","AC","Plácido de Castro",2020-04-11,"1200385",4,20.24189,NA,0,19761,FALSE,6,"city"
"1016","AC","Plácido de Castro",2020-04-12,"1200385",5,25.30236,NA,0,19761,FALSE,7,"city"
"4","AC","Plácido de Castro",2020-04-13,"1200385",7,35.42331,NA,0,19761,TRUE,8,"city"
"10852","AC","Porto Acre",2020-03-29,"1200807",1,5.40424,NA,0,18504,FALSE,1,"city"
"10451","AC","Porto Acre",2020-03-30,"1200807",1,5.40424,NA,0,18504,FALSE,2,"city"
"10005","AC","Porto Acre",2020-03-31,"1200807",1,5.40424,NA,0,18504,FALSE,3,"city"
"9522","AC","Porto Acre",2020-04-01,"1200807",1,5.40424,NA,0,18504,FALSE,4,"city"
"8992","AC","Porto Acre",2020-04-02,"1200807",1,5.40424,NA,0,18504,FALSE,5,"city"
"8408","AC","Porto Acre",2020-04-03,"1200807",1,5.40424,NA,0,18504,FALSE,6,"city"
"7805","AC","Porto Acre",2020-04-04,"1200807",1,5.40424,NA,0,18504,FALSE,7,"city"
"7147","AC","Porto Acre",2020-04-05,"1200807",1,5.40424,NA,0,18504,FALSE,8,"city"
"6447","AC","Porto Acre",2020-04-06,"1200807",1,5.40424,NA,0,18504,FALSE,9,"city"
"5668","AC","Porto Acre",2020-04-07,"1200807",1,5.40424,NA,0,18504,FALSE,10,"city"
"4826","AC","Porto Acre",2020-04-08,"1200807",1,5.40424,NA,0,18504,FALSE,11,"city"
"3957","AC","Porto Acre",2020-04-09,"1200807",1,5.40424,NA,0,18504,FALSE,12,"city"
"3017","AC","Porto Acre",2020-04-10,"1200807",1,5.40424,NA,0,18504,FALSE,13,"city"
"2033","AC","Porto Acre",2020-04-11,"1200807",1,5.40424,NA,0,18504,FALSE,14,"city"
"1017","AC","Porto Acre",2020-04-12,"1200807",1,5.40424,NA,0,18504,FALSE,15,"city"
"5","AC","Porto Acre",2020-04-13,"1200807",1,5.40424,NA,0,18504,TRUE,16,"city"
"13277","AC","Rio Branco",2020-03-17,"1200401",3,0.73652,NA,0,407319,FALSE,1,"city"
"13185","AC","Rio Branco",2020-03-18,"1200401",3,0.73652,NA,0,407319,FALSE,2,"city"
"13085","AC","Rio Branco",2020-03-19,"1200401",4,0.98203,NA,0,407319,FALSE,3,"city"
"12953","AC","Rio Branco",2020-03-20,"1200401",7,1.71855,NA,0,407319,FALSE,4,"city"
"12814","AC","Rio Branco",2020-03-21,"1200401",11,2.70059,NA,0,407319,FALSE,5,"city"
"12672","AC","Rio Branco",2020-03-22,"1200401",11,2.70059,NA,0,407319,FALSE,6,"city"
"12496","AC","Rio Branco",2020-03-23,"1200401",17,4.17363,NA,0,407319,FALSE,7,"city"
"12291","AC","Rio Branco",2020-03-24,"1200401",21,5.15566,NA,0,407319,FALSE,8,"city"
"12033","AC","Rio Branco",2020-03-25,"1200401",23,5.64668,NA,0,407319,FALSE,9,"city"
"11756","AC","Rio Branco",2020-03-26,"1200401",23,5.64668,NA,0,407319,FALSE,10,"city"
"11446","AC","Rio Branco",2020-03-27,"1200401",25,6.1377,NA,0,407319,FALSE,11,"city"
"11153","AC","Rio Branco",2020-03-28,"1200401",25,6.1377,NA,0,407319,FALSE,12,"city"
"10853","AC","Rio Branco",2020-03-29,"1200401",31,7.61074,NA,0,407319,FALSE,13,"city"
"10452","AC","Rio Branco",2020-03-30,"1200401",34,8.34727,NA,0,407319,FALSE,14,"city"
"10006","AC","Rio Branco",2020-03-31,"1200401",34,8.34727,NA,0,407319,FALSE,15,"city"
"9523","AC","Rio Branco",2020-04-01,"1200401",34,8.34727,NA,0,407319,FALSE,16,"city"
"8993","AC","Rio Branco",2020-04-02,"1200401",36,8.83828,NA,0,407319,FALSE,17,"city"
"8409","AC","Rio Branco",2020-04-03,"1200401",36,8.83828,NA,0,407319,FALSE,18,"city"
"7806","AC","Rio Branco",2020-04-04,"1200401",36,8.83828,NA,0,407319,FALSE,19,"city"
"7148","AC","Rio Branco",2020-04-05,"1200401",38,9.3293,NA,0,407319,FALSE,20,"city"
"6448","AC","Rio Branco",2020-04-06,"1200401",39,9.57481,0.0256,1,407319,FALSE,21,"city"
"5669","AC","Rio Branco",2020-04-07,"1200401",39,9.57481,0.0513,2,407319,FALSE,22,"city"
"4827","AC","Rio Branco",2020-04-08,"1200401",45,11.04785,0.0444,2,407319,FALSE,23,"city"
"3958","AC","Rio Branco",2020-04-09,"1200401",48,11.78438,0.0417,2,407319,FALSE,24,"city"
"3018","AC","Rio Branco",2020-04-10,"1200401",55,13.50293,0.0364,2,407319,FALSE,25,"city"
"2034","AC","Rio Branco",2020-04-11,"1200401",57,13.99395,0.0351,2,407319,FALSE,26,"city"
"1018","AC","Rio Branco",2020-04-12,"1200401",60,14.73047,0.0333,2,407319,FALSE,27,"city"
"6","AC","Rio Branco",2020-04-13,"1200401",68,16.69453,0.0441,3,407319,TRUE,28,"city"
"13278","AC",NA,2020-03-17,"12",3,0.34016,NA,0,881935,FALSE,1,"state"
"13186","AC",NA,2020-03-18,"12",3,0.34016,NA,0,881935,FALSE,2,"state"
"13086","AC",NA,2020-03-19,"12",4,0.45355,NA,0,881935,FALSE,3,"state"
