"","state","date","deaths_covid19","deaths_pneumonia_2019","deaths_pneumonia_2020","deaths_respiratory_failure_2019","deaths_respiratory_failure_2020","epidemiological_week_2019","epidemiological_week_2020","new_deaths_covid19","new_deaths_pneumonia_2019","new_deaths_pneumonia_2020","new_deaths_respiratory_failure_2019","new_deaths_respiratory_failure_2020"
"2809","AC",2020-01-01,0,3,0,3,0,1,1,0,3,0,3,0
"2782","AC",2020-01-02,0,3,2,3,0,1,1,0,0,2,0,0
"2755","AC",2020-01-03,0,3,5,3,1,1,1,0,0,3,0,1
"2728","AC",2020-01-04,0,5,5,3,2,1,1,0,2,0,0,1
"2701","AC",2020-01-05,0,6,9,3,4,1,2,0,1,4,0,2
"2674","AC",2020-01-06,0,7,12,3,5,2,2,0,1,3,0,1
"2647","AC",2020-01-07,0,8,15,4,7,2,2,0,1,3,1,2
"2620","AC",2020-01-08,0,11,18,4,9,2,2,0,3,3,0,2
"2593","AC",2020-01-09,0,13,21,5,12,2,2,0,2,3,1,3
"2566","AC",2020-01-10,0,13,23,6,14,2,2,0,0,2,1,2
"2539","AC",2020-01-11,0,13,24,9,14,2,2,0,0,1,3,0
"2512","AC",2020-01-12,0,19,28,10,14,2,3,0,6,4,1,0
"2485","AC",2020-01-13,0,19,30,12,17,3,3,0,0,2,2,3
"2458","AC",2020-01-14,0,24,33,15,19,3,3,0,5,3,3,2
"2431","AC",2020-01-15,0,26,37,15,20,3,3,0,2,4,0,1
"2404","AC",2020-01-16,0,27,38,17,20,3,3,0,1,1,2,0
"2377","AC",2020-01-17,0,28,41,18,20,3,3,0,1,3,1,0
"2350","AC",2020-01-18,0,31,42,19,22,3,3,0,3,1,1,2
"2323","AC",2020-01-19,0,32,43,19,24,3,4,0,1,1,0,2
"2296","AC",2020-01-20,0,35,46,20,25,4,4,0,3,3,1,1
"2269","AC",2020-01-21,0,35,52,20,26,4,4,0,0,6,0,1
"2242","AC",2020-01-22,0,38,52,21,26,4,4,0,3,0,1,0
"2215","AC",2020-01-23,0,39,52,22,27,4,4,0,1,0,1,1
"2188","AC",2020-01-24,0,42,54,23,29,4,4,0,3,2,1,2
"2161","AC",2020-01-25,0,43,57,25,30,4,4,0,1,3,2,1
"2134","AC",2020-01-26,0,48,58,26,31,4,5,0,5,1,1,1
"2107","AC",2020-01-27,0,49,60,26,31,5,5,0,1,2,0,0
"2080","AC",2020-01-28,0,51,61,26,32,5,5,0,2,1,0,1
"2053","AC",2020-01-29,0,57,62,29,32,5,5,0,6,1,3,0
"2026","AC",2020-01-30,0,60,65,30,33,5,5,0,3,3,1,1
"1999","AC",2020-01-31,0,63,67,31,33,5,5,0,3,2,1,0
"1972","AC",2020-02-01,0,64,68,34,33,5,5,0,1,1,3,0
"1945","AC",2020-02-02,0,69,72,35,34,5,6,0,5,4,1,1
"1918","AC",2020-02-03,0,70,73,36,35,6,6,0,1,1,1,1
"1891","AC",2020-02-04,0,71,74,37,35,6,6,0,1,1,1,0
"1864","AC",2020-02-05,0,71,75,39,35,6,6,0,0,1,2,0
"1837","AC",2020-02-06,0,73,77,41,37,6,6,0,2,2,2,2
"1810","AC",2020-02-07,0,77,78,42,40,6,6,0,4,1,1,3
"1783","AC",2020-02-08,0,80,80,43,40,6,6,0,3,2,1,0
"1756","AC",2020-02-09,0,82,83,43,42,6,7,0,2,3,0,2
"1729","AC",2020-02-10,0,82,84,44,43,7,7,0,0,1,1,1
"1702","AC",2020-02-11,0,84,85,44,44,7,7,0,2,1,0,1
"1675","AC",2020-02-12,0,86,90,44,45,7,7,0,2,5,0,1
"1648","AC",2020-02-13,0,87,92,45,45,7,7,0,1,2,1,0
"1621","AC",2020-02-14,0,87,95,46,47,7,7,0,0,3,1,2
"1594","AC",2020-02-15,0,91,100,49,50,7,7,0,4,5,3,3
"1567","AC",2020-02-16,0,92,104,49,50,7,8,0,1,4,0,0
"1540","AC",2020-02-17,0,94,107,51,51,8,8,0,2,3,2,1
"1513","AC",2020-02-18,0,96,107,52,51,8,8,0,2,0,1,0
"1486","AC",2020-02-19,0,98,109,52,51,8,8,0,2,2,0,0
"1459","AC",2020-02-20,0,101,113,53,54,8,8,0,3,4,1,3
"1432","AC",2020-02-21,0,104,113,54,54,8,8,0,3,0,1,0
"1405","AC",2020-02-22,0,104,113,55,54,8,8,0,0,0,1,0
"1378","AC",2020-02-23,0,108,115,55,54,8,9,0,4,2,0,0
"1351","AC",2020-02-24,0,113,115,57,54,9,9,0,5,0,2,0
"1324","AC",2020-02-25,0,116,117,60,54,9,9,0,3,2,3,0
"1297","AC",2020-02-26,0,118,121,61,56,9,9,0,2,4,1,2
"1270","AC",2020-02-27,0,123,124,62,56,9,9,0,5,3,1,0
"1243","AC",2020-02-28,0,124,127,62,58,9,9,0,1,3,0,2
"1216","AC",2020-02-29,0,124,127,62,59,9,9,0,0,0,0,1
"1189","AC",2020-03-01,0,125,131,63,59,9,10,0,1,4,1,0
"1162","AC",2020-03-02,0,128,132,64,61,9,10,0,3,1,1,2
"1135","AC",2020-03-03,0,129,133,65,61,10,10,0,1,1,1,0
"1108","AC",2020-03-04,0,129,133,65,61,10,10,0,0,0,0,0
"1081","AC",2020-03-05,0,129,136,65,64,10,10,0,0,3,0,3
"1054","AC",2020-03-06,0,131,138,66,66,10,10,0,2,2,1,2
"1027","AC",2020-03-07,0,133,141,67,68,10,10,0,2,3,1,2
"1000","AC",2020-03-08,0,135,145,69,73,10,11,0,2,4,2,5
"973","AC",2020-03-09,0,136,148,72,73,10,11,0,1,3,3,0
