"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"2" "Afghanistan" "AFG" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"3" "Angola" "AGO" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" 47.6 "X2018"
"4" "Albania" "ALB" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"5" "Andorra" "AND" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"6" "Arab World" "ARB" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"7" "United Arab Emirates" "ARE" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"8" "Argentina" "ARG" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" 1 "X2018"
"9" "Armenia" "ARM" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" 2.1 "X2018"
"10" "American Samoa" "ASM" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"11" "Antigua and Barbuda" "ATG" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"12" "Australia" "AUS" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"13" "Austria" "AUT" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"14" "Azerbaijan" "AZE" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"15" "Burundi" "BDI" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"16" "Belgium" "BEL" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"17" "Benin" "BEN" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"18" "Burkina Faso" "BFA" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"19" "Bangladesh" "BGD" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"20" "Bulgaria" "BGR" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"21" "Bahrain" "BHR" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"22" "Bahamas, The" "BHS" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"24" "Belarus" "BLR" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" 0 "X2018"
"25" "Belize" "BLZ" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"26" "Bermuda" "BMU" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"27" "Bolivia" "BOL" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" 4.5 "X2018"
"28" "Brazil" "BRA" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" 4.4 "X2018"
"29" "Barbados" "BRB" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"30" "Brunei Darussalam" "BRN" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
"31" "Bhutan" "BTN" "Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" NA "X2018"
