"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "GDP growth (annual %)" NA "X2018"
"2" "Afghanistan" "AFG" "GDP growth (annual %)" 1.03066005804328 "X2018"
"3" "Angola" "AGO" "GDP growth (annual %)" -2.13349325676356 "X2018"
"4" "Albania" "ALB" "GDP growth (annual %)" 4.14523793594839 "X2018"
"5" "Andorra" "AND" "GDP growth (annual %)" 1.62934547096762 "X2018"
"6" "Arab World" "ARB" "GDP growth (annual %)" 2.04597565441296 "X2018"
"7" "United Arab Emirates" "ARE" "GDP growth (annual %)" 1.72634934292543 "X2018"
"8" "Argentina" "ARG" "GDP growth (annual %)" -2.48179244509274 "X2018"
"9" "Armenia" "ARM" "GDP growth (annual %)" 5.19999999965322 "X2018"
"10" "American Samoa" "ASM" "GDP growth (annual %)" 2.18487394957982 "X2018"
"11" "Antigua and Barbuda" "ATG" "GDP growth (annual %)" 7.38919716232351 "X2018"
"12" "Australia" "AUS" "GDP growth (annual %)" 2.94033358170461 "X2018"
"13" "Austria" "AUT" "GDP growth (annual %)" 2.41976363780752 "X2018"
"14" "Azerbaijan" "AZE" "GDP growth (annual %)" 1.41287352692132 "X2018"
"15" "Burundi" "BDI" "GDP growth (annual %)" 1.60993308234522 "X2018"
"16" "Belgium" "BEL" "GDP growth (annual %)" 1.45840535284985 "X2018"
"17" "Benin" "BEN" "GDP growth (annual %)" 6.85800227090556 "X2018"
"18" "Burkina Faso" "BFA" "GDP growth (annual %)" 6.83238810300897 "X2018"
"19" "Bangladesh" "BGD" "GDP growth (annual %)" 7.86370889257542 "X2018"
"20" "Bulgaria" "BGR" "GDP growth (annual %)" 3.08115723374425 "X2018"
"21" "Bahrain" "BHR" "GDP growth (annual %)" 1.77672835806486 "X2018"
"22" "Bahamas, The" "BHS" "GDP growth (annual %)" 1.56575993568239 "X2018"
"23" "Bosnia and Herzegovina" "BIH" "GDP growth (annual %)" 3.62354616011993 "X2018"
"24" "Belarus" "BLR" "GDP growth (annual %)" 3.04990554989585 "X2018"
"25" "Belize" "BLZ" "GDP growth (annual %)" 3.03540365708952 "X2018"
"26" "Bermuda" "BMU" "GDP growth (annual %)" NA "X2018"
"27" "Bolivia" "BOL" "GDP growth (annual %)" 4.22362493214148 "X2018"
"28" "Brazil" "BRA" "GDP growth (annual %)" 1.11758734985511 "X2018"
"29" "Barbados" "BRB" "GDP growth (annual %)" -0.49842886553256 "X2018"
"30" "Brunei Darussalam" "BRN" "GDP growth (annual %)" 0.0522377907767719 "X2018"
"31" "Bhutan" "BTN" "GDP growth (annual %)" 3.02764059455085 "X2018"
"32" "Botswana" "BWA" "GDP growth (annual %)" 4.45358456639946 "X2018"
"33" "Central African Republic" "CAF" "GDP growth (annual %)" 3.78944359275462 "X2018"
"34" "Canada" "CAN" "GDP growth (annual %)" 1.89697475634192 "X2018"
"35" "Central Europe and the Baltics" "CEB" "GDP growth (annual %)" 4.30552722463898 "X2018"
"36" "Switzerland" "CHE" "GDP growth (annual %)" 2.75051698095396 "X2018"
"37" "Channel Islands" "CHI" "GDP growth (annual %)" NA "X2018"
"38" "Chile" "CHL" "GDP growth (annual %)" 4.02465296525456 "X2018"
"39" "China" "CHN" "GDP growth (annual %)" 6.56697385961871 "X2018"
"40" "Cote d'Ivoire" "CIV" "GDP growth (annual %)" 7.43307162464457 "X2018"
"41" "Cameroon" "CMR" "GDP growth (annual %)" 4.06240531944661 "X2018"
"42" "Congo, Dem. Rep." "COD" "GDP growth (annual %)" 5.75793273827452 "X2018"
"43" "Congo, Rep." "COG" "GDP growth (annual %)" 1.02555420747001 "X2018"
"44" "Colombia" "COL" "GDP growth (annual %)" 2.56922098807335 "X2018"
"45" "Comoros" "COM" "GDP growth (annual %)" 3.43076413622954 "X2018"
"46" "Cabo Verde" "CPV" "GDP growth (annual %)" 5.07755082887782 "X2018"
"47" "Costa Rica" "CRI" "GDP growth (annual %)" 2.63398496797504 "X2018"
"48" "Caribbean small states" "CSS" "GDP growth (annual %)" 1.26131445904258 "X2018"
"49" "Cuba" "CUB" "GDP growth (annual %)" 2.24848039303581 "X2018"
"50" "Curacao" "CUW" "GDP growth (annual %)" -2.16613204691582 "X2018"
"51" "Cayman Islands" "CYM" "GDP growth (annual %)" NA "X2018"
"52" "Cyprus" "CYP" "GDP growth (annual %)" 4.06019176189083 "X2018"
"53" "Czech Republic" "CZE" "GDP growth (annual %)" 2.95778447296561 "X2018"
"54" "Germany" "DEU" "GDP growth (annual %)" 1.52744629830981 "X2018"
"55" "Djibouti" "DJI" "GDP growth (annual %)" 5.46019075866732 "X2018"
"56" "Dominica" "DMA" "GDP growth (annual %)" 2.26457023430542 "X2018"
"57" "Denmark" "DNK" "GDP growth (annual %)" 2.39132968541817 "X2018"
"58" "Dominican Republic" "DOM" "GDP growth (annual %)" 6.98252758438241 "X2018"
"59" "Algeria" "DZA" "GDP growth (annual %)" 1.39999999999998 "X2018"
"60" "East Asia & Pacific (excluding high income)" "EAP" "GDP growth (annual %)" 6.29499973419354 "X2018"
"61" "Early-demographic dividend" "EAR" "GDP growth (annual %)" 3.51766044443748 "X2018"
"62" "East Asia & Pacific" "EAS" "GDP growth (annual %)" 4.19795418949631 "X2018"
"63" "Europe & Central Asia (excluding high income)" "ECA" "GDP growth (annual %)" 2.8502652879173 "X2018"
"64" "Europe & Central Asia" "ECS" "GDP growth (annual %)" 2.13799275728836 "X2018"
"65" "Ecuador" "ECU" "GDP growth (annual %)" 1.37712702988119 "X2018"
"66" "Egypt, Arab Rep." "EGY" "GDP growth (annual %)" 5.31412103746398 "X2018"
"67" "Euro area" "EMU" "GDP growth (annual %)" 1.89984996459718 "X2018"
"68" "Eritrea" "ERI" "GDP growth (annual %)" NA "X2018"
"69" "Spain" "ESP" "GDP growth (annual %)" 2.35100813140505 "X2018"
"70" "Estonia" "EST" "GDP growth (annual %)" 4.76115846853359 "X2018"
"71" "Ethiopia" "ETH" "GDP growth (annual %)" 6.81016939097316 "X2018"
"72" "European Union" "EUU" "GDP growth (annual %)" 2.01485496020119 "X2018"
"73" "Fragile and conflict affected situations" "FCS" "GDP growth (annual %)" 1.96929279069522 "X2018"
"74" "Finland" "FIN" "GDP growth (annual %)" 1.67143888071415 "X2018"
"75" "Fiji" "FJI" "GDP growth (annual %)" 3.52620937156848 "X2018"
"76" "France" "FRA" "GDP growth (annual %)" 1.72488062714211 "X2018"
"77" "Faroe Islands" "FRO" "GDP growth (annual %)" NA "X2018"
"78" "Micronesia, Fed. Sts." "FSM" "GDP growth (annual %)" 0.211658398706788 "X2018"
"79" "Gabon" "GAB" "GDP growth (annual %)" 0.835804969429503 "X2018"
"80" "United Kingdom" "GBR" "GDP growth (annual %)" 1.38567356958762 "X2018"
"81" "Georgia" "GEO" "GDP growth (annual %)" 4.80000000000014 "X2018"
"82" "Ghana" "GHA" "GDP growth (annual %)" 6.26348073195742 "X2018"
"83" "Gibraltar" "GIB" "GDP growth (annual %)" NA "X2018"
"84" "Guinea" "GIN" "GDP growth (annual %)" 6.16385332467215 "X2018"
"85" "Gambia, The" "GMB" "GDP growth (annual %)" 6.54702656494995 "X2018"
"86" "Guinea-Bissau" "GNB" "GDP growth (annual %)" 3.79999999203385 "X2018"
"87" "Equatorial Guinea" "GNQ" "GDP growth (annual %)" -6.12874928878162 "X2018"
"88" "Greece" "GRC" "GDP growth (annual %)" 1.93437082746027 "X2018"
"89" "Grenada" "GRD" "GDP growth (annual %)" 4.17721518987342 "X2018"
"90" "Greenland" "GRL" "GDP growth (annual %)" 3.21802733064499 "X2018"
"91" "Guatemala" "GTM" "GDP growth (annual %)" 3.14504331729282 "X2018"
"92" "Guam" "GUM" "GDP growth (annual %)" -0.268353459842814 "X2018"
"93" "Guyana" "GUY" "GDP growth (annual %)" 4.10000155013697 "X2018"
"94" "High income" "HIC" "GDP growth (annual %)" 2.23787130525976 "X2018"
"95" "Hong Kong SAR, China" "HKG" "GDP growth (annual %)" 3.0024755561364 "X2018"
"96" "Honduras" "HND" "GDP growth (annual %)" 3.74558474629505 "X2018"
"97" "Heavily indebted poor countries (HIPC)" "HPC" "GDP growth (annual %)" 4.11224121304726 "X2018"
"98" "Croatia" "HRV" "GDP growth (annual %)" 2.63078562253854 "X2018"
"99" "Haiti" "HTI" "GDP growth (annual %)" 1.48387978817684 "X2018"
"100" "Hungary" "HUN" "GDP growth (annual %)" 5.09400256449817 "X2018"
"101" "IBRD only" "IBD" "GDP growth (annual %)" 4.343148102168 "X2018"
"102" "IDA & IBRD total" "IBT" "GDP growth (annual %)" 4.34260746625148 "X2018"
"103" "IDA total" "IDA" "GDP growth (annual %)" 4.33503119393465 "X2018"
"104" "IDA blend" "IDB" "GDP growth (annual %)" 3.61421593704236 "X2018"
"105" "Indonesia" "IDN" "GDP growth (annual %)" 5.17127032830882 "X2018"
"106" "IDA only" "IDX" "GDP growth (annual %)" 5.0515638957225 "X2018"
"107" "Isle of Man" "IMN" "GDP growth (annual %)" NA "X2018"
"108" "India" "IND" "GDP growth (annual %)" 6.81136932613997 "X2018"
"109" "Not classified" "INX" "GDP growth (annual %)" NA "X2018"
"110" "Ireland" "IRL" "GDP growth (annual %)" 8.16987093310331 "X2018"
"111" "Iran, Islamic Rep." "IRN" "GDP growth (annual %)" NA "X2018"
"112" "Iraq" "IRQ" "GDP growth (annual %)" -0.562745503168955 "X2018"
"113" "Iceland" "ISL" "GDP growth (annual %)" 4.61147602956513 "X2018"
"114" "Israel" "ISR" "GDP growth (annual %)" 3.45370251802824 "X2018"
"115" "Italy" "ITA" "GDP growth (annual %)" 0.77434001307563 "X2018"
"116" "Jamaica" "JAM" "GDP growth (annual %)" 1.94087814684517 "X2018"
"117" "Jordan" "JOR" "GDP growth (annual %)" 1.94029220505026 "X2018"
"118" "Japan" "JPN" "GDP growth (annual %)" 0.788455875670337 "X2018"
"119" "Kazakhstan" "KAZ" "GDP growth (annual %)" 4.09999999987123 "X2018"
"120" "Kenya" "KEN" "GDP growth (annual %)" 6.3197813635439 "X2018"
"121" "Kyrgyz Republic" "KGZ" "GDP growth (annual %)" 3.50000000000006 "X2018"
"122" "Cambodia" "KHM" "GDP growth (annual %)" 7.49796350754166 "X2018"
"123" "Kiribati" "KIR" "GDP growth (annual %)" 2.00103603146545 "X2018"
"124" "St. Kitts and Nevis" "KNA" "GDP growth (annual %)" 2.92393881700276 "X2018"
"125" "Korea, Rep." "KOR" "GDP growth (annual %)" 2.66831140171185 "X2018"
"126" "Kuwait" "KWT" "GDP growth (annual %)" 1.24601594652857 "X2018"
"127" "Latin America & Caribbean (excluding high income)" "LAC" "GDP growth (annual %)" 0.374039219331252 "X2018"
"128" "Lao PDR" "LAO" "GDP growth (annual %)" 6.24796000755872 "X2018"
"129" "Lebanon" "LBN" "GDP growth (annual %)" 0.199990636430059 "X2018"
"130" "Liberia" "LBR" "GDP growth (annual %)" 1.22255131299607 "X2018"
"131" "Libya" "LBY" "GDP growth (annual %)" 7.9497367979429 "X2018"
"132" "St. Lucia" "LCA" "GDP growth (annual %)" 0.857135569988984 "X2018"
"133" "Latin America & Caribbean" "LCN" "GDP growth (annual %)" 0.499146512930963 "X2018"
"134" "Least developed countries: UN classification" "LDC" "GDP growth (annual %)" 4.22771437986667 "X2018"
