"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Imports of goods and services (% of GDP)" NA "X2018"
"2" "Afghanistan" "AFG" "Imports of goods and services (% of GDP)" NA "X2018"
"3" "Angola" "AGO" "Imports of goods and services (% of GDP)" NA "X2018"
"4" "Albania" "ALB" "Imports of goods and services (% of GDP)" 45.3977304984143 "X2018"
"5" "Andorra" "AND" "Imports of goods and services (% of GDP)" NA "X2018"
"6" "Arab World" "ARB" "Imports of goods and services (% of GDP)" 39.5637909145932 "X2018"
"7" "United Arab Emirates" "ARE" "Imports of goods and services (% of GDP)" 67.9783656986559 "X2018"
"8" "Argentina" "ARG" "Imports of goods and services (% of GDP)" 16.4199284119137 "X2018"
"9" "Armenia" "ARM" "Imports of goods and services (% of GDP)" 53.4824517351464 "X2018"
"10" "American Samoa" "ASM" "Imports of goods and services (% of GDP)" 99.3710691823899 "X2018"
"11" "Antigua and Barbuda" "ATG" "Imports of goods and services (% of GDP)" NA "X2018"
"12" "Australia" "AUS" "Imports of goods and services (% of GDP)" 21.3876035202283 "X2018"
"13" "Austria" "AUT" "Imports of goods and services (% of GDP)" 52.0344068166518 "X2018"
"14" "Azerbaijan" "AZE" "Imports of goods and services (% of GDP)" 37.7191179640388 "X2018"
"15" "Burundi" "BDI" "Imports of goods and services (% of GDP)" 30.5033368824551 "X2018"
"16" "Belgium" "BEL" "Imports of goods and services (% of GDP)" 82.7389120694672 "X2018"
"17" "Benin" "BEN" "Imports of goods and services (% of GDP)" 44.1906620897664 "X2018"
"18" "Burkina Faso" "BFA" "Imports of goods and services (% of GDP)" 37.2388430772549 "X2018"
"19" "Bangladesh" "BGD" "Imports of goods and services (% of GDP)" 23.4439348097981 "X2018"
"20" "Bulgaria" "BGR" "Imports of goods and services (% of GDP)" 64.3108705743695 "X2018"
"21" "Bahrain" "BHR" "Imports of goods and services (% of GDP)" 71.6572121891948 "X2018"
"22" "Bahamas, The" "BHS" "Imports of goods and services (% of GDP)" 41.2700712302306 "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Imports of goods and services (% of GDP)" 55.7808947028023 "X2018"
"24" "Belarus" "BLR" "Imports of goods and services (% of GDP)" 69.1440943074798 "X2018"
"25" "Belize" "BLZ" "Imports of goods and services (% of GDP)" 58.0078191642862 "X2018"
"26" "Bermuda" "BMU" "Imports of goods and services (% of GDP)" NA "X2018"
"27" "Bolivia" "BOL" "Imports of goods and services (% of GDP)" 31.1211697950131 "X2018"
"28" "Brazil" "BRA" "Imports of goods and services (% of GDP)" 14.2767004326273 "X2018"
"29" "Barbados" "BRB" "Imports of goods and services (% of GDP)" 40.8905996112731 "X2018"
"30" "Brunei Darussalam" "BRN" "Imports of goods and services (% of GDP)" 41.964043494891 "X2018"
"31" "Bhutan" "BTN" "Imports of goods and services (% of GDP)" 55.8915879319988 "X2018"
"32" "Botswana" "BWA" "Imports of goods and services (% of GDP)" 37.7659524881694 "X2018"
"33" "Central African Republic" "CAF" "Imports of goods and services (% of GDP)" 46.9800224539673 "X2018"
"34" "Canada" "CAN" "Imports of goods and services (% of GDP)" 34.0930504449183 "X2018"
"35" "Central Europe and the Baltics" "CEB" "Imports of goods and services (% of GDP)" 62.3795567136838 "X2018"
"36" "Switzerland" "CHE" "Imports of goods and services (% of GDP)" 53.9033954564242 "X2018"
"37" "Channel Islands" "CHI" "Imports of goods and services (% of GDP)" NA "X2018"
"38" "Chile" "CHL" "Imports of goods and services (% of GDP)" 28.7191327028464 "X2018"
"39" "China" "CHN" "Imports of goods and services (% of GDP)" 18.7313138032856 "X2018"
"40" "Cote d'Ivoire" "CIV" "Imports of goods and services (% of GDP)" 29.2470562631073 "X2018"
"41" "Cameroon" "CMR" "Imports of goods and services (% of GDP)" 23.6975689193905 "X2018"
"42" "Congo, Dem. Rep." "COD" "Imports of goods and services (% of GDP)" 37.3422312884634 "X2018"
"43" "Congo, Rep." "COG" "Imports of goods and services (% of GDP)" 56.0218574027979 "X2018"
"44" "Colombia" "COL" "Imports of goods and services (% of GDP)" 20.8253458573742 "X2018"
"45" "Comoros" "COM" "Imports of goods and services (% of GDP)" 29.8465449183026 "X2018"
"46" "Cabo Verde" "CPV" "Imports of goods and services (% of GDP)" 68.2078053781849 "X2018"
"47" "Costa Rica" "CRI" "Imports of goods and services (% of GDP)" 33.2420840335805 "X2018"
"48" "Caribbean small states" "CSS" "Imports of goods and services (% of GDP)" NA "X2018"
"49" "Cuba" "CUB" "Imports of goods and services (% of GDP)" 12.5931035861752 "X2018"
"50" "Curacao" "CUW" "Imports of goods and services (% of GDP)" NA "X2018"
"51" "Cayman Islands" "CYM" "Imports of goods and services (% of GDP)" NA "X2018"
"52" "Cyprus" "CYP" "Imports of goods and services (% of GDP)" 72.2795717929557 "X2018"
"53" "Czech Republic" "CZE" "Imports of goods and services (% of GDP)" 72.0030708959607 "X2018"
"54" "Germany" "DEU" "Imports of goods and services (% of GDP)" 41.254735570526 "X2018"
"55" "Djibouti" "DJI" "Imports of goods and services (% of GDP)" 178.881328667234 "X2018"
"56" "Dominica" "DMA" "Imports of goods and services (% of GDP)" 65.095817562071 "X2018"
"57" "Denmark" "DNK" "Imports of goods and services (% of GDP)" 49.5945167161173 "X2018"
"58" "Dominican Republic" "DOM" "Imports of goods and services (% of GDP)" 28.504535080793 "X2018"
"59" "Algeria" "DZA" "Imports of goods and services (% of GDP)" 32.3410220592228 "X2018"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Imports of goods and services (% of GDP)" 24.2547724697715 "X2018"
"61" "Early-demographic dividend" "EAR" "Imports of goods and services (% of GDP)" 29.1709171020202 "X2018"
"62" "East Asia & Pacific" "EAS" "Imports of goods and services (% of GDP)" 28.2231415753381 "X2018"
"63" "Europe & Central Asia (excluding high income)" "ECA" "Imports of goods and services (% of GDP)" 30.159702123788 "X2018"
"64" "Europe & Central Asia" "ECS" "Imports of goods and services (% of GDP)" 40.3248821576232 "X2018"
"65" "Ecuador" "ECU" "Imports of goods and services (% of GDP)" 23.0467920375474 "X2018"
"66" "Egypt, Arab Rep." "EGY" "Imports of goods and services (% of GDP)" 29.3662955784919 "X2018"
"67" "Euro area" "EMU" "Imports of goods and services (% of GDP)" 42.1547853863016 "X2018"
"68" "Eritrea" "ERI" "Imports of goods and services (% of GDP)" NA "X2018"
