"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Inflation, consumer prices (annual %)" NA "X2019"
"2" "Afghanistan" "AFG" "Inflation, consumer prices (annual %)" NA "X2019"
"3" "Angola" "AGO" "Inflation, consumer prices (annual %)" NA "X2019"
"4" "Albania" "ALB" "Inflation, consumer prices (annual %)" 1.41109078954244 "X2019"
"5" "Andorra" "AND" "Inflation, consumer prices (annual %)" NA "X2019"
"6" "Arab World" "ARB" "Inflation, consumer prices (annual %)" NA "X2019"
"7" "United Arab Emirates" "ARE" "Inflation, consumer prices (annual %)" -1.93108114782171 "X2019"
"8" "Argentina" "ARG" "Inflation, consumer prices (annual %)" NA "X2019"
"9" "Armenia" "ARM" "Inflation, consumer prices (annual %)" 1.44344660770702 "X2019"
"10" "American Samoa" "ASM" "Inflation, consumer prices (annual %)" NA "X2019"
"11" "Antigua and Barbuda" "ATG" "Inflation, consumer prices (annual %)" NA "X2019"
"12" "Australia" "AUS" "Inflation, consumer prices (annual %)" NA "X2019"
"13" "Austria" "AUT" "Inflation, consumer prices (annual %)" 1.53089553422702 "X2019"
"14" "Azerbaijan" "AZE" "Inflation, consumer prices (annual %)" 2.60833956534686 "X2019"
"15" "Burundi" "BDI" "Inflation, consumer prices (annual %)" NA "X2019"
"16" "Belgium" "BEL" "Inflation, consumer prices (annual %)" 1.43681956996435 "X2019"
"17" "Benin" "BEN" "Inflation, consumer prices (annual %)" NA "X2019"
"18" "Burkina Faso" "BFA" "Inflation, consumer prices (annual %)" -3.23181169194848 "X2019"
"19" "Bangladesh" "BGD" "Inflation, consumer prices (annual %)" NA "X2019"
"20" "Bulgaria" "BGR" "Inflation, consumer prices (annual %)" 3.10372944796774 "X2019"
"21" "Bahrain" "BHR" "Inflation, consumer prices (annual %)" NA "X2019"
"22" "Bahamas, The" "BHS" "Inflation, consumer prices (annual %)" NA "X2019"
"23" "Bosnia and Herzegovina" "BIH" "Inflation, consumer prices (annual %)" 0.562782154061303 "X2019"
"24" "Belarus" "BLR" "Inflation, consumer prices (annual %)" 5.59815595039854 "X2019"
"25" "Belize" "BLZ" "Inflation, consumer prices (annual %)" NA "X2019"
"26" "Bermuda" "BMU" "Inflation, consumer prices (annual %)" NA "X2019"
"27" "Bolivia" "BOL" "Inflation, consumer prices (annual %)" 1.83954504969032 "X2019"
"28" "Brazil" "BRA" "Inflation, consumer prices (annual %)" 3.73297621216894 "X2019"
"29" "Barbados" "BRB" "Inflation, consumer prices (annual %)" NA "X2019"
"30" "Brunei Darussalam" "BRN" "Inflation, consumer prices (annual %)" NA "X2019"
"31" "Bhutan" "BTN" "Inflation, consumer prices (annual %)" NA "X2019"
"32" "Botswana" "BWA" "Inflation, consumer prices (annual %)" NA "X2019"
"33" "Central African Republic" "CAF" "Inflation, consumer prices (annual %)" NA "X2019"
"34" "Canada" "CAN" "Inflation, consumer prices (annual %)" 1.94926902411596 "X2019"
"35" "Central Europe and the Baltics" "CEB" "Inflation, consumer prices (annual %)" 2.33450937988024 "X2019"
"36" "Switzerland" "CHE" "Inflation, consumer prices (annual %)" 0.362916004520384 "X2019"
"37" "Channel Islands" "CHI" "Inflation, consumer prices (annual %)" NA "X2019"
"38" "Chile" "CHL" "Inflation, consumer prices (annual %)" 2.55754475703323 "X2019"
"39" "China" "CHN" "Inflation, consumer prices (annual %)" 2.89923579925941 "X2019"
"40" "Cote d'Ivoire" "CIV" "Inflation, consumer prices (annual %)" -0.883930110423883 "X2019"
"41" "Cameroon" "CMR" "Inflation, consumer prices (annual %)" NA "X2019"
"42" "Congo, Dem. Rep." "COD" "Inflation, consumer prices (annual %)" NA "X2019"
"43" "Congo, Rep." "COG" "Inflation, consumer prices (annual %)" NA "X2019"
"44" "Colombia" "COL" "Inflation, consumer prices (annual %)" 3.52549273618952 "X2019"
"45" "Comoros" "COM" "Inflation, consumer prices (annual %)" NA "X2019"
"46" "Cabo Verde" "CPV" "Inflation, consumer prices (annual %)" 1.10666656494144 "X2019"
"47" "Costa Rica" "CRI" "Inflation, consumer prices (annual %)" 2.09620256592949 "X2019"
"48" "Caribbean small states" "CSS" "Inflation, consumer prices (annual %)" NA "X2019"
"49" "Cuba" "CUB" "Inflation, consumer prices (annual %)" NA "X2019"
"50" "Curacao" "CUW" "Inflation, consumer prices (annual %)" NA "X2019"
"51" "Cayman Islands" "CYM" "Inflation, consumer prices (annual %)" NA "X2019"
"52" "Cyprus" "CYP" "Inflation, consumer prices (annual %)" NA "X2019"
"53" "Czech Republic" "CZE" "Inflation, consumer prices (annual %)" 2.84787595918047 "X2019"
"54" "Germany" "DEU" "Inflation, consumer prices (annual %)" 1.4456670146976 "X2019"
"55" "Djibouti" "DJI" "Inflation, consumer prices (annual %)" 3.31925372703833 "X2019"
"56" "Dominica" "DMA" "Inflation, consumer prices (annual %)" NA "X2019"
"57" "Denmark" "DNK" "Inflation, consumer prices (annual %)" 0.758131572511619 "X2019"
"58" "Dominican Republic" "DOM" "Inflation, consumer prices (annual %)" 1.8106037704296 "X2019"
"59" "Algeria" "DZA" "Inflation, consumer prices (annual %)" 1.95176821052894 "X2019"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Inflation, consumer prices (annual %)" NA "X2019"
"61" "Early-demographic dividend" "EAR" "Inflation, consumer prices (annual %)" NA "X2019"
"62" "East Asia & Pacific" "EAS" "Inflation, consumer prices (annual %)" NA "X2019"
"63" "Europe & Central Asia (excluding high income)" "ECA" "Inflation, consumer prices (annual %)" 2.60833956534686 "X2019"
"64" "Europe & Central Asia" "ECS" "Inflation, consumer prices (annual %)" 1.73810460086511 "X2019"
"65" "Ecuador" "ECU" "Inflation, consumer prices (annual %)" 0.266012515466136 "X2019"
"66" "Egypt, Arab Rep." "EGY" "Inflation, consumer prices (annual %)" 9.15050222631588 "X2019"
"67" "Euro area" "EMU" "Inflation, consumer prices (annual %)" 1.4456670146976 "X2019"
"68" "Eritrea" "ERI" "Inflation, consumer prices (annual %)" NA "X2019"
