"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Government expenditure on education, total (% of GDP)" NA "X2018"
"2" "Afghanistan" "AFG" "Government expenditure on education, total (% of GDP)" NA "X2018"
"3" "Angola" "AGO" "Government expenditure on education, total (% of GDP)" NA "X2018"
"4" "Albania" "ALB" "Government expenditure on education, total (% of GDP)" 2.46866 "X2018"
"5" "Andorra" "AND" "Government expenditure on education, total (% of GDP)" 3.22691 "X2018"
"6" "Arab World" "ARB" "Government expenditure on education, total (% of GDP)" NA "X2018"
"7" "United Arab Emirates" "ARE" "Government expenditure on education, total (% of GDP)" NA "X2018"
"8" "Argentina" "ARG" "Government expenditure on education, total (% of GDP)" NA "X2018"
"9" "Armenia" "ARM" "Government expenditure on education, total (% of GDP)" NA "X2018"
"10" "American Samoa" "ASM" "Government expenditure on education, total (% of GDP)" NA "X2018"
"11" "Antigua and Barbuda" "ATG" "Government expenditure on education, total (% of GDP)" NA "X2018"
"12" "Australia" "AUS" "Government expenditure on education, total (% of GDP)" NA "X2018"
"13" "Austria" "AUT" "Government expenditure on education, total (% of GDP)" NA "X2018"
"14" "Azerbaijan" "AZE" "Government expenditure on education, total (% of GDP)" NA "X2018"
"15" "Burundi" "BDI" "Government expenditure on education, total (% of GDP)" 5.01084 "X2018"
"16" "Belgium" "BEL" "Government expenditure on education, total (% of GDP)" NA "X2018"
"17" "Benin" "BEN" "Government expenditure on education, total (% of GDP)" 4.03814 "X2018"
"18" "Burkina Faso" "BFA" "Government expenditure on education, total (% of GDP)" 6.03609 "X2018"
"19" "Bangladesh" "BGD" "Government expenditure on education, total (% of GDP)" 1.98602 "X2018"
"20" "Bulgaria" "BGR" "Government expenditure on education, total (% of GDP)" NA "X2018"
"21" "Bahrain" "BHR" "Government expenditure on education, total (% of GDP)" NA "X2018"
"22" "Bahamas, The" "BHS" "Government expenditure on education, total (% of GDP)" NA "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Government expenditure on education, total (% of GDP)" NA "X2018"
"24" "Belarus" "BLR" "Government expenditure on education, total (% of GDP)" NA "X2018"
"25" "Belize" "BLZ" "Government expenditure on education, total (% of GDP)" NA "X2018"
"26" "Bermuda" "BMU" "Government expenditure on education, total (% of GDP)" NA "X2018"
"27" "Bolivia" "BOL" "Government expenditure on education, total (% of GDP)" NA "X2018"
"28" "Brazil" "BRA" "Government expenditure on education, total (% of GDP)" NA "X2018"
"29" "Barbados" "BRB" "Government expenditure on education, total (% of GDP)" NA "X2018"
"30" "Brunei Darussalam" "BRN" "Government expenditure on education, total (% of GDP)" NA "X2018"
"31" "Bhutan" "BTN" "Government expenditure on education, total (% of GDP)" 6.64043 "X2018"
"32" "Botswana" "BWA" "Government expenditure on education, total (% of GDP)" NA "X2018"
"33" "Central African Republic" "CAF" "Government expenditure on education, total (% of GDP)" NA "X2018"
"34" "Canada" "CAN" "Government expenditure on education, total (% of GDP)" NA "X2018"
"35" "Central Europe and the Baltics" "CEB" "Government expenditure on education, total (% of GDP)" NA "X2018"
"36" "Switzerland" "CHE" "Government expenditure on education, total (% of GDP)" NA "X2018"
"37" "Channel Islands" "CHI" "Government expenditure on education, total (% of GDP)" NA "X2018"
"38" "Chile" "CHL" "Government expenditure on education, total (% of GDP)" NA "X2018"
"39" "China" "CHN" "Government expenditure on education, total (% of GDP)" NA "X2018"
"40" "Cote d'Ivoire" "CIV" "Government expenditure on education, total (% of GDP)" 4.36816 "X2018"
"41" "Cameroon" "CMR" "Government expenditure on education, total (% of GDP)" 3.14529 "X2018"
"42" "Congo, Dem. Rep." "COD" "Government expenditure on education, total (% of GDP)" NA "X2018"
"43" "Congo, Rep." "COG" "Government expenditure on education, total (% of GDP)" 3.63639 "X2018"
"44" "Colombia" "COL" "Government expenditure on education, total (% of GDP)" 4.50259 "X2018"
"45" "Comoros" "COM" "Government expenditure on education, total (% of GDP)" NA "X2018"
"46" "Cabo Verde" "CPV" "Government expenditure on education, total (% of GDP)" NA "X2018"
"47" "Costa Rica" "CRI" "Government expenditure on education, total (% of GDP)" 7.02824 "X2018"
"48" "Caribbean small states" "CSS" "Government expenditure on education, total (% of GDP)" 5.40731 "X2018"
"49" "Cuba" "CUB" "Government expenditure on education, total (% of GDP)" NA "X2018"
"50" "Curacao" "CUW" "Government expenditure on education, total (% of GDP)" NA "X2018"
"51" "Cayman Islands" "CYM" "Government expenditure on education, total (% of GDP)" NA "X2018"
"52" "Cyprus" "CYP" "Government expenditure on education, total (% of GDP)" NA "X2018"
"53" "Czech Republic" "CZE" "Government expenditure on education, total (% of GDP)" NA "X2018"
"54" "Germany" "DEU" "Government expenditure on education, total (% of GDP)" NA "X2018"
"55" "Djibouti" "DJI" "Government expenditure on education, total (% of GDP)" 5.55942 "X2018"
"56" "Dominica" "DMA" "Government expenditure on education, total (% of GDP)" NA "X2018"
"57" "Denmark" "DNK" "Government expenditure on education, total (% of GDP)" NA "X2018"
"58" "Dominican Republic" "DOM" "Government expenditure on education, total (% of GDP)" NA "X2018"
"59" "Algeria" "DZA" "Government expenditure on education, total (% of GDP)" NA "X2018"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Government expenditure on education, total (% of GDP)" NA "X2018"
"61" "Early-demographic dividend" "EAR" "Government expenditure on education, total (% of GDP)" NA "X2018"
"62" "East Asia & Pacific" "EAS" "Government expenditure on education, total (% of GDP)" NA "X2018"
"63" "Europe & Central Asia (excluding high income)" "ECA" "Government expenditure on education, total (% of GDP)" NA "X2018"
"64" "Europe & Central Asia" "ECS" "Government expenditure on education, total (% of GDP)" NA "X2018"
"65" "Ecuador" "ECU" "Government expenditure on education, total (% of GDP)" NA "X2018"
"66" "Egypt, Arab Rep." "EGY" "Government expenditure on education, total (% of GDP)" NA "X2018"
"67" "Euro area" "EMU" "Government expenditure on education, total (% of GDP)" NA "X2018"
"68" "Eritrea" "ERI" "Government expenditure on education, total (% of GDP)" NA "X2018"
"69" "Spain" "ESP" "Government expenditure on education, total (% of GDP)" NA "X2018"
"70" "Estonia" "EST" "Government expenditure on education, total (% of GDP)" NA "X2018"
"71" "Ethiopia" "ETH" "Government expenditure on education, total (% of GDP)" NA "X2018"
"72" "European Union" "EUU" "Government expenditure on education, total (% of GDP)" NA "X2018"
"73" "Fragile and conflict affected situations" "FCS" "Government expenditure on education, total (% of GDP)" NA "X2018"
"74" "Finland" "FIN" "Government expenditure on education, total (% of GDP)" NA "X2018"
"75" "Fiji" "FJI" "Government expenditure on education, total (% of GDP)" NA "X2018"
"76" "France" "FRA" "Government expenditure on education, total (% of GDP)" NA "X2018"
"77" "Faroe Islands" "FRO" "Government expenditure on education, total (% of GDP)" NA "X2018"
"78" "Micronesia, Fed. Sts." "FSM" "Government expenditure on education, total (% of GDP)" NA "X2018"
"79" "Gabon" "GAB" "Government expenditure on education, total (% of GDP)" NA "X2018"
"80" "United Kingdom" "GBR" "Government expenditure on education, total (% of GDP)" NA "X2018"
"81" "Georgia" "GEO" "Government expenditure on education, total (% of GDP)" NA "X2018"
"82" "Ghana" "GHA" "Government expenditure on education, total (% of GDP)" 3.98944 "X2018"
"83" "Gibraltar" "GIB" "Government expenditure on education, total (% of GDP)" NA "X2018"
"84" "Guinea" "GIN" "Government expenditure on education, total (% of GDP)" 2.57251 "X2018"
"85" "Gambia, The" "GMB" "Government expenditure on education, total (% of GDP)" 2.43275 "X2018"
"86" "Guinea-Bissau" "GNB" "Government expenditure on education, total (% of GDP)" NA "X2018"
"87" "Equatorial Guinea" "GNQ" "Government expenditure on education, total (% of GDP)" NA "X2018"
"88" "Greece" "GRC" "Government expenditure on education, total (% of GDP)" NA "X2018"
"89" "Grenada" "GRD" "Government expenditure on education, total (% of GDP)" NA "X2018"
"90" "Greenland" "GRL" "Government expenditure on education, total (% of GDP)" NA "X2018"
"91" "Guatemala" "GTM" "Government expenditure on education, total (% of GDP)" 2.92707 "X2018"
"92" "Guam" "GUM" "Government expenditure on education, total (% of GDP)" NA "X2018"
"93" "Guyana" "GUY" "Government expenditure on education, total (% of GDP)" 5.88842 "X2018"
"94" "High income" "HIC" "Government expenditure on education, total (% of GDP)" NA "X2018"
"95" "Hong Kong SAR, China" "HKG" "Government expenditure on education, total (% of GDP)" 3.32259 "X2018"
"96" "Honduras" "HND" "Government expenditure on education, total (% of GDP)" 6.0812 "X2018"
"97" "Heavily indebted poor countries (HIPC)" "HPC" "Government expenditure on education, total (% of GDP)" 4.01379 "X2018"
"98" "Croatia" "HRV" "Government expenditure on education, total (% of GDP)" NA "X2018"
"99" "Haiti" "HTI" "Government expenditure on education, total (% of GDP)" 2.78047 "X2018"
"100" "Hungary" "HUN" "Government expenditure on education, total (% of GDP)" NA "X2018"
"101" "IBRD only" "IBD" "Government expenditure on education, total (% of GDP)" NA "X2018"
"102" "IDA & IBRD total" "IBT" "Government expenditure on education, total (% of GDP)" NA "X2018"
"103" "IDA total" "IDA" "Government expenditure on education, total (% of GDP)" 4.08329 "X2018"
"104" "IDA blend" "IDB" "Government expenditure on education, total (% of GDP)" 4.12844 "X2018"
"105" "Indonesia" "IDN" "Government expenditure on education, total (% of GDP)" NA "X2018"
"106" "IDA only" "IDX" "Government expenditure on education, total (% of GDP)" 4.03814 "X2018"
"107" "Isle of Man" "IMN" "Government expenditure on education, total (% of GDP)" NA "X2018"
"108" "India" "IND" "Government expenditure on education, total (% of GDP)" NA "X2018"
"109" "Not classified" "INX" "Government expenditure on education, total (% of GDP)" NA "X2018"
"110" "Ireland" "IRL" "Government expenditure on education, total (% of GDP)" NA "X2018"
"111" "Iran, Islamic Rep." "IRN" "Government expenditure on education, total (% of GDP)" 3.95536 "X2018"
"112" "Iraq" "IRQ" "Government expenditure on education, total (% of GDP)" NA "X2018"
"113" "Iceland" "ISL" "Government expenditure on education, total (% of GDP)" NA "X2018"
"114" "Israel" "ISR" "Government expenditure on education, total (% of GDP)" NA "X2018"
"115" "Italy" "ITA" "Government expenditure on education, total (% of GDP)" NA "X2018"
"116" "Jamaica" "JAM" "Government expenditure on education, total (% of GDP)" 5.40731 "X2018"
"117" "Jordan" "JOR" "Government expenditure on education, total (% of GDP)" 3.58851 "X2018"
"118" "Japan" "JPN" "Government expenditure on education, total (% of GDP)" NA "X2018"
