"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Unemployment, total (% of total labor force) (modeled ILO estimate)" NA "X2019"
"2" "Afghanistan" "AFG" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 1.51900005340576 "X2019"
"3" "Angola" "AGO" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 7.24599981307983 "X2019"
"4" "Albania" "ALB" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 13.956000328064 "X2019"
"5" "Andorra" "AND" "Unemployment, total (% of total labor force) (modeled ILO estimate)" NA "X2019"
"6" "Arab World" "ARB" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 9.931899921755 "X2019"
"7" "United Arab Emirates" "ARE" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 2.64299988746643 "X2019"
"8" "Argentina" "ARG" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 9.98499965667725 "X2019"
"9" "Armenia" "ARM" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 17.7070007324219 "X2019"
"10" "American Samoa" "ASM" "Unemployment, total (% of total labor force) (modeled ILO estimate)" NA "X2019"
"11" "Antigua and Barbuda" "ATG" "Unemployment, total (% of total labor force) (modeled ILO estimate)" NA "X2019"
"12" "Australia" "AUS" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 5.32800006866455 "X2019"
"13" "Austria" "AUT" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 4.63500022888184 "X2019"
"14" "Azerbaijan" "AZE" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 5.39599990844727 "X2019"
"15" "Burundi" "BDI" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 1.53799998760223 "X2019"
"16" "Belgium" "BEL" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 6.44099998474121 "X2019"
"17" "Benin" "BEN" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 2.02500009536743 "X2019"
"18" "Burkina Faso" "BFA" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 6.14900016784668 "X2019"
"19" "Bangladesh" "BGD" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 4.29300022125244 "X2019"
"20" "Bulgaria" "BGR" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 4.81899976730347 "X2019"
"21" "Bahrain" "BHR" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 0.967999994754791 "X2019"
"22" "Bahamas, The" "BHS" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 11.5019998550415 "X2019"
"23" "Bosnia and Herzegovina" "BIH" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 21.2180004119873 "X2019"
"24" "Belarus" "BLR" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 5.79500007629395 "X2019"
"25" "Belize" "BLZ" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 9.49699974060059 "X2019"
"26" "Bermuda" "BMU" "Unemployment, total (% of total labor force) (modeled ILO estimate)" NA "X2019"
"27" "Bolivia" "BOL" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 3.26600003242493 "X2019"
"28" "Brazil" "BRA" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 12.2180004119873 "X2019"
"29" "Barbados" "BRB" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 9.58800029754639 "X2019"
"30" "Brunei Darussalam" "BRN" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 9.24499988555908 "X2019"
"31" "Bhutan" "BTN" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 2.18700003623962 "X2019"
"32" "Botswana" "BWA" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 18.1919994354248 "X2019"
"33" "Central African Republic" "CAF" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 6.52199983596802 "X2019"
"34" "Canada" "CAN" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 6.05700016021729 "X2019"
"35" "Central Europe and the Baltics" "CEB" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 4.08356916935059 "X2019"
"36" "Switzerland" "CHE" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 4.87400007247925 "X2019"
"37" "Channel Islands" "CHI" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 7.23299980163574 "X2019"
"38" "Chile" "CHL" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 7.43200016021729 "X2019"
"39" "China" "CHN" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 4.42399978637695 "X2019"
"40" "Cote d'Ivoire" "CIV" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 2.4449999332428 "X2019"
"41" "Cameroon" "CMR" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 3.33999991416931 "X2019"
"42" "Congo, Dem. Rep." "COD" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 4.27199983596802 "X2019"
"43" "Congo, Rep." "COG" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 10.3870000839233 "X2019"
"44" "Colombia" "COL" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 9.1879997253418 "X2019"
"45" "Comoros" "COM" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 3.70300006866455 "X2019"
"46" "Cabo Verde" "CPV" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 12.3030004501343 "X2019"
"47" "Costa Rica" "CRI" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 8.19099998474121 "X2019"
"48" "Caribbean small states" "CSS" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 8.9660076682857 "X2019"
"49" "Cuba" "CUB" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 2.25200009346008 "X2019"
"50" "Curacao" "CUW" "Unemployment, total (% of total labor force) (modeled ILO estimate)" NA "X2019"
"51" "Cayman Islands" "CYM" "Unemployment, total (% of total labor force) (modeled ILO estimate)" NA "X2019"
"52" "Cyprus" "CYP" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 7.91699981689453 "X2019"
"53" "Czech Republic" "CZE" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 2.47399997711182 "X2019"
"54" "Germany" "DEU" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 3.19899988174438 "X2019"
"55" "Djibouti" "DJI" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 11.0299997329712 "X2019"
"56" "Dominica" "DMA" "Unemployment, total (% of total labor force) (modeled ILO estimate)" NA "X2019"
"57" "Denmark" "DNK" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 4.83099985122681 "X2019"
"58" "Dominican Republic" "DOM" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 5.82800006866455 "X2019"
"59" "Algeria" "DZA" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 12.3489999771118 "X2019"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 3.94545414953392 "X2019"
"61" "Early-demographic dividend" "EAR" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 4.58852086216093 "X2019"
"62" "East Asia & Pacific" "EAS" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 3.87191537152093 "X2019"
"63" "Europe & Central Asia (excluding high income)" "ECA" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 7.20029205495228 "X2019"
"64" "Europe & Central Asia" "ECS" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 6.82712405972141 "X2019"
"65" "Ecuador" "ECU" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 3.98099994659424 "X2019"
"66" "Egypt, Arab Rep." "EGY" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 11.2930002212524 "X2019"
"67" "Euro area" "EMU" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 7.79075558404441 "X2019"
"68" "Eritrea" "ERI" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 6.5460000038147 "X2019"
"69" "Spain" "ESP" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 14.6999998092651 "X2019"
"70" "Estonia" "EST" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 5.88199996948242 "X2019"
"71" "Ethiopia" "ETH" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 1.78799998760223 "X2019"
"72" "European Union" "EUU" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 6.489369837452 "X2019"
"73" "Fragile and conflict affected situations" "FCS" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 5.9167166530774 "X2019"
"74" "Finland" "FIN" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 7.2519998550415 "X2019"
"75" "Fiji" "FJI" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 4.15100002288818 "X2019"
"76" "France" "FRA" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 9.09899997711182 "X2019"
"77" "Faroe Islands" "FRO" "Unemployment, total (% of total labor force) (modeled ILO estimate)" NA "X2019"
"78" "Micronesia, Fed. Sts." "FSM" "Unemployment, total (% of total labor force) (modeled ILO estimate)" NA "X2019"
"79" "Gabon" "GAB" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 19.6060009002686 "X2019"
"80" "United Kingdom" "GBR" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 3.80900001525879 "X2019"
"81" "Georgia" "GEO" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 14.246000289917 "X2019"
"82" "Ghana" "GHA" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 6.78399991989136 "X2019"
"83" "Gibraltar" "GIB" "Unemployment, total (% of total labor force) (modeled ILO estimate)" NA "X2019"
"84" "Guinea" "GIN" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 3.57200002670288 "X2019"
"85" "Gambia, The" "GMB" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 8.89799976348877 "X2019"
"86" "Guinea-Bissau" "GNB" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 4.07000017166138 "X2019"
"87" "Equatorial Guinea" "GNQ" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 9.21199989318848 "X2019"
"88" "Greece" "GRC" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 18.0809993743896 "X2019"
"89" "Grenada" "GRD" "Unemployment, total (% of total labor force) (modeled ILO estimate)" NA "X2019"
"90" "Greenland" "GRL" "Unemployment, total (% of total labor force) (modeled ILO estimate)" NA "X2019"
"91" "Guatemala" "GTM" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 2.74600005149841 "X2019"
"92" "Guam" "GUM" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 5.85799980163574 "X2019"
"93" "Guyana" "GUY" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 12.2189998626709 "X2019"
"94" "High income" "HIC" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 4.96194947404187 "X2019"
"95" "Hong Kong SAR, China" "HKG" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 2.75999999046326 "X2019"
"96" "Honduras" "HND" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 4.10900020599365 "X2019"
"97" "Heavily indebted poor countries (HIPC)" "HPC" "Unemployment, total (% of total labor force) (modeled ILO estimate)" 3.90573491289283 "X2019"
