"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Literacy rate, adult total (% of people ages 15 and above)" 97.80742 "X2018"
"2" "Afghanistan" "AFG" "Literacy rate, adult total (% of people ages 15 and above)" 43.01972 "X2018"
"3" "Angola" "AGO" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"4" "Albania" "ALB" "Literacy rate, adult total (% of people ages 15 and above)" 98.14115 "X2018"
"5" "Andorra" "AND" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"6" "Arab World" "ARB" "Literacy rate, adult total (% of people ages 15 and above)" 74.5966 "X2018"
"7" "United Arab Emirates" "ARE" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"8" "Argentina" "ARG" "Literacy rate, adult total (% of people ages 15 and above)" 99.00387 "X2018"
"9" "Armenia" "ARM" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"10" "American Samoa" "ASM" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"11" "Antigua and Barbuda" "ATG" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"12" "Australia" "AUS" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"13" "Austria" "AUT" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"14" "Azerbaijan" "AZE" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"15" "Burundi" "BDI" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"16" "Belgium" "BEL" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"17" "Benin" "BEN" "Literacy rate, adult total (% of people ages 15 and above)" 42.3624 "X2018"
"18" "Burkina Faso" "BFA" "Literacy rate, adult total (% of people ages 15 and above)" 41.22445 "X2018"
"19" "Bangladesh" "BGD" "Literacy rate, adult total (% of people ages 15 and above)" 73.9122 "X2018"
"20" "Bulgaria" "BGR" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"21" "Bahrain" "BHR" "Literacy rate, adult total (% of people ages 15 and above)" 97.46419 "X2018"
"22" "Bahamas, The" "BHS" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"24" "Belarus" "BLR" "Literacy rate, adult total (% of people ages 15 and above)" 99.75656 "X2018"
"25" "Belize" "BLZ" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"26" "Bermuda" "BMU" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"27" "Bolivia" "BOL" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"28" "Brazil" "BRA" "Literacy rate, adult total (% of people ages 15 and above)" 93.2275 "X2018"
"29" "Barbados" "BRB" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"30" "Brunei Darussalam" "BRN" "Literacy rate, adult total (% of people ages 15 and above)" 97.21411 "X2018"
"31" "Bhutan" "BTN" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"32" "Botswana" "BWA" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"33" "Central African Republic" "CAF" "Literacy rate, adult total (% of people ages 15 and above)" 37.39582 "X2018"
"34" "Canada" "CAN" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"35" "Central Europe and the Baltics" "CEB" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"36" "Switzerland" "CHE" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"37" "Channel Islands" "CHI" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"38" "Chile" "CHL" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"39" "China" "CHN" "Literacy rate, adult total (% of people ages 15 and above)" 96.84089 "X2018"
"40" "Cote d'Ivoire" "CIV" "Literacy rate, adult total (% of people ages 15 and above)" 47.16535 "X2018"
"41" "Cameroon" "CMR" "Literacy rate, adult total (% of people ages 15 and above)" 77.07104 "X2018"
"42" "Congo, Dem. Rep." "COD" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"43" "Congo, Rep." "COG" "Literacy rate, adult total (% of people ages 15 and above)" 80.29876 "X2018"
"44" "Colombia" "COL" "Literacy rate, adult total (% of people ages 15 and above)" 95.09251 "X2018"
"45" "Comoros" "COM" "Literacy rate, adult total (% of people ages 15 and above)" 58.81702 "X2018"
"46" "Cabo Verde" "CPV" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"47" "Costa Rica" "CRI" "Literacy rate, adult total (% of people ages 15 and above)" 97.86379 "X2018"
"48" "Caribbean small states" "CSS" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"49" "Cuba" "CUB" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"50" "Curacao" "CUW" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"51" "Cayman Islands" "CYM" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"52" "Cyprus" "CYP" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"53" "Czech Republic" "CZE" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"54" "Germany" "DEU" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"55" "Djibouti" "DJI" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"56" "Dominica" "DMA" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"57" "Denmark" "DNK" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"58" "Dominican Republic" "DOM" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"59" "Algeria" "DZA" "Literacy rate, adult total (% of people ages 15 and above)" 81.40784 "X2018"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Literacy rate, adult total (% of people ages 15 and above)" 95.86556 "X2018"
"61" "Early-demographic dividend" "EAR" "Literacy rate, adult total (% of people ages 15 and above)" 79.35073 "X2018"
"62" "East Asia & Pacific" "EAS" "Literacy rate, adult total (% of people ages 15 and above)" 95.6076 "X2018"
"63" "Europe & Central Asia (excluding high income)" "ECA" "Literacy rate, adult total (% of people ages 15 and above)" 99.0011 "X2018"
"64" "Europe & Central Asia" "ECS" "Literacy rate, adult total (% of people ages 15 and above)" 98.33417 "X2018"
"65" "Ecuador" "ECU" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"66" "Egypt, Arab Rep." "EGY" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"67" "Euro area" "EMU" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"68" "Eritrea" "ERI" "Literacy rate, adult total (% of people ages 15 and above)" 76.57052 "X2018"
"69" "Spain" "ESP" "Literacy rate, adult total (% of people ages 15 and above)" 98.4365 "X2018"
"70" "Estonia" "EST" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"71" "Ethiopia" "ETH" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"72" "European Union" "EUU" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"73" "Fragile and conflict affected situations" "FCS" "Literacy rate, adult total (% of people ages 15 and above)" 63.75516 "X2018"
"74" "Finland" "FIN" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"75" "Fiji" "FJI" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"76" "France" "FRA" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"77" "Faroe Islands" "FRO" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"78" "Micronesia, Fed. Sts." "FSM" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"79" "Gabon" "GAB" "Literacy rate, adult total (% of people ages 15 and above)" 84.66716 "X2018"
"80" "United Kingdom" "GBR" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"81" "Georgia" "GEO" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"82" "Ghana" "GHA" "Literacy rate, adult total (% of people ages 15 and above)" 79.03964 "X2018"
"83" "Gibraltar" "GIB" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"84" "Guinea" "GIN" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"85" "Gambia, The" "GMB" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"86" "Guinea-Bissau" "GNB" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"87" "Equatorial Guinea" "GNQ" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"88" "Greece" "GRC" "Literacy rate, adult total (% of people ages 15 and above)" 97.93595 "X2018"
"89" "Grenada" "GRD" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"90" "Greenland" "GRL" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"91" "Guatemala" "GTM" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"92" "Guam" "GUM" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"93" "Guyana" "GUY" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"94" "High income" "HIC" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"95" "Hong Kong SAR, China" "HKG" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"96" "Honduras" "HND" "Literacy rate, adult total (% of people ages 15 and above)" 87.20524 "X2018"
"97" "Heavily indebted poor countries (HIPC)" "HPC" "Literacy rate, adult total (% of people ages 15 and above)" 62.6266 "X2018"
"98" "Croatia" "HRV" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"99" "Haiti" "HTI" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"100" "Hungary" "HUN" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"101" "IBRD only" "IBD" "Literacy rate, adult total (% of people ages 15 and above)" 89.05044 "X2018"
"102" "IDA & IBRD total" "IBT" "Literacy rate, adult total (% of people ages 15 and above)" 84.19382 "X2018"
"103" "IDA total" "IDA" "Literacy rate, adult total (% of people ages 15 and above)" 66.35453 "X2018"
"104" "IDA blend" "IDB" "Literacy rate, adult total (% of people ages 15 and above)" 67.0462 "X2018"
"105" "Indonesia" "IDN" "Literacy rate, adult total (% of people ages 15 and above)" 95.65856 "X2018"
"106" "IDA only" "IDX" "Literacy rate, adult total (% of people ages 15 and above)" 65.99904 "X2018"
"107" "Isle of Man" "IMN" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
"108" "India" "IND" "Literacy rate, adult total (% of people ages 15 and above)" 74.37299 "X2018"
"109" "Not classified" "INX" "Literacy rate, adult total (% of people ages 15 and above)" NA "X2018"
