"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Fossil fuel energy consumption (% of total)" NA "X2015"
"2" "Afghanistan" "AFG" "Fossil fuel energy consumption (% of total)" NA "X2015"
"3" "Angola" "AGO" "Fossil fuel energy consumption (% of total)" NA "X2015"
"4" "Albania" "ALB" "Fossil fuel energy consumption (% of total)" NA "X2015"
"5" "Andorra" "AND" "Fossil fuel energy consumption (% of total)" NA "X2015"
"6" "Arab World" "ARB" "Fossil fuel energy consumption (% of total)" NA "X2015"
"7" "United Arab Emirates" "ARE" "Fossil fuel energy consumption (% of total)" NA "X2015"
"8" "Argentina" "ARG" "Fossil fuel energy consumption (% of total)" NA "X2015"
"9" "Armenia" "ARM" "Fossil fuel energy consumption (% of total)" NA "X2015"
"10" "American Samoa" "ASM" "Fossil fuel energy consumption (% of total)" NA "X2015"
"11" "Antigua and Barbuda" "ATG" "Fossil fuel energy consumption (% of total)" NA "X2015"
"12" "Australia" "AUS" "Fossil fuel energy consumption (% of total)" 89.6256301102374 "X2015"
"13" "Austria" "AUT" "Fossil fuel energy consumption (% of total)" 65.6618219894727 "X2015"
"14" "Azerbaijan" "AZE" "Fossil fuel energy consumption (% of total)" NA "X2015"
"15" "Burundi" "BDI" "Fossil fuel energy consumption (% of total)" NA "X2015"
"16" "Belgium" "BEL" "Fossil fuel energy consumption (% of total)" 75.8707843536824 "X2015"
"17" "Benin" "BEN" "Fossil fuel energy consumption (% of total)" NA "X2015"
"18" "Burkina Faso" "BFA" "Fossil fuel energy consumption (% of total)" NA "X2015"
"19" "Bangladesh" "BGD" "Fossil fuel energy consumption (% of total)" NA "X2015"
"20" "Bulgaria" "BGR" "Fossil fuel energy consumption (% of total)" NA "X2015"
"21" "Bahrain" "BHR" "Fossil fuel energy consumption (% of total)" NA "X2015"
"22" "Bahamas, The" "BHS" "Fossil fuel energy consumption (% of total)" NA "X2015"
"23" "Bosnia and Herzegovina" "BIH" "Fossil fuel energy consumption (% of total)" NA "X2015"
"24" "Belarus" "BLR" "Fossil fuel energy consumption (% of total)" NA "X2015"
"25" "Belize" "BLZ" "Fossil fuel energy consumption (% of total)" NA "X2015"
"26" "Bermuda" "BMU" "Fossil fuel energy consumption (% of total)" NA "X2015"
"27" "Bolivia" "BOL" "Fossil fuel energy consumption (% of total)" NA "X2015"
"28" "Brazil" "BRA" "Fossil fuel energy consumption (% of total)" NA "X2015"
"29" "Barbados" "BRB" "Fossil fuel energy consumption (% of total)" NA "X2015"
"30" "Brunei Darussalam" "BRN" "Fossil fuel energy consumption (% of total)" NA "X2015"
"31" "Bhutan" "BTN" "Fossil fuel energy consumption (% of total)" NA "X2015"
"32" "Botswana" "BWA" "Fossil fuel energy consumption (% of total)" NA "X2015"
"33" "Central African Republic" "CAF" "Fossil fuel energy consumption (% of total)" NA "X2015"
"34" "Canada" "CAN" "Fossil fuel energy consumption (% of total)" 74.089062024806 "X2015"
"35" "Central Europe and the Baltics" "CEB" "Fossil fuel energy consumption (% of total)" 79.3637383740291 "X2015"
"36" "Switzerland" "CHE" "Fossil fuel energy consumption (% of total)" 50.1682254807986 "X2015"
"37" "Channel Islands" "CHI" "Fossil fuel energy consumption (% of total)" NA "X2015"
"38" "Chile" "CHL" "Fossil fuel energy consumption (% of total)" 74.6472122625678 "X2015"
"39" "China" "CHN" "Fossil fuel energy consumption (% of total)" NA "X2015"
"40" "Cote d'Ivoire" "CIV" "Fossil fuel energy consumption (% of total)" NA "X2015"
"41" "Cameroon" "CMR" "Fossil fuel energy consumption (% of total)" NA "X2015"
"42" "Congo, Dem. Rep." "COD" "Fossil fuel energy consumption (% of total)" NA "X2015"
"43" "Congo, Rep." "COG" "Fossil fuel energy consumption (% of total)" NA "X2015"
"44" "Colombia" "COL" "Fossil fuel energy consumption (% of total)" NA "X2015"
"45" "Comoros" "COM" "Fossil fuel energy consumption (% of total)" NA "X2015"
"46" "Cabo Verde" "CPV" "Fossil fuel energy consumption (% of total)" NA "X2015"
"47" "Costa Rica" "CRI" "Fossil fuel energy consumption (% of total)" NA "X2015"
"48" "Caribbean small states" "CSS" "Fossil fuel energy consumption (% of total)" NA "X2015"
"49" "Cuba" "CUB" "Fossil fuel energy consumption (% of total)" NA "X2015"
"50" "Curacao" "CUW" "Fossil fuel energy consumption (% of total)" NA "X2015"
"51" "Cayman Islands" "CYM" "Fossil fuel energy consumption (% of total)" NA "X2015"
"52" "Cyprus" "CYP" "Fossil fuel energy consumption (% of total)" NA "X2015"
"53" "Czech Republic" "CZE" "Fossil fuel energy consumption (% of total)" 77.7345870580784 "X2015"
"54" "Germany" "DEU" "Fossil fuel energy consumption (% of total)" 78.862551056755 "X2015"
"55" "Djibouti" "DJI" "Fossil fuel energy consumption (% of total)" NA "X2015"
"56" "Dominica" "DMA" "Fossil fuel energy consumption (% of total)" NA "X2015"
"57" "Denmark" "DNK" "Fossil fuel energy consumption (% of total)" 64.9270894675666 "X2015"
"58" "Dominican Republic" "DOM" "Fossil fuel energy consumption (% of total)" NA "X2015"
"59" "Algeria" "DZA" "Fossil fuel energy consumption (% of total)" NA "X2015"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Fossil fuel energy consumption (% of total)" NA "X2015"
"61" "Early-demographic dividend" "EAR" "Fossil fuel energy consumption (% of total)" 89.5366015409232 "X2015"
"62" "East Asia & Pacific" "EAS" "Fossil fuel energy consumption (% of total)" 87.8853641482509 "X2015"
"63" "Europe & Central Asia (excluding high income)" "ECA" "Fossil fuel energy consumption (% of total)" 86.843187660708 "X2015"
"64" "Europe & Central Asia" "ECS" "Fossil fuel energy consumption (% of total)" 71.5704915402549 "X2015"
"65" "Ecuador" "ECU" "Fossil fuel energy consumption (% of total)" NA "X2015"
"66" "Egypt, Arab Rep." "EGY" "Fossil fuel energy consumption (% of total)" NA "X2015"
"67" "Euro area" "EMU" "Fossil fuel energy consumption (% of total)" 69.9548544285775 "X2015"
"68" "Eritrea" "ERI" "Fossil fuel energy consumption (% of total)" NA "X2015"
"69" "Spain" "ESP" "Fossil fuel energy consumption (% of total)" 72.9555461183378 "X2015"
"70" "Estonia" "EST" "Fossil fuel energy consumption (% of total)" 13.0562153357344 "X2015"
"71" "Ethiopia" "ETH" "Fossil fuel energy consumption (% of total)" NA "X2015"
"72" "European Union" "EUU" "Fossil fuel energy consumption (% of total)" 71.1305375891382 "X2015"
"73" "Fragile and conflict affected situations" "FCS" "Fossil fuel energy consumption (% of total)" NA "X2015"
"74" "Finland" "FIN" "Fossil fuel energy consumption (% of total)" 40.2079829899529 "X2015"
"75" "Fiji" "FJI" "Fossil fuel energy consumption (% of total)" NA "X2015"
"76" "France" "FRA" "Fossil fuel energy consumption (% of total)" 46.4879708722364 "X2015"
"77" "Faroe Islands" "FRO" "Fossil fuel energy consumption (% of total)" NA "X2015"
"78" "Micronesia, Fed. Sts." "FSM" "Fossil fuel energy consumption (% of total)" NA "X2015"
"79" "Gabon" "GAB" "Fossil fuel energy consumption (% of total)" NA "X2015"
"80" "United Kingdom" "GBR" "Fossil fuel energy consumption (% of total)" 80.3517712672552 "X2015"
"81" "Georgia" "GEO" "Fossil fuel energy consumption (% of total)" NA "X2015"
"82" "Ghana" "GHA" "Fossil fuel energy consumption (% of total)" NA "X2015"
"83" "Gibraltar" "GIB" "Fossil fuel energy consumption (% of total)" NA "X2015"
"84" "Guinea" "GIN" "Fossil fuel energy consumption (% of total)" NA "X2015"
"85" "Gambia, The" "GMB" "Fossil fuel energy consumption (% of total)" NA "X2015"
"86" "Guinea-Bissau" "GNB" "Fossil fuel energy consumption (% of total)" NA "X2015"
"87" "Equatorial Guinea" "GNQ" "Fossil fuel energy consumption (% of total)" NA "X2015"
"88" "Greece" "GRC" "Fossil fuel energy consumption (% of total)" 82.5746351336883 "X2015"
"89" "Grenada" "GRD" "Fossil fuel energy consumption (% of total)" NA "X2015"
"90" "Greenland" "GRL" "Fossil fuel energy consumption (% of total)" NA "X2015"
"91" "Guatemala" "GTM" "Fossil fuel energy consumption (% of total)" NA "X2015"
"92" "Guam" "GUM" "Fossil fuel energy consumption (% of total)" NA "X2015"
"93" "Guyana" "GUY" "Fossil fuel energy consumption (% of total)" NA "X2015"
"94" "High income" "HIC" "Fossil fuel energy consumption (% of total)" 79.0819006212285 "X2015"
"95" "Hong Kong SAR, China" "HKG" "Fossil fuel energy consumption (% of total)" NA "X2015"
"96" "Honduras" "HND" "Fossil fuel energy consumption (% of total)" NA "X2015"
"97" "Heavily indebted poor countries (HIPC)" "HPC" "Fossil fuel energy consumption (% of total)" NA "X2015"
"98" "Croatia" "HRV" "Fossil fuel energy consumption (% of total)" NA "X2015"
"99" "Haiti" "HTI" "Fossil fuel energy consumption (% of total)" NA "X2015"
"100" "Hungary" "HUN" "Fossil fuel energy consumption (% of total)" 69.549793691078 "X2015"
"101" "IBRD only" "IBD" "Fossil fuel energy consumption (% of total)" 88.0893958909312 "X2015"
"102" "IDA & IBRD total" "IBT" "Fossil fuel energy consumption (% of total)" 88.0893958909312 "X2015"
"103" "IDA total" "IDA" "Fossil fuel energy consumption (% of total)" NA "X2015"
"104" "IDA blend" "IDB" "Fossil fuel energy consumption (% of total)" NA "X2015"
"105" "Indonesia" "IDN" "Fossil fuel energy consumption (% of total)" NA "X2015"
"106" "IDA only" "IDX" "Fossil fuel energy consumption (% of total)" NA "X2015"
"107" "Isle of Man" "IMN" "Fossil fuel energy consumption (% of total)" NA "X2015"
"108" "India" "IND" "Fossil fuel energy consumption (% of total)" NA "X2015"
