"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Population living in slums (% of urban population)" NA "X2014"
"2" "Afghanistan" "AFG" "Population living in slums (% of urban population)" 62.7 "X2014"
"3" "Angola" "AGO" "Population living in slums (% of urban population)" 55.5 "X2014"
"4" "Albania" "ALB" "Population living in slums (% of urban population)" NA "X2014"
"5" "Andorra" "AND" "Population living in slums (% of urban population)" NA "X2014"
"6" "Arab World" "ARB" "Population living in slums (% of urban population)" 32.5170967713197 "X2014"
"7" "United Arab Emirates" "ARE" "Population living in slums (% of urban population)" NA "X2014"
"8" "Argentina" "ARG" "Population living in slums (% of urban population)" 16.7 "X2014"
"9" "Armenia" "ARM" "Population living in slums (% of urban population)" 14.4 "X2014"
"10" "American Samoa" "ASM" "Population living in slums (% of urban population)" NA "X2014"
"11" "Antigua and Barbuda" "ATG" "Population living in slums (% of urban population)" NA "X2014"
"12" "Australia" "AUS" "Population living in slums (% of urban population)" NA "X2014"
"13" "Austria" "AUT" "Population living in slums (% of urban population)" NA "X2014"
"14" "Azerbaijan" "AZE" "Population living in slums (% of urban population)" NA "X2014"
"15" "Burundi" "BDI" "Population living in slums (% of urban population)" 57.9 "X2014"
"16" "Belgium" "BEL" "Population living in slums (% of urban population)" NA "X2014"
"17" "Benin" "BEN" "Population living in slums (% of urban population)" 61.5 "X2014"
"18" "Burkina Faso" "BFA" "Population living in slums (% of urban population)" 65.8 "X2014"
"19" "Bangladesh" "BGD" "Population living in slums (% of urban population)" 55.1 "X2014"
"20" "Bulgaria" "BGR" "Population living in slums (% of urban population)" NA "X2014"
"21" "Bahrain" "BHR" "Population living in slums (% of urban population)" NA "X2014"
"22" "Bahamas, The" "BHS" "Population living in slums (% of urban population)" NA "X2014"
"23" "Bosnia and Herzegovina" "BIH" "Population living in slums (% of urban population)" NA "X2014"
"24" "Belarus" "BLR" "Population living in slums (% of urban population)" NA "X2014"
"25" "Belize" "BLZ" "Population living in slums (% of urban population)" 10.8 "X2014"
"26" "Bermuda" "BMU" "Population living in slums (% of urban population)" NA "X2014"
"27" "Bolivia" "BOL" "Population living in slums (% of urban population)" 43.5 "X2014"
"28" "Brazil" "BRA" "Population living in slums (% of urban population)" 22.3 "X2014"
"29" "Barbados" "BRB" "Population living in slums (% of urban population)" NA "X2014"
"30" "Brunei Darussalam" "BRN" "Population living in slums (% of urban population)" NA "X2014"
"31" "Bhutan" "BTN" "Population living in slums (% of urban population)" NA "X2014"
"32" "Botswana" "BWA" "Population living in slums (% of urban population)" NA "X2014"
"33" "Central African Republic" "CAF" "Population living in slums (% of urban population)" 93.3 "X2014"
"34" "Canada" "CAN" "Population living in slums (% of urban population)" NA "X2014"
"35" "Central Europe and the Baltics" "CEB" "Population living in slums (% of urban population)" NA "X2014"
"36" "Switzerland" "CHE" "Population living in slums (% of urban population)" NA "X2014"
"37" "Channel Islands" "CHI" "Population living in slums (% of urban population)" NA "X2014"
"38" "Chile" "CHL" "Population living in slums (% of urban population)" NA "X2014"
"39" "China" "CHN" "Population living in slums (% of urban population)" 25.2 "X2014"
"40" "Cote d'Ivoire" "CIV" "Population living in slums (% of urban population)" 56 "X2014"
"41" "Cameroon" "CMR" "Population living in slums (% of urban population)" 37.8 "X2014"
"42" "Congo, Dem. Rep." "COD" "Population living in slums (% of urban population)" 74.8 "X2014"
"43" "Congo, Rep." "COG" "Population living in slums (% of urban population)" 46.9 "X2014"
"44" "Colombia" "COL" "Population living in slums (% of urban population)" 13.1 "X2014"
"45" "Comoros" "COM" "Population living in slums (% of urban population)" 69.6 "X2014"
"46" "Cabo Verde" "CPV" "Population living in slums (% of urban population)" NA "X2014"
"47" "Costa Rica" "CRI" "Population living in slums (% of urban population)" 5.5 "X2014"
"48" "Caribbean small states" "CSS" "Population living in slums (% of urban population)" NA "X2014"
"49" "Cuba" "CUB" "Population living in slums (% of urban population)" NA "X2014"
"50" "Curacao" "CUW" "Population living in slums (% of urban population)" NA "X2014"
"51" "Cayman Islands" "CYM" "Population living in slums (% of urban population)" NA "X2014"
"52" "Cyprus" "CYP" "Population living in slums (% of urban population)" NA "X2014"
"53" "Czech Republic" "CZE" "Population living in slums (% of urban population)" NA "X2014"
"54" "Germany" "DEU" "Population living in slums (% of urban population)" NA "X2014"
"55" "Djibouti" "DJI" "Population living in slums (% of urban population)" 65.6 "X2014"
"56" "Dominica" "DMA" "Population living in slums (% of urban population)" NA "X2014"
"57" "Denmark" "DNK" "Population living in slums (% of urban population)" NA "X2014"
"58" "Dominican Republic" "DOM" "Population living in slums (% of urban population)" 12.1 "X2014"
"59" "Algeria" "DZA" "Population living in slums (% of urban population)" NA "X2014"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Population living in slums (% of urban population)" 25.7938114421832 "X2014"
"61" "Early-demographic dividend" "EAR" "Population living in slums (% of urban population)" 27.0384934402143 "X2014"
"62" "East Asia & Pacific" "EAS" "Population living in slums (% of urban population)" 25.7938114421832 "X2014"
"63" "Europe & Central Asia (excluding high income)" "ECA" "Population living in slums (% of urban population)" NA "X2014"
"64" "Europe & Central Asia" "ECS" "Population living in slums (% of urban population)" NA "X2014"
"65" "Ecuador" "ECU" "Population living in slums (% of urban population)" 36 "X2014"
"66" "Egypt, Arab Rep." "EGY" "Population living in slums (% of urban population)" 10.6 "X2014"
"67" "Euro area" "EMU" "Population living in slums (% of urban population)" NA "X2014"
