"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" NA "X2017"
"2" "Afghanistan" "AFG" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"3" "Angola" "AGO" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"4" "Albania" "ALB" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 99.9999999999643 "X2017"
"5" "Andorra" "AND" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 17.8244594869492 "X2017"
"6" "Arab World" "ARB" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"7" "United Arab Emirates" "ARE" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"8" "Argentina" "ARG" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 93.8528246666324 "X2017"
"9" "Armenia" "ARM" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"10" "American Samoa" "ASM" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"11" "Antigua and Barbuda" "ATG" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"12" "Australia" "AUS" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 24.8935837696774 "X2017"
"13" "Austria" "AUT" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 85.0515376653505 "X2017"
"14" "Azerbaijan" "AZE" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"15" "Burundi" "BDI" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"16" "Belgium" "BEL" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 91.9485403518636 "X2017"
"17" "Benin" "BEN" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"18" "Burkina Faso" "BFA" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"19" "Bangladesh" "BGD" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"20" "Bulgaria" "BGR" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 99.8946743201431 "X2017"
"21" "Bahrain" "BHR" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"22" "Bahamas, The" "BHS" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 99.9999999918088 "X2017"
"23" "Bosnia and Herzegovina" "BIH" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 99.9552350286901 "X2017"
"24" "Belarus" "BLR" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 99.9313519680704 "X2017"
"25" "Belize" "BLZ" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"26" "Bermuda" "BMU" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"27" "Bolivia" "BOL" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 99.9991320215104 "X2017"
"28" "Brazil" "BRA" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 68.1350300575805 "X2017"
"29" "Barbados" "BRB" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"30" "Brunei Darussalam" "BRN" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 0 "X2017"
"31" "Bhutan" "BTN" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"32" "Botswana" "BWA" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"33" "Central African Republic" "CAF" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"34" "Canada" "CAN" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 0 "X2017"
"35" "Central Europe and the Baltics" "CEB" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 97.949799120324 "X2017"
"36" "Switzerland" "CHE" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 49.3001362303515 "X2017"
"37" "Channel Islands" "CHI" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" NA "X2017"
"38" "Chile" "CHL" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 97.6630177077565 "X2017"
"39" "China" "CHN" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 99.9982944622564 "X2017"
"40" "Cote d'Ivoire" "CIV" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
"41" "Cameroon" "CMR" "PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 100 "X2017"
