"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" NA "X2019"
"2" "Afghanistan" "AFG" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 28.92799949646 "X2019"
"3" "Angola" "AGO" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 42.4129981994629 "X2019"
"4" "Albania" "ALB" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 34.6790008544922 "X2019"
"5" "Andorra" "AND" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" NA "X2019"
"6" "Arab World" "ARB" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 19.4654072954565 "X2019"
"7" "United Arab Emirates" "ARE" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 4.26700019836426 "X2019"
"8" "Argentina" "ARG" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 0.0879999995231628 "X2019"
"9" "Armenia" "ARM" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 30.3889999389648 "X2019"
"10" "American Samoa" "ASM" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" NA "X2019"
"11" "Antigua and Barbuda" "ATG" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" NA "X2019"
"12" "Australia" "AUS" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 3.35199999809265 "X2019"
"13" "Austria" "AUT" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 4.1100001335144 "X2019"
"14" "Azerbaijan" "AZE" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 30.4750003814697 "X2019"
"15" "Burundi" "BDI" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 87.2870025634766 "X2019"
"16" "Belgium" "BEL" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 1.52799999713898 "X2019"
"17" "Benin" "BEN" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 48.3759994506836 "X2019"
"18" "Burkina Faso" "BFA" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 34.7540016174316 "X2019"
"19" "Bangladesh" "BGD" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 31.4309997558594 "X2019"
"20" "Bulgaria" "BGR" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 9.02600002288818 "X2019"
"21" "Bahrain" "BHR" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 1.26699995994568 "X2019"
"22" "Bahamas, The" "BHS" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 4.41599988937378 "X2019"
"23" "Bosnia and Herzegovina" "BIH" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 16.2609996795654 "X2019"
"24" "Belarus" "BLR" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 13.9040002822876 "X2019"
"25" "Belize" "BLZ" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 24.867000579834 "X2019"
"26" "Bermuda" "BMU" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" NA "X2019"
"27" "Bolivia" "BOL" "Employment in agriculture, male (% of male employment) (modeled ILO estimate)" 27.8390007019043 "X2019"
