"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Foreign direct investment, net inflows (BoP, current US$)" 135642458.1006 "X2018"
"2" "Afghanistan" "AFG" "Foreign direct investment, net inflows (BoP, current US$)" 119435105.715177 "X2018"
"3" "Angola" "AGO" "Foreign direct investment, net inflows (BoP, current US$)" -5732491335.28017 "X2018"
"4" "Albania" "ALB" "Foreign direct investment, net inflows (BoP, current US$)" 1204383363.60476 "X2018"
"5" "Andorra" "AND" "Foreign direct investment, net inflows (BoP, current US$)" NA "X2018"
"6" "Arab World" "ARB" "Foreign direct investment, net inflows (BoP, current US$)" 32361694496.0224 "X2018"
"7" "United Arab Emirates" "ARE" "Foreign direct investment, net inflows (BoP, current US$)" 10385286000 "X2018"
"8" "Argentina" "ARG" "Foreign direct investment, net inflows (BoP, current US$)" 11872856662.7649 "X2018"
"9" "Armenia" "ARM" "Foreign direct investment, net inflows (BoP, current US$)" 254146163.557324 "X2018"
"10" "American Samoa" "ASM" "Foreign direct investment, net inflows (BoP, current US$)" NA "X2018"
"11" "Antigua and Barbuda" "ATG" "Foreign direct investment, net inflows (BoP, current US$)" 135127898.770161 "X2018"
"12" "Australia" "AUS" "Foreign direct investment, net inflows (BoP, current US$)" 60337583596.5415 "X2018"
"13" "Austria" "AUT" "Foreign direct investment, net inflows (BoP, current US$)" 4220346205.72346 "X2018"
"14" "Azerbaijan" "AZE" "Foreign direct investment, net inflows (BoP, current US$)" 1402998000 "X2018"
"15" "Burundi" "BDI" "Foreign direct investment, net inflows (BoP, current US$)" 983747.12499426 "X2018"
"16" "Belgium" "BEL" "Foreign direct investment, net inflows (BoP, current US$)" -62826327313.9836 "X2018"
"17" "Benin" "BEN" "Foreign direct investment, net inflows (BoP, current US$)" 207510854.998 "X2018"
"18" "Burkina Faso" "BFA" "Foreign direct investment, net inflows (BoP, current US$)" 480001741.8593 "X2018"
"19" "Bangladesh" "BGD" "Foreign direct investment, net inflows (BoP, current US$)" 2940222419.73224 "X2018"
"20" "Bulgaria" "BGR" "Foreign direct investment, net inflows (BoP, current US$)" 1222580000 "X2018"
"21" "Bahrain" "BHR" "Foreign direct investment, net inflows (BoP, current US$)" 111170212.765957 "X2018"
"22" "Bahamas, The" "BHS" "Foreign direct investment, net inflows (BoP, current US$)" 491404689.229667 "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Foreign direct investment, net inflows (BoP, current US$)" 488903026.034015 "X2018"
"24" "Belarus" "BLR" "Foreign direct investment, net inflows (BoP, current US$)" 1426500000 "X2018"
"25" "Belize" "BLZ" "Foreign direct investment, net inflows (BoP, current US$)" 119541646.954707 "X2018"
"26" "Bermuda" "BMU" "Foreign direct investment, net inflows (BoP, current US$)" 95689121.5 "X2018"
"27" "Bolivia" "BOL" "Foreign direct investment, net inflows (BoP, current US$)" 255082885.984613 "X2018"
"28" "Brazil" "BRA" "Foreign direct investment, net inflows (BoP, current US$)" 78162572752.95 "X2018"
"29" "Barbados" "BRB" "Foreign direct investment, net inflows (BoP, current US$)" 195096000 "X2018"
"30" "Brunei Darussalam" "BRN" "Foreign direct investment, net inflows (BoP, current US$)" 511497137.753507 "X2018"
"31" "Bhutan" "BTN" "Foreign direct investment, net inflows (BoP, current US$)" 2649712.66204277 "X2018"
"32" "Botswana" "BWA" "Foreign direct investment, net inflows (BoP, current US$)" 228718290.832085 "X2018"
"33" "Central African Republic" "CAF" "Foreign direct investment, net inflows (BoP, current US$)" 17994743.8433 "X2018"
"34" "Canada" "CAN" "Foreign direct investment, net inflows (BoP, current US$)" 46542783393.9787 "X2018"
