"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Current account balance (BoP, current US$)" NA "X2018"
"2" "Afghanistan" "AFG" "Current account balance (BoP, current US$)" -3654730153.50141 "X2018"
"3" "Angola" "AGO" "Current account balance (BoP, current US$)" 7402606519.27953 "X2018"
"4" "Albania" "ALB" "Current account balance (BoP, current US$)" -1010238285.34799 "X2018"
"5" "Andorra" "AND" "Current account balance (BoP, current US$)" NA "X2018"
"6" "Arab World" "ARB" "Current account balance (BoP, current US$)" NA "X2018"
"7" "United Arab Emirates" "ARE" "Current account balance (BoP, current US$)" NA "X2018"
"8" "Argentina" "ARG" "Current account balance (BoP, current US$)" -27478773447.7785 "X2018"
"9" "Armenia" "ARM" "Current account balance (BoP, current US$)" -1165303576.08295 "X2018"
"10" "American Samoa" "ASM" "Current account balance (BoP, current US$)" NA "X2018"
"11" "Antigua and Barbuda" "ATG" "Current account balance (BoP, current US$)" -113168506.910818 "X2018"
"12" "Australia" "AUS" "Current account balance (BoP, current US$)" -29660388139.524 "X2018"
"13" "Austria" "AUT" "Current account balance (BoP, current US$)" 10798736575 "X2018"
"14" "Azerbaijan" "AZE" "Current account balance (BoP, current US$)" 6051077000 "X2018"
"15" "Burundi" "BDI" "Current account balance (BoP, current US$)" -362644693.882423 "X2018"
"16" "Belgium" "BEL" "Current account balance (BoP, current US$)" -5250876554.09341 "X2018"
"17" "Benin" "BEN" "Current account balance (BoP, current US$)" NA "X2018"
"18" "Burkina Faso" "BFA" "Current account balance (BoP, current US$)" NA "X2018"
"19" "Bangladesh" "BGD" "Current account balance (BoP, current US$)" -7592873492.9096 "X2018"
"20" "Bulgaria" "BGR" "Current account balance (BoP, current US$)" 3492220000 "X2018"
"21" "Bahrain" "BHR" "Current account balance (BoP, current US$)" -2434574468.08511 "X2018"
"22" "Bahamas, The" "BHS" "Current account balance (BoP, current US$)" -1505207344.95486 "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Current account balance (BoP, current US$)" -750578394.081284 "X2018"
"24" "Belarus" "BLR" "Current account balance (BoP, current US$)" -34399999.9999999 "X2018"
"25" "Belize" "BLZ" "Current account balance (BoP, current US$)" -154939838.804943 "X2018"
"26" "Bermuda" "BMU" "Current account balance (BoP, current US$)" 958378558.076396 "X2018"
"27" "Bolivia" "BOL" "Current account balance (BoP, current US$)" -1989598183.43618 "X2018"
"28" "Brazil" "BRA" "Current account balance (BoP, current US$)" -41539692295.48 "X2018"
"29" "Barbados" "BRB" "Current account balance (BoP, current US$)" NA "X2018"
"30" "Brunei Darussalam" "BRN" "Current account balance (BoP, current US$)" 1067951167.66808 "X2018"
"31" "Bhutan" "BTN" "Current account balance (BoP, current US$)" -497629633.212195 "X2018"
"32" "Botswana" "BWA" "Current account balance (BoP, current US$)" 345270348.558078 "X2018"
"33" "Central African Republic" "CAF" "Current account balance (BoP, current US$)" NA "X2018"
"34" "Canada" "CAN" "Current account balance (BoP, current US$)" -45322715617.2744 "X2018"
"35" "Central Europe and the Baltics" "CEB" "Current account balance (BoP, current US$)" NA "X2018"
"36" "Switzerland" "CHE" "Current account balance (BoP, current US$)" 74099963146.712 "X2018"
"37" "Channel Islands" "CHI" "Current account balance (BoP, current US$)" NA "X2018"
"38" "Chile" "CHL" "Current account balance (BoP, current US$)" -9157260644.9725 "X2018"
"39" "China" "CHN" "Current account balance (BoP, current US$)" 49091588369.0827 "X2018"
"40" "Cote d'Ivoire" "CIV" "Current account balance (BoP, current US$)" NA "X2018"
"41" "Cameroon" "CMR" "Current account balance (BoP, current US$)" -1409485089.99484 "X2018"
"42" "Congo, Dem. Rep." "COD" "Current account balance (BoP, current US$)" -2169064858.49838 "X2018"
"43" "Congo, Rep." "COG" "Current account balance (BoP, current US$)" NA "X2018"
"44" "Colombia" "COL" "Current account balance (BoP, current US$)" -13037301747.0417 "X2018"
"45" "Comoros" "COM" "Current account balance (BoP, current US$)" -28253425.5410321 "X2018"
"46" "Cabo Verde" "CPV" "Current account balance (BoP, current US$)" -94519229.6261681 "X2018"
"47" "Costa Rica" "CRI" "Current account balance (BoP, current US$)" -1866153307.76786 "X2018"
"48" "Caribbean small states" "CSS" "Current account balance (BoP, current US$)" NA "X2018"
"49" "Cuba" "CUB" "Current account balance (BoP, current US$)" NA "X2018"
"50" "Curacao" "CUW" "Current account balance (BoP, current US$)" -897843575.418994 "X2018"
"51" "Cayman Islands" "CYM" "Current account balance (BoP, current US$)" NA "X2018"
"52" "Cyprus" "CYP" "Current account balance (BoP, current US$)" -1067068304.01677 "X2018"
"53" "Czech Republic" "CZE" "Current account balance (BoP, current US$)" 860048615.269931 "X2018"
"54" "Germany" "DEU" "Current account balance (BoP, current US$)" 289897516287.849 "X2018"
"55" "Djibouti" "DJI" "Current account balance (BoP, current US$)" NA "X2018"
"56" "Dominica" "DMA" "Current account balance (BoP, current US$)" -225095301.374874 "X2018"
"57" "Denmark" "DNK" "Current account balance (BoP, current US$)" 24780873569.4533 "X2018"
"58" "Dominican Republic" "DOM" "Current account balance (BoP, current US$)" -1159600000 "X2018"
"59" "Algeria" "DZA" "Current account balance (BoP, current US$)" NA "X2018"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Current account balance (BoP, current US$)" NA "X2018"
"61" "Early-demographic dividend" "EAR" "Current account balance (BoP, current US$)" NA "X2018"
"62" "East Asia & Pacific" "EAS" "Current account balance (BoP, current US$)" NA "X2018"
"63" "Europe & Central Asia (excluding high income)" "ECA" "Current account balance (BoP, current US$)" NA "X2018"
"64" "Europe & Central Asia" "ECS" "Current account balance (BoP, current US$)" NA "X2018"
"65" "Ecuador" "ECU" "Current account balance (BoP, current US$)" -1488129213.64077 "X2018"
"66" "Egypt, Arab Rep." "EGY" "Current account balance (BoP, current US$)" -6293166088.33333 "X2018"
"67" "Euro area" "EMU" "Current account balance (BoP, current US$)" 422160050848.755 "X2018"
"68" "Eritrea" "ERI" "Current account balance (BoP, current US$)" NA "X2018"
"69" "Spain" "ESP" "Current account balance (BoP, current US$)" 27306631572.0147 "X2018"
"70" "Estonia" "EST" "Current account balance (BoP, current US$)" 612392506.040835 "X2018"
"71" "Ethiopia" "ETH" "Current account balance (BoP, current US$)" -4611293722.98811 "X2018"
"72" "European Union" "EUU" "Current account balance (BoP, current US$)" NA "X2018"
"73" "Fragile and conflict affected situations" "FCS" "Current account balance (BoP, current US$)" NA "X2018"
"74" "Finland" "FIN" "Current account balance (BoP, current US$)" -4468797258.63879 "X2018"
"75" "Fiji" "FJI" "Current account balance (BoP, current US$)" -470069077.236674 "X2018"
"76" "France" "FRA" "Current account balance (BoP, current US$)" -19014298810.729 "X2018"
"77" "Faroe Islands" "FRO" "Current account balance (BoP, current US$)" NA "X2018"
"78" "Micronesia, Fed. Sts." "FSM" "Current account balance (BoP, current US$)" NA "X2018"
"79" "Gabon" "GAB" "Current account balance (BoP, current US$)" NA "X2018"
"80" "United Kingdom" "GBR" "Current account balance (BoP, current US$)" -123105578164.124 "X2018"
