"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Total reserves (includes gold, current US$)" 980247680 "X2018"
"2" "Afghanistan" "AFG" "Total reserves (includes gold, current US$)" 8206682106.31946 "X2018"
"3" "Angola" "AGO" "Total reserves (includes gold, current US$)" 15410405365.47 "X2018"
"4" "Albania" "ALB" "Total reserves (includes gold, current US$)" 3893560031.06681 "X2018"
"5" "Andorra" "AND" "Total reserves (includes gold, current US$)" NA "X2018"
"6" "Arab World" "ARB" "Total reserves (includes gold, current US$)" NA "X2018"
"7" "United Arab Emirates" "ARE" "Total reserves (includes gold, current US$)" 99503335478.7452 "X2018"
"8" "Argentina" "ARG" "Total reserves (includes gold, current US$)" 66221501691.4418 "X2018"
"9" "Armenia" "ARM" "Total reserves (includes gold, current US$)" 2259321868.53197 "X2018"
"10" "American Samoa" "ASM" "Total reserves (includes gold, current US$)" NA "X2018"
"11" "Antigua and Barbuda" "ATG" "Total reserves (includes gold, current US$)" 328659747.502549 "X2018"
"12" "Australia" "AUS" "Total reserves (includes gold, current US$)" 53880533420.3007 "X2018"
"13" "Austria" "AUT" "Total reserves (includes gold, current US$)" 23190665221.0656 "X2018"
"14" "Azerbaijan" "AZE" "Total reserves (includes gold, current US$)" 6665989936.45047 "X2018"
"15" "Burundi" "BDI" "Total reserves (includes gold, current US$)" 68126200.7714545 "X2018"
"16" "Belgium" "BEL" "Total reserves (includes gold, current US$)" 26856799008.9529 "X2018"
"17" "Benin" "BEN" "Total reserves (includes gold, current US$)" NA "X2018"
"18" "Burkina Faso" "BFA" "Total reserves (includes gold, current US$)" NA "X2018"
"19" "Bangladesh" "BGD" "Total reserves (includes gold, current US$)" 32028383716.5949 "X2018"
"20" "Bulgaria" "BGR" "Total reserves (includes gold, current US$)" 28711039864.6649 "X2018"
"21" "Bahrain" "BHR" "Total reserves (includes gold, current US$)" 2334278370.00967 "X2018"
"22" "Bahamas, The" "BHS" "Total reserves (includes gold, current US$)" NA "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Total reserves (includes gold, current US$)" 6808433501.27296 "X2018"
"24" "Belarus" "BLR" "Total reserves (includes gold, current US$)" 7157559690.48716 "X2018"
"25" "Belize" "BLZ" "Total reserves (includes gold, current US$)" 294468435.057294 "X2018"
"26" "Bermuda" "BMU" "Total reserves (includes gold, current US$)" NA "X2018"
"27" "Bolivia" "BOL" "Total reserves (includes gold, current US$)" 8929614182.53614 "X2018"
"28" "Brazil" "BRA" "Total reserves (includes gold, current US$)" 374709673447.828 "X2018"
"29" "Barbados" "BRB" "Total reserves (includes gold, current US$)" NA "X2018"
