"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Life expectancy at birth, female (years)" 78.372 "X2017"
"2" "Afghanistan" "AFG" "Life expectancy at birth, female (years)" 65.656 "X2017"
"3" "Angola" "AGO" "Life expectancy at birth, female (years)" 63.252 "X2017"
"4" "Albania" "ALB" "Life expectancy at birth, female (years)" 80.148 "X2017"
"5" "Andorra" "AND" "Life expectancy at birth, female (years)" NA "X2017"
"6" "Arab World" "ARB" "Life expectancy at birth, female (years)" 73.4933662533549 "X2017"
"7" "United Arab Emirates" "ARE" "Life expectancy at birth, female (years)" 79.008 "X2017"
"8" "Argentina" "ARG" "Life expectancy at birth, female (years)" 79.726 "X2017"
"9" "Armenia" "ARM" "Life expectancy at birth, female (years)" 78.165 "X2017"
"10" "American Samoa" "ASM" "Life expectancy at birth, female (years)" NA "X2017"
"11" "Antigua and Barbuda" "ATG" "Life expectancy at birth, female (years)" 77.871 "X2017"
"12" "Australia" "AUS" "Life expectancy at birth, female (years)" 84.7 "X2017"
"13" "Austria" "AUT" "Life expectancy at birth, female (years)" 84.1 "X2017"
"14" "Azerbaijan" "AZE" "Life expectancy at birth, female (years)" 75.215 "X2017"
"15" "Burundi" "BDI" "Life expectancy at birth, female (years)" 62.675 "X2017"
"16" "Belgium" "BEL" "Life expectancy at birth, female (years)" 84 "X2017"
"17" "Benin" "BEN" "Life expectancy at birth, female (years)" 62.687 "X2017"
"18" "Burkina Faso" "BFA" "Life expectancy at birth, female (years)" 61.43 "X2017"
"19" "Bangladesh" "BGD" "Life expectancy at birth, female (years)" 73.978 "X2017"
"20" "Bulgaria" "BGR" "Life expectancy at birth, female (years)" 78.5 "X2017"
"21" "Bahrain" "BHR" "Life expectancy at birth, female (years)" 78.143 "X2017"
"22" "Bahamas, The" "BHS" "Life expectancy at birth, female (years)" 75.718 "X2017"
"23" "Bosnia and Herzegovina" "BIH" "Life expectancy at birth, female (years)" 79.581 "X2017"
"24" "Belarus" "BLR" "Life expectancy at birth, female (years)" 79.2 "X2017"
"25" "Belize" "BLZ" "Life expectancy at birth, female (years)" 77.453 "X2017"
"26" "Bermuda" "BMU" "Life expectancy at birth, female (years)" 85.35 "X2017"
"27" "Bolivia" "BOL" "Life expectancy at birth, female (years)" 73.878 "X2017"
"28" "Brazil" "BRA" "Life expectancy at birth, female (years)" 79.156 "X2017"
"29" "Barbados" "BRB" "Life expectancy at birth, female (years)" 80.307 "X2017"
"30" "Brunei Darussalam" "BRN" "Life expectancy at birth, female (years)" 76.819 "X2017"
"31" "Bhutan" "BTN" "Life expectancy at birth, female (years)" 71.444 "X2017"
"32" "Botswana" "BWA" "Life expectancy at birth, female (years)" 71.559 "X2017"
"33" "Central African Republic" "CAF" "Life expectancy at birth, female (years)" 54.354 "X2017"
"34" "Canada" "CAN" "Life expectancy at birth, female (years)" 84.308 "X2017"
