"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Life expectancy at birth, male (years)" 73.488 "X2017"
"2" "Afghanistan" "AFG" "Life expectancy at birth, male (years)" 62.701 "X2017"
"3" "Angola" "AGO" "Life expectancy at birth, male (years)" 57.677 "X2017"
"4" "Albania" "ALB" "Life expectancy at birth, male (years)" 76.601 "X2017"
"5" "Andorra" "AND" "Life expectancy at birth, male (years)" NA "X2017"
"6" "Arab World" "ARB" "Life expectancy at birth, male (years)" 69.9212501154086 "X2017"
"7" "United Arab Emirates" "ARE" "Life expectancy at birth, male (years)" 76.966 "X2017"
"8" "Argentina" "ARG" "Life expectancy at birth, male (years)" 72.924 "X2017"
"9" "Armenia" "ARM" "Life expectancy at birth, male (years)" 71.115 "X2017"
"10" "American Samoa" "ASM" "Life expectancy at birth, male (years)" NA "X2017"
"11" "Antigua and Barbuda" "ATG" "Life expectancy at birth, male (years)" 75.571 "X2017"
"12" "Australia" "AUS" "Life expectancy at birth, male (years)" 80.4 "X2017"
"13" "Austria" "AUT" "Life expectancy at birth, male (years)" 79.3 "X2017"
"14" "Azerbaijan" "AZE" "Life expectancy at birth, male (years)" 70.128 "X2017"
"15" "Burundi" "BDI" "Life expectancy at birth, male (years)" 59.092 "X2017"
"16" "Belgium" "BEL" "Life expectancy at birth, male (years)" 79 "X2017"
"17" "Benin" "BEN" "Life expectancy at birth, male (years)" 59.633 "X2017"
"18" "Burkina Faso" "BFA" "Life expectancy at birth, male (years)" 59.981 "X2017"
"19" "Bangladesh" "BGD" "Life expectancy at birth, male (years)" 70.409 "X2017"
"20" "Bulgaria" "BGR" "Life expectancy at birth, male (years)" 71.3 "X2017"
"21" "Bahrain" "BHR" "Life expectancy at birth, male (years)" 76.188 "X2017"
"22" "Bahamas, The" "BHS" "Life expectancy at birth, male (years)" 71.3 "X2017"
"23" "Bosnia and Herzegovina" "BIH" "Life expectancy at birth, male (years)" 74.622 "X2017"
"24" "Belarus" "BLR" "Life expectancy at birth, male (years)" 69.3 "X2017"
"25" "Belize" "BLZ" "Life expectancy at birth, male (years)" 71.533 "X2017"
"26" "Bermuda" "BMU" "Life expectancy at birth, male (years)" 77.72 "X2017"
"27" "Bolivia" "BOL" "Life expectancy at birth, male (years)" 68.173 "X2017"
"28" "Brazil" "BRA" "Life expectancy at birth, male (years)" 71.804 "X2017"
"29" "Barbados" "BRB" "Life expectancy at birth, male (years)" 77.562 "X2017"
"30" "Brunei Darussalam" "BRN" "Life expectancy at birth, male (years)" 74.454 "X2017"
"31" "Bhutan" "BTN" "Life expectancy at birth, male (years)" 70.822 "X2017"
"32" "Botswana" "BWA" "Life expectancy at birth, male (years)" 65.79 "X2017"
"33" "Central African Republic" "CAF" "Life expectancy at birth, male (years)" 50.152 "X2017"
"34" "Canada" "CAN" "Life expectancy at birth, male (years)" 80.288 "X2017"
"35" "Central Europe and the Baltics" "CEB" "Life expectancy at birth, male (years)" 73.3777083800028 "X2017"
"36" "Switzerland" "CHE" "Life expectancy at birth, male (years)" 81.7 "X2017"
"37" "Channel Islands" "CHI" "Life expectancy at birth, male (years)" 80.769 "X2017"
"38" "Chile" "CHL" "Life expectancy at birth, male (years)" 77.333 "X2017"
"39" "China" "CHN" "Life expectancy at birth, male (years)" 74.315 "X2017"
"40" "Cote d'Ivoire" "CIV" "Life expectancy at birth, male (years)" 55.864 "X2017"
"41" "Cameroon" "CMR" "Life expectancy at birth, male (years)" 57.235 "X2017"
"42" "Congo, Dem. Rep." "COD" "Life expectancy at birth, male (years)" 58.528 "X2017"
