"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"2" "Afghanistan" "AFG" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"3" "Angola" "AGO" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"4" "Albania" "ALB" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"5" "Andorra" "AND" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"6" "Arab World" "ARB" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"7" "United Arab Emirates" "ARE" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"8" "Argentina" "ARG" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"9" "Armenia" "ARM" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"10" "American Samoa" "ASM" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"11" "Antigua and Barbuda" "ATG" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"12" "Australia" "AUS" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"13" "Austria" "AUT" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"14" "Azerbaijan" "AZE" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"15" "Burundi" "BDI" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"16" "Belgium" "BEL" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"17" "Benin" "BEN" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"18" "Burkina Faso" "BFA" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"19" "Bangladesh" "BGD" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"20" "Bulgaria" "BGR" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"21" "Bahrain" "BHR" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"22" "Bahamas, The" "BHS" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"23" "Bosnia and Herzegovina" "BIH" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"24" "Belarus" "BLR" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"25" "Belize" "BLZ" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"26" "Bermuda" "BMU" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"27" "Bolivia" "BOL" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"28" "Brazil" "BRA" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"29" "Barbados" "BRB" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"30" "Brunei Darussalam" "BRN" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"31" "Bhutan" "BTN" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"32" "Botswana" "BWA" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"33" "Central African Republic" "CAF" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"34" "Canada" "CAN" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"35" "Central Europe and the Baltics" "CEB" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"36" "Switzerland" "CHE" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"37" "Channel Islands" "CHI" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"38" "Chile" "CHL" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"39" "China" "CHN" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"40" "Cote d'Ivoire" "CIV" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"41" "Cameroon" "CMR" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"42" "Congo, Dem. Rep." "COD" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"43" "Congo, Rep." "COG" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"44" "Colombia" "COL" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"45" "Comoros" "COM" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"46" "Cabo Verde" "CPV" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"47" "Costa Rica" "CRI" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" 22.1457084 "X2017"
"48" "Caribbean small states" "CSS" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"49" "Cuba" "CUB" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"50" "Curacao" "CUW" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"51" "Cayman Islands" "CYM" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"52" "Cyprus" "CYP" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"53" "Czech Republic" "CZE" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"54" "Germany" "DEU" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"55" "Djibouti" "DJI" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"56" "Dominica" "DMA" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"57" "Denmark" "DNK" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"58" "Dominican Republic" "DOM" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"59" "Algeria" "DZA" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"61" "Early-demographic dividend" "EAR" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"62" "East Asia & Pacific" "EAS" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"63" "Europe & Central Asia (excluding high income)" "ECA" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"64" "Europe & Central Asia" "ECS" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"65" "Ecuador" "ECU" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"66" "Egypt, Arab Rep." "EGY" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"67" "Euro area" "EMU" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"68" "Eritrea" "ERI" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"69" "Spain" "ESP" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"70" "Estonia" "EST" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"71" "Ethiopia" "ETH" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"72" "European Union" "EUU" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"73" "Fragile and conflict affected situations" "FCS" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"74" "Finland" "FIN" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"75" "Fiji" "FJI" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"76" "France" "FRA" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"77" "Faroe Islands" "FRO" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"78" "Micronesia, Fed. Sts." "FSM" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"79" "Gabon" "GAB" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
"80" "United Kingdom" "GBR" "Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)" NA "X2017"
