"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"2" "Afghanistan" "AFG" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"3" "Angola" "AGO" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 10.6 "X2017"
"4" "Albania" "ALB" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 7.4 "X2017"
"5" "Andorra" "AND" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"6" "Arab World" "ARB" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 36.3567855640463 "X2017"
"7" "United Arab Emirates" "ARE" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"8" "Argentina" "ARG" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 2.5 "X2017"
"9" "Armenia" "ARM" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 41 "X2017"
"10" "American Samoa" "ASM" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"11" "Antigua and Barbuda" "ATG" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"12" "Australia" "AUS" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 0.6 "X2017"
"13" "Austria" "AUT" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 0.4 "X2017"
"14" "Azerbaijan" "AZE" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"15" "Burundi" "BDI" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 83.9 "X2017"
"16" "Belgium" "BEL" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 0.1 "X2017"
"17" "Benin" "BEN" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 60.4 "X2017"
"18" "Burkina Faso" "BFA" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 69.5 "X2017"
"19" "Bangladesh" "BGD" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 64.2 "X2017"
"20" "Bulgaria" "BGR" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 9.8 "X2017"
"21" "Bahrain" "BHR" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"22" "Bahamas, The" "BHS" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"23" "Bosnia and Herzegovina" "BIH" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 3.2 "X2017"
"24" "Belarus" "BLR" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 11.5 "X2017"
"25" "Belize" "BLZ" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"26" "Bermuda" "BMU" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"27" "Bolivia" "BOL" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 24.3 "X2017"
"28" "Brazil" "BRA" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 12.9 "X2017"
"29" "Barbados" "BRB" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"30" "Brunei Darussalam" "BRN" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"31" "Bhutan" "BTN" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 12.4 "X2017"
"32" "Botswana" "BWA" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 13.8 "X2017"
"33" "Central African Republic" "CAF" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"34" "Canada" "CAN" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 0.4 "X2017"
"35" "Central Europe and the Baltics" "CEB" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 8.15574899735596 "X2017"
"36" "Switzerland" "CHE" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 2.9 "X2017"
"37" "Channel Islands" "CHI" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"38" "Chile" "CHL" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 9.4 "X2017"
"39" "China" "CHN" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 26.5 "X2017"
"40" "Cote d'Ivoire" "CIV" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"41" "Cameroon" "CMR" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 62.7 "X2017"
"42" "Congo, Dem. Rep." "COD" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 76.1 "X2017"
"43" "Congo, Rep." "COG" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 60 "X2017"
"44" "Colombia" "COL" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 10.4 "X2017"
"45" "Comoros" "COM" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 73.3 "X2017"
"46" "Cabo Verde" "CPV" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 19.8 "X2017"
"47" "Costa Rica" "CRI" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 8.2 "X2017"
"48" "Caribbean small states" "CSS" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"49" "Cuba" "CUB" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"50" "Curacao" "CUW" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"51" "Cayman Islands" "CYM" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"52" "Cyprus" "CYP" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 10.4 "X2017"
"53" "Czech Republic" "CZE" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 0.3 "X2017"
"54" "Germany" "DEU" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 0.1 "X2017"
"55" "Djibouti" "DJI" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"56" "Dominica" "DMA" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"57" "Denmark" "DNK" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 0.1 "X2017"
"58" "Dominican Republic" "DOM" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 16.1 "X2017"
"59" "Algeria" "DZA" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 5.9 "X2017"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 24.7869598338908 "X2017"
"61" "Early-demographic dividend" "EAR" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 33.6353218490379 "X2017"
"62" "East Asia & Pacific" "EAS" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 22.5080816871728 "X2017"
"63" "Europe & Central Asia (excluding high income)" "ECA" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 14.8386203625606 "X2017"
"64" "Europe & Central Asia" "ECS" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 7.56956790298289 "X2017"
"65" "Ecuador" "ECU" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 24.4 "X2017"
"66" "Egypt, Arab Rep." "EGY" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 30.3 "X2017"
"67" "Euro area" "EMU" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 2.12814014935124 "X2017"
"68" "Eritrea" "ERI" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"69" "Spain" "ESP" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 1.9 "X2017"
"70" "Estonia" "EST" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 79.6 "X2017"
"71" "Ethiopia" "ETH" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"72" "European Union" "EUU" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 2.30392178331065 "X2017"
"73" "Fragile and conflict affected situations" "FCS" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"74" "Finland" "FIN" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 0.1 "X2017"
"75" "Fiji" "FJI" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"76" "France" "FRA" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 0 "X2017"
"77" "Faroe Islands" "FRO" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"78" "Micronesia, Fed. Sts." "FSM" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"79" "Gabon" "GAB" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 14.7 "X2017"
"80" "United Kingdom" "GBR" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 0.1 "X2017"
"81" "Georgia" "GEO" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"82" "Ghana" "GHA" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 19.3 "X2017"
"83" "Gibraltar" "GIB" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"84" "Guinea" "GIN" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 91.3 "X2017"
"85" "Gambia, The" "GMB" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 41.3 "X2017"
"86" "Guinea-Bissau" "GNB" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 67.9 "X2017"
"87" "Equatorial Guinea" "GNQ" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"88" "Greece" "GRC" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 7.7 "X2017"
"89" "Grenada" "GRD" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"90" "Greenland" "GRL" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"91" "Guatemala" "GTM" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 38.2 "X2017"
"92" "Guam" "GUM" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"93" "Guyana" "GUY" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"94" "High income" "HIC" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 1.62753100935196 "X2017"
"95" "Hong Kong SAR, China" "HKG" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"96" "Honduras" "HND" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 51.5 "X2017"
"97" "Heavily indebted poor countries (HIPC)" "HPC" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 59.6375026753355 "X2017"
"98" "Croatia" "HRV" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 3.7 "X2017"
"99" "Haiti" "HTI" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 55.7 "X2017"
"100" "Hungary" "HUN" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 35.7 "X2017"
"101" "IBRD only" "IBD" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 25.3259602730016 "X2017"
"102" "IDA & IBRD total" "IBT" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 32.7775526978968 "X2017"
"103" "IDA total" "IDA" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 60.3494888144848 "X2017"
"104" "IDA blend" "IDB" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 57.5522183675774 "X2017"
"105" "Indonesia" "IDN" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 20.2 "X2017"
"106" "IDA only" "IDX" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 62.1430247209556 "X2017"
"107" "Isle of Man" "IMN" "Risk of catastrophic expenditure for surgical care (% of people at risk)" NA "X2017"
"108" "India" "IND" "Risk of catastrophic expenditure for surgical care (% of people at risk)" 36.8 "X2017"
