"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"2" "Afghanistan" "AFG" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"3" "Angola" "AGO" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"4" "Albania" "ALB" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"5" "Andorra" "AND" "Number of surgical procedures (per 100,000 population)" 5178 "X2014"
"6" "Arab World" "ARB" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"7" "United Arab Emirates" "ARE" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"8" "Argentina" "ARG" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"9" "Armenia" "ARM" "Number of surgical procedures (per 100,000 population)" 4198 "X2015"
"10" "American Samoa" "ASM" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"11" "Antigua and Barbuda" "ATG" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"12" "Australia" "AUS" "Number of surgical procedures (per 100,000 population)" 10156 "X2016"
"13" "Austria" "AUT" "Number of surgical procedures (per 100,000 population)" 13795 "X2014"
"14" "Azerbaijan" "AZE" "Number of surgical procedures (per 100,000 population)" 1842 "X2015"
"15" "Burundi" "BDI" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"16" "Belgium" "BEL" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"17" "Benin" "BEN" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"18" "Burkina Faso" "BFA" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"19" "Bangladesh" "BGD" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"20" "Bulgaria" "BGR" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"21" "Bahrain" "BHR" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"22" "Bahamas, The" "BHS" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"23" "Bosnia and Herzegovina" "BIH" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"24" "Belarus" "BLR" "Number of surgical procedures (per 100,000 population)" 8741 "X2014"
"25" "Belize" "BLZ" "Number of surgical procedures (per 100,000 population)" 1964 "X2014"
"26" "Bermuda" "BMU" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"27" "Bolivia" "BOL" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"28" "Brazil" "BRA" "Number of surgical procedures (per 100,000 population)" 13940 "X2015"
"29" "Barbados" "BRB" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"30" "Brunei Darussalam" "BRN" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"31" "Bhutan" "BTN" "Number of surgical procedures (per 100,000 population)" 2639 "X2015"
"32" "Botswana" "BWA" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"33" "Central African Republic" "CAF" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"34" "Canada" "CAN" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"35" "Central Europe and the Baltics" "CEB" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"36" "Switzerland" "CHE" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"37" "Channel Islands" "CHI" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"38" "Chile" "CHL" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"39" "China" "CHN" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"40" "Cote d'Ivoire" "CIV" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"41" "Cameroon" "CMR" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"42" "Congo, Dem. Rep." "COD" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"43" "Congo, Rep." "COG" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"44" "Colombia" "COL" "Number of surgical procedures (per 100,000 population)" 27385 "X2015"
"45" "Comoros" "COM" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"46" "Cabo Verde" "CPV" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"47" "Costa Rica" "CRI" "Number of surgical procedures (per 100,000 population)" 3746 "X2014"
"48" "Caribbean small states" "CSS" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"49" "Cuba" "CUB" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"50" "Curacao" "CUW" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"51" "Cayman Islands" "CYM" "Number of surgical procedures (per 100,000 population)" 8771 "X2015"
"52" "Cyprus" "CYP" "Number of surgical procedures (per 100,000 population)" 3057 "X2014"
"53" "Czech Republic" "CZE" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"54" "Germany" "DEU" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"55" "Djibouti" "DJI" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"56" "Dominica" "DMA" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"57" "Denmark" "DNK" "Number of surgical procedures (per 100,000 population)" 21197 "X2015"
"58" "Dominican Republic" "DOM" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"59" "Algeria" "DZA" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Number of surgical procedures (per 100,000 population)" 2725.2549059322 "X2014"
"61" "Early-demographic dividend" "EAR" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"62" "East Asia & Pacific" "EAS" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"63" "Europe & Central Asia (excluding high income)" "ECA" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"64" "Europe & Central Asia" "ECS" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"65" "Ecuador" "ECU" "Number of surgical procedures (per 100,000 population)" 1552 "X2015"
"66" "Egypt, Arab Rep." "EGY" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"67" "Euro area" "EMU" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"68" "Eritrea" "ERI" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"69" "Spain" "ESP" "Number of surgical procedures (per 100,000 population)" 10579 "X2014"
"70" "Estonia" "EST" "Number of surgical procedures (per 100,000 population)" 9684 "X2014"
"71" "Ethiopia" "ETH" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"72" "European Union" "EUU" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"73" "Fragile and conflict affected situations" "FCS" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"74" "Finland" "FIN" "Number of surgical procedures (per 100,000 population)" 8850 "X2014"
"75" "Fiji" "FJI" "Number of surgical procedures (per 100,000 population)" 1490 "X2016"
"76" "France" "FRA" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"77" "Faroe Islands" "FRO" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"78" "Micronesia, Fed. Sts." "FSM" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"79" "Gabon" "GAB" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"80" "United Kingdom" "GBR" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"81" "Georgia" "GEO" "Number of surgical procedures (per 100,000 population)" 5488 "X2014"
"82" "Ghana" "GHA" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"83" "Gibraltar" "GIB" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"84" "Guinea" "GIN" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"85" "Gambia, The" "GMB" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"86" "Guinea-Bissau" "GNB" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"87" "Equatorial Guinea" "GNQ" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"88" "Greece" "GRC" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"89" "Grenada" "GRD" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"90" "Greenland" "GRL" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"91" "Guatemala" "GTM" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"92" "Guam" "GUM" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"93" "Guyana" "GUY" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"94" "High income" "HIC" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"95" "Hong Kong SAR, China" "HKG" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"96" "Honduras" "HND" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"97" "Heavily indebted poor countries (HIPC)" "HPC" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"98" "Croatia" "HRV" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"99" "Haiti" "HTI" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"100" "Hungary" "HUN" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"101" "IBRD only" "IBD" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"102" "IDA & IBRD total" "IBT" "Number of surgical procedures (per 100,000 population)" NA "X2014"
"103" "IDA total" "IDA" "Number of surgical procedures (per 100,000 population)" NA "X2014"
