"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Population ages 65 and above (% of total population)" 13.5509471396854 "X2018"
"2" "Afghanistan" "AFG" "Population ages 65 and above (% of total population)" 2.58492693988024 "X2018"
"3" "Angola" "AGO" "Population ages 65 and above (% of total population)" 2.21637364776329 "X2018"
"4" "Albania" "ALB" "Population ages 65 and above (% of total population)" 13.7447359109736 "X2018"
"5" "Andorra" "AND" "Population ages 65 and above (% of total population)" NA "X2018"
"6" "Arab World" "ARB" "Population ages 65 and above (% of total population)" 4.55787642361103 "X2018"
"7" "United Arab Emirates" "ARE" "Population ages 65 and above (% of total population)" 1.08500098484481 "X2018"
"8" "Argentina" "ARG" "Population ages 65 and above (% of total population)" 11.1177888760774 "X2018"
"9" "Armenia" "ARM" "Population ages 65 and above (% of total population)" 11.2538176570131 "X2018"
"10" "American Samoa" "ASM" "Population ages 65 and above (% of total population)" NA "X2018"
"11" "Antigua and Barbuda" "ATG" "Population ages 65 and above (% of total population)" 8.79982551980558 "X2018"
"12" "Australia" "AUS" "Population ages 65 and above (% of total population)" 15.6564752275591 "X2018"
"13" "Austria" "AUT" "Population ages 65 and above (% of total population)" 19.0015664595899 "X2018"
"14" "Azerbaijan" "AZE" "Population ages 65 and above (% of total population)" 6.19518275071493 "X2018"
"15" "Burundi" "BDI" "Population ages 65 and above (% of total population)" 2.24694046033717 "X2018"
"16" "Belgium" "BEL" "Population ages 65 and above (% of total population)" 18.7887437383395 "X2018"
"17" "Benin" "BEN" "Population ages 65 and above (% of total population)" 3.25360529746338 "X2018"
"18" "Burkina Faso" "BFA" "Population ages 65 and above (% of total population)" 2.40698082866355 "X2018"
"19" "Bangladesh" "BGD" "Population ages 65 and above (% of total population)" 5.15839063962068 "X2018"
"20" "Bulgaria" "BGR" "Population ages 65 and above (% of total population)" 21.021914434268 "X2018"
"21" "Bahrain" "BHR" "Population ages 65 and above (% of total population)" 2.42633387832394 "X2018"
"22" "Bahamas, The" "BHS" "Population ages 65 and above (% of total population)" 7.25760235662035 "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Population ages 65 and above (% of total population)" 16.4703174710621 "X2018"
"24" "Belarus" "BLR" "Population ages 65 and above (% of total population)" 14.8451481743098 "X2018"
"25" "Belize" "BLZ" "Population ages 65 and above (% of total population)" 4.73645877657144 "X2018"
"26" "Bermuda" "BMU" "Population ages 65 and above (% of total population)" NA "X2018"
"27" "Bolivia" "BOL" "Population ages 65 and above (% of total population)" 7.19194739218447 "X2018"
"28" "Brazil" "BRA" "Population ages 65 and above (% of total population)" 8.92283783244003 "X2018"
"29" "Barbados" "BRB" "Population ages 65 and above (% of total population)" 15.8026939621338 "X2018"
"30" "Brunei Darussalam" "BRN" "Population ages 65 and above (% of total population)" 4.87314756750582 "X2018"
"31" "Bhutan" "BTN" "Population ages 65 and above (% of total population)" 6.00301171280561 "X2018"
"32" "Botswana" "BWA" "Population ages 65 and above (% of total population)" 4.22387434629301 "X2018"
"33" "Central African Republic" "CAF" "Population ages 65 and above (% of total population)" 2.82577370666008 "X2018"
"34" "Canada" "CAN" "Population ages 65 and above (% of total population)" 17.2320066788651 "X2018"
"35" "Central Europe and the Baltics" "CEB" "Population ages 65 and above (% of total population)" 18.4601184961471 "X2018"
"36" "Switzerland" "CHE" "Population ages 65 and above (% of total population)" 18.6232165647717 "X2018"
"37" "Channel Islands" "CHI" "Population ages 65 and above (% of total population)" 17.2974621552033 "X2018"
"38" "Chile" "CHL" "Population ages 65 and above (% of total population)" 11.5298016568816 "X2018"
"39" "China" "CHN" "Population ages 65 and above (% of total population)" 10.9208835350654 "X2018"
"40" "Cote d'Ivoire" "CIV" "Population ages 65 and above (% of total population)" 2.85894301500285 "X2018"
"41" "Cameroon" "CMR" "Population ages 65 and above (% of total population)" 2.72887735524057 "X2018"
"42" "Congo, Dem. Rep." "COD" "Population ages 65 and above (% of total population)" 3.01784062159803 "X2018"
"43" "Congo, Rep." "COG" "Population ages 65 and above (% of total population)" 2.68171953903232 "X2018"
"44" "Colombia" "COL" "Population ages 65 and above (% of total population)" 8.47804701986958 "X2018"
