"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Hospital beds (per 1,000 people)" NA "X2015"
"2" "Afghanistan" "AFG" "Hospital beds (per 1,000 people)" 0.5 "X2015"
"3" "Angola" "AGO" "Hospital beds (per 1,000 people)" NA "X2015"
"4" "Albania" "ALB" "Hospital beds (per 1,000 people)" NA "X2015"
"5" "Andorra" "AND" "Hospital beds (per 1,000 people)" NA "X2015"
"6" "Arab World" "ARB" "Hospital beds (per 1,000 people)" NA "X2015"
"7" "United Arab Emirates" "ARE" "Hospital beds (per 1,000 people)" NA "X2015"
"8" "Argentina" "ARG" "Hospital beds (per 1,000 people)" NA "X2015"
"9" "Armenia" "ARM" "Hospital beds (per 1,000 people)" 4.2 "X2015"
"10" "American Samoa" "ASM" "Hospital beds (per 1,000 people)" NA "X2015"
"11" "Antigua and Barbuda" "ATG" "Hospital beds (per 1,000 people)" NA "X2015"
"12" "Australia" "AUS" "Hospital beds (per 1,000 people)" NA "X2015"
"13" "Austria" "AUT" "Hospital beds (per 1,000 people)" NA "X2015"
"14" "Azerbaijan" "AZE" "Hospital beds (per 1,000 people)" NA "X2015"
"15" "Burundi" "BDI" "Hospital beds (per 1,000 people)" NA "X2015"
"16" "Belgium" "BEL" "Hospital beds (per 1,000 people)" NA "X2015"
"17" "Benin" "BEN" "Hospital beds (per 1,000 people)" NA "X2015"
"18" "Burkina Faso" "BFA" "Hospital beds (per 1,000 people)" NA "X2015"
"19" "Bangladesh" "BGD" "Hospital beds (per 1,000 people)" 0.8 "X2015"
"20" "Bulgaria" "BGR" "Hospital beds (per 1,000 people)" NA "X2015"
"21" "Bahrain" "BHR" "Hospital beds (per 1,000 people)" NA "X2015"
"22" "Bahamas, The" "BHS" "Hospital beds (per 1,000 people)" NA "X2015"
"23" "Bosnia and Herzegovina" "BIH" "Hospital beds (per 1,000 people)" NA "X2015"
"24" "Belarus" "BLR" "Hospital beds (per 1,000 people)" NA "X2015"
