"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Rural population (% of total population)" 56.589 "X2018"
"2" "Afghanistan" "AFG" "Rural population (% of total population)" 74.505 "X2018"
"3" "Angola" "AGO" "Rural population (% of total population)" 34.486 "X2018"
"4" "Albania" "ALB" "Rural population (% of total population)" 39.681 "X2018"
"5" "Andorra" "AND" "Rural population (% of total population)" 11.938 "X2018"
"6" "Arab World" "ARB" "Rural population (% of total population)" 41.0745814068609 "X2018"
"7" "United Arab Emirates" "ARE" "Rural population (% of total population)" 13.478 "X2018"
"8" "Argentina" "ARG" "Rural population (% of total population)" 8.13 "X2018"
"9" "Armenia" "ARM" "Rural population (% of total population)" 36.851 "X2018"
"10" "American Samoa" "ASM" "Rural population (% of total population)" 12.847 "X2018"
"11" "Antigua and Barbuda" "ATG" "Rural population (% of total population)" 75.401 "X2018"
"12" "Australia" "AUS" "Rural population (% of total population)" 13.988 "X2018"
"13" "Austria" "AUT" "Rural population (% of total population)" 41.703 "X2018"
"14" "Azerbaijan" "AZE" "Rural population (% of total population)" 44.32 "X2018"
"15" "Burundi" "BDI" "Rural population (% of total population)" 86.968 "X2018"
"16" "Belgium" "BEL" "Rural population (% of total population)" 1.999 "X2018"
"17" "Benin" "BEN" "Rural population (% of total population)" 52.688 "X2018"
"18" "Burkina Faso" "BFA" "Rural population (% of total population)" 70.642 "X2018"
"19" "Bangladesh" "BGD" "Rural population (% of total population)" 63.368 "X2018"
"20" "Bulgaria" "BGR" "Rural population (% of total population)" 24.992 "X2018"
"21" "Bahrain" "BHR" "Rural population (% of total population)" 10.713 "X2018"
"22" "Bahamas, The" "BHS" "Rural population (% of total population)" 16.975 "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Rural population (% of total population)" 51.755 "X2018"
"24" "Belarus" "BLR" "Rural population (% of total population)" 21.405 "X2018"
"25" "Belize" "BLZ" "Rural population (% of total population)" 54.276 "X2018"
"26" "Bermuda" "BMU" "Rural population (% of total population)" 0 "X2018"
"27" "Bolivia" "BOL" "Rural population (% of total population)" 30.575 "X2018"
"28" "Brazil" "BRA" "Rural population (% of total population)" 13.431 "X2018"
"29" "Barbados" "BRB" "Rural population (% of total population)" 68.853 "X2018"
"30" "Brunei Darussalam" "BRN" "Rural population (% of total population)" 22.371 "X2018"
