"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Diabetes prevalence (% of population ages 20 to 79)" 11.6 "X2019"
"2" "Afghanistan" "AFG" "Diabetes prevalence (% of population ages 20 to 79)" 9.2 "X2019"
"3" "Angola" "AGO" "Diabetes prevalence (% of population ages 20 to 79)" 4.5 "X2019"
"4" "Albania" "ALB" "Diabetes prevalence (% of population ages 20 to 79)" 9 "X2019"
"5" "Andorra" "AND" "Diabetes prevalence (% of population ages 20 to 79)" 7.7 "X2019"
"6" "Arab World" "ARB" "Diabetes prevalence (% of population ages 20 to 79)" 12.5359728836622 "X2019"
"7" "United Arab Emirates" "ARE" "Diabetes prevalence (% of population ages 20 to 79)" 16.3 "X2019"
"8" "Argentina" "ARG" "Diabetes prevalence (% of population ages 20 to 79)" 5.9 "X2019"
"9" "Armenia" "ARM" "Diabetes prevalence (% of population ages 20 to 79)" 6.1 "X2019"
"10" "American Samoa" "ASM" "Diabetes prevalence (% of population ages 20 to 79)" NA "X2019"
"11" "Antigua and Barbuda" "ATG" "Diabetes prevalence (% of population ages 20 to 79)" 13.1 "X2019"
"12" "Australia" "AUS" "Diabetes prevalence (% of population ages 20 to 79)" 5.6 "X2019"
"13" "Austria" "AUT" "Diabetes prevalence (% of population ages 20 to 79)" 6.6 "X2019"
"14" "Azerbaijan" "AZE" "Diabetes prevalence (% of population ages 20 to 79)" 6.1 "X2019"
"15" "Burundi" "BDI" "Diabetes prevalence (% of population ages 20 to 79)" 5.1 "X2019"
"16" "Belgium" "BEL" "Diabetes prevalence (% of population ages 20 to 79)" 4.6 "X2019"
"17" "Benin" "BEN" "Diabetes prevalence (% of population ages 20 to 79)" 1 "X2019"
"18" "Burkina Faso" "BFA" "Diabetes prevalence (% of population ages 20 to 79)" 7.3 "X2019"
"19" "Bangladesh" "BGD" "Diabetes prevalence (% of population ages 20 to 79)" 9.2 "X2019"
"20" "Bulgaria" "BGR" "Diabetes prevalence (% of population ages 20 to 79)" 6 "X2019"
