"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Cause of death, by non-communicable diseases (% of total)" NA "X2016"
"2" "Afghanistan" "AFG" "Cause of death, by non-communicable diseases (% of total)" 44.1 "X2016"
"3" "Angola" "AGO" "Cause of death, by non-communicable diseases (% of total)" 27.4 "X2016"
"4" "Albania" "ALB" "Cause of death, by non-communicable diseases (% of total)" 93.1 "X2016"
"5" "Andorra" "AND" "Cause of death, by non-communicable diseases (% of total)" NA "X2016"
"6" "Arab World" "ARB" "Cause of death, by non-communicable diseases (% of total)" 66.1936006577367 "X2016"
"7" "United Arab Emirates" "ARE" "Cause of death, by non-communicable diseases (% of total)" 76.8 "X2016"
"8" "Argentina" "ARG" "Cause of death, by non-communicable diseases (% of total)" 77.6 "X2016"
"9" "Armenia" "ARM" "Cause of death, by non-communicable diseases (% of total)" 93.3 "X2016"
"10" "American Samoa" "ASM" "Cause of death, by non-communicable diseases (% of total)" NA "X2016"
"11" "Antigua and Barbuda" "ATG" "Cause of death, by non-communicable diseases (% of total)" 81.8 "X2016"
"12" "Australia" "AUS" "Cause of death, by non-communicable diseases (% of total)" 89.5 "X2016"
"13" "Austria" "AUT" "Cause of death, by non-communicable diseases (% of total)" 92.2 "X2016"
"14" "Azerbaijan" "AZE" "Cause of death, by non-communicable diseases (% of total)" 86.6 "X2016"
"15" "Burundi" "BDI" "Cause of death, by non-communicable diseases (% of total)" 32.1 "X2016"
"16" "Belgium" "BEL" "Cause of death, by non-communicable diseases (% of total)" 85.7 "X2016"
"17" "Benin" "BEN" "Cause of death, by non-communicable diseases (% of total)" 35.7 "X2016"
"18" "Burkina Faso" "BFA" "Cause of death, by non-communicable diseases (% of total)" 32.7 "X2016"
"19" "Bangladesh" "BGD" "Cause of death, by non-communicable diseases (% of total)" 66.9 "X2016"
"20" "Bulgaria" "BGR" "Cause of death, by non-communicable diseases (% of total)" 95.2 "X2016"
"21" "Bahrain" "BHR" "Cause of death, by non-communicable diseases (% of total)" 83 "X2016"
"22" "Bahamas, The" "BHS" "Cause of death, by non-communicable diseases (% of total)" 73.9 "X2016"
"23" "Bosnia and Herzegovina" "BIH" "Cause of death, by non-communicable diseases (% of total)" 94.5 "X2016"
