"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Mortality rate, infant (per 1,000 live births)" NA "X2018"
"2" "Afghanistan" "AFG" "Mortality rate, infant (per 1,000 live births)" 47.9 "X2018"
"3" "Angola" "AGO" "Mortality rate, infant (per 1,000 live births)" 51.6 "X2018"
"4" "Albania" "ALB" "Mortality rate, infant (per 1,000 live births)" 7.8 "X2018"
"5" "Andorra" "AND" "Mortality rate, infant (per 1,000 live births)" 2.7 "X2018"
"6" "Arab World" "ARB" "Mortality rate, infant (per 1,000 live births)" 26.4776726175944 "X2018"
"7" "United Arab Emirates" "ARE" "Mortality rate, infant (per 1,000 live births)" 6.5 "X2018"
"8" "Argentina" "ARG" "Mortality rate, infant (per 1,000 live births)" 8.8 "X2018"
"9" "Armenia" "ARM" "Mortality rate, infant (per 1,000 live births)" 11 "X2018"
"10" "American Samoa" "ASM" "Mortality rate, infant (per 1,000 live births)" NA "X2018"
"11" "Antigua and Barbuda" "ATG" "Mortality rate, infant (per 1,000 live births)" 5 "X2018"
"12" "Australia" "AUS" "Mortality rate, infant (per 1,000 live births)" 3.1 "X2018"
"13" "Austria" "AUT" "Mortality rate, infant (per 1,000 live births)" 2.9 "X2018"
"14" "Azerbaijan" "AZE" "Mortality rate, infant (per 1,000 live births)" 19.2 "X2018"
"15" "Burundi" "BDI" "Mortality rate, infant (per 1,000 live births)" 41 "X2018"
"16" "Belgium" "BEL" "Mortality rate, infant (per 1,000 live births)" 2.9 "X2018"
"17" "Benin" "BEN" "Mortality rate, infant (per 1,000 live births)" 60.5 "X2018"
"18" "Burkina Faso" "BFA" "Mortality rate, infant (per 1,000 live births)" 49 "X2018"
"19" "Bangladesh" "BGD" "Mortality rate, infant (per 1,000 live births)" 25.1 "X2018"
"20" "Bulgaria" "BGR" "Mortality rate, infant (per 1,000 live births)" 5.9 "X2018"
"21" "Bahrain" "BHR" "Mortality rate, infant (per 1,000 live births)" 6.1 "X2018"
"22" "Bahamas, The" "BHS" "Mortality rate, infant (per 1,000 live births)" 8.3 "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Mortality rate, infant (per 1,000 live births)" 5 "X2018"
"24" "Belarus" "BLR" "Mortality rate, infant (per 1,000 live births)" 2.6 "X2018"
"25" "Belize" "BLZ" "Mortality rate, infant (per 1,000 live births)" 11.2 "X2018"
"26" "Bermuda" "BMU" "Mortality rate, infant (per 1,000 live births)" NA "X2018"
"27" "Bolivia" "BOL" "Mortality rate, infant (per 1,000 live births)" 21.8 "X2018"
"28" "Brazil" "BRA" "Mortality rate, infant (per 1,000 live births)" 12.8 "X2018"
"29" "Barbados" "BRB" "Mortality rate, infant (per 1,000 live births)" 11.3 "X2018"
"30" "Brunei Darussalam" "BRN" "Mortality rate, infant (per 1,000 live births)" 9.8 "X2018"
"31" "Bhutan" "BTN" "Mortality rate, infant (per 1,000 live births)" 24.8 "X2018"
"32" "Botswana" "BWA" "Mortality rate, infant (per 1,000 live births)" 30 "X2018"
"33" "Central African Republic" "CAF" "Mortality rate, infant (per 1,000 live births)" 84.5 "X2018"
"34" "Canada" "CAN" "Mortality rate, infant (per 1,000 live births)" 4.3 "X2018"
"35" "Central Europe and the Baltics" "CEB" "Mortality rate, infant (per 1,000 live births)" 4.18912048866177 "X2018"
"36" "Switzerland" "CHE" "Mortality rate, infant (per 1,000 live births)" 3.7 "X2018"
"37" "Channel Islands" "CHI" "Mortality rate, infant (per 1,000 live births)" NA "X2018"
"38" "Chile" "CHL" "Mortality rate, infant (per 1,000 live births)" 6.2 "X2018"
"39" "China" "CHN" "Mortality rate, infant (per 1,000 live births)" 7.4 "X2018"
"40" "Cote d'Ivoire" "CIV" "Mortality rate, infant (per 1,000 live births)" 59.4 "X2018"
"41" "Cameroon" "CMR" "Mortality rate, infant (per 1,000 live births)" 50.6 "X2018"
"42" "Congo, Dem. Rep." "COD" "Mortality rate, infant (per 1,000 live births)" 68.2 "X2018"
"43" "Congo, Rep." "COG" "Mortality rate, infant (per 1,000 live births)" 36.2 "X2018"
"44" "Colombia" "COL" "Mortality rate, infant (per 1,000 live births)" 12.2 "X2018"
"45" "Comoros" "COM" "Mortality rate, infant (per 1,000 live births)" 51.3 "X2018"
"46" "Cabo Verde" "CPV" "Mortality rate, infant (per 1,000 live births)" 16.7 "X2018"
"47" "Costa Rica" "CRI" "Mortality rate, infant (per 1,000 live births)" 7.6 "X2018"
"48" "Caribbean small states" "CSS" "Mortality rate, infant (per 1,000 live births)" 14.8631020045784 "X2018"
"49" "Cuba" "CUB" "Mortality rate, infant (per 1,000 live births)" 3.7 "X2018"
"50" "Curacao" "CUW" "Mortality rate, infant (per 1,000 live births)" NA "X2018"
"51" "Cayman Islands" "CYM" "Mortality rate, infant (per 1,000 live births)" NA "X2018"
"52" "Cyprus" "CYP" "Mortality rate, infant (per 1,000 live births)" 1.9 "X2018"
"53" "Czech Republic" "CZE" "Mortality rate, infant (per 1,000 live births)" 2.7 "X2018"
"54" "Germany" "DEU" "Mortality rate, infant (per 1,000 live births)" 3.1 "X2018"
"55" "Djibouti" "DJI" "Mortality rate, infant (per 1,000 live births)" 49.8 "X2018"
"56" "Dominica" "DMA" "Mortality rate, infant (per 1,000 live births)" 32.9 "X2018"
"57" "Denmark" "DNK" "Mortality rate, infant (per 1,000 live births)" 3.6 "X2018"
"58" "Dominican Republic" "DOM" "Mortality rate, infant (per 1,000 live births)" 24.1 "X2018"
"59" "Algeria" "DZA" "Mortality rate, infant (per 1,000 live births)" 20.1 "X2018"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Mortality rate, infant (per 1,000 live births)" 13.0844150084601 "X2018"
"61" "Early-demographic dividend" "EAR" "Mortality rate, infant (per 1,000 live births)" 28.6865497443196 "X2018"
"62" "East Asia & Pacific" "EAS" "Mortality rate, infant (per 1,000 live births)" 12.5 "X2018"
"63" "Europe & Central Asia (excluding high income)" "ECA" "Mortality rate, infant (per 1,000 live births)" 11.0571194929307 "X2018"
"64" "Europe & Central Asia" "ECS" "Mortality rate, infant (per 1,000 live births)" 7.5 "X2018"
"65" "Ecuador" "ECU" "Mortality rate, infant (per 1,000 live births)" 12.2 "X2018"
"66" "Egypt, Arab Rep." "EGY" "Mortality rate, infant (per 1,000 live births)" 18.1 "X2018"
"67" "Euro area" "EMU" "Mortality rate, infant (per 1,000 live births)" 3.01916517569194 "X2018"
"68" "Eritrea" "ERI" "Mortality rate, infant (per 1,000 live births)" 31.3 "X2018"
"69" "Spain" "ESP" "Mortality rate, infant (per 1,000 live births)" 2.5 "X2018"
"70" "Estonia" "EST" "Mortality rate, infant (per 1,000 live births)" 2.1 "X2018"
"71" "Ethiopia" "ETH" "Mortality rate, infant (per 1,000 live births)" 39.1 "X2018"
"72" "European Union" "EUU" "Mortality rate, infant (per 1,000 live births)" 3.31852756234416 "X2018"
"73" "Fragile and conflict affected situations" "FCS" "Mortality rate, infant (per 1,000 live births)" 50.8585389807096 "X2018"
"74" "Finland" "FIN" "Mortality rate, infant (per 1,000 live births)" 1.4 "X2018"
"75" "Fiji" "FJI" "Mortality rate, infant (per 1,000 live births)" 21.6 "X2018"
"76" "France" "FRA" "Mortality rate, infant (per 1,000 live births)" 3.4 "X2018"
"77" "Faroe Islands" "FRO" "Mortality rate, infant (per 1,000 live births)" NA "X2018"
"78" "Micronesia, Fed. Sts." "FSM" "Mortality rate, infant (per 1,000 live births)" 25.6 "X2018"
"79" "Gabon" "GAB" "Mortality rate, infant (per 1,000 live births)" 32.7 "X2018"
"80" "United Kingdom" "GBR" "Mortality rate, infant (per 1,000 live births)" 3.6 "X2018"
"81" "Georgia" "GEO" "Mortality rate, infant (per 1,000 live births)" 8.7 "X2018"
"82" "Ghana" "GHA" "Mortality rate, infant (per 1,000 live births)" 34.9 "X2018"
"83" "Gibraltar" "GIB" "Mortality rate, infant (per 1,000 live births)" NA "X2018"
"84" "Guinea" "GIN" "Mortality rate, infant (per 1,000 live births)" 64.9 "X2018"
"85" "Gambia, The" "GMB" "Mortality rate, infant (per 1,000 live births)" 39 "X2018"
"86" "Guinea-Bissau" "GNB" "Mortality rate, infant (per 1,000 live births)" 54 "X2018"
"87" "Equatorial Guinea" "GNQ" "Mortality rate, infant (per 1,000 live births)" 62.6 "X2018"
"88" "Greece" "GRC" "Mortality rate, infant (per 1,000 live births)" 3.6 "X2018"
"89" "Grenada" "GRD" "Mortality rate, infant (per 1,000 live births)" 13.7 "X2018"
"90" "Greenland" "GRL" "Mortality rate, infant (per 1,000 live births)" NA "X2018"
"91" "Guatemala" "GTM" "Mortality rate, infant (per 1,000 live births)" 22.1 "X2018"
"92" "Guam" "GUM" "Mortality rate, infant (per 1,000 live births)" NA "X2018"
"93" "Guyana" "GUY" "Mortality rate, infant (per 1,000 live births)" 25.1 "X2018"
"94" "High income" "HIC" "Mortality rate, infant (per 1,000 live births)" 4.3 "X2018"
"95" "Hong Kong SAR, China" "HKG" "Mortality rate, infant (per 1,000 live births)" NA "X2018"
"96" "Honduras" "HND" "Mortality rate, infant (per 1,000 live births)" 15.1 "X2018"
"97" "Heavily indebted poor countries (HIPC)" "HPC" "Mortality rate, infant (per 1,000 live births)" 48.1337811999144 "X2018"
"98" "Croatia" "HRV" "Mortality rate, infant (per 1,000 live births)" 4 "X2018"
"99" "Haiti" "HTI" "Mortality rate, infant (per 1,000 live births)" 49.5 "X2018"
"100" "Hungary" "HUN" "Mortality rate, infant (per 1,000 live births)" 3.6 "X2018"
"101" "IBRD only" "IBD" "Mortality rate, infant (per 1,000 live births)" 18.9196693581949 "X2018"
"102" "IDA & IBRD total" "IBT" "Mortality rate, infant (per 1,000 live births)" 31.2415212222283 "X2018"
"103" "IDA total" "IDA" "Mortality rate, infant (per 1,000 live births)" 49.7210237176579 "X2018"
"104" "IDA blend" "IDB" "Mortality rate, infant (per 1,000 live births)" 59.4937544358753 "X2018"
"105" "Indonesia" "IDN" "Mortality rate, infant (per 1,000 live births)" 21.1 "X2018"
"106" "IDA only" "IDX" "Mortality rate, infant (per 1,000 live births)" 44.6043995407036 "X2018"
"107" "Isle of Man" "IMN" "Mortality rate, infant (per 1,000 live births)" NA "X2018"
"108" "India" "IND" "Mortality rate, infant (per 1,000 live births)" 29.9 "X2018"
"109" "Not classified" "INX" "Mortality rate, infant (per 1,000 live births)" NA "X2018"
"110" "Ireland" "IRL" "Mortality rate, infant (per 1,000 live births)" 3.1 "X2018"
"111" "Iran, Islamic Rep." "IRN" "Mortality rate, infant (per 1,000 live births)" 12.4 "X2018"
"112" "Iraq" "IRQ" "Mortality rate, infant (per 1,000 live births)" 22.5 "X2018"
"113" "Iceland" "ISL" "Mortality rate, infant (per 1,000 live births)" 1.5 "X2018"
"114" "Israel" "ISR" "Mortality rate, infant (per 1,000 live births)" 3 "X2018"
"115" "Italy" "ITA" "Mortality rate, infant (per 1,000 live births)" 2.6 "X2018"
"116" "Jamaica" "JAM" "Mortality rate, infant (per 1,000 live births)" 12.4 "X2018"
"117" "Jordan" "JOR" "Mortality rate, infant (per 1,000 live births)" 13.9 "X2018"
"118" "Japan" "JPN" "Mortality rate, infant (per 1,000 live births)" 1.8 "X2018"
"119" "Kazakhstan" "KAZ" "Mortality rate, infant (per 1,000 live births)" 8.8 "X2018"
"120" "Kenya" "KEN" "Mortality rate, infant (per 1,000 live births)" 30.6 "X2018"
"121" "Kyrgyz Republic" "KGZ" "Mortality rate, infant (per 1,000 live births)" 16.9 "X2018"
"122" "Cambodia" "KHM" "Mortality rate, infant (per 1,000 live births)" 24 "X2018"
"123" "Kiribati" "KIR" "Mortality rate, infant (per 1,000 live births)" 41.2 "X2018"
"124" "St. Kitts and Nevis" "KNA" "Mortality rate, infant (per 1,000 live births)" 9.8 "X2018"
"125" "Korea, Rep." "KOR" "Mortality rate, infant (per 1,000 live births)" 2.7 "X2018"
"126" "Kuwait" "KWT" "Mortality rate, infant (per 1,000 live births)" 6.7 "X2018"
"127" "Latin America & Caribbean (excluding high income)" "LAC" "Mortality rate, infant (per 1,000 live births)" 14.2379551605014 "X2018"
"128" "Lao PDR" "LAO" "Mortality rate, infant (per 1,000 live births)" 37.6 "X2018"
"129" "Lebanon" "LBN" "Mortality rate, infant (per 1,000 live births)" 6.4 "X2018"
"130" "Liberia" "LBR" "Mortality rate, infant (per 1,000 live births)" 53.5 "X2018"
"131" "Libya" "LBY" "Mortality rate, infant (per 1,000 live births)" 10.2 "X2018"
"132" "St. Lucia" "LCA" "Mortality rate, infant (per 1,000 live births)" 14.9 "X2018"
"133" "Latin America & Caribbean" "LCN" "Mortality rate, infant (per 1,000 live births)" 14 "X2018"
"134" "Least developed countries: UN classification" "LDC" "Mortality rate, infant (per 1,000 live births)" 45.7357368293504 "X2018"
"135" "Low income" "LIC" "Mortality rate, infant (per 1,000 live births)" 48.1 "X2018"
"136" "Liechtenstein" "LIE" "Mortality rate, infant (per 1,000 live births)" NA "X2018"
"137" "Sri Lanka" "LKA" "Mortality rate, infant (per 1,000 live births)" 6.4 "X2018"
"138" "Lower middle income" "LMC" "Mortality rate, infant (per 1,000 live births)" 36.9 "X2018"
"139" "Low & middle income" "LMY" "Mortality rate, infant (per 1,000 live births)" 31.3087159460064 "X2018"
"140" "Lesotho" "LSO" "Mortality rate, infant (per 1,000 live births)" 65.7 "X2018"
"141" "Late-demographic dividend" "LTE" "Mortality rate, infant (per 1,000 live births)" 8.96220165061473 "X2018"
"142" "Lithuania" "LTU" "Mortality rate, infant (per 1,000 live births)" 3.3 "X2018"
"143" "Luxembourg" "LUX" "Mortality rate, infant (per 1,000 live births)" 1.9 "X2018"
"144" "Latvia" "LVA" "Mortality rate, infant (per 1,000 live births)" 3.3 "X2018"
"145" "Macao SAR, China" "MAC" "Mortality rate, infant (per 1,000 live births)" NA "X2018"
"146" "St. Martin (French part)" "MAF" "Mortality rate, infant (per 1,000 live births)" NA "X2018"
"147" "Morocco" "MAR" "Mortality rate, infant (per 1,000 live births)" 19.2 "X2018"
"148" "Monaco" "MCO" "Mortality rate, infant (per 1,000 live births)" 2.6 "X2018"
"149" "Moldova" "MDA" "Mortality rate, infant (per 1,000 live births)" 13.6 "X2018"
"150" "Madagascar" "MDG" "Mortality rate, infant (per 1,000 live births)" 38.2 "X2018"
