"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Investment in transport with private participation (current US$)" NA NA
"2" "Afghanistan" "AFG" "Investment in transport with private participation (current US$)" NA NA
"3" "Angola" "AGO" "Investment in transport with private participation (current US$)" 5.3e+07 "X2007"
"4" "Albania" "ALB" "Investment in transport with private participation (current US$)" 284600000 "X2017"
"5" "Andorra" "AND" "Investment in transport with private participation (current US$)" NA NA
"6" "Arab World" "ARB" "Investment in transport with private participation (current US$)" NA NA
"7" "United Arab Emirates" "ARE" "Investment in transport with private participation (current US$)" NA NA
"8" "Argentina" "ARG" "Investment in transport with private participation (current US$)" 1.6e+07 "X2012"
"9" "Armenia" "ARM" "Investment in transport with private participation (current US$)" 1.01e+08 "X2013"
"10" "American Samoa" "ASM" "Investment in transport with private participation (current US$)" NA NA
"11" "Antigua and Barbuda" "ATG" "Investment in transport with private participation (current US$)" NA NA
"12" "Australia" "AUS" "Investment in transport with private participation (current US$)" NA NA
"13" "Austria" "AUT" "Investment in transport with private participation (current US$)" NA NA
"14" "Azerbaijan" "AZE" "Investment in transport with private participation (current US$)" NA NA
"15" "Burundi" "BDI" "Investment in transport with private participation (current US$)" NA NA
"16" "Belgium" "BEL" "Investment in transport with private participation (current US$)" NA NA
"17" "Benin" "BEN" "Investment in transport with private participation (current US$)" 4.89e+08 "X2009"
"18" "Burkina Faso" "BFA" "Investment in transport with private participation (current US$)" 471300000 "X2017"
"19" "Bangladesh" "BGD" "Investment in transport with private participation (current US$)" 179500000 "X2017"
"20" "Bulgaria" "BGR" "Investment in transport with private participation (current US$)" 7.9e+07 "X2013"
"21" "Bahrain" "BHR" "Investment in transport with private participation (current US$)" NA NA
"22" "Bahamas, The" "BHS" "Investment in transport with private participation (current US$)" NA NA
"23" "Bosnia and Herzegovina" "BIH" "Investment in transport with private participation (current US$)" NA NA
"24" "Belarus" "BLR" "Investment in transport with private participation (current US$)" 3960000 "X2008"
"25" "Belize" "BLZ" "Investment in transport with private participation (current US$)" 37600000 "X2002"
"26" "Bermuda" "BMU" "Investment in transport with private participation (current US$)" NA NA
"27" "Bolivia" "BOL" "Investment in transport with private participation (current US$)" 16600000 "X2000"
"28" "Brazil" "BRA" "Investment in transport with private participation (current US$)" 1041400000 "X2018"
"29" "Barbados" "BRB" "Investment in transport with private participation (current US$)" NA NA
"30" "Brunei Darussalam" "BRN" "Investment in transport with private participation (current US$)" NA NA
"31" "Bhutan" "BTN" "Investment in transport with private participation (current US$)" NA NA
"32" "Botswana" "BWA" "Investment in transport with private participation (current US$)" NA NA
"33" "Central African Republic" "CAF" "Investment in transport with private participation (current US$)" NA NA
"34" "Canada" "CAN" "Investment in transport with private participation (current US$)" NA NA
"35" "Central Europe and the Baltics" "CEB" "Investment in transport with private participation (current US$)" NA NA
"36" "Switzerland" "CHE" "Investment in transport with private participation (current US$)" NA NA
"37" "Channel Islands" "CHI" "Investment in transport with private participation (current US$)" NA NA
"38" "Chile" "CHL" "Investment in transport with private participation (current US$)" NA NA
"39" "China" "CHN" "Investment in transport with private participation (current US$)" 25964800000 "X2018"
"40" "Cote d'Ivoire" "CIV" "Investment in transport with private participation (current US$)" 471300000 "X2017"
"41" "Cameroon" "CMR" "Investment in transport with private participation (current US$)" 9e+07 "X1999"
"42" "Congo, Dem. Rep." "COD" "Investment in transport with private participation (current US$)" NA NA
"43" "Congo, Rep." "COG" "Investment in transport with private participation (current US$)" 5.6e+07 "X2010"
"44" "Colombia" "COL" "Investment in transport with private participation (current US$)" 2027740000 "X2018"
"45" "Comoros" "COM" "Investment in transport with private participation (current US$)" 5e+05 "X2003"
"46" "Cabo Verde" "CPV" "Investment in transport with private participation (current US$)" NA NA
"47" "Costa Rica" "CRI" "Investment in transport with private participation (current US$)" 6.63e+08 "X2015"
"48" "Caribbean small states" "CSS" "Investment in transport with private participation (current US$)" NA NA
"49" "Cuba" "CUB" "Investment in transport with private participation (current US$)" NA NA
"50" "Curacao" "CUW" "Investment in transport with private participation (current US$)" NA NA
"51" "Cayman Islands" "CYM" "Investment in transport with private participation (current US$)" NA NA
"52" "Cyprus" "CYP" "Investment in transport with private participation (current US$)" NA NA
"53" "Czech Republic" "CZE" "Investment in transport with private participation (current US$)" NA NA
"54" "Germany" "DEU" "Investment in transport with private participation (current US$)" NA NA
"55" "Djibouti" "DJI" "Investment in transport with private participation (current US$)" 3.96e+08 "X2007"
"56" "Dominica" "DMA" "Investment in transport with private participation (current US$)" NA NA
"57" "Denmark" "DNK" "Investment in transport with private participation (current US$)" NA NA
"58" "Dominican Republic" "DOM" "Investment in transport with private participation (current US$)" 73400000 "X2013"
"59" "Algeria" "DZA" "Investment in transport with private participation (current US$)" 1.08e+08 "X2009"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Investment in transport with private participation (current US$)" 29462230000 "X2018"
"61" "Early-demographic dividend" "EAR" "Investment in transport with private participation (current US$)" 14869630000 "X2017"
"62" "East Asia & Pacific" "EAS" "Investment in transport with private participation (current US$)" NA NA
"63" "Europe & Central Asia (excluding high income)" "ECA" "Investment in transport with private participation (current US$)" 3588880000 "X2017"
"64" "Europe & Central Asia" "ECS" "Investment in transport with private participation (current US$)" NA NA
"65" "Ecuador" "ECU" "Investment in transport with private participation (current US$)" 3.77e+08 "X2018"
"66" "Egypt, Arab Rep." "EGY" "Investment in transport with private participation (current US$)" 4.98e+08 "X2017"
"67" "Euro area" "EMU" "Investment in transport with private participation (current US$)" NA NA
"68" "Eritrea" "ERI" "Investment in transport with private participation (current US$)" NA NA
"69" "Spain" "ESP" "Investment in transport with private participation (current US$)" NA NA
"70" "Estonia" "EST" "Investment in transport with private participation (current US$)" NA NA
"71" "Ethiopia" "ETH" "Investment in transport with private participation (current US$)" NA NA
"72" "European Union" "EUU" "Investment in transport with private participation (current US$)" NA NA
"73" "Fragile and conflict affected situations" "FCS" "Investment in transport with private participation (current US$)" NA NA
"74" "Finland" "FIN" "Investment in transport with private participation (current US$)" NA NA
"75" "Fiji" "FJI" "Investment in transport with private participation (current US$)" NA NA
"76" "France" "FRA" "Investment in transport with private participation (current US$)" NA NA
"77" "Faroe Islands" "FRO" "Investment in transport with private participation (current US$)" NA NA
"78" "Micronesia, Fed. Sts." "FSM" "Investment in transport with private participation (current US$)" NA NA
