"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "GINI index (World Bank estimate)" NA "X2018"
"2" "Afghanistan" "AFG" "GINI index (World Bank estimate)" NA "X2018"
"3" "Angola" "AGO" "GINI index (World Bank estimate)" 51.3 "X2018"
"4" "Albania" "ALB" "GINI index (World Bank estimate)" NA "X2018"
"5" "Andorra" "AND" "GINI index (World Bank estimate)" NA "X2018"
"6" "Arab World" "ARB" "GINI index (World Bank estimate)" NA "X2018"
"7" "United Arab Emirates" "ARE" "GINI index (World Bank estimate)" NA "X2018"
"8" "Argentina" "ARG" "GINI index (World Bank estimate)" 41.4 "X2018"
"9" "Armenia" "ARM" "GINI index (World Bank estimate)" 34.4 "X2018"
"10" "American Samoa" "ASM" "GINI index (World Bank estimate)" NA "X2018"
"11" "Antigua and Barbuda" "ATG" "GINI index (World Bank estimate)" NA "X2018"
"12" "Australia" "AUS" "GINI index (World Bank estimate)" NA "X2018"
"13" "Austria" "AUT" "GINI index (World Bank estimate)" NA "X2018"
"14" "Azerbaijan" "AZE" "GINI index (World Bank estimate)" NA "X2018"
"15" "Burundi" "BDI" "GINI index (World Bank estimate)" NA "X2018"
"16" "Belgium" "BEL" "GINI index (World Bank estimate)" NA "X2018"
"17" "Benin" "BEN" "GINI index (World Bank estimate)" NA "X2018"
"18" "Burkina Faso" "BFA" "GINI index (World Bank estimate)" NA "X2018"
"19" "Bangladesh" "BGD" "GINI index (World Bank estimate)" NA "X2018"
"20" "Bulgaria" "BGR" "GINI index (World Bank estimate)" NA "X2018"
"21" "Bahrain" "BHR" "GINI index (World Bank estimate)" NA "X2018"
"22" "Bahamas, The" "BHS" "GINI index (World Bank estimate)" NA "X2018"
"23" "Bosnia and Herzegovina" "BIH" "GINI index (World Bank estimate)" NA "X2018"
"24" "Belarus" "BLR" "GINI index (World Bank estimate)" 25.2 "X2018"
"25" "Belize" "BLZ" "GINI index (World Bank estimate)" NA "X2018"
"26" "Bermuda" "BMU" "GINI index (World Bank estimate)" NA "X2018"
"27" "Bolivia" "BOL" "GINI index (World Bank estimate)" 42.2 "X2018"
"28" "Brazil" "BRA" "GINI index (World Bank estimate)" 53.9 "X2018"
"29" "Barbados" "BRB" "GINI index (World Bank estimate)" NA "X2018"
"30" "Brunei Darussalam" "BRN" "GINI index (World Bank estimate)" NA "X2018"
"31" "Bhutan" "BTN" "GINI index (World Bank estimate)" NA "X2018"
"32" "Botswana" "BWA" "GINI index (World Bank estimate)" NA "X2018"
"33" "Central African Republic" "CAF" "GINI index (World Bank estimate)" NA "X2018"
"34" "Canada" "CAN" "GINI index (World Bank estimate)" NA "X2018"
"35" "Central Europe and the Baltics" "CEB" "GINI index (World Bank estimate)" NA "X2018"
"36" "Switzerland" "CHE" "GINI index (World Bank estimate)" NA "X2018"
"37" "Channel Islands" "CHI" "GINI index (World Bank estimate)" NA "X2018"
"38" "Chile" "CHL" "GINI index (World Bank estimate)" NA "X2018"
"39" "China" "CHN" "GINI index (World Bank estimate)" NA "X2018"
"40" "Cote d'Ivoire" "CIV" "GINI index (World Bank estimate)" NA "X2018"
"41" "Cameroon" "CMR" "GINI index (World Bank estimate)" NA "X2018"
"42" "Congo, Dem. Rep." "COD" "GINI index (World Bank estimate)" NA "X2018"
"43" "Congo, Rep." "COG" "GINI index (World Bank estimate)" NA "X2018"
"44" "Colombia" "COL" "GINI index (World Bank estimate)" 50.4 "X2018"
"45" "Comoros" "COM" "GINI index (World Bank estimate)" NA "X2018"
"46" "Cabo Verde" "CPV" "GINI index (World Bank estimate)" NA "X2018"
"47" "Costa Rica" "CRI" "GINI index (World Bank estimate)" 48 "X2018"
"48" "Caribbean small states" "CSS" "GINI index (World Bank estimate)" NA "X2018"
"49" "Cuba" "CUB" "GINI index (World Bank estimate)" NA "X2018"
"50" "Curacao" "CUW" "GINI index (World Bank estimate)" NA "X2018"
"51" "Cayman Islands" "CYM" "GINI index (World Bank estimate)" NA "X2018"
"52" "Cyprus" "CYP" "GINI index (World Bank estimate)" NA "X2018"
"53" "Czech Republic" "CZE" "GINI index (World Bank estimate)" NA "X2018"
"54" "Germany" "DEU" "GINI index (World Bank estimate)" NA "X2018"
"55" "Djibouti" "DJI" "GINI index (World Bank estimate)" NA "X2018"
"56" "Dominica" "DMA" "GINI index (World Bank estimate)" NA "X2018"
