"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Income share held by highest 10%" NA "X2018"
"2" "Afghanistan" "AFG" "Income share held by highest 10%" NA "X2018"
"3" "Angola" "AGO" "Income share held by highest 10%" 39.6 "X2018"
"4" "Albania" "ALB" "Income share held by highest 10%" NA "X2018"
"5" "Andorra" "AND" "Income share held by highest 10%" NA "X2018"
"6" "Arab World" "ARB" "Income share held by highest 10%" NA "X2018"
"7" "United Arab Emirates" "ARE" "Income share held by highest 10%" NA "X2018"
"8" "Argentina" "ARG" "Income share held by highest 10%" 29.9 "X2018"
"9" "Armenia" "ARM" "Income share held by highest 10%" 29.2 "X2018"
"10" "American Samoa" "ASM" "Income share held by highest 10%" NA "X2018"
"11" "Antigua and Barbuda" "ATG" "Income share held by highest 10%" NA "X2018"
"12" "Australia" "AUS" "Income share held by highest 10%" NA "X2018"
"13" "Austria" "AUT" "Income share held by highest 10%" NA "X2018"
"14" "Azerbaijan" "AZE" "Income share held by highest 10%" NA "X2018"
"15" "Burundi" "BDI" "Income share held by highest 10%" NA "X2018"
"16" "Belgium" "BEL" "Income share held by highest 10%" NA "X2018"
"17" "Benin" "BEN" "Income share held by highest 10%" NA "X2018"
"18" "Burkina Faso" "BFA" "Income share held by highest 10%" NA "X2018"
"19" "Bangladesh" "BGD" "Income share held by highest 10%" NA "X2018"
"20" "Bulgaria" "BGR" "Income share held by highest 10%" NA "X2018"
"21" "Bahrain" "BHR" "Income share held by highest 10%" NA "X2018"
"22" "Bahamas, The" "BHS" "Income share held by highest 10%" NA "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Income share held by highest 10%" NA "X2018"
"24" "Belarus" "BLR" "Income share held by highest 10%" 21.4 "X2018"
"25" "Belize" "BLZ" "Income share held by highest 10%" NA "X2018"
"26" "Bermuda" "BMU" "Income share held by highest 10%" NA "X2018"
"27" "Bolivia" "BOL" "Income share held by highest 10%" 30.4 "X2018"
"28" "Brazil" "BRA" "Income share held by highest 10%" 42.5 "X2018"
"29" "Barbados" "BRB" "Income share held by highest 10%" NA "X2018"
"30" "Brunei Darussalam" "BRN" "Income share held by highest 10%" NA "X2018"
"31" "Bhutan" "BTN" "Income share held by highest 10%" NA "X2018"
"32" "Botswana" "BWA" "Income share held by highest 10%" NA "X2018"
"33" "Central African Republic" "CAF" "Income share held by highest 10%" NA "X2018"
"34" "Canada" "CAN" "Income share held by highest 10%" NA "X2018"
"35" "Central Europe and the Baltics" "CEB" "Income share held by highest 10%" NA "X2018"
"36" "Switzerland" "CHE" "Income share held by highest 10%" NA "X2018"
"37" "Channel Islands" "CHI" "Income share held by highest 10%" NA "X2018"
"38" "Chile" "CHL" "Income share held by highest 10%" NA "X2018"
"39" "China" "CHN" "Income share held by highest 10%" NA "X2018"
"40" "Cote d'Ivoire" "CIV" "Income share held by highest 10%" NA "X2018"
"41" "Cameroon" "CMR" "Income share held by highest 10%" NA "X2018"
"42" "Congo, Dem. Rep." "COD" "Income share held by highest 10%" NA "X2018"
"43" "Congo, Rep." "COG" "Income share held by highest 10%" NA "X2018"
"44" "Colombia" "COL" "Income share held by highest 10%" 39.7 "X2018"
"45" "Comoros" "COM" "Income share held by highest 10%" NA "X2018"
"46" "Cabo Verde" "CPV" "Income share held by highest 10%" NA "X2018"
"47" "Costa Rica" "CRI" "Income share held by highest 10%" 36.3 "X2018"
"48" "Caribbean small states" "CSS" "Income share held by highest 10%" NA "X2018"
"49" "Cuba" "CUB" "Income share held by highest 10%" NA "X2018"
"50" "Curacao" "CUW" "Income share held by highest 10%" NA "X2018"
"51" "Cayman Islands" "CYM" "Income share held by highest 10%" NA "X2018"
