"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"2" "Afghanistan" "AFG" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"3" "Angola" "AGO" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"4" "Albania" "ALB" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"5" "Andorra" "AND" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"6" "Arab World" "ARB" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"7" "United Arab Emirates" "ARE" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"8" "Argentina" "ARG" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"9" "Armenia" "ARM" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"10" "American Samoa" "ASM" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"11" "Antigua and Barbuda" "ATG" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"12" "Australia" "AUS" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"13" "Austria" "AUT" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"14" "Azerbaijan" "AZE" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"15" "Burundi" "BDI" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"16" "Belgium" "BEL" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"17" "Benin" "BEN" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"18" "Burkina Faso" "BFA" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"19" "Bangladesh" "BGD" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"20" "Bulgaria" "BGR" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"21" "Bahrain" "BHR" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"22" "Bahamas, The" "BHS" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"23" "Bosnia and Herzegovina" "BIH" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"24" "Belarus" "BLR" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"25" "Belize" "BLZ" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"26" "Bermuda" "BMU" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"27" "Bolivia" "BOL" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"28" "Brazil" "BRA" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"29" "Barbados" "BRB" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"30" "Brunei Darussalam" "BRN" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"31" "Bhutan" "BTN" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"32" "Botswana" "BWA" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"33" "Central African Republic" "CAF" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"34" "Canada" "CAN" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"35" "Central Europe and the Baltics" "CEB" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"36" "Switzerland" "CHE" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"37" "Channel Islands" "CHI" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"38" "Chile" "CHL" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"39" "China" "CHN" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"40" "Cote d'Ivoire" "CIV" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"41" "Cameroon" "CMR" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"42" "Congo, Dem. Rep." "COD" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"43" "Congo, Rep." "COG" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"44" "Colombia" "COL" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"45" "Comoros" "COM" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"46" "Cabo Verde" "CPV" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"47" "Costa Rica" "CRI" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"48" "Caribbean small states" "CSS" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"49" "Cuba" "CUB" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"50" "Curacao" "CUW" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"51" "Cayman Islands" "CYM" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"52" "Cyprus" "CYP" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"53" "Czech Republic" "CZE" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"54" "Germany" "DEU" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"55" "Djibouti" "DJI" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"56" "Dominica" "DMA" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"57" "Denmark" "DNK" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"58" "Dominican Republic" "DOM" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"59" "Algeria" "DZA" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"60" "East Asia & Pacific (excluding high income)" "EAP" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"61" "Early-demographic dividend" "EAR" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"62" "East Asia & Pacific" "EAS" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"63" "Europe & Central Asia (excluding high income)" "ECA" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"64" "Europe & Central Asia" "ECS" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"65" "Ecuador" "ECU" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"66" "Egypt, Arab Rep." "EGY" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"67" "Euro area" "EMU" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"68" "Eritrea" "ERI" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"69" "Spain" "ESP" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"70" "Estonia" "EST" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"71" "Ethiopia" "ETH" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"72" "European Union" "EUU" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"73" "Fragile and conflict affected situations" "FCS" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"74" "Finland" "FIN" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"75" "Fiji" "FJI" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"76" "France" "FRA" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"77" "Faroe Islands" "FRO" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"78" "Micronesia, Fed. Sts." "FSM" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"79" "Gabon" "GAB" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"80" "United Kingdom" "GBR" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"81" "Georgia" "GEO" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"82" "Ghana" "GHA" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"83" "Gibraltar" "GIB" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"84" "Guinea" "GIN" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"85" "Gambia, The" "GMB" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"86" "Guinea-Bissau" "GNB" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"87" "Equatorial Guinea" "GNQ" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"88" "Greece" "GRC" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"89" "Grenada" "GRD" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"90" "Greenland" "GRL" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"91" "Guatemala" "GTM" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"92" "Guam" "GUM" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"93" "Guyana" "GUY" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"94" "High income" "HIC" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
"95" "Hong Kong SAR, China" "HKG" "Urban poverty headcount ratio at national poverty lines (% of urban population)" NA NA
