"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"2" "Afghanistan" "AFG" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"3" "Angola" "AGO" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"4" "Albania" "ALB" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"5" "Andorra" "AND" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"6" "Arab World" "ARB" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"7" "United Arab Emirates" "ARE" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"8" "Argentina" "ARG" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"9" "Armenia" "ARM" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"10" "American Samoa" "ASM" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"11" "Antigua and Barbuda" "ATG" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"12" "Australia" "AUS" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"13" "Austria" "AUT" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"14" "Azerbaijan" "AZE" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"15" "Burundi" "BDI" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"16" "Belgium" "BEL" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"17" "Benin" "BEN" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"18" "Burkina Faso" "BFA" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"19" "Bangladesh" "BGD" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"20" "Bulgaria" "BGR" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"21" "Bahrain" "BHR" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"22" "Bahamas, The" "BHS" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"23" "Bosnia and Herzegovina" "BIH" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"24" "Belarus" "BLR" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"25" "Belize" "BLZ" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"26" "Bermuda" "BMU" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"27" "Bolivia" "BOL" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"28" "Brazil" "BRA" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"29" "Barbados" "BRB" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"30" "Brunei Darussalam" "BRN" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"31" "Bhutan" "BTN" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"32" "Botswana" "BWA" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"33" "Central African Republic" "CAF" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"34" "Canada" "CAN" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"35" "Central Europe and the Baltics" "CEB" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"36" "Switzerland" "CHE" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"37" "Channel Islands" "CHI" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"38" "Chile" "CHL" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"39" "China" "CHN" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"40" "Cote d'Ivoire" "CIV" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"41" "Cameroon" "CMR" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"42" "Congo, Dem. Rep." "COD" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"43" "Congo, Rep." "COG" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"44" "Colombia" "COL" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"45" "Comoros" "COM" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"46" "Cabo Verde" "CPV" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"47" "Costa Rica" "CRI" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"48" "Caribbean small states" "CSS" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"49" "Cuba" "CUB" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"50" "Curacao" "CUW" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"51" "Cayman Islands" "CYM" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"52" "Cyprus" "CYP" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"53" "Czech Republic" "CZE" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"54" "Germany" "DEU" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"55" "Djibouti" "DJI" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"56" "Dominica" "DMA" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"57" "Denmark" "DNK" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
"58" "Dominican Republic" "DOM" "Rural poverty headcount ratio at national poverty lines (% of rural population)" NA NA
