"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Incidence of tuberculosis (per 100,000 people)" 5.4 "X2018"
"2" "Afghanistan" "AFG" "Incidence of tuberculosis (per 100,000 people)" 189 "X2018"
"3" "Angola" "AGO" "Incidence of tuberculosis (per 100,000 people)" 355 "X2018"
"4" "Albania" "ALB" "Incidence of tuberculosis (per 100,000 people)" 18 "X2018"
"5" "Andorra" "AND" "Incidence of tuberculosis (per 100,000 people)" 3 "X2018"
"6" "Arab World" "ARB" "Incidence of tuberculosis (per 100,000 people)" NA "X2018"
"7" "United Arab Emirates" "ARE" "Incidence of tuberculosis (per 100,000 people)" 1 "X2018"
"8" "Argentina" "ARG" "Incidence of tuberculosis (per 100,000 people)" 27 "X2018"
"9" "Armenia" "ARM" "Incidence of tuberculosis (per 100,000 people)" 31 "X2018"
"10" "American Samoa" "ASM" "Incidence of tuberculosis (per 100,000 people)" 0 "X2018"
"11" "Antigua and Barbuda" "ATG" "Incidence of tuberculosis (per 100,000 people)" 6 "X2018"
"12" "Australia" "AUS" "Incidence of tuberculosis (per 100,000 people)" 6.6 "X2018"
"13" "Austria" "AUT" "Incidence of tuberculosis (per 100,000 people)" 7.1 "X2018"
"14" "Azerbaijan" "AZE" "Incidence of tuberculosis (per 100,000 people)" 63 "X2018"
"15" "Burundi" "BDI" "Incidence of tuberculosis (per 100,000 people)" 111 "X2018"
"16" "Belgium" "BEL" "Incidence of tuberculosis (per 100,000 people)" 9 "X2018"
"17" "Benin" "BEN" "Incidence of tuberculosis (per 100,000 people)" 56 "X2018"
"18" "Burkina Faso" "BFA" "Incidence of tuberculosis (per 100,000 people)" 48 "X2018"
"19" "Bangladesh" "BGD" "Incidence of tuberculosis (per 100,000 people)" 221 "X2018"
"20" "Bulgaria" "BGR" "Incidence of tuberculosis (per 100,000 people)" 22 "X2018"
"21" "Bahrain" "BHR" "Incidence of tuberculosis (per 100,000 people)" 11 "X2018"
"22" "Bahamas, The" "BHS" "Incidence of tuberculosis (per 100,000 people)" 14 "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Incidence of tuberculosis (per 100,000 people)" 25 "X2018"
"24" "Belarus" "BLR" "Incidence of tuberculosis (per 100,000 people)" 31 "X2018"
"25" "Belize" "BLZ" "Incidence of tuberculosis (per 100,000 people)" 30 "X2018"
"26" "Bermuda" "BMU" "Incidence of tuberculosis (per 100,000 people)" 3.7 "X2018"
"27" "Bolivia" "BOL" "Incidence of tuberculosis (per 100,000 people)" 108 "X2018"
"28" "Brazil" "BRA" "Incidence of tuberculosis (per 100,000 people)" 45 "X2018"
"29" "Barbados" "BRB" "Incidence of tuberculosis (per 100,000 people)" 0.4 "X2018"
