"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "International tourism, receipts (% of total exports)" NA "X2018"
"2" "Afghanistan" "AFG" "International tourism, receipts (% of total exports)" 3.10262204071831 "X2018"
"3" "Angola" "AGO" "International tourism, receipts (% of total exports)" 1.3457717330498 "X2018"
"4" "Albania" "ALB" "International tourism, receipts (% of total exports)" 48.1951679829468 "X2018"
"5" "Andorra" "AND" "International tourism, receipts (% of total exports)" NA "X2018"
"6" "Arab World" "ARB" "International tourism, receipts (% of total exports)" 9.9893827074537 "X2018"
"7" "United Arab Emirates" "ARE" "International tourism, receipts (% of total exports)" NA "X2018"
"8" "Argentina" "ARG" "International tourism, receipts (% of total exports)" 7.8567752744146 "X2018"
"9" "Armenia" "ARM" "International tourism, receipts (% of total exports)" 26.3171955762686 "X2018"
"10" "American Samoa" "ASM" "International tourism, receipts (% of total exports)" NA "X2018"
"11" "Antigua and Barbuda" "ATG" "International tourism, receipts (% of total exports)" 84.3106823458553 "X2018"
"12" "Australia" "AUS" "International tourism, receipts (% of total exports)" 14.4613912959537 "X2018"
"13" "Austria" "AUT" "International tourism, receipts (% of total exports)" 10.0119483521856 "X2018"
"14" "Azerbaijan" "AZE" "International tourism, receipts (% of total exports)" 11.1048009507593 "X2018"
"15" "Burundi" "BDI" "International tourism, receipts (% of total exports)" 1.36791479575936 "X2018"
"16" "Belgium" "BEL" "International tourism, receipts (% of total exports)" 2.31501757164638 "X2018"
"17" "Benin" "BEN" "International tourism, receipts (% of total exports)" NA "X2018"
"18" "Burkina Faso" "BFA" "International tourism, receipts (% of total exports)" NA "X2018"
"19" "Bangladesh" "BGD" "International tourism, receipts (% of total exports)" 0.808262579200289 "X2018"
"20" "Bulgaria" "BGR" "International tourism, receipts (% of total exports)" 11.6729699630456 "X2018"
"21" "Bahrain" "BHR" "International tourism, receipts (% of total exports)" 12.7386670908223 "X2018"
"22" "Bahamas, The" "BHS" "International tourism, receipts (% of total exports)" 77.246799590927 "X2018"
"23" "Bosnia and Herzegovina" "BIH" "International tourism, receipts (% of total exports)" 12.7259930289803 "X2018"
"24" "Belarus" "BLR" "International tourism, receipts (% of total exports)" 2.89012552281448 "X2018"
"25" "Belize" "BLZ" "International tourism, receipts (% of total exports)" 45.2063565065369 "X2018"
"26" "Bermuda" "BMU" "International tourism, receipts (% of total exports)" 36.9476958882668 "X2018"
"27" "Bolivia" "BOL" "International tourism, receipts (% of total exports)" 9.3767084989034 "X2018"
"28" "Brazil" "BRA" "International tourism, receipts (% of total exports)" 2.29983252453008 "X2018"
"29" "Barbados" "BRB" "International tourism, receipts (% of total exports)" NA "X2018"
"30" "Brunei Darussalam" "BRN" "International tourism, receipts (% of total exports)" 2.69850388505865 "X2018"
"31" "Bhutan" "BTN" "International tourism, receipts (% of total exports)" 15.5411911787977 "X2018"
"32" "Botswana" "BWA" "International tourism, receipts (% of total exports)" 7.8366555775719 "X2018"
"33" "Central African Republic" "CAF" "International tourism, receipts (% of total exports)" NA "X2018"
"34" "Canada" "CAN" "International tourism, receipts (% of total exports)" 4.03415384669407 "X2018"
"35" "Central Europe and the Baltics" "CEB" "International tourism, receipts (% of total exports)" 6.16940791783825 "X2018"
"36" "Switzerland" "CHE" "International tourism, receipts (% of total exports)" 4.38504393766401 "X2018"
"37" "Channel Islands" "CHI" "International tourism, receipts (% of total exports)" NA "X2018"
"38" "Chile" "CHL" "International tourism, receipts (% of total exports)" 4.63342178600577 "X2018"
"39" "China" "CHN" "International tourism, receipts (% of total exports)" 1.52341960462756 "X2018"
"40" "Cote d'Ivoire" "CIV" "International tourism, receipts (% of total exports)" NA "X2018"
"41" "Cameroon" "CMR" "International tourism, receipts (% of total exports)" 8.66996592573408 "X2018"
"42" "Congo, Dem. Rep." "COD" "International tourism, receipts (% of total exports)" 0.376205306165348 "X2018"
"43" "Congo, Rep." "COG" "International tourism, receipts (% of total exports)" NA "X2018"
"44" "Colombia" "COL" "International tourism, receipts (% of total exports)" 12.2508998097043 "X2018"
"45" "Comoros" "COM" "International tourism, receipts (% of total exports)" 50.4351159740491 "X2018"
"46" "Cabo Verde" "CPV" "International tourism, receipts (% of total exports)" 53.5842255392712 "X2018"
"47" "Costa Rica" "CRI" "International tourism, receipts (% of total exports)" 19.3973474852318 "X2018"
"48" "Caribbean small states" "CSS" "International tourism, receipts (% of total exports)" 35.7023029918698 "X2018"
"49" "Cuba" "CUB" "International tourism, receipts (% of total exports)" NA "X2018"
"50" "Curacao" "CUW" "International tourism, receipts (% of total exports)" 31.5679164213214 "X2018"
"51" "Cayman Islands" "CYM" "International tourism, receipts (% of total exports)" NA "X2018"
"52" "Cyprus" "CYP" "International tourism, receipts (% of total exports)" 18.9232403187276 "X2018"
"53" "Czech Republic" "CZE" "International tourism, receipts (% of total exports)" 4.31227059186259 "X2018"
"54" "Germany" "DEU" "International tourism, receipts (% of total exports)" 3.22285053527186 "X2018"
"55" "Djibouti" "DJI" "International tourism, receipts (% of total exports)" NA "X2018"
"56" "Dominica" "DMA" "International tourism, receipts (% of total exports)" 68.538006850991 "X2018"
"57" "Denmark" "DNK" "International tourism, receipts (% of total exports)" 4.59775437271808 "X2018"
"58" "Dominican Republic" "DOM" "International tourism, receipts (% of total exports)" 37.4460793296255 "X2018"
"59" "Algeria" "DZA" "International tourism, receipts (% of total exports)" NA "X2018"
"60" "East Asia & Pacific (excluding high income)" "EAP" "International tourism, receipts (% of total exports)" 4.49776792904924 "X2018"
"61" "Early-demographic dividend" "EAR" "International tourism, receipts (% of total exports)" 8.66273709676454 "X2018"
"62" "East Asia & Pacific" "EAS" "International tourism, receipts (% of total exports)" 5.42781808634583 "X2018"
"63" "Europe & Central Asia (excluding high income)" "ECA" "International tourism, receipts (% of total exports)" 7.57269831547487 "X2018"
"64" "Europe & Central Asia" "ECS" "International tourism, receipts (% of total exports)" 6.28938648148198 "X2018"
"65" "Ecuador" "ECU" "International tourism, receipts (% of total exports)" 7.61486108501925 "X2018"
"66" "Egypt, Arab Rep." "EGY" "International tourism, receipts (% of total exports)" 24.6108510877487 "X2018"
"67" "Euro area" "EMU" "International tourism, receipts (% of total exports)" 6.32706758989443 "X2018"
"68" "Eritrea" "ERI" "International tourism, receipts (% of total exports)" NA "X2018"
"69" "Spain" "ESP" "International tourism, receipts (% of total exports)" 16.3031973538393 "X2018"
"70" "Estonia" "EST" "International tourism, receipts (% of total exports)" 10.2228003517302 "X2018"
"71" "Ethiopia" "ETH" "International tourism, receipts (% of total exports)" 46.5352282793683 "X2018"
"72" "European Union" "EUU" "International tourism, receipts (% of total exports)" 6.22998627243063 "X2018"
"73" "Fragile and conflict affected situations" "FCS" "International tourism, receipts (% of total exports)" 9.17349294462207 "X2018"
"74" "Finland" "FIN" "International tourism, receipts (% of total exports)" 5.27907315743818 "X2018"
"75" "Fiji" "FJI" "International tourism, receipts (% of total exports)" 51.3240403469038 "X2018"
"76" "France" "FRA" "International tourism, receipts (% of total exports)" 8.07752900565779 "X2018"
"77" "Faroe Islands" "FRO" "International tourism, receipts (% of total exports)" NA "X2018"
"78" "Micronesia, Fed. Sts." "FSM" "International tourism, receipts (% of total exports)" NA "X2018"
"79" "Gabon" "GAB" "International tourism, receipts (% of total exports)" NA "X2018"
"80" "United Kingdom" "GBR" "International tourism, receipts (% of total exports)" 5.66244750769187 "X2018"
"81" "Georgia" "GEO" "International tourism, receipts (% of total exports)" 39.5431186389124 "X2018"
"82" "Ghana" "GHA" "International tourism, receipts (% of total exports)" 4.42376536974536 "X2018"
"83" "Gibraltar" "GIB" "International tourism, receipts (% of total exports)" NA "X2018"
"84" "Guinea" "GIN" "International tourism, receipts (% of total exports)" 0.188629788318182 "X2018"
"85" "Gambia, The" "GMB" "International tourism, receipts (% of total exports)" 48.2694865019217 "X2018"
"86" "Guinea-Bissau" "GNB" "International tourism, receipts (% of total exports)" 5.25980895623503 "X2018"
"87" "Equatorial Guinea" "GNQ" "International tourism, receipts (% of total exports)" NA "X2018"
"88" "Greece" "GRC" "International tourism, receipts (% of total exports)" 26.3766965912666 "X2018"
"89" "Grenada" "GRD" "International tourism, receipts (% of total exports)" 84.3383121928503 "X2018"
"90" "Greenland" "GRL" "International tourism, receipts (% of total exports)" NA "X2018"
"91" "Guatemala" "GTM" "International tourism, receipts (% of total exports)" 11.1311802061383 "X2018"
"92" "Guam" "GUM" "International tourism, receipts (% of total exports)" NA "X2018"
"93" "Guyana" "GUY" "International tourism, receipts (% of total exports)" 1.75306045052141 "X2018"
"94" "High income" "HIC" "International tourism, receipts (% of total exports)" 6.82131306505478 "X2018"
"95" "Hong Kong SAR, China" "HKG" "International tourism, receipts (% of total exports)" 6.13152397147533 "X2018"
"96" "Honduras" "HND" "International tourism, receipts (% of total exports)" 10.2277038951877 "X2018"
"97" "Heavily indebted poor countries (HIPC)" "HPC" "International tourism, receipts (% of total exports)" 11.8413931922153 "X2018"
"98" "Croatia" "HRV" "International tourism, receipts (% of total exports)" 38.5868735951335 "X2018"
"99" "Haiti" "HTI" "International tourism, receipts (% of total exports)" 34.8631710747482 "X2018"
"100" "Hungary" "HUN" "International tourism, receipts (% of total exports)" 7.15034979440386 "X2018"
"101" "IBRD only" "IBD" "International tourism, receipts (% of total exports)" 6.02347581113325 "X2018"
