"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Expense (% of GDP)" NA "X2018"
"2" "Afghanistan" "AFG" "Expense (% of GDP)" NA "X2018"
"3" "Angola" "AGO" "Expense (% of GDP)" NA "X2018"
"4" "Albania" "ALB" "Expense (% of GDP)" 23.3498809150361 "X2018"
"5" "Andorra" "AND" "Expense (% of GDP)" NA "X2018"
"6" "Arab World" "ARB" "Expense (% of GDP)" NA "X2018"
"7" "United Arab Emirates" "ARE" "Expense (% of GDP)" 4.04000838393531 "X2018"
"8" "Argentina" "ARG" "Expense (% of GDP)" NA "X2018"
"9" "Armenia" "ARM" "Expense (% of GDP)" 22.12084600425 "X2018"
"10" "American Samoa" "ASM" "Expense (% of GDP)" NA "X2018"
"11" "Antigua and Barbuda" "ATG" "Expense (% of GDP)" NA "X2018"
"12" "Australia" "AUS" "Expense (% of GDP)" 26.1172616602158 "X2018"
"13" "Austria" "AUT" "Expense (% of GDP)" NA "X2018"
"14" "Azerbaijan" "AZE" "Expense (% of GDP)" NA "X2018"
"15" "Burundi" "BDI" "Expense (% of GDP)" NA "X2018"
"16" "Belgium" "BEL" "Expense (% of GDP)" NA "X2018"
"17" "Benin" "BEN" "Expense (% of GDP)" NA "X2018"
"18" "Burkina Faso" "BFA" "Expense (% of GDP)" 19.5321668756471 "X2018"
"19" "Bangladesh" "BGD" "Expense (% of GDP)" NA "X2018"
"20" "Bulgaria" "BGR" "Expense (% of GDP)" NA "X2018"
"21" "Bahrain" "BHR" "Expense (% of GDP)" NA "X2018"
"22" "Bahamas, The" "BHS" "Expense (% of GDP)" 17.9367459455109 "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Expense (% of GDP)" 35.1318033511872 "X2018"
"24" "Belarus" "BLR" "Expense (% of GDP)" NA "X2018"
"25" "Belize" "BLZ" "Expense (% of GDP)" NA "X2018"
"26" "Bermuda" "BMU" "Expense (% of GDP)" NA "X2018"
"27" "Bolivia" "BOL" "Expense (% of GDP)" NA "X2018"
"28" "Brazil" "BRA" "Expense (% of GDP)" NA "X2018"
"29" "Barbados" "BRB" "Expense (% of GDP)" NA "X2018"
"30" "Brunei Darussalam" "BRN" "Expense (% of GDP)" NA "X2018"
"31" "Bhutan" "BTN" "Expense (% of GDP)" NA "X2018"
"32" "Botswana" "BWA" "Expense (% of GDP)" 23.638997516755 "X2018"
"33" "Central African Republic" "CAF" "Expense (% of GDP)" NA "X2018"
"34" "Canada" "CAN" "Expense (% of GDP)" 17.3245483953618 "X2018"
"35" "Central Europe and the Baltics" "CEB" "Expense (% of GDP)" NA "X2018"
"36" "Switzerland" "CHE" "Expense (% of GDP)" 16.9715587456091 "X2018"
"37" "Channel Islands" "CHI" "Expense (% of GDP)" NA "X2018"
"38" "Chile" "CHL" "Expense (% of GDP)" 22.4034732087337 "X2018"
"39" "China" "CHN" "Expense (% of GDP)" NA "X2018"
"40" "Cote d'Ivoire" "CIV" "Expense (% of GDP)" NA "X2018"
"41" "Cameroon" "CMR" "Expense (% of GDP)" NA "X2018"
"42" "Congo, Dem. Rep." "COD" "Expense (% of GDP)" NA "X2018"
"43" "Congo, Rep." "COG" "Expense (% of GDP)" NA "X2018"
"44" "Colombia" "COL" "Expense (% of GDP)" NA "X2018"
"45" "Comoros" "COM" "Expense (% of GDP)" NA "X2018"
"46" "Cabo Verde" "CPV" "Expense (% of GDP)" NA "X2018"
"47" "Costa Rica" "CRI" "Expense (% of GDP)" 30.0206153771698 "X2018"
"48" "Caribbean small states" "CSS" "Expense (% of GDP)" NA "X2018"
