"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Research and development expenditure (% of GDP)" NA "X2018"
"2" "Afghanistan" "AFG" "Research and development expenditure (% of GDP)" NA "X2018"
"3" "Angola" "AGO" "Research and development expenditure (% of GDP)" NA "X2018"
"4" "Albania" "ALB" "Research and development expenditure (% of GDP)" NA "X2018"
"5" "Andorra" "AND" "Research and development expenditure (% of GDP)" NA "X2018"
"6" "Arab World" "ARB" "Research and development expenditure (% of GDP)" NA "X2018"
"7" "United Arab Emirates" "ARE" "Research and development expenditure (% of GDP)" 1.30316 "X2018"
"8" "Argentina" "ARG" "Research and development expenditure (% of GDP)" NA "X2018"
"9" "Armenia" "ARM" "Research and development expenditure (% of GDP)" 0.18913 "X2018"
"10" "American Samoa" "ASM" "Research and development expenditure (% of GDP)" NA "X2018"
"11" "Antigua and Barbuda" "ATG" "Research and development expenditure (% of GDP)" NA "X2018"
"12" "Australia" "AUS" "Research and development expenditure (% of GDP)" NA "X2018"
"13" "Austria" "AUT" "Research and development expenditure (% of GDP)" NA "X2018"
"14" "Azerbaijan" "AZE" "Research and development expenditure (% of GDP)" 0.18484 "X2018"
"15" "Burundi" "BDI" "Research and development expenditure (% of GDP)" NA "X2018"
"16" "Belgium" "BEL" "Research and development expenditure (% of GDP)" NA "X2018"
"17" "Benin" "BEN" "Research and development expenditure (% of GDP)" NA "X2018"
"18" "Burkina Faso" "BFA" "Research and development expenditure (% of GDP)" NA "X2018"
"19" "Bangladesh" "BGD" "Research and development expenditure (% of GDP)" NA "X2018"
"20" "Bulgaria" "BGR" "Research and development expenditure (% of GDP)" NA "X2018"
"21" "Bahrain" "BHR" "Research and development expenditure (% of GDP)" NA "X2018"
"22" "Bahamas, The" "BHS" "Research and development expenditure (% of GDP)" NA "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Research and development expenditure (% of GDP)" 0.1988 "X2018"
"24" "Belarus" "BLR" "Research and development expenditure (% of GDP)" 0.60817 "X2018"
"25" "Belize" "BLZ" "Research and development expenditure (% of GDP)" NA "X2018"
"26" "Bermuda" "BMU" "Research and development expenditure (% of GDP)" NA "X2018"
"27" "Bolivia" "BOL" "Research and development expenditure (% of GDP)" NA "X2018"
"28" "Brazil" "BRA" "Research and development expenditure (% of GDP)" NA "X2018"
"29" "Barbados" "BRB" "Research and development expenditure (% of GDP)" NA "X2018"
"30" "Brunei Darussalam" "BRN" "Research and development expenditure (% of GDP)" NA "X2018"
"31" "Bhutan" "BTN" "Research and development expenditure (% of GDP)" NA "X2018"
"32" "Botswana" "BWA" "Research and development expenditure (% of GDP)" NA "X2018"
"33" "Central African Republic" "CAF" "Research and development expenditure (% of GDP)" NA "X2018"
