"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Researchers in R&D (per million people)" NA "X2018"
"2" "Afghanistan" "AFG" "Researchers in R&D (per million people)" NA "X2018"
"3" "Angola" "AGO" "Researchers in R&D (per million people)" NA "X2018"
"4" "Albania" "ALB" "Researchers in R&D (per million people)" NA "X2018"
"5" "Andorra" "AND" "Researchers in R&D (per million people)" NA "X2018"
"6" "Arab World" "ARB" "Researchers in R&D (per million people)" NA "X2018"
"7" "United Arab Emirates" "ARE" "Researchers in R&D (per million people)" 2378.88895 "X2018"
"8" "Argentina" "ARG" "Researchers in R&D (per million people)" NA "X2018"
"9" "Armenia" "ARM" "Researchers in R&D (per million people)" NA "X2018"
"10" "American Samoa" "ASM" "Researchers in R&D (per million people)" NA "X2018"
"11" "Antigua and Barbuda" "ATG" "Researchers in R&D (per million people)" NA "X2018"
"12" "Australia" "AUS" "Researchers in R&D (per million people)" NA "X2018"
"13" "Austria" "AUT" "Researchers in R&D (per million people)" NA "X2018"
"14" "Azerbaijan" "AZE" "Researchers in R&D (per million people)" NA "X2018"
"15" "Burundi" "BDI" "Researchers in R&D (per million people)" NA "X2018"
"16" "Belgium" "BEL" "Researchers in R&D (per million people)" NA "X2018"
"17" "Benin" "BEN" "Researchers in R&D (per million people)" NA "X2018"
"18" "Burkina Faso" "BFA" "Researchers in R&D (per million people)" NA "X2018"
"19" "Bangladesh" "BGD" "Researchers in R&D (per million people)" NA "X2018"
"20" "Bulgaria" "BGR" "Researchers in R&D (per million people)" NA "X2018"
"21" "Bahrain" "BHR" "Researchers in R&D (per million people)" NA "X2018"
"22" "Bahamas, The" "BHS" "Researchers in R&D (per million people)" NA "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Researchers in R&D (per million people)" 471.2501 "X2018"
"24" "Belarus" "BLR" "Researchers in R&D (per million people)" NA "X2018"
"25" "Belize" "BLZ" "Researchers in R&D (per million people)" NA "X2018"
"26" "Bermuda" "BMU" "Researchers in R&D (per million people)" NA "X2018"
"27" "Bolivia" "BOL" "Researchers in R&D (per million people)" NA "X2018"
"28" "Brazil" "BRA" "Researchers in R&D (per million people)" NA "X2018"
"29" "Barbados" "BRB" "Researchers in R&D (per million people)" NA "X2018"
"30" "Brunei Darussalam" "BRN" "Researchers in R&D (per million people)" NA "X2018"
"31" "Bhutan" "BTN" "Researchers in R&D (per million people)" NA "X2018"
"32" "Botswana" "BWA" "Researchers in R&D (per million people)" NA "X2018"
"33" "Central African Republic" "CAF" "Researchers in R&D (per million people)" NA "X2018"
"34" "Canada" "CAN" "Researchers in R&D (per million people)" NA "X2018"
"35" "Central Europe and the Baltics" "CEB" "Researchers in R&D (per million people)" NA "X2018"
"36" "Switzerland" "CHE" "Researchers in R&D (per million people)" NA "X2018"
"37" "Channel Islands" "CHI" "Researchers in R&D (per million people)" NA "X2018"
"38" "Chile" "CHL" "Researchers in R&D (per million people)" NA "X2018"
"39" "China" "CHN" "Researchers in R&D (per million people)" NA "X2018"
"40" "Cote d'Ivoire" "CIV" "Researchers in R&D (per million people)" NA "X2018"
"41" "Cameroon" "CMR" "Researchers in R&D (per million people)" NA "X2018"
"42" "Congo, Dem. Rep." "COD" "Researchers in R&D (per million people)" NA "X2018"
"43" "Congo, Rep." "COG" "Researchers in R&D (per million people)" NA "X2018"
"44" "Colombia" "COL" "Researchers in R&D (per million people)" NA "X2018"
"45" "Comoros" "COM" "Researchers in R&D (per million people)" NA "X2018"
"46" "Cabo Verde" "CPV" "Researchers in R&D (per million people)" NA "X2018"
"47" "Costa Rica" "CRI" "Researchers in R&D (per million people)" NA "X2018"
"48" "Caribbean small states" "CSS" "Researchers in R&D (per million people)" NA "X2018"
"49" "Cuba" "CUB" "Researchers in R&D (per million people)" NA "X2018"
"50" "Curacao" "CUW" "Researchers in R&D (per million people)" NA "X2018"
"51" "Cayman Islands" "CYM" "Researchers in R&D (per million people)" NA "X2018"
"52" "Cyprus" "CYP" "Researchers in R&D (per million people)" NA "X2018"
"53" "Czech Republic" "CZE" "Researchers in R&D (per million people)" NA "X2018"
"54" "Germany" "DEU" "Researchers in R&D (per million people)" NA "X2018"
"55" "Djibouti" "DJI" "Researchers in R&D (per million people)" NA "X2018"
"56" "Dominica" "DMA" "Researchers in R&D (per million people)" NA "X2018"
"57" "Denmark" "DNK" "Researchers in R&D (per million people)" NA "X2018"
"58" "Dominican Republic" "DOM" "Researchers in R&D (per million people)" NA "X2018"
"59" "Algeria" "DZA" "Researchers in R&D (per million people)" NA "X2018"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Researchers in R&D (per million people)" NA "X2018"
"61" "Early-demographic dividend" "EAR" "Researchers in R&D (per million people)" NA "X2018"
"62" "East Asia & Pacific" "EAS" "Researchers in R&D (per million people)" NA "X2018"
"63" "Europe & Central Asia (excluding high income)" "ECA" "Researchers in R&D (per million people)" NA "X2018"
"64" "Europe & Central Asia" "ECS" "Researchers in R&D (per million people)" NA "X2018"
"65" "Ecuador" "ECU" "Researchers in R&D (per million people)" NA "X2018"
"66" "Egypt, Arab Rep." "EGY" "Researchers in R&D (per million people)" 686.71743 "X2018"
"67" "Euro area" "EMU" "Researchers in R&D (per million people)" NA "X2018"
"68" "Eritrea" "ERI" "Researchers in R&D (per million people)" NA "X2018"
"69" "Spain" "ESP" "Researchers in R&D (per million people)" NA "X2018"
"70" "Estonia" "EST" "Researchers in R&D (per million people)" NA "X2018"
"71" "Ethiopia" "ETH" "Researchers in R&D (per million people)" NA "X2018"
"72" "European Union" "EUU" "Researchers in R&D (per million people)" NA "X2018"
"73" "Fragile and conflict affected situations" "FCS" "Researchers in R&D (per million people)" NA "X2018"
"74" "Finland" "FIN" "Researchers in R&D (per million people)" NA "X2018"
"75" "Fiji" "FJI" "Researchers in R&D (per million people)" NA "X2018"
"76" "France" "FRA" "Researchers in R&D (per million people)" NA "X2018"
"77" "Faroe Islands" "FRO" "Researchers in R&D (per million people)" NA "X2018"
"78" "Micronesia, Fed. Sts." "FSM" "Researchers in R&D (per million people)" NA "X2018"
