"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "GDP per person employed (constant 2011 PPP $)" NA "X2019"
"2" "Afghanistan" "AFG" "GDP per person employed (constant 2011 PPP $)" 4916.10693359375 "X2019"
"3" "Angola" "AGO" "GDP per person employed (constant 2011 PPP $)" 14784.7001953125 "X2019"
"4" "Albania" "ALB" "GDP per person employed (constant 2011 PPP $)" 31132.7109375 "X2019"
"5" "Andorra" "AND" "GDP per person employed (constant 2011 PPP $)" NA "X2019"
"6" "Arab World" "ARB" "GDP per person employed (constant 2011 PPP $)" 53424.8698579491 "X2019"
"7" "United Arab Emirates" "ARE" "GDP per person employed (constant 2011 PPP $)" 100218.2890625 "X2019"
"8" "Argentina" "ARG" "GDP per person employed (constant 2011 PPP $)" 48109.37109375 "X2019"
"9" "Armenia" "ARM" "GDP per person employed (constant 2011 PPP $)" 24805.095703125 "X2019"
"10" "American Samoa" "ASM" "GDP per person employed (constant 2011 PPP $)" NA "X2019"
"11" "Antigua and Barbuda" "ATG" "GDP per person employed (constant 2011 PPP $)" NA "X2019"
"12" "Australia" "AUS" "GDP per person employed (constant 2011 PPP $)" 92936.21875 "X2019"
"13" "Austria" "AUT" "GDP per person employed (constant 2011 PPP $)" 96643.1875 "X2019"
"14" "Azerbaijan" "AZE" "GDP per person employed (constant 2011 PPP $)" 34190.171875 "X2019"
"15" "Burundi" "BDI" "GDP per person employed (constant 2011 PPP $)" 1614.05200195313 "X2019"
"16" "Belgium" "BEL" "GDP per person employed (constant 2011 PPP $)" 105301.421875 "X2019"
"17" "Benin" "BEN" "GDP per person employed (constant 2011 PPP $)" 5455.67822265625 "X2019"
"18" "Burkina Faso" "BFA" "GDP per person employed (constant 2011 PPP $)" 5280.03076171875 "X2019"
"19" "Bangladesh" "BGD" "GDP per person employed (constant 2011 PPP $)" 9690.7099609375 "X2019"
"20" "Bulgaria" "BGR" "GDP per person employed (constant 2011 PPP $)" 44353.84765625 "X2019"
"21" "Bahrain" "BHR" "GDP per person employed (constant 2011 PPP $)" 70352.3828125 "X2019"
"22" "Bahamas, The" "BHS" "GDP per person employed (constant 2011 PPP $)" 54089.23828125 "X2019"
"23" "Bosnia and Herzegovina" "BIH" "GDP per person employed (constant 2011 PPP $)" 39423.4453125 "X2019"
"24" "Belarus" "BLR" "GDP per person employed (constant 2011 PPP $)" 37015.5078125 "X2019"
"25" "Belize" "BLZ" "GDP per person employed (constant 2011 PPP $)" 18508.841796875 "X2019"
"26" "Bermuda" "BMU" "GDP per person employed (constant 2011 PPP $)" NA "X2019"
"27" "Bolivia" "BOL" "GDP per person employed (constant 2011 PPP $)" 15840.8193359375 "X2019"
"28" "Brazil" "BRA" "GDP per person employed (constant 2011 PPP $)" 33194.62890625 "X2019"
"29" "Barbados" "BRB" "GDP per person employed (constant 2011 PPP $)" 36284.703125 "X2019"
"30" "Brunei Darussalam" "BRN" "GDP per person employed (constant 2011 PPP $)" 170535.765625 "X2019"
"31" "Bhutan" "BTN" "GDP per person employed (constant 2011 PPP $)" 20435.7109375 "X2019"
"32" "Botswana" "BWA" "GDP per person employed (constant 2011 PPP $)" 40666.953125 "X2019"
"33" "Central African Republic" "CAF" "GDP per person employed (constant 2011 PPP $)" 1819.29504394531 "X2019"
"34" "Canada" "CAN" "GDP per person employed (constant 2011 PPP $)" 87936.3984375 "X2019"
"35" "Central Europe and the Baltics" "CEB" "GDP per person employed (constant 2011 PPP $)" 61685.5248927205 "X2019"
"36" "Switzerland" "CHE" "GDP per person employed (constant 2011 PPP $)" 106681.3671875 "X2019"
"37" "Channel Islands" "CHI" "GDP per person employed (constant 2011 PPP $)" 109422.234375 "X2019"
"38" "Chile" "CHL" "GDP per person employed (constant 2011 PPP $)" 51702.81640625 "X2019"
"39" "China" "CHN" "GDP per person employed (constant 2011 PPP $)" 31379.9921875 "X2019"
"40" "Cote d'Ivoire" "CIV" "GDP per person employed (constant 2011 PPP $)" 12113.244140625 "X2019"
"41" "Cameroon" "CMR" "GDP per person employed (constant 2011 PPP $)" 8176.7578125 "X2019"
"42" "Congo, Dem. Rep." "COD" "GDP per person employed (constant 2011 PPP $)" 2495.19604492188 "X2019"
"43" "Congo, Rep." "COG" "GDP per person employed (constant 2011 PPP $)" 13040.802734375 "X2019"
"44" "Colombia" "COL" "GDP per person employed (constant 2011 PPP $)" 28080.451171875 "X2019"
"45" "Comoros" "COM" "GDP per person employed (constant 2011 PPP $)" 5668.2880859375 "X2019"
"46" "Cabo Verde" "CPV" "GDP per person employed (constant 2011 PPP $)" 15359.869140625 "X2019"
"47" "Costa Rica" "CRI" "GDP per person employed (constant 2011 PPP $)" 37608.67578125 "X2019"
"48" "Caribbean small states" "CSS" "GDP per person employed (constant 2011 PPP $)" 33325.9649712146 "X2019"
"49" "Cuba" "CUB" "GDP per person employed (constant 2011 PPP $)" NA "X2019"
"50" "Curacao" "CUW" "GDP per person employed (constant 2011 PPP $)" NA "X2019"
"51" "Cayman Islands" "CYM" "GDP per person employed (constant 2011 PPP $)" NA "X2019"
"52" "Cyprus" "CYP" "GDP per person employed (constant 2011 PPP $)" 51596.453125 "X2019"
"53" "Czech Republic" "CZE" "GDP per person employed (constant 2011 PPP $)" 70237.859375 "X2019"
"54" "Germany" "DEU" "GDP per person employed (constant 2011 PPP $)" 92717.6875 "X2019"
"55" "Djibouti" "DJI" "GDP per person employed (constant 2011 PPP $)" 9836.248046875 "X2019"
"56" "Dominica" "DMA" "GDP per person employed (constant 2011 PPP $)" NA "X2019"
"57" "Denmark" "DNK" "GDP per person employed (constant 2011 PPP $)" 98470.953125 "X2019"
