"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Logistics performance index: Overall (1=low to 5=high)" NA "X2018"
"2" "Afghanistan" "AFG" "Logistics performance index: Overall (1=low to 5=high)" 1.95 "X2018"
"3" "Angola" "AGO" "Logistics performance index: Overall (1=low to 5=high)" 2.05 "X2018"
"4" "Albania" "ALB" "Logistics performance index: Overall (1=low to 5=high)" 2.66 "X2018"
"5" "Andorra" "AND" "Logistics performance index: Overall (1=low to 5=high)" NA "X2018"
"6" "Arab World" "ARB" "Logistics performance index: Overall (1=low to 5=high)" 2.67809523809524 "X2018"
"7" "United Arab Emirates" "ARE" "Logistics performance index: Overall (1=low to 5=high)" 3.96 "X2018"
"8" "Argentina" "ARG" "Logistics performance index: Overall (1=low to 5=high)" 2.89 "X2018"
"9" "Armenia" "ARM" "Logistics performance index: Overall (1=low to 5=high)" 2.61 "X2018"
"10" "American Samoa" "ASM" "Logistics performance index: Overall (1=low to 5=high)" NA "X2018"
"11" "Antigua and Barbuda" "ATG" "Logistics performance index: Overall (1=low to 5=high)" NA "X2018"
"12" "Australia" "AUS" "Logistics performance index: Overall (1=low to 5=high)" 3.75 "X2018"
"13" "Austria" "AUT" "Logistics performance index: Overall (1=low to 5=high)" 4.03 "X2018"
"14" "Azerbaijan" "AZE" "Logistics performance index: Overall (1=low to 5=high)" NA "X2018"
"15" "Burundi" "BDI" "Logistics performance index: Overall (1=low to 5=high)" 2.06 "X2018"
"16" "Belgium" "BEL" "Logistics performance index: Overall (1=low to 5=high)" 4.04 "X2018"
"17" "Benin" "BEN" "Logistics performance index: Overall (1=low to 5=high)" 2.75 "X2018"
"18" "Burkina Faso" "BFA" "Logistics performance index: Overall (1=low to 5=high)" 2.62 "X2018"
"19" "Bangladesh" "BGD" "Logistics performance index: Overall (1=low to 5=high)" 2.58 "X2018"
"20" "Bulgaria" "BGR" "Logistics performance index: Overall (1=low to 5=high)" 3.03 "X2018"
"21" "Bahrain" "BHR" "Logistics performance index: Overall (1=low to 5=high)" 2.93 "X2018"
"22" "Bahamas, The" "BHS" "Logistics performance index: Overall (1=low to 5=high)" 2.53 "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Logistics performance index: Overall (1=low to 5=high)" 2.81 "X2018"
"24" "Belarus" "BLR" "Logistics performance index: Overall (1=low to 5=high)" 2.57 "X2018"
"25" "Belize" "BLZ" "Logistics performance index: Overall (1=low to 5=high)" NA "X2018"
"26" "Bermuda" "BMU" "Logistics performance index: Overall (1=low to 5=high)" NA "X2018"
"27" "Bolivia" "BOL" "Logistics performance index: Overall (1=low to 5=high)" 2.36 "X2018"
"28" "Brazil" "BRA" "Logistics performance index: Overall (1=low to 5=high)" 2.99 "X2018"
"29" "Barbados" "BRB" "Logistics performance index: Overall (1=low to 5=high)" NA "X2018"
"30" "Brunei Darussalam" "BRN" "Logistics performance index: Overall (1=low to 5=high)" 2.71 "X2018"
"31" "Bhutan" "BTN" "Logistics performance index: Overall (1=low to 5=high)" 2.17 "X2018"
"32" "Botswana" "BWA" "Logistics performance index: Overall (1=low to 5=high)" NA "X2018"
"33" "Central African Republic" "CAF" "Logistics performance index: Overall (1=low to 5=high)" 2.15 "X2018"
"34" "Canada" "CAN" "Logistics performance index: Overall (1=low to 5=high)" 3.73 "X2018"
"35" "Central Europe and the Baltics" "CEB" "Logistics performance index: Overall (1=low to 5=high)" 3.21545454545455 "X2018"
"36" "Switzerland" "CHE" "Logistics performance index: Overall (1=low to 5=high)" 3.9 "X2018"
"37" "Channel Islands" "CHI" "Logistics performance index: Overall (1=low to 5=high)" NA "X2018"
"38" "Chile" "CHL" "Logistics performance index: Overall (1=low to 5=high)" 3.32 "X2018"
"39" "China" "CHN" "Logistics performance index: Overall (1=low to 5=high)" 3.61 "X2018"
"40" "Cote d'Ivoire" "CIV" "Logistics performance index: Overall (1=low to 5=high)" 3.08 "X2018"
"41" "Cameroon" "CMR" "Logistics performance index: Overall (1=low to 5=high)" 2.6 "X2018"
"42" "Congo, Dem. Rep." "COD" "Logistics performance index: Overall (1=low to 5=high)" 2.43 "X2018"
"43" "Congo, Rep." "COG" "Logistics performance index: Overall (1=low to 5=high)" 2.49 "X2018"
"44" "Colombia" "COL" "Logistics performance index: Overall (1=low to 5=high)" 2.94 "X2018"
"45" "Comoros" "COM" "Logistics performance index: Overall (1=low to 5=high)" 2.56 "X2018"
"46" "Cabo Verde" "CPV" "Logistics performance index: Overall (1=low to 5=high)" NA "X2018"
"47" "Costa Rica" "CRI" "Logistics performance index: Overall (1=low to 5=high)" 2.79 "X2018"
"48" "Caribbean small states" "CSS" "Logistics performance index: Overall (1=low to 5=high)" 2.4575 "X2018"
"49" "Cuba" "CUB" "Logistics performance index: Overall (1=low to 5=high)" 2.2 "X2018"
"50" "Curacao" "CUW" "Logistics performance index: Overall (1=low to 5=high)" NA "X2018"
"51" "Cayman Islands" "CYM" "Logistics performance index: Overall (1=low to 5=high)" NA "X2018"
"52" "Cyprus" "CYP" "Logistics performance index: Overall (1=low to 5=high)" 3.15 "X2018"
"53" "Czech Republic" "CZE" "Logistics performance index: Overall (1=low to 5=high)" 3.68 "X2018"
"54" "Germany" "DEU" "Logistics performance index: Overall (1=low to 5=high)" 4.2 "X2018"
"55" "Djibouti" "DJI" "Logistics performance index: Overall (1=low to 5=high)" 2.63 "X2018"
"56" "Dominica" "DMA" "Logistics performance index: Overall (1=low to 5=high)" NA "X2018"
"57" "Denmark" "DNK" "Logistics performance index: Overall (1=low to 5=high)" 3.99 "X2018"
"58" "Dominican Republic" "DOM" "Logistics performance index: Overall (1=low to 5=high)" 2.66 "X2018"
"59" "Algeria" "DZA" "Logistics performance index: Overall (1=low to 5=high)" 2.45 "X2018"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Logistics performance index: Overall (1=low to 5=high)" 2.81538461538462 "X2018"
"61" "Early-demographic dividend" "EAR" "Logistics performance index: Overall (1=low to 5=high)" 2.63297872340425 "X2018"
"62" "East Asia & Pacific" "EAS" "Logistics performance index: Overall (1=low to 5=high)" 3.14761904761905 "X2018"
"63" "Europe & Central Asia (excluding high income)" "ECA" "Logistics performance index: Overall (1=low to 5=high)" 2.70631578947368 "X2018"
"64" "Europe & Central Asia" "ECS" "Logistics performance index: Overall (1=low to 5=high)" 3.24042553191489 "X2018"
"65" "Ecuador" "ECU" "Logistics performance index: Overall (1=low to 5=high)" 2.88 "X2018"
"66" "Egypt, Arab Rep." "EGY" "Logistics performance index: Overall (1=low to 5=high)" 2.82 "X2018"
"67" "Euro area" "EMU" "Logistics performance index: Overall (1=low to 5=high)" 3.53105263157895 "X2018"
"68" "Eritrea" "ERI" "Logistics performance index: Overall (1=low to 5=high)" 2.09 "X2018"
"69" "Spain" "ESP" "Logistics performance index: Overall (1=low to 5=high)" 3.83 "X2018"
