"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Population in the largest city (% of urban population)" NA "X2018"
"2" "Afghanistan" "AFG" "Population in the largest city (% of urban population)" 42.3311983623682 "X2018"
"3" "Angola" "AGO" "Population in the largest city (% of urban population)" 38.515297744971 "X2018"
"4" "Albania" "ALB" "Population in the largest city (% of urban population)" 27.5063925379807 "X2018"
"5" "Andorra" "AND" "Population in the largest city (% of urban population)" NA "X2018"
"6" "Arab World" "ARB" "Population in the largest city (% of urban population)" 29.0157691528897 "X2018"
"7" "United Arab Emirates" "ARE" "Population in the largest city (% of urban population)" 33.4262581877277 "X2018"
"8" "Argentina" "ARG" "Population in the largest city (% of urban population)" 36.6134837504002 "X2018"
"9" "Armenia" "ARM" "Population in the largest city (% of urban population)" 57.9567675616692 "X2018"
"10" "American Samoa" "ASM" "Population in the largest city (% of urban population)" NA "X2018"
"11" "Antigua and Barbuda" "ATG" "Population in the largest city (% of urban population)" NA "X2018"
"12" "Australia" "AUS" "Population in the largest city (% of urban population)" 22.2933745854429 "X2018"
"13" "Austria" "AUT" "Population in the largest city (% of urban population)" 36.8497527026846 "X2018"
"14" "Azerbaijan" "AZE" "Population in the largest city (% of urban population)" 41.2892628685675 "X2018"
"15" "Burundi" "BDI" "Population in the largest city (% of urban population)" 61.726409750236 "X2018"
"16" "Belgium" "BEL" "Population in the largest city (% of urban population)" 18.3094284564919 "X2018"
"17" "Benin" "BEN" "Population in the largest city (% of urban population)" 17.0698953919223 "X2018"
"18" "Burkina Faso" "BFA" "Population in the largest city (% of urban population)" 43.6546158282195 "X2018"
"19" "Bangladesh" "BGD" "Population in the largest city (% of urban population)" 33.1231636140144 "X2018"
"20" "Bulgaria" "BGR" "Population in the largest city (% of urban population)" 24.1504015013882 "X2018"
"21" "Bahrain" "BHR" "Population in the largest city (% of urban population)" 40.2932266708532 "X2018"
"22" "Bahamas, The" "BHS" "Population in the largest city (% of urban population)" NA "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Population in the largest city (% of urban population)" 21.3625961100753 "X2018"
"24" "Belarus" "BLR" "Population in the largest city (% of urban population)" 26.89016113799 "X2018"
"25" "Belize" "BLZ" "Population in the largest city (% of urban population)" NA "X2018"
"26" "Bermuda" "BMU" "Population in the largest city (% of urban population)" NA "X2018"
"27" "Bolivia" "BOL" "Population in the largest city (% of urban population)" 23.0158036386824 "X2018"
"28" "Brazil" "BRA" "Population in the largest city (% of urban population)" 11.939294933562 "X2018"
"29" "Barbados" "BRB" "Population in the largest city (% of urban population)" NA "X2018"
"30" "Brunei Darussalam" "BRN" "Population in the largest city (% of urban population)" NA "X2018"
"31" "Bhutan" "BTN" "Population in the largest city (% of urban population)" NA "X2018"
"32" "Botswana" "BWA" "Population in the largest city (% of urban population)" NA "X2018"
"33" "Central African Republic" "CAF" "Population in the largest city (% of urban population)" 44.0858978344213 "X2018"
"34" "Canada" "CAN" "Population in the largest city (% of urban population)" 20.1605171497434 "X2018"
"35" "Central Europe and the Baltics" "CEB" "Population in the largest city (% of urban population)" 16.9480351231389 "X2018"
"36" "Switzerland" "CHE" "Population in the largest city (% of urban population)" 21.8104892749397 "X2018"
"37" "Channel Islands" "CHI" "Population in the largest city (% of urban population)" NA "X2018"
"38" "Chile" "CHL" "Population in the largest city (% of urban population)" 40.7339645446385 "X2018"
"39" "China" "CHN" "Population in the largest city (% of urban population)" 3.10527790612515 "X2018"
"40" "Cote d'Ivoire" "CIV" "Population in the largest city (% of urban population)" 38.6552483035222 "X2018"
"41" "Cameroon" "CMR" "Population in the largest city (% of urban population)" 25.7161651648096 "X2018"
