"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Population density (people per sq. km of land area)" 588.027777777778 "X2018"
"2" "Afghanistan" "AFG" "Population density (people per sq. km of land area)" 56.937760009803 "X2018"
"3" "Angola" "AGO" "Population density (people per sq. km of land area)" 24.7130520574316 "X2018"
"4" "Albania" "ALB" "Population density (people per sq. km of land area)" 104.612262773723 "X2018"
"5" "Andorra" "AND" "Population density (people per sq. km of land area)" 163.842553191489 "X2018"
"6" "Arab World" "ARB" "Population density (people per sq. km of land area)" 37.3723653654038 "X2018"
"7" "United Arab Emirates" "ARE" "Population density (people per sq. km of land area)" 135.609110109828 "X2018"
"8" "Argentina" "ARG" "Population density (people per sq. km of land area)" 16.2585100979651 "X2018"
"9" "Armenia" "ARM" "Population density (people per sq. km of land area)" 103.680224798033 "X2018"
"10" "American Samoa" "ASM" "Population density (people per sq. km of land area)" 277.325 "X2018"
"11" "Antigua and Barbuda" "ATG" "Population density (people per sq. km of land area)" 218.831818181818 "X2018"
"12" "Australia" "AUS" "Population density (people per sq. km of land area)" 3.24912948744283 "X2018"
"13" "Austria" "AUT" "Population density (people per sq. km of land area)" 107.206926667578 "X2018"
"14" "Azerbaijan" "AZE" "Population density (people per sq. km of land area)" 120.265319946776 "X2018"
"15" "Burundi" "BDI" "Population density (people per sq. km of land area)" 435.178271028037 "X2018"
"16" "Belgium" "BEL" "Population density (people per sq. km of land area)" 377.214927344782 "X2018"
"17" "Benin" "BEN" "Population density (people per sq. km of land area)" 101.853919829727 "X2018"
"18" "Burkina Faso" "BFA" "Population density (people per sq. km of land area)" 72.1912828947368 "X2018"
"19" "Bangladesh" "BGD" "Population density (people per sq. km of land area)" 1239.57931166936 "X2018"
"20" "Bulgaria" "BGR" "Population density (people per sq. km of land area)" 64.7035372144436 "X2018"
"21" "Bahrain" "BHR" "Population density (people per sq. km of land area)" 2017.27369979138 "X2018"
"22" "Bahamas, The" "BHS" "Population density (people per sq. km of land area)" 38.5254745254745 "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Population density (people per sq. km of land area)" 64.92048828125 "X2018"
"24" "Belarus" "BLR" "Population density (people per sq. km of land area)" 46.7287999040892 "X2018"
"25" "Belize" "BLZ" "Population density (people per sq. km of land area)" 16.7939938623411 "X2018"
"26" "Bermuda" "BMU" "Population density (people per sq. km of land area)" 1184.59257167194 "X2018"
"27" "Bolivia" "BOL" "Population density (people per sq. km of land area)" 10.4801458506416 "X2018"
"28" "Brazil" "BRA" "Population density (people per sq. km of land area)" 25.0617162430876 "X2018"
"29" "Barbados" "BRB" "Population density (people per sq. km of land area)" 666.606976744186 "X2018"
"30" "Brunei Darussalam" "BRN" "Population density (people per sq. km of land area)" 81.3969639468691 "X2018"
"31" "Bhutan" "BTN" "Population density (people per sq. km of land area)" 19.7775277714448 "X2018"
"32" "Botswana" "BWA" "Population density (people per sq. km of land area)" 3.97742487604327 "X2018"
"33" "Central African Republic" "CAF" "Population density (people per sq. km of land area)" 7.49041221227006 "X2018"
"34" "Canada" "CAN" "Population density (people per sq. km of land area)" 4.07530821431988 "X2018"
"35" "Central Europe and the Baltics" "CEB" "Population density (people per sq. km of land area)" 92.7664366303472 "X2018"
"36" "Switzerland" "CHE" "Population density (people per sq. km of land area)" 215.521378417094 "X2018"
"37" "Channel Islands" "CHI" "Population density (people per sq. km of land area)" 861.106093786457 "X2018"
"38" "Chile" "CHL" "Population density (people per sq. km of land area)" 25.1894460666519 "X2018"
"39" "China" "CHN" "Population density (people per sq. km of land area)" 148.348833270666 "X2018"
"40" "Cote d'Ivoire" "CIV" "Population density (people per sq. km of land area)" 78.8340534591195 "X2018"
"41" "Cameroon" "CMR" "Population density (people per sq. km of land area)" 53.3439889149796 "X2018"
"42" "Congo, Dem. Rep." "COD" "Population density (people per sq. km of land area)" 37.0825923557045 "X2018"
"43" "Congo, Rep." "COG" "Population density (people per sq. km of land area)" 15.3568462664715 "X2018"
"44" "Colombia" "COL" "Population density (people per sq. km of land area)" 44.7487021180712 "X2018"
"45" "Comoros" "COM" "Population density (people per sq. km of land area)" 447.244477540227 "X2018"
"46" "Cabo Verde" "CPV" "Population density (people per sq. km of land area)" 134.929776674938 "X2018"
"47" "Costa Rica" "CRI" "Population density (people per sq. km of land area)" 97.9130630630631 "X2018"
"48" "Caribbean small states" "CSS" "Population density (people per sq. km of land area)" 18.1770161788317 "X2018"
"49" "Cuba" "CUB" "Population density (people per sq. km of land area)" 108.999596231494 "X2018"
"50" "Curacao" "CUW" "Population density (people per sq. km of land area)" NA "X2018"
"51" "Cayman Islands" "CYM" "Population density (people per sq. km of land area)" 267.391666666667 "X2018"
"52" "Cyprus" "CYP" "Population density (people per sq. km of land area)" 128.708333333333 "X2018"
"53" "Czech Republic" "CZE" "Population density (people per sq. km of land area)" 137.602887852888 "X2018"
"54" "Germany" "DEU" "Population density (people per sq. km of land area)" 237.3709697733 "X2018"
"55" "Djibouti" "DJI" "Population density (people per sq. km of land area)" 41.3684210526316 "X2018"
"56" "Dominica" "DMA" "Population density (people per sq. km of land area)" 95.5 "X2018"
"57" "Denmark" "DNK" "Population density (people per sq. km of land area)" 138.067301738509 "X2018"
"58" "Dominican Republic" "DOM" "Population density (people per sq. km of land area)" 219.97857586421 "X2018"
"59" "Algeria" "DZA" "Population density (people per sq. km of land area)" 17.7300750711665 "X2018"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Population density (people per sq. km of land area)" 130.810431457567 "X2018"
"61" "Early-demographic dividend" "EAR" "Population density (people per sq. km of land area)" 98.13836364042 "X2018"
"62" "East Asia & Pacific" "EAS" "Population density (people per sq. km of land area)" 95.4316055341949 "X2018"
"63" "Europe & Central Asia (excluding high income)" "ECA" "Population density (people per sq. km of land area)" 18.4773754089394 "X2018"
"64" "Europe & Central Asia" "ECS" "Population density (people per sq. km of land area)" 33.4968853034031 "X2018"
"65" "Ecuador" "ECU" "Population density (people per sq. km of land area)" 68.7886817522951 "X2018"
"66" "Egypt, Arab Rep." "EGY" "Population density (people per sq. km of land area)" 98.8734692852479 "X2018"
"67" "Euro area" "EMU" "Population density (people per sq. km of land area)" 127.582277673283 "X2018"
"68" "Eritrea" "ERI" "Population density (people per sq. km of land area)" NA "X2018"
"69" "Spain" "ESP" "Population density (people per sq. km of land area)" 93.5290582615872 "X2018"
"70" "Estonia" "EST" "Population density (people per sq. km of land area)" 30.3861053600184 "X2018"
"71" "Ethiopia" "ETH" "Population density (people per sq. km of land area)" 109.224559 "X2018"
"72" "European Union" "EUU" "Population density (people per sq. km of land area)" 121.078194096678 "X2018"
"73" "Fragile and conflict affected situations" "FCS" "Population density (people per sq. km of land area)" 39.8693125353373 "X2018"
"74" "Finland" "FIN" "Population density (people per sq. km of land area)" 18.1568556480537 "X2018"
"75" "Fiji" "FJI" "Population density (people per sq. km of land area)" 48.3570333880679 "X2018"
"76" "France" "FRA" "Population density (people per sq. km of land area)" 122.338395739199 "X2018"
