"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Net migration" 1004 "X2017"
"2" "Afghanistan" "AFG" "Net migration" -314602 "X2017"
"3" "Angola" "AGO" "Net migration" 32066 "X2017"
"4" "Albania" "ALB" "Net migration" -69998 "X2017"
"5" "Andorra" "AND" "Net migration" NA NA
"6" "Arab World" "ARB" "Net migration" -1408824 "X2017"
"7" "United Arab Emirates" "ARE" "Net migration" 2e+05 "X2017"
"8" "Argentina" "ARG" "Net migration" 24000 "X2017"
"9" "Armenia" "ARM" "Net migration" -24989 "X2017"
"10" "American Samoa" "ASM" "Net migration" NA NA
"11" "Antigua and Barbuda" "ATG" "Net migration" 0 "X2017"
"12" "Australia" "AUS" "Net migration" 791229 "X2017"
"13" "Austria" "AUT" "Net migration" 324998 "X2017"
"14" "Azerbaijan" "AZE" "Net migration" 6002 "X2017"
"15" "Burundi" "BDI" "Net migration" 10003 "X2017"
"16" "Belgium" "BEL" "Net migration" 240000 "X2017"
"17" "Benin" "BEN" "Net migration" -10000 "X2017"
"18" "Burkina Faso" "BFA" "Net migration" -125000 "X2017"
"19" "Bangladesh" "BGD" "Net migration" -1847503 "X2017"
"20" "Bulgaria" "BGR" "Net migration" -24001 "X2017"
"21" "Bahrain" "BHR" "Net migration" 239000 "X2017"
"22" "Bahamas, The" "BHS" "Net migration" 4999 "X2017"
"23" "Bosnia and Herzegovina" "BIH" "Net migration" -107926 "X2017"
"24" "Belarus" "BLR" "Net migration" 43648 "X2017"
"25" "Belize" "BLZ" "Net migration" 6000 "X2017"
"26" "Bermuda" "BMU" "Net migration" NA NA
"27" "Bolivia" "BOL" "Net migration" -47520 "X2017"
"28" "Brazil" "BRA" "Net migration" 106000 "X2017"
"29" "Barbados" "BRB" "Net migration" -397 "X2017"
"30" "Brunei Darussalam" "BRN" "Net migration" 0 "X2017"
"31" "Bhutan" "BTN" "Net migration" 1600 "X2017"
"32" "Botswana" "BWA" "Net migration" 14999 "X2017"
"33" "Central African Republic" "CAF" "Net migration" -2e+05 "X2017"
"34" "Canada" "CAN" "Net migration" 1210159 "X2017"
"35" "Central Europe and the Baltics" "CEB" "Net migration" -642033 "X2017"
"36" "Switzerland" "CHE" "Net migration" 259999 "X2017"
"37" "Channel Islands" "CHI" "Net migration" 6754 "X2017"
"38" "Chile" "CHL" "Net migration" 558539 "X2017"
"39" "China" "CHN" "Net migration" -1741996 "X2017"
"40" "Cote d'Ivoire" "CIV" "Net migration" -40000 "X2017"
"41" "Cameroon" "CMR" "Net migration" -24000 "X2017"
"42" "Congo, Dem. Rep." "COD" "Net migration" 119303 "X2017"
"43" "Congo, Rep." "COG" "Net migration" -20000 "X2017"
"44" "Colombia" "COL" "Net migration" 1023981 "X2017"
"45" "Comoros" "COM" "Net migration" -10000 "X2017"
"46" "Cabo Verde" "CPV" "Net migration" -6709 "X2017"
"47" "Costa Rica" "CRI" "Net migration" 21000 "X2017"
"48" "Caribbean small states" "CSS" "Net migration" -87055 "X2017"
"49" "Cuba" "CUB" "Net migration" -72000 "X2017"
"50" "Curacao" "CUW" "Net migration" 2573 "X2017"
"51" "Cayman Islands" "CYM" "Net migration" NA NA
"52" "Cyprus" "CYP" "Net migration" 25000 "X2017"
"53" "Czech Republic" "CZE" "Net migration" 110057 "X2017"
"54" "Germany" "DEU" "Net migration" 2719112 "X2017"
"55" "Djibouti" "DJI" "Net migration" 4501 "X2017"
"56" "Dominica" "DMA" "Net migration" NA NA
"57" "Denmark" "DNK" "Net migration" 75998 "X2017"
"58" "Dominican Republic" "DOM" "Net migration" -150000 "X2017"
