"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"2" "Afghanistan" "AFG" "Mortality caused by road traffic injury (per 100,000 people)" 15.1 "X2016"
"3" "Angola" "AGO" "Mortality caused by road traffic injury (per 100,000 people)" 23.6 "X2016"
"4" "Albania" "ALB" "Mortality caused by road traffic injury (per 100,000 people)" 13.6 "X2016"
"5" "Andorra" "AND" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"6" "Arab World" "ARB" "Mortality caused by road traffic injury (per 100,000 people)" 19.4468187511274 "X2016"
"7" "United Arab Emirates" "ARE" "Mortality caused by road traffic injury (per 100,000 people)" 18.1 "X2016"
"8" "Argentina" "ARG" "Mortality caused by road traffic injury (per 100,000 people)" 14 "X2016"
"9" "Armenia" "ARM" "Mortality caused by road traffic injury (per 100,000 people)" 17.1 "X2016"
"10" "American Samoa" "ASM" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"11" "Antigua and Barbuda" "ATG" "Mortality caused by road traffic injury (per 100,000 people)" 7.9 "X2016"
"12" "Australia" "AUS" "Mortality caused by road traffic injury (per 100,000 people)" 5.6 "X2016"
"13" "Austria" "AUT" "Mortality caused by road traffic injury (per 100,000 people)" 5.2 "X2016"
"14" "Azerbaijan" "AZE" "Mortality caused by road traffic injury (per 100,000 people)" 8.7 "X2016"
"15" "Burundi" "BDI" "Mortality caused by road traffic injury (per 100,000 people)" 34.7 "X2016"
"16" "Belgium" "BEL" "Mortality caused by road traffic injury (per 100,000 people)" 5.8 "X2016"
"17" "Benin" "BEN" "Mortality caused by road traffic injury (per 100,000 people)" 27.5 "X2016"
"18" "Burkina Faso" "BFA" "Mortality caused by road traffic injury (per 100,000 people)" 30.5 "X2016"
"19" "Bangladesh" "BGD" "Mortality caused by road traffic injury (per 100,000 people)" 15.3 "X2016"
"20" "Bulgaria" "BGR" "Mortality caused by road traffic injury (per 100,000 people)" 10.2 "X2016"
"21" "Bahrain" "BHR" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"22" "Bahamas, The" "BHS" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"23" "Bosnia and Herzegovina" "BIH" "Mortality caused by road traffic injury (per 100,000 people)" 15.7 "X2016"
"24" "Belarus" "BLR" "Mortality caused by road traffic injury (per 100,000 people)" 8.9 "X2016"
"25" "Belize" "BLZ" "Mortality caused by road traffic injury (per 100,000 people)" 28.3 "X2016"
"26" "Bermuda" "BMU" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"27" "Bolivia" "BOL" "Mortality caused by road traffic injury (per 100,000 people)" 15.5 "X2016"
"28" "Brazil" "BRA" "Mortality caused by road traffic injury (per 100,000 people)" 19.7 "X2016"
"29" "Barbados" "BRB" "Mortality caused by road traffic injury (per 100,000 people)" 5.6 "X2016"
"30" "Brunei Darussalam" "BRN" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"31" "Bhutan" "BTN" "Mortality caused by road traffic injury (per 100,000 people)" 17.4 "X2016"
"32" "Botswana" "BWA" "Mortality caused by road traffic injury (per 100,000 people)" 23.8 "X2016"
"33" "Central African Republic" "CAF" "Mortality caused by road traffic injury (per 100,000 people)" 33.6 "X2016"
"34" "Canada" "CAN" "Mortality caused by road traffic injury (per 100,000 people)" 5.8 "X2016"
"35" "Central Europe and the Baltics" "CEB" "Mortality caused by road traffic injury (per 100,000 people)" 8.85670595228711 "X2016"
"36" "Switzerland" "CHE" "Mortality caused by road traffic injury (per 100,000 people)" 2.7 "X2016"
"37" "Channel Islands" "CHI" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"38" "Chile" "CHL" "Mortality caused by road traffic injury (per 100,000 people)" 12.5 "X2016"
"39" "China" "CHN" "Mortality caused by road traffic injury (per 100,000 people)" 18.2 "X2016"
"40" "Cote d'Ivoire" "CIV" "Mortality caused by road traffic injury (per 100,000 people)" 23.6 "X2016"
"41" "Cameroon" "CMR" "Mortality caused by road traffic injury (per 100,000 people)" 30.1 "X2016"
"42" "Congo, Dem. Rep." "COD" "Mortality caused by road traffic injury (per 100,000 people)" 33.7 "X2016"
"43" "Congo, Rep." "COG" "Mortality caused by road traffic injury (per 100,000 people)" 27.4 "X2016"
"44" "Colombia" "COL" "Mortality caused by road traffic injury (per 100,000 people)" 18.5 "X2016"
"45" "Comoros" "COM" "Mortality caused by road traffic injury (per 100,000 people)" 26.5 "X2016"
"46" "Cabo Verde" "CPV" "Mortality caused by road traffic injury (per 100,000 people)" 25 "X2016"
"47" "Costa Rica" "CRI" "Mortality caused by road traffic injury (per 100,000 people)" 16.7 "X2016"
"48" "Caribbean small states" "CSS" "Mortality caused by road traffic injury (per 100,000 people)" 15.4981508300211 "X2016"
"49" "Cuba" "CUB" "Mortality caused by road traffic injury (per 100,000 people)" 8.5 "X2016"
"50" "Curacao" "CUW" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"51" "Cayman Islands" "CYM" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"52" "Cyprus" "CYP" "Mortality caused by road traffic injury (per 100,000 people)" 5.1 "X2016"
"53" "Czech Republic" "CZE" "Mortality caused by road traffic injury (per 100,000 people)" 5.9 "X2016"
"54" "Germany" "DEU" "Mortality caused by road traffic injury (per 100,000 people)" 4.1 "X2016"
"55" "Djibouti" "DJI" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"56" "Dominica" "DMA" "Mortality caused by road traffic injury (per 100,000 people)" 10.9 "X2016"
"57" "Denmark" "DNK" "Mortality caused by road traffic injury (per 100,000 people)" 4 "X2016"
"58" "Dominican Republic" "DOM" "Mortality caused by road traffic injury (per 100,000 people)" 34.6 "X2016"
"59" "Algeria" "DZA" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Mortality caused by road traffic injury (per 100,000 people)" 18.0851558360796 "X2016"
"61" "Early-demographic dividend" "EAR" "Mortality caused by road traffic injury (per 100,000 people)" 19.2295623670377 "X2016"
"62" "East Asia & Pacific" "EAS" "Mortality caused by road traffic injury (per 100,000 people)" 16.9083039626311 "X2016"
"63" "Europe & Central Asia (excluding high income)" "ECA" "Mortality caused by road traffic injury (per 100,000 people)" 14.4814616023996 "X2016"
"64" "Europe & Central Asia" "ECS" "Mortality caused by road traffic injury (per 100,000 people)" 9.38051410179267 "X2016"
"65" "Ecuador" "ECU" "Mortality caused by road traffic injury (per 100,000 people)" 21.3 "X2016"
"66" "Egypt, Arab Rep." "EGY" "Mortality caused by road traffic injury (per 100,000 people)" 9.7 "X2016"
"67" "Euro area" "EMU" "Mortality caused by road traffic injury (per 100,000 people)" 5.10881071135502 "X2016"
"68" "Eritrea" "ERI" "Mortality caused by road traffic injury (per 100,000 people)" 25.3 "X2016"
"69" "Spain" "ESP" "Mortality caused by road traffic injury (per 100,000 people)" 4.1 "X2016"
"70" "Estonia" "EST" "Mortality caused by road traffic injury (per 100,000 people)" 6.1 "X2016"
"71" "Ethiopia" "ETH" "Mortality caused by road traffic injury (per 100,000 people)" 26.7 "X2016"
"72" "European Union" "EUU" "Mortality caused by road traffic injury (per 100,000 people)" 5.49831583334492 "X2016"
"73" "Fragile and conflict affected situations" "FCS" "Mortality caused by road traffic injury (per 100,000 people)" 25.8857855093877 "X2016"
"74" "Finland" "FIN" "Mortality caused by road traffic injury (per 100,000 people)" 4.7 "X2016"
"75" "Fiji" "FJI" "Mortality caused by road traffic injury (per 100,000 people)" 9.6 "X2016"
"76" "France" "FRA" "Mortality caused by road traffic injury (per 100,000 people)" 5.5 "X2016"
"77" "Faroe Islands" "FRO" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"78" "Micronesia, Fed. Sts." "FSM" "Mortality caused by road traffic injury (per 100,000 people)" 1.9 "X2016"
"79" "Gabon" "GAB" "Mortality caused by road traffic injury (per 100,000 people)" 23.2 "X2016"
"80" "United Kingdom" "GBR" "Mortality caused by road traffic injury (per 100,000 people)" 3.1 "X2016"
"81" "Georgia" "GEO" "Mortality caused by road traffic injury (per 100,000 people)" 15.3 "X2016"
"82" "Ghana" "GHA" "Mortality caused by road traffic injury (per 100,000 people)" 24.9 "X2016"
"83" "Gibraltar" "GIB" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"84" "Guinea" "GIN" "Mortality caused by road traffic injury (per 100,000 people)" 28.2 "X2016"
"85" "Gambia, The" "GMB" "Mortality caused by road traffic injury (per 100,000 people)" 29.7 "X2016"
"86" "Guinea-Bissau" "GNB" "Mortality caused by road traffic injury (per 100,000 people)" 31.1 "X2016"
"87" "Equatorial Guinea" "GNQ" "Mortality caused by road traffic injury (per 100,000 people)" 24.6 "X2016"
"88" "Greece" "GRC" "Mortality caused by road traffic injury (per 100,000 people)" 9.2 "X2016"
"89" "Grenada" "GRD" "Mortality caused by road traffic injury (per 100,000 people)" 9.3 "X2016"
"90" "Greenland" "GRL" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"91" "Guatemala" "GTM" "Mortality caused by road traffic injury (per 100,000 people)" 16.6 "X2016"
"92" "Guam" "GUM" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"93" "Guyana" "GUY" "Mortality caused by road traffic injury (per 100,000 people)" 24.6 "X2016"
"94" "High income" "HIC" "Mortality caused by road traffic injury (per 100,000 people)" 8.33149214324533 "X2016"
"95" "Hong Kong SAR, China" "HKG" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"96" "Honduras" "HND" "Mortality caused by road traffic injury (per 100,000 people)" 16.7 "X2016"
"97" "Heavily indebted poor countries (HIPC)" "HPC" "Mortality caused by road traffic injury (per 100,000 people)" 27.3976020942068 "X2016"
"98" "Croatia" "HRV" "Mortality caused by road traffic injury (per 100,000 people)" 8.1 "X2016"
"99" "Haiti" "HTI" "Mortality caused by road traffic injury (per 100,000 people)" NA "X2016"
"100" "Hungary" "HUN" "Mortality caused by road traffic injury (per 100,000 people)" 7.8 "X2016"
"101" "IBRD only" "IBD" "Mortality caused by road traffic injury (per 100,000 people)" 19.081456523978 "X2016"
