"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Urban population (% of total population)" 43.411 "X2018"
"2" "Afghanistan" "AFG" "Urban population (% of total population)" 25.495 "X2018"
"3" "Angola" "AGO" "Urban population (% of total population)" 65.514 "X2018"
"4" "Albania" "ALB" "Urban population (% of total population)" 60.319 "X2018"
"5" "Andorra" "AND" "Urban population (% of total population)" 88.062 "X2018"
"6" "Arab World" "ARB" "Urban population (% of total population)" 58.9254185931391 "X2018"
"7" "United Arab Emirates" "ARE" "Urban population (% of total population)" 86.522 "X2018"
"8" "Argentina" "ARG" "Urban population (% of total population)" 91.87 "X2018"
"9" "Armenia" "ARM" "Urban population (% of total population)" 63.149 "X2018"
"10" "American Samoa" "ASM" "Urban population (% of total population)" 87.153 "X2018"
"11" "Antigua and Barbuda" "ATG" "Urban population (% of total population)" 24.599 "X2018"
"12" "Australia" "AUS" "Urban population (% of total population)" 86.012 "X2018"
"13" "Austria" "AUT" "Urban population (% of total population)" 58.297 "X2018"
"14" "Azerbaijan" "AZE" "Urban population (% of total population)" 55.68 "X2018"
"15" "Burundi" "BDI" "Urban population (% of total population)" 13.032 "X2018"
"16" "Belgium" "BEL" "Urban population (% of total population)" 98.001 "X2018"
"17" "Benin" "BEN" "Urban population (% of total population)" 47.312 "X2018"
"18" "Burkina Faso" "BFA" "Urban population (% of total population)" 29.358 "X2018"
"19" "Bangladesh" "BGD" "Urban population (% of total population)" 36.632 "X2018"
"20" "Bulgaria" "BGR" "Urban population (% of total population)" 75.008 "X2018"
"21" "Bahrain" "BHR" "Urban population (% of total population)" 89.287 "X2018"
"22" "Bahamas, The" "BHS" "Urban population (% of total population)" 83.025 "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Urban population (% of total population)" 48.245 "X2018"
"24" "Belarus" "BLR" "Urban population (% of total population)" 78.595 "X2018"
"25" "Belize" "BLZ" "Urban population (% of total population)" 45.724 "X2018"
"26" "Bermuda" "BMU" "Urban population (% of total population)" 100 "X2018"
"27" "Bolivia" "BOL" "Urban population (% of total population)" 69.425 "X2018"
"28" "Brazil" "BRA" "Urban population (% of total population)" 86.569 "X2018"
"29" "Barbados" "BRB" "Urban population (% of total population)" 31.147 "X2018"
"30" "Brunei Darussalam" "BRN" "Urban population (% of total population)" 77.629 "X2018"
"31" "Bhutan" "BTN" "Urban population (% of total population)" 40.895 "X2018"
"32" "Botswana" "BWA" "Urban population (% of total population)" 69.446 "X2018"
"33" "Central African Republic" "CAF" "Urban population (% of total population)" 41.364 "X2018"
"34" "Canada" "CAN" "Urban population (% of total population)" 81.411 "X2018"
"35" "Central Europe and the Baltics" "CEB" "Urban population (% of total population)" 62.3320760627627 "X2018"
"36" "Switzerland" "CHE" "Urban population (% of total population)" 73.797 "X2018"
"37" "Channel Islands" "CHI" "Urban population (% of total population)" 30.914 "X2018"
"38" "Chile" "CHL" "Urban population (% of total population)" 87.564 "X2018"
"39" "China" "CHN" "Urban population (% of total population)" 59.152 "X2018"
"40" "Cote d'Ivoire" "CIV" "Urban population (% of total population)" 50.779 "X2018"
"41" "Cameroon" "CMR" "Urban population (% of total population)" 56.374 "X2018"
"42" "Congo, Dem. Rep." "COD" "Urban population (% of total population)" 44.46 "X2018"
"43" "Congo, Rep." "COG" "Urban population (% of total population)" 66.916 "X2018"
"44" "Colombia" "COL" "Urban population (% of total population)" 80.778 "X2018"
"45" "Comoros" "COM" "Urban population (% of total population)" 28.965 "X2018"
"46" "Cabo Verde" "CPV" "Urban population (% of total population)" 65.732 "X2018"
"47" "Costa Rica" "CRI" "Urban population (% of total population)" 79.34 "X2018"
"48" "Caribbean small states" "CSS" "Urban population (% of total population)" 51.1993615776132 "X2018"
"49" "Cuba" "CUB" "Urban population (% of total population)" 77.037 "X2018"
"50" "Curacao" "CUW" "Urban population (% of total population)" 89.145 "X2018"
"51" "Cayman Islands" "CYM" "Urban population (% of total population)" 100 "X2018"
