"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "CO2 emissions (metric tons per capita)" 8.41006417792511 "X2014"
"2" "Afghanistan" "AFG" "CO2 emissions (metric tons per capita)" 0.293946407148718 "X2014"
"3" "Angola" "AGO" "CO2 emissions (metric tons per capita)" 1.29030677595566 "X2014"
"4" "Albania" "ALB" "CO2 emissions (metric tons per capita)" 1.97876331208568 "X2014"
"5" "Andorra" "AND" "CO2 emissions (metric tons per capita)" 5.83290621488897 "X2014"
"6" "Arab World" "ARB" "CO2 emissions (metric tons per capita)" 4.88698751329195 "X2014"
"7" "United Arab Emirates" "ARE" "CO2 emissions (metric tons per capita)" 22.9396063130991 "X2014"
"8" "Argentina" "ARG" "CO2 emissions (metric tons per capita)" 4.78150777487432 "X2014"
"9" "Armenia" "ARM" "CO2 emissions (metric tons per capita)" 1.89871937365811 "X2014"
"10" "American Samoa" "ASM" "CO2 emissions (metric tons per capita)" NA "X2014"
"11" "Antigua and Barbuda" "ATG" "CO2 emissions (metric tons per capita)" 5.74441995635358 "X2014"
"12" "Australia" "AUS" "CO2 emissions (metric tons per capita)" 15.3887660194467 "X2014"
"13" "Austria" "AUT" "CO2 emissions (metric tons per capita)" 6.86986792967669 "X2014"
"14" "Azerbaijan" "AZE" "CO2 emissions (metric tons per capita)" 3.93156060898919 "X2014"
"15" "Burundi" "BDI" "CO2 emissions (metric tons per capita)" 0.0446999922899522 "X2014"
"16" "Belgium" "BEL" "CO2 emissions (metric tons per capita)" 8.32815989783976 "X2014"
"17" "Benin" "BEN" "CO2 emissions (metric tons per capita)" 0.614206089682334 "X2014"
"18" "Burkina Faso" "BFA" "CO2 emissions (metric tons per capita)" 0.162018437716738 "X2014"
"19" "Bangladesh" "BGD" "CO2 emissions (metric tons per capita)" 0.473657610012808 "X2014"
"20" "Bulgaria" "BGR" "CO2 emissions (metric tons per capita)" 5.87161586934993 "X2014"
"21" "Bahrain" "BHR" "CO2 emissions (metric tons per capita)" 23.455406320753 "X2014"
"22" "Bahamas, The" "BHS" "CO2 emissions (metric tons per capita)" 6.52006971856257 "X2014"
"23" "Bosnia and Herzegovina" "BIH" "CO2 emissions (metric tons per capita)" 6.38493881859933 "X2014"
"24" "Belarus" "BLR" "CO2 emissions (metric tons per capita)" 6.70195770525782 "X2014"
"25" "Belize" "BLZ" "CO2 emissions (metric tons per capita)" 1.40094123373499 "X2014"
"26" "Bermuda" "BMU" "CO2 emissions (metric tons per capita)" 8.83831498794885 "X2014"
"27" "Bolivia" "BOL" "CO2 emissions (metric tons per capita)" 1.90636431997446 "X2014"
"28" "Brazil" "BRA" "CO2 emissions (metric tons per capita)" 2.61293352087838 "X2014"
"29" "Barbados" "BRB" "CO2 emissions (metric tons per capita)" 4.46747652067059 "X2014"
"30" "Brunei Darussalam" "BRN" "CO2 emissions (metric tons per capita)" 22.229177902672 "X2014"
"31" "Bhutan" "BTN" "CO2 emissions (metric tons per capita)" 1.39222953427828 "X2014"
"32" "Botswana" "BWA" "CO2 emissions (metric tons per capita)" 3.3674513337553 "X2014"
"33" "Central African Republic" "CAF" "CO2 emissions (metric tons per capita)" 0.0673571264567361 "X2014"
"34" "Canada" "CAN" "CO2 emissions (metric tons per capita)" 15.1589272191963 "X2014"
"35" "Central Europe and the Baltics" "CEB" "CO2 emissions (metric tons per capita)" 6.14888253990517 "X2014"
"36" "Switzerland" "CHE" "CO2 emissions (metric tons per capita)" 4.31156299409097 "X2014"
"37" "Channel Islands" "CHI" "CO2 emissions (metric tons per capita)" NA "X2014"
"38" "Chile" "CHL" "CO2 emissions (metric tons per capita)" 4.64906220009855 "X2014"
"39" "China" "CHN" "CO2 emissions (metric tons per capita)" 7.54390764144927 "X2014"
"40" "Cote d'Ivoire" "CIV" "CO2 emissions (metric tons per capita)" 0.487688034135766 "X2014"
"41" "Cameroon" "CMR" "CO2 emissions (metric tons per capita)" 0.308791722441786 "X2014"
"42" "Congo, Dem. Rep." "COD" "CO2 emissions (metric tons per capita)" 0.0633308890302249 "X2014"
"43" "Congo, Rep." "COG" "CO2 emissions (metric tons per capita)" 0.653359718672722 "X2014"
"44" "Colombia" "COL" "CO2 emissions (metric tons per capita)" 1.79035682717161 "X2014"
"45" "Comoros" "COM" "CO2 emissions (metric tons per capita)" 0.202812783945009 "X2014"
"46" "Cabo Verde" "CPV" "CO2 emissions (metric tons per capita)" 0.948113817341959 "X2014"
"47" "Costa Rica" "CRI" "CO2 emissions (metric tons per capita)" 1.61808784926208 "X2014"
"48" "Caribbean small states" "CSS" "CO2 emissions (metric tons per capita)" 8.87121971551983 "X2014"
"49" "Cuba" "CUB" "CO2 emissions (metric tons per capita)" 3.08099424581552 "X2014"
"50" "Curacao" "CUW" "CO2 emissions (metric tons per capita)" 37.7262890532298 "X2014"
"51" "Cayman Islands" "CYM" "CO2 emissions (metric tons per capita)" 8.9192085195898 "X2014"
"52" "Cyprus" "CYP" "CO2 emissions (metric tons per capita)" 5.26046160455096 "X2014"
"53" "Czech Republic" "CZE" "CO2 emissions (metric tons per capita)" 9.16597837581982 "X2014"
"54" "Germany" "DEU" "CO2 emissions (metric tons per capita)" 8.88937039483839 "X2014"
"55" "Djibouti" "DJI" "CO2 emissions (metric tons per capita)" 0.803830216224396 "X2014"
"56" "Dominica" "DMA" "CO2 emissions (metric tons per capita)" 1.90868678342829 "X2014"
"57" "Denmark" "DNK" "CO2 emissions (metric tons per capita)" 5.9357124821143 "X2014"
"58" "Dominican Republic" "DOM" "CO2 emissions (metric tons per capita)" 2.11899466984248 "X2014"
"59" "Algeria" "DZA" "CO2 emissions (metric tons per capita)" 3.7355201474105 "X2014"
"60" "East Asia & Pacific (excluding high income)" "EAP" "CO2 emissions (metric tons per capita)" 5.77612844555788 "X2014"
"61" "Early-demographic dividend" "EAR" "CO2 emissions (metric tons per capita)" 2.29821640857788 "X2014"
"62" "East Asia & Pacific" "EAS" "CO2 emissions (metric tons per capita)" 6.29425627174206 "X2014"
"63" "Europe & Central Asia (excluding high income)" "ECA" "CO2 emissions (metric tons per capita)" 7.42107333360326 "X2014"
"64" "Europe & Central Asia" "ECS" "CO2 emissions (metric tons per capita)" 6.9159390223169 "X2014"
"65" "Ecuador" "ECU" "CO2 emissions (metric tons per capita)" 2.75326636341217 "X2014"
"66" "Egypt, Arab Rep." "EGY" "CO2 emissions (metric tons per capita)" 2.23273200470305 "X2014"
"67" "Euro area" "EMU" "CO2 emissions (metric tons per capita)" 6.47492085436996 "X2014"
"68" "Eritrea" "ERI" "CO2 emissions (metric tons per capita)" NA "X2014"
"69" "Spain" "ESP" "CO2 emissions (metric tons per capita)" 5.03382448723757 "X2014"
"70" "Estonia" "EST" "CO2 emissions (metric tons per capita)" 14.848819173174 "X2014"
"71" "Ethiopia" "ETH" "CO2 emissions (metric tons per capita)" 0.118240576234369 "X2014"
"72" "European Union" "EUU" "CO2 emissions (metric tons per capita)" 6.37914904858669 "X2014"
"73" "Fragile and conflict affected situations" "FCS" "CO2 emissions (metric tons per capita)" 0.89593092409744 "X2014"
"74" "Finland" "FIN" "CO2 emissions (metric tons per capita)" 8.66072124349448 "X2014"
"75" "Fiji" "FJI" "CO2 emissions (metric tons per capita)" 1.35007092133099 "X2014"
"76" "France" "FRA" "CO2 emissions (metric tons per capita)" 4.57318159541951 "X2014"
"77" "Faroe Islands" "FRO" "CO2 emissions (metric tons per capita)" 12.462906588824 "X2014"
"78" "Micronesia, Fed. Sts." "FSM" "CO2 emissions (metric tons per capita)" 1.39927963814381 "X2014"
"79" "Gabon" "GAB" "CO2 emissions (metric tons per capita)" 2.75638178150547 "X2014"
"80" "United Kingdom" "GBR" "CO2 emissions (metric tons per capita)" 6.49744049045117 "X2014"
"81" "Georgia" "GEO" "CO2 emissions (metric tons per capita)" 2.41646049619644 "X2014"
"82" "Ghana" "GHA" "CO2 emissions (metric tons per capita)" 0.531371737898168 "X2014"
"83" "Gibraltar" "GIB" "CO2 emissions (metric tons per capita)" 15.6574647887324 "X2014"
"84" "Guinea" "GIN" "CO2 emissions (metric tons per capita)" 0.219671872697791 "X2014"
"85" "Gambia, The" "GMB" "CO2 emissions (metric tons per capita)" 0.253640981758284 "X2014"
"86" "Guinea-Bissau" "GNB" "CO2 emissions (metric tons per capita)" 0.160335468516147 "X2014"
"87" "Equatorial Guinea" "GNQ" "CO2 emissions (metric tons per capita)" 4.76396715246517 "X2014"
"88" "Greece" "GRC" "CO2 emissions (metric tons per capita)" 6.18033726778447 "X2014"
"89" "Grenada" "GRD" "CO2 emissions (metric tons per capita)" 2.22238342730161 "X2014"
"90" "Greenland" "GRL" "CO2 emissions (metric tons per capita)" 8.98918198774314 "X2014"
"91" "Guatemala" "GTM" "CO2 emissions (metric tons per capita)" 1.1510008356966 "X2014"
"92" "Guam" "GUM" "CO2 emissions (metric tons per capita)" NA "X2014"
