"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Access to electricity (% of population)" 100 "X2017"
"2" "Afghanistan" "AFG" "Access to electricity (% of population)" 97.7 "X2017"
"3" "Angola" "AGO" "Access to electricity (% of population)" 41.88623046875 "X2017"
"4" "Albania" "ALB" "Access to electricity (% of population)" 100 "X2017"
"5" "Andorra" "AND" "Access to electricity (% of population)" 100 "X2017"
"6" "Arab World" "ARB" "Access to electricity (% of population)" 90.2736865998321 "X2017"
"7" "United Arab Emirates" "ARE" "Access to electricity (% of population)" 100 "X2017"
"8" "Argentina" "ARG" "Access to electricity (% of population)" 100 "X2017"
"9" "Armenia" "ARM" "Access to electricity (% of population)" 100 "X2017"
"10" "American Samoa" "ASM" "Access to electricity (% of population)" NA "X2017"
"11" "Antigua and Barbuda" "ATG" "Access to electricity (% of population)" 100 "X2017"
"12" "Australia" "AUS" "Access to electricity (% of population)" 100 "X2017"
"13" "Austria" "AUT" "Access to electricity (% of population)" 100 "X2017"
"14" "Azerbaijan" "AZE" "Access to electricity (% of population)" 100 "X2017"
"15" "Burundi" "BDI" "Access to electricity (% of population)" 9.3 "X2017"
"16" "Belgium" "BEL" "Access to electricity (% of population)" 100 "X2017"
"17" "Benin" "BEN" "Access to electricity (% of population)" 43.0777473449707 "X2017"
"18" "Burkina Faso" "BFA" "Access to electricity (% of population)" 25.4737434387207 "X2017"
"19" "Bangladesh" "BGD" "Access to electricity (% of population)" 88 "X2017"
"20" "Bulgaria" "BGR" "Access to electricity (% of population)" 100 "X2017"
"21" "Bahrain" "BHR" "Access to electricity (% of population)" 100 "X2017"
"22" "Bahamas, The" "BHS" "Access to electricity (% of population)" 100 "X2017"
"23" "Bosnia and Herzegovina" "BIH" "Access to electricity (% of population)" 100 "X2017"
"24" "Belarus" "BLR" "Access to electricity (% of population)" 100 "X2017"
"25" "Belize" "BLZ" "Access to electricity (% of population)" 98.2651214599609 "X2017"
"26" "Bermuda" "BMU" "Access to electricity (% of population)" 100 "X2017"
"27" "Bolivia" "BOL" "Access to electricity (% of population)" 91.8 "X2017"
"28" "Brazil" "BRA" "Access to electricity (% of population)" 100 "X2017"
"29" "Barbados" "BRB" "Access to electricity (% of population)" 100 "X2017"
