"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"2" "Afghanistan" "AFG" "Population in urban agglomerations of more than 1 million (% of total population)" 10.792339238057 "X2018"
"3" "Angola" "AGO" "Population in urban agglomerations of more than 1 million (% of total population)" 25.2329115687424 "X2018"
"4" "Albania" "ALB" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"5" "Andorra" "AND" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"6" "Arab World" "ARB" "Population in urban agglomerations of more than 1 million (% of total population)" 23.5495002980389 "X2018"
"7" "United Arab Emirates" "ARE" "Population in urban agglomerations of more than 1 million (% of total population)" 59.9724700312814 "X2018"
"8" "Argentina" "ARG" "Population in urban agglomerations of more than 1 million (% of total population)" 43.0081024392632 "X2018"
"9" "Armenia" "ARM" "Population in urban agglomerations of more than 1 million (% of total population)" 36.5991186323081 "X2018"
"10" "American Samoa" "ASM" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"11" "Antigua and Barbuda" "ATG" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"12" "Australia" "AUS" "Population in urban agglomerations of more than 1 million (% of total population)" 60.8680313578917 "X2018"
"13" "Austria" "AUT" "Population in urban agglomerations of more than 1 million (% of total population)" 21.4822996671089 "X2018"
"14" "Azerbaijan" "AZE" "Population in urban agglomerations of more than 1 million (% of total population)" 22.9898633459709 "X2018"
"15" "Burundi" "BDI" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"16" "Belgium" "BEL" "Population in urban agglomerations of more than 1 million (% of total population)" 26.980394443458 "X2018"
"17" "Benin" "BEN" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"18" "Burkina Faso" "BFA" "Population in urban agglomerations of more than 1 million (% of total population)" 12.8161228988025 "X2018"
"19" "Bangladesh" "BGD" "Population in urban agglomerations of more than 1 million (% of total population)" 15.1180991744598 "X2018"
"20" "Bulgaria" "BGR" "Population in urban agglomerations of more than 1 million (% of total population)" 18.1147333738029 "X2018"
"21" "Bahrain" "BHR" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"22" "Bahamas, The" "BHS" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"24" "Belarus" "BLR" "Population in urban agglomerations of more than 1 million (% of total population)" 21.1343217872209 "X2018"
"25" "Belize" "BLZ" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"26" "Bermuda" "BMU" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"27" "Bolivia" "BOL" "Population in urban agglomerations of more than 1 million (% of total population)" 41.3356144052457 "X2018"
"28" "Brazil" "BRA" "Population in urban agglomerations of more than 1 million (% of total population)" 41.9461931451321 "X2018"
"29" "Barbados" "BRB" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"30" "Brunei Darussalam" "BRN" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"31" "Bhutan" "BTN" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"32" "Botswana" "BWA" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"33" "Central African Republic" "CAF" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"34" "Canada" "CAN" "Population in urban agglomerations of more than 1 million (% of total population)" 45.9325268972145 "X2018"
"35" "Central Europe and the Baltics" "CEB" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"36" "Switzerland" "CHE" "Population in urban agglomerations of more than 1 million (% of total population)" 16.0954861614625 "X2018"
"37" "Channel Islands" "CHI" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"38" "Chile" "CHL" "Population in urban agglomerations of more than 1 million (% of total population)" 35.6682894481119 "X2018"
"39" "China" "CHN" "Population in urban agglomerations of more than 1 million (% of total population)" 27.8875617671767 "X2018"
"40" "Cote d'Ivoire" "CIV" "Population in urban agglomerations of more than 1 million (% of total population)" 19.6287488538239 "X2018"
"41" "Cameroon" "CMR" "Population in urban agglomerations of more than 1 million (% of total population)" 28.0286031575607 "X2018"
"42" "Congo, Dem. Rep." "COD" "Population in urban agglomerations of more than 1 million (% of total population)" 24.0990056500748 "X2018"
"43" "Congo, Rep." "COG" "Population in urban agglomerations of more than 1 million (% of total population)" 64.2080267899076 "X2018"
"44" "Colombia" "COL" "Population in urban agglomerations of more than 1 million (% of total population)" 43.8968000864474 "X2018"
"45" "Comoros" "COM" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"46" "Cabo Verde" "CPV" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"47" "Costa Rica" "CRI" "Population in urban agglomerations of more than 1 million (% of total population)" 27.1579362572736 "X2018"
"48" "Caribbean small states" "CSS" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"49" "Cuba" "CUB" "Population in urban agglomerations of more than 1 million (% of total population)" 18.843199826991 "X2018"
"50" "Curacao" "CUW" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"51" "Cayman Islands" "CYM" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"52" "Cyprus" "CYP" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"53" "Czech Republic" "CZE" "Population in urban agglomerations of more than 1 million (% of total population)" 12.1549884501673 "X2018"
"54" "Germany" "DEU" "Population in urban agglomerations of more than 1 million (% of total population)" 9.58047278695829 "X2018"
"55" "Djibouti" "DJI" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"56" "Dominica" "DMA" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"57" "Denmark" "DNK" "Population in urban agglomerations of more than 1 million (% of total population)" 22.7828943986714 "X2018"
"58" "Dominican Republic" "DOM" "Population in urban agglomerations of more than 1 million (% of total population)" 29.8494659676405 "X2018"
"59" "Algeria" "DZA" "Population in urban agglomerations of more than 1 million (% of total population)" 6.37850392208528 "X2018"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"61" "Early-demographic dividend" "EAR" "Population in urban agglomerations of more than 1 million (% of total population)" 18.7898164289175 "X2018"
"62" "East Asia & Pacific" "EAS" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"63" "Europe & Central Asia (excluding high income)" "ECA" "Population in urban agglomerations of more than 1 million (% of total population)" 22.3788795816574 "X2018"
"64" "Europe & Central Asia" "ECS" "Population in urban agglomerations of more than 1 million (% of total population)" 20.5103364704978 "X2018"
"65" "Ecuador" "ECU" "Population in urban agglomerations of more than 1 million (% of total population)" 27.6345957884163 "X2018"
"66" "Egypt, Arab Rep." "EGY" "Population in urban agglomerations of more than 1 million (% of total population)" 25.5652539413948 "X2018"
"67" "Euro area" "EMU" "Population in urban agglomerations of more than 1 million (% of total population)" 19.4808653412789 "X2018"
"68" "Eritrea" "ERI" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"69" "Spain" "ESP" "Population in urban agglomerations of more than 1 million (% of total population)" 25.6641413770115 "X2018"
"70" "Estonia" "EST" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"71" "Ethiopia" "ETH" "Population in urban agglomerations of more than 1 million (% of total population)" 4.02809957786142 "X2018"
"72" "European Union" "EUU" "Population in urban agglomerations of more than 1 million (% of total population)" 18.6798429112481 "X2018"
"73" "Fragile and conflict affected situations" "FCS" "Population in urban agglomerations of more than 1 million (% of total population)" 17.7273837265217 "X2018"
"74" "Finland" "FIN" "Population in urban agglomerations of more than 1 million (% of total population)" 23.1802176493508 "X2018"
"75" "Fiji" "FJI" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"76" "France" "FRA" "Population in urban agglomerations of more than 1 million (% of total population)" 22.7570834232261 "X2018"
"77" "Faroe Islands" "FRO" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"78" "Micronesia, Fed. Sts." "FSM" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"79" "Gabon" "GAB" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"80" "United Kingdom" "GBR" "Population in urban agglomerations of more than 1 million (% of total population)" 26.8188984850139 "X2018"
"81" "Georgia" "GEO" "Population in urban agglomerations of more than 1 million (% of total population)" 28.8751809166443 "X2018"
"82" "Ghana" "GHA" "Population in urban agglomerations of more than 1 million (% of total population)" 18.4905668363887 "X2018"
"83" "Gibraltar" "GIB" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"84" "Guinea" "GIN" "Population in urban agglomerations of more than 1 million (% of total population)" 14.8467358416306 "X2018"
"85" "Gambia, The" "GMB" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"86" "Guinea-Bissau" "GNB" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"87" "Equatorial Guinea" "GNQ" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"88" "Greece" "GRC" "Population in urban agglomerations of more than 1 million (% of total population)" 29.4155262821333 "X2018"
"89" "Grenada" "GRD" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"90" "Greenland" "GRL" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"91" "Guatemala" "GTM" "Population in urban agglomerations of more than 1 million (% of total population)" 16.5302406271128 "X2018"
"92" "Guam" "GUM" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"93" "Guyana" "GUY" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"94" "High income" "HIC" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"95" "Hong Kong SAR, China" "HKG" "Population in urban agglomerations of more than 1 million (% of total population)" 99.7032210441551 "X2018"
"96" "Honduras" "HND" "Population in urban agglomerations of more than 1 million (% of total population)" 14.2168226576168 "X2018"
"97" "Heavily indebted poor countries (HIPC)" "HPC" "Population in urban agglomerations of more than 1 million (% of total population)" 14.1460676232578 "X2018"
"98" "Croatia" "HRV" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"99" "Haiti" "HTI" "Population in urban agglomerations of more than 1 million (% of total population)" 23.7051270248713 "X2018"
"100" "Hungary" "HUN" "Population in urban agglomerations of more than 1 million (% of total population)" 18.0114210723237 "X2018"
"101" "IBRD only" "IBD" "Population in urban agglomerations of more than 1 million (% of total population)" 23.4237967417865 "X2018"
"102" "IDA & IBRD total" "IBT" "Population in urban agglomerations of more than 1 million (% of total population)" 21.2923564331458 "X2018"
"103" "IDA total" "IDA" "Population in urban agglomerations of more than 1 million (% of total population)" 14.7950470851425 "X2018"
"104" "IDA blend" "IDB" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"105" "Indonesia" "IDN" "Population in urban agglomerations of more than 1 million (% of total population)" 13.3834074123722 "X2018"
"106" "IDA only" "IDX" "Population in urban agglomerations of more than 1 million (% of total population)" 13.1548896706187 "X2018"
"107" "Isle of Man" "IMN" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"108" "India" "IND" "Population in urban agglomerations of more than 1 million (% of total population)" 15.4350806157941 "X2018"
"109" "Not classified" "INX" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"110" "Ireland" "IRL" "Population in urban agglomerations of more than 1 million (% of total population)" 24.7537759302245 "X2018"
"111" "Iran, Islamic Rep." "IRN" "Population in urban agglomerations of more than 1 million (% of total population)" 25.9887213818331 "X2018"
"112" "Iraq" "IRQ" "Population in urban agglomerations of more than 1 million (% of total population)" 25.0774660713542 "X2018"
"113" "Iceland" "ISL" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"114" "Israel" "ISR" "Population in urban agglomerations of more than 1 million (% of total population)" 57.9236362817713 "X2018"
"115" "Italy" "ITA" "Population in urban agglomerations of more than 1 million (% of total population)" 18.7412006460296 "X2018"
"116" "Jamaica" "JAM" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"117" "Jordan" "JOR" "Population in urban agglomerations of more than 1 million (% of total population)" 20.7370401659862 "X2018"
"118" "Japan" "JPN" "Population in urban agglomerations of more than 1 million (% of total population)" 64.6280420867611 "X2018"
"119" "Kazakhstan" "KAZ" "Population in urban agglomerations of more than 1 million (% of total population)" 15.8516026510329 "X2018"
"120" "Kenya" "KEN" "Population in urban agglomerations of more than 1 million (% of total population)" 10.8959973350461 "X2018"
"121" "Kyrgyz Republic" "KGZ" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"122" "Cambodia" "KHM" "Population in urban agglomerations of more than 1 million (% of total population)" 12.0144816569412 "X2018"
"123" "Kiribati" "KIR" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"124" "St. Kitts and Nevis" "KNA" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"125" "Korea, Rep." "KOR" "Population in urban agglomerations of more than 1 million (% of total population)" 50.1461578887108 "X2018"
"126" "Kuwait" "KWT" "Population in urban agglomerations of more than 1 million (% of total population)" 72.2515528813535 "X2018"
"127" "Latin America & Caribbean (excluding high income)" "LAC" "Population in urban agglomerations of more than 1 million (% of total population)" 37.7906188383716 "X2018"
"128" "Lao PDR" "LAO" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"129" "Lebanon" "LBN" "Population in urban agglomerations of more than 1 million (% of total population)" 34.8269399942327 "X2018"
"130" "Liberia" "LBR" "Population in urban agglomerations of more than 1 million (% of total population)" 29.4315577766817 "X2018"
"131" "Libya" "LBY" "Population in urban agglomerations of more than 1 million (% of total population)" 17.3352457196282 "X2018"
"132" "St. Lucia" "LCA" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"133" "Latin America & Caribbean" "LCN" "Population in urban agglomerations of more than 1 million (% of total population)" 38.0255158250422 "X2018"
"134" "Least developed countries: UN classification" "LDC" "Population in urban agglomerations of more than 1 million (% of total population)" 12.8459230061536 "X2018"
"135" "Low income" "LIC" "Population in urban agglomerations of more than 1 million (% of total population)" 11.9129551097212 "X2018"
"136" "Liechtenstein" "LIE" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"137" "Sri Lanka" "LKA" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"138" "Lower middle income" "LMC" "Population in urban agglomerations of more than 1 million (% of total population)" 16.2434606452821 "X2018"
"139" "Low & middle income" "LMY" "Population in urban agglomerations of more than 1 million (% of total population)" 21.2771134377151 "X2018"
"140" "Lesotho" "LSO" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"141" "Late-demographic dividend" "LTE" "Population in urban agglomerations of more than 1 million (% of total population)" 27.9135094933314 "X2018"
"142" "Lithuania" "LTU" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"143" "Luxembourg" "LUX" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"144" "Latvia" "LVA" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"145" "Macao SAR, China" "MAC" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"146" "St. Martin (French part)" "MAF" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"147" "Morocco" "MAR" "Population in urban agglomerations of more than 1 million (% of total population)" 21.7315718183433 "X2018"
"148" "Monaco" "MCO" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"149" "Moldova" "MDA" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"150" "Madagascar" "MDG" "Population in urban agglomerations of more than 1 million (% of total population)" 11.6455111740114 "X2018"
"151" "Maldives" "MDV" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"152" "Middle East & North Africa" "MEA" "Population in urban agglomerations of more than 1 million (% of total population)" 25.9764194478568 "X2018"
"153" "Mexico" "MEX" "Population in urban agglomerations of more than 1 million (% of total population)" 40.7090420895066 "X2018"
"154" "Marshall Islands" "MHL" "Population in urban agglomerations of more than 1 million (% of total population)" NA "X2018"
"155" "Middle income" "MIC" "Population in urban agglomerations of more than 1 million (% of total population)" 22.3676620261473 "X2018"
