"Country" "CCode" "INome" "Indicador" "Ano"
"1" "Aruba" "ABW" "Population, total" 105845 "X2018"
"2" "Afghanistan" "AFG" "Population, total" 37172386 "X2018"
"3" "Angola" "AGO" "Population, total" 30809762 "X2018"
"4" "Albania" "ALB" "Population, total" 2866376 "X2018"
"5" "Andorra" "AND" "Population, total" 77006 "X2018"
"6" "Arab World" "ARB" "Population, total" 419790588 "X2018"
"7" "United Arab Emirates" "ARE" "Population, total" 9630959 "X2018"
"8" "Argentina" "ARG" "Population, total" 44494502 "X2018"
"9" "Armenia" "ARM" "Population, total" 2951776 "X2018"
"10" "American Samoa" "ASM" "Population, total" 55465 "X2018"
"11" "Antigua and Barbuda" "ATG" "Population, total" 96286 "X2018"
"12" "Australia" "AUS" "Population, total" 24992369 "X2018"
"13" "Austria" "AUT" "Population, total" 8847037 "X2018"
"14" "Azerbaijan" "AZE" "Population, total" 9942334 "X2018"
"15" "Burundi" "BDI" "Population, total" 11175378 "X2018"
"16" "Belgium" "BEL" "Population, total" 11422068 "X2018"
"17" "Benin" "BEN" "Population, total" 11485048 "X2018"
"18" "Burkina Faso" "BFA" "Population, total" 19751535 "X2018"
"19" "Bangladesh" "BGD" "Population, total" 161356039 "X2018"
"20" "Bulgaria" "BGR" "Population, total" 7024216 "X2018"
"21" "Bahrain" "BHR" "Population, total" 1569439 "X2018"
"22" "Bahamas, The" "BHS" "Population, total" 385640 "X2018"
"23" "Bosnia and Herzegovina" "BIH" "Population, total" 3323929 "X2018"
"24" "Belarus" "BLR" "Population, total" 9485386 "X2018"
"25" "Belize" "BLZ" "Population, total" 383071 "X2018"
"26" "Bermuda" "BMU" "Population, total" 63968 "X2018"
"27" "Bolivia" "BOL" "Population, total" 11353142 "X2018"
"28" "Brazil" "BRA" "Population, total" 209469333 "X2018"
"29" "Barbados" "BRB" "Population, total" 286641 "X2018"
"30" "Brunei Darussalam" "BRN" "Population, total" 428962 "X2018"
"31" "Bhutan" "BTN" "Population, total" 754394 "X2018"
"32" "Botswana" "BWA" "Population, total" 2254126 "X2018"
"33" "Central African Republic" "CAF" "Population, total" 4666377 "X2018"
"34" "Canada" "CAN" "Population, total" 37058856 "X2018"
"35" "Central Europe and the Baltics" "CEB" "Population, total" 102511922 "X2018"
"36" "Switzerland" "CHE" "Population, total" 8516543 "X2018"
"37" "Channel Islands" "CHI" "Population, total" 170499 "X2018"
"38" "Chile" "CHL" "Population, total" 18729160 "X2018"
"39" "China" "CHN" "Population, total" 1392730000 "X2018"
"40" "Cote d'Ivoire" "CIV" "Population, total" 25069229 "X2018"
"41" "Cameroon" "CMR" "Population, total" 25216237 "X2018"
"42" "Congo, Dem. Rep." "COD" "Population, total" 84068091 "X2018"
"43" "Congo, Rep." "COG" "Population, total" 5244363 "X2018"
"44" "Colombia" "COL" "Population, total" 49648685 "X2018"
"45" "Comoros" "COM" "Population, total" 832322 "X2018"
"46" "Cabo Verde" "CPV" "Population, total" 543767 "X2018"
"47" "Costa Rica" "CRI" "Population, total" 4999441 "X2018"
"48" "Caribbean small states" "CSS" "Population, total" 7358965 "X2018"
"49" "Cuba" "CUB" "Population, total" 11338138 "X2018"
"50" "Curacao" "CUW" "Population, total" 159849 "X2018"
"51" "Cayman Islands" "CYM" "Population, total" 64174 "X2018"
"52" "Cyprus" "CYP" "Population, total" 1189265 "X2018"
"53" "Czech Republic" "CZE" "Population, total" 10625695 "X2018"
"54" "Germany" "DEU" "Population, total" 82927922 "X2018"
"55" "Djibouti" "DJI" "Population, total" 958920 "X2018"
"56" "Dominica" "DMA" "Population, total" 71625 "X2018"
"57" "Denmark" "DNK" "Population, total" 5797446 "X2018"
"58" "Dominican Republic" "DOM" "Population, total" 10627165 "X2018"
"59" "Algeria" "DZA" "Population, total" 42228429 "X2018"
"60" "East Asia & Pacific (excluding high income)" "EAP" "Population, total" 2081651801 "X2018"
"61" "Early-demographic dividend" "EAR" "Population, total" 3249140605 "X2018"
"62" "East Asia & Pacific" "EAS" "Population, total" 2328220870 "X2018"
"63" "Europe & Central Asia (excluding high income)" "ECA" "Population, total" 417797257 "X2018"
"64" "Europe & Central Asia" "ECS" "Population, total" 918793590 "X2018"
"65" "Ecuador" "ECU" "Population, total" 17084357 "X2018"
"66" "Egypt, Arab Rep." "EGY" "Population, total" 98423595 "X2018"
"67" "Euro area" "EMU" "Population, total" 341783171 "X2018"
"68" "Eritrea" "ERI" "Population, total" 3213972 "X2011"
"69" "Spain" "ESP" "Population, total" 46723749 "X2018"
"70" "Estonia" "EST" "Population, total" 1320884 "X2018"
"71" "Ethiopia" "ETH" "Population, total" 109224559 "X2018"
"72" "European Union" "EUU" "Population, total" 513213363 "X2018"
"73" "Fragile and conflict affected situations" "FCS" "Population, total" 515215936 "X2018"
"74" "Finland" "FIN" "Population, total" 5518050 "X2018"
"75" "Fiji" "FJI" "Population, total" 883483 "X2018"
"76" "France" "FRA" "Population, total" 66987244 "X2018"
"77" "Faroe Islands" "FRO" "Population, total" 48497 "X2018"
"78" "Micronesia, Fed. Sts." "FSM" "Population, total" 112640 "X2018"
"79" "Gabon" "GAB" "Population, total" 2119275 "X2018"
"80" "United Kingdom" "GBR" "Population, total" 66488991 "X2018"
"81" "Georgia" "GEO" "Population, total" 3731000 "X2018"
"82" "Ghana" "GHA" "Population, total" 29767108 "X2018"
"83" "Gibraltar" "GIB" "Population, total" 33718 "X2018"
"84" "Guinea" "GIN" "Population, total" 12414318 "X2018"
"85" "Gambia, The" "GMB" "Population, total" 2280102 "X2018"
"86" "Guinea-Bissau" "GNB" "Population, total" 1874309 "X2018"
"87" "Equatorial Guinea" "GNQ" "Population, total" 1308974 "X2018"
"88" "Greece" "GRC" "Population, total" 10727668 "X2018"
"89" "Grenada" "GRD" "Population, total" 111454 "X2018"
"90" "Greenland" "GRL" "Population, total" 56025 "X2018"
"91" "Guatemala" "GTM" "Population, total" 17247807 "X2018"
"92" "Guam" "GUM" "Population, total" 165768 "X2018"
"93" "Guyana" "GUY" "Population, total" 779004 "X2018"
"94" "High income" "HIC" "Population, total" 1210312147 "X2018"
"95" "Hong Kong SAR, China" "HKG" "Population, total" 7451000 "X2018"
"96" "Honduras" "HND" "Population, total" 9587522 "X2018"
"97" "Heavily indebted poor countries (HIPC)" "HPC" "Population, total" 780234406 "X2018"
"98" "Croatia" "HRV" "Population, total" 4089400 "X2018"
"99" "Haiti" "HTI" "Population, total" 11123176 "X2018"
"100" "Hungary" "HUN" "Population, total" 9768785 "X2018"
"101" "IBRD only" "IBD" "Population, total" 4772284113 "X2018"
"102" "IDA & IBRD total" "IBT" "Population, total" 6412522234 "X2018"
"103" "IDA total" "IDA" "Population, total" 1640238121 "X2018"
"104" "IDA blend" "IDB" "Population, total" 555830605 "X2018"
"105" "Indonesia" "IDN" "Population, total" 267663435 "X2018"
"106" "IDA only" "IDX" "Population, total" 1084407516 "X2018"
"107" "Isle of Man" "IMN" "Population, total" 84077 "X2018"
"108" "India" "IND" "Population, total" 1352617328 "X2018"
"109" "Not classified" "INX" "Population, total" NA NA
"110" "Ireland" "IRL" "Population, total" 4853506 "X2018"
"111" "Iran, Islamic Rep." "IRN" "Population, total" 81800269 "X2018"
"112" "Iraq" "IRQ" "Population, total" 38433600 "X2018"
"113" "Iceland" "ISL" "Population, total" 353574 "X2018"
"114" "Israel" "ISR" "Population, total" 8883800 "X2018"
"115" "Italy" "ITA" "Population, total" 60431283 "X2018"
"116" "Jamaica" "JAM" "Population, total" 2934855 "X2018"
"117" "Jordan" "JOR" "Population, total" 9956011 "X2018"
"118" "Japan" "JPN" "Population, total" 126529100 "X2018"
"119" "Kazakhstan" "KAZ" "Population, total" 18276499 "X2018"
"120" "Kenya" "KEN" "Population, total" 51393010 "X2018"
"121" "Kyrgyz Republic" "KGZ" "Population, total" 6315800 "X2018"
"122" "Cambodia" "KHM" "Population, total" 16249798 "X2018"
"123" "Kiribati" "KIR" "Population, total" 115847 "X2018"
"124" "St. Kitts and Nevis" "KNA" "Population, total" 52441 "X2018"
