"Country" "CCode" "SL.AGR.EMPL.MA.ZS" "SP.RUR.TOTL.ZS" "SH.TBS.INCD" "SM.POP.NETM" "SP.URB.TOTL.IN.ZS" "EN.ATM.CO2E.PC" "EG.ELC.ACCS.ZS" "EN.URB.MCTY.TL.ZS" "SP.POP.TOTL" "SI.POV.DDAY" "NY.GDP.MKTP.KD.ZG" "NE.IMP.GNFS.ZS" "FP.CPI.TOTL.ZG" "SE.XPD.TOTL.GD.ZS" "SL.UEM.TOTL.ZS" "SE.ADT.LITR.ZS" "EG.USE.COMM.FO.ZS" "EN.POP.SLUM.UR.ZS" "EN.ATM.PM25.MC.ZS" "BX.KLT.DINV.CD.WD" "BN.CAB.XOKA.CD" "FI.RES.TOTL.CD" "SP.DYN.LE00.FE.IN" "SP.DYN.LE00.MA.IN" "SG.TIM.UWRK.FE" "SH.SGR.CRSK.ZS" "SH.SGR.PROC.P5" "SP.POP.65UP.TO.ZS" "SH.MED.BEDS.ZS" "SH.STA.DIAB.ZS" "SH.DTH.NCOM.ZS" "SP.DYN.IMRT.IN" "IS.AIR.DPRT" "IE.PPI.TRAN.CD" "SI.POV.GINI" "SI.DST.10TH.10" "SI.DST.FRST.10" "SI.POV.URHC" "SI.POV.RUHC" "ST.INT.XPND.MP.ZS" "ST.INT.RCPT.XP.ZS" "GC.XPN.TOTL.GD.ZS" "SP.DYN.LE00.FE.IN" "GB.XPD.RSDV.GD.ZS" "SP.POP.SCIE.RD.P6" "SL.GDP.PCAP.EM.KD" "LP.LPI.OVRL.XQ" "EN.URB.LCTY.UR.ZS" "EN.POP.DNST" "SH.STA.TRAF.P5"
"1" "Aruba" "ABW" NA 56.589 5.4 1004 43.411 8.41006417792511 100 NA 105845 NA NA NA NA NA NA 97.80742 NA NA NA 135642458.1006 NA 980247680 78.372 73.488 NA NA NA 13.5509471396854 NA 11.6 NA NA 2276 NA NA NA NA NA NA NA NA NA 78.372 NA NA NA NA NA 588.027777777778 NA
"2" "Afghanistan" "AFG" 28.92799949646 74.505 189 -314602 25.495 0.293946407148718 97.7 10.792339238057 37172386 NA 1.03066005804328 NA NA NA 1.51900005340576 43.01972 NA 62.7 100 119435105.715177 -3654730153.50141 8206682106.31946 65.656 62.701 NA NA NA 2.58492693988024 0.5 9.2 44.1 47.9 24433.446 NA NA NA NA NA NA 2.83035333921324 3.10262204071831 NA 65.656 NA NA 4916.10693359375 1.95 42.3311983623682 56.937760009803 15.1
"3" "Angola" "AGO" 42.4129981994629 34.486 355 32066 65.514 1.29030677595566 41.88623046875 25.2329115687424 30809762 47.6 -2.13349325676356 NA NA NA 7.24599981307983 NA NA 55.5 100 -5732491335.28017 7402606519.27953 15410405365.47 63.252 57.677 NA 10.6 NA 2.21637364776329 NA 4.5 27.4 51.6 13978 5.3e+07 51.3 39.6 1.3 NA NA 2.94352197094216 1.3457717330498 NA 63.252 NA NA 14784.7001953125 2.05 38.515297744971 24.7130520574316 23.6
"4" "Albania" "ALB" 34.6790008544922 39.681 18 -69998 60.319 1.97876331208568 100 NA 2866376 NA 4.14523793594839 45.3977304984143 1.41109078954244 2.46866 13.956000328064 98.14115 NA NA 99.9999999999643 1204383363.60476 -1010238285.34799 3893560031.06681 80.148 76.601 NA 7.4 NA 13.7447359109736 NA 9 93.1 7.8 2935 284600000 NA NA NA NA NA 25.5314674703334 48.1951679829468 23.3498809150361 80.148 NA NA 31132.7109375 2.66 27.5063925379807 104.612262773723 13.6
"5" "Andorra" "AND" NA 11.938 3 NA 88.062 5.83290621488897 100 NA 77006 NA 1.62934547096762 NA NA 3.22691 NA NA NA NA 17.8244594869492 NA NA NA NA NA NA NA 5178 NA NA 7.7 NA 2.7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 163.842553191489 NA
"6" "Arab World" "ARB" 19.4654072954565 41.0745814068609 NA -1408824 58.9254185931391 4.88698751329195 90.2736865998321 23.5495002980389 419790588 NA 2.04597565441296 39.5637909145932 NA NA 9.931899921755 74.5966 NA 32.5170967713197 100 32361694496.0224 NA NA 73.4933662533549 69.9212501154086 NA 36.3567855640463 NA 4.55787642361103 NA 12.5359728836622 66.1936006577367 26.4776726175944 1493348.76870414 NA NA NA NA NA NA 10.7419709402064 9.9893827074537 NA 73.4933662533549 NA NA 53424.8698579491 2.67809523809524 29.0157691528897 37.3723653654038 19.4468187511274
"7" "United Arab Emirates" "ARE" 4.26700019836426 13.478 1 2e+05 86.522 22.9396063130991 100 59.9724700312814 9630959 NA 1.72634934292543 67.9783656986559 -1.93108114782171 NA 2.64299988746643 NA NA NA 100 10385286000 NA 99503335478.7452 79.008 76.966 NA NA NA 1.08500098484481 NA 16.3 76.8 6.5 455957 NA NA NA NA NA NA NA NA 4.04000838393531 79.008 1.30316 2378.88895 100218.2890625 3.96 33.4262581877277 135.609110109828 18.1
"8" "Argentina" "ARG" 0.0879999995231628 8.13 27 24000 91.87 4.78150777487432 100 43.0081024392632 44494502 1 -2.48179244509274 16.4199284119137 NA NA 9.98499965667725 99.00387 NA 16.7 93.8528246666324 11872856662.7649 -27478773447.7785 66221501691.4418 79.726 72.924 NA 2.5 NA 11.1177888760774 NA 5.9 77.6 8.8 161688 1.6e+07 41.4 29.9 1.8 NA NA 15.1346704633444 7.8567752744146 NA 79.726 NA NA 48109.37109375 2.89 36.6134837504002 16.2585100979651 14
"9" "Armenia" "ARM" 30.3889999389648 36.851 31 -24989 63.149 1.89871937365811 100 36.5991186323081 2951776 2.1 5.19999999965322 53.4824517351464 1.44344660770702 NA 17.7070007324219 NA NA 14.4 100 254146163.557324 -1165303576.08295 2259321868.53197 78.165 71.115 NA 41 4198 11.2538176570131 4.2 6.1 93.3 11 NA 1.01e+08 34.4 29.2 3.3 NA NA 21.933781319289 26.3171955762686 22.12084600425 78.165 0.18913 NA 24805.095703125 2.61 57.9567675616692 103.680224798033 17.1
"10" "American Samoa" "ASM" NA 12.847 0 NA 87.153 NA NA NA 55465 NA 2.18487394957982 99.3710691823899 NA NA NA NA NA NA 100 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 277.325 NA
"11" "Antigua and Barbuda" "ATG" NA 75.401 6 0 24.599 5.74441995635358 100 NA 96286 NA 7.38919716232351 NA NA NA NA NA NA NA 100 135127898.770161 -113168506.910818 328659747.502549 77.871 75.571 NA NA NA 8.79982551980558 NA 13.1 81.8 5 23206.966273393 NA NA NA NA NA NA 10.134036918054 84.3106823458553 NA 77.871 NA NA NA NA NA 218.831818181818 7.9
"12" "Australia" "AUS" 3.35199999809265 13.988 6.6 791229 86.012 15.3887660194467 100 60.8680313578917 24992369 NA 2.94033358170461 21.3876035202283 NA NA 5.32800006866455 NA 89.6256301102374 NA 24.8935837696774 60337583596.5415 -29660388139.524 53880533420.3007 84.7 80.4 NA 0.6 10156 15.6564752275591 NA 5.6 89.5 3.1 665384 NA NA NA NA NA NA 13.6625909532642 14.4613912959537 26.1172616602158 84.7 NA NA 92936.21875 3.75 22.2933745854429 3.24912948744283 5.6
"13" "Austria" "AUT" 4.1100001335144 41.703 7.1 324998 58.297 6.86986792967669 100 21.4822996671089 8847037 NA 2.41976363780752 52.0344068166518 1.53089553422702 NA 4.63500022888184 NA 65.6618219894727 NA 85.0515376653505 4220346205.72346 10798736575 23190665221.0656 84.1 79.3 NA 0.4 13795 19.0015664595899 NA 6.6 92.2 2.9 130260 NA NA NA NA NA NA 6.01142300861459 10.0119483521856 NA 84.1 NA NA 96643.1875 4.03 36.8497527026846 107.206926667578 5.2
"14" "Azerbaijan" "AZE" 30.4750003814697 44.32 63 6002 55.68 3.93156060898919 100 22.9898633459709 9942334 NA 1.41287352692132 37.7191179640388 2.60833956534686 NA 5.39599990844727 NA NA NA 100 1402998000 6051077000 6665989936.45047 75.215 70.128 NA NA 1842 6.19518275071493 NA 6.1 86.6 19.2 19960 NA NA NA NA NA NA 13.8546875412132 11.1048009507593 NA 75.215 0.18484 NA 34190.171875 NA 41.2892628685675 120.265319946776 8.7
"15" "Burundi" "BDI" 87.2870025634766 86.968 111 10003 13.032 0.0446999922899522 9.3 NA 11175378 NA 1.60993308234522 30.5033368824551 NA 5.01084 1.53799998760223 NA NA 57.9 100 983747.12499426 -362644693.882423 68126200.7714545 62.675 59.092 NA 83.9 NA 2.24694046033717 NA 5.1 32.1 41 NA NA NA NA NA NA NA 2.54060975902162 1.36791479575936 NA 62.675 NA NA 1614.05200195313 2.06 61.726409750236 435.178271028037 34.7
