"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","-18659217.877095","-22569832.4022346","-44301675.9776536","-46703910.6145251","-158156424.581006","-209497206.703911","43798882.6815642","41731843.575419","81061452.5139665","-279329.608938545","-69106145.2513966","-195810055.865922","-18770949.7206704","-435513966.480447","207145251.396648","308759776.536313","-340251396.648045","-165553072.625698","270888268.156425","104963491.341427","310555693.72256","258268156.424581","111731.843575411","171675977.653631","-460111731.843575","-260558659.217877","90837988.8268157","-331240424.581006","-135498655.865922","110690101.675978","141069536.312849","","","",
"Afghanistan","AFG","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","-99600000","53600000","-205800000","-67300000","-138800000","-450600000","-243200000","-537200000","-166900000","26200000","-143300000","","","","","","","","","","","","","","","","","","","-150984007.718959","155310512.34914","-297346901.443581","-2026740562.60277","-4881449961.17703","-4856756330.16192","-3966779434.41202","-3997069814.06034","-4210539727.89345","-4327263841.41634","-3654730153.50141","",
"Angola","AGO","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","195000000","-303000000","447000000","-469000000","-132000000","-235500000","-579600000","-734776000","-668500000","-339800000","-295047000","3266378000","-883540000","-1867130000","-1710410000","795650000","-1430930000","-150093385.26","-719558880.5","681237662.030001","5137882651.4822","10689818935.61","10581250704.88","7194246953.019","-7571651745.69","7505954235.08","13084636207.4109","13841185161.0098","8145070111.69022","-3747517596.21103","-10272841902.6133","-3085195463.21077","-632867147.90334","7402606519.27953","",
"Albania","ALB","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","16000000","45000000","-66800000","-38300000","-28100000","-36400000","-3200000","5200000","-27100000","-39300000","-118300000","-168000000","-50700000","14900000","-157300000","-11500000","-107300000","-272232500","-65070000","-155400000","-156300000","-217400000","-407520000","-406814698.259077","-357925427.326321","-571475353.650417","-670904254.719467","-1150813004.28052","-2013166061.36354","-1852457561.90294","-1355598479.39827","-1667175109.43642","-1256644799.54907","-1184891052.23519","-1425385680.43297","-979825099.400462","-900363040.501948","-982237928.301345","-1010238285.34799","",
"Andorra","AND","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","651000000","1126000000","1856000000","-513000000","-4774000000","-4712000000","-2353000000","-2436000000","-2495000000","-952000000","-2859000000","-4235000000","-1572000000","-1305000000","4552000000","-647000000","-5547754558.62268","-8205889940.16498","-10979452970.0946","-5117957254.29083","-6769978160.48526","-12138068595.3394","-14481998042.2511","-11942825328.0158","-8980617892.62762","-3780423241.19359","8766610000","8139930000","3211790000","5273750000","6498802520.20453","6048537892.88669","5421206328.61008","7254115683.93703","-1622995871.25068","-5340181192.3952","-2138040360.43296","-13124373785.8633","-9179026266.87552","-17621985168.21","-15104786524.5601","-31597868773.1971","-27478773447.7785","",
"Armenia","ARM","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-67730000","-103780000","-220677007","-322209052.982993","-335738764.986447","-416148343.902794","-312542932.852967","-301667882.53552","-221164164.287385","-147810525.588102","-173510013.114181","-78841446.2541776","-123899753.898011","-152931434.45237","-677270882.378012","-1658884233.70808","-1425501011.33033","-1261431337.93129","-1058869760.23295","-1057931944.57862","-813035673.331536","-901811470.85351","-287060199.606137","-217365563.944787","-344442864.520614","-1165303576.08295","",
"American Samoa","ASM","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","-9600000","-2200000","-19500000","-18800000","-32700000","-41600000","-9100000","600000","-23100000","-118285185.185185","-111285185.185185","-45037037.037037","-81648148.1481482","-30985185.1851852","-30922222.2222222","-9870370.37037037","15055555.5555556","-6344444.44444444","-518518.518518518","-59440740.7407407","-47374074.0740741","-46770370.3703704","-60425901.1111111","-66773349.6296296","-56894814.8148148","-82406382.962963","-97559289.2592593","-95101379.2592593","-171492877.037037","-291763385.555556","-385514557.407407","-359171367.407407","-169024819.259259","-167107016.296296","-117692907.777778","-166821254.074074","-204399948.888889","3332296.24960828","29333191.177883","-34854522.2429164","-129865966.203629","-113168506.910818","",
"Australia","AUS","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-18340091394.3267","-15532375781.5639","-10586162828.9367","-10313304564.5566","-9289520941.73122","-15863048787.8869","-18669238436.3801","-14404742352.5668","-11910492515.9163","-17780527378.192","-21795709492.9592","-15487273891.4343","-7986938465.21441","-16002234756.2014","-29307731701.3676","-41286950910.194","-43342943309.5636","-45318593059.6826","-64163007801.9241","-52121667002.2045","-48898407698.7643","-44714246092.1586","-44431156054.1156","-64482910032.1769","-47872531026.3494","-43397397625.4285","-56953649153.4086","-41047520168.5304","-35843536825.3915","-29660388139.524","",
"Austria","AUT","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6232945526.75533","10993883346.6651","14749054068.6709","19299052401.6221","10303724796.1585","11472431144.4445","6798975982.3796","6141933076.67494","8379185904.99943","10589968447.7841","6634070794.96634","10771582681.0119","6419120340.87555","10798736575","",
"Azerbaijan","AZE","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-400650000","-931182000","-915755000","-1364521000","-599703000","-167773000","-51755000","-768373000","-2020854000","-2589213000","167315000","3707605000","9018885000","16452805000","10174876000","15040436000","17144935000","14975987000","12231737000","10208803000","-222495000","-1363404000","1684559000","6051077000","",
"Burundi","BDI","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","-41287339.7507603","-36165024.2728363","-95230130.7151637","-70059475.0525303","-11489495.7983193","-69444226.8249421","-33275378.9796943","-59608454.3644824","-28115989.7849905","-16884183.4462969","10446132.7487663","-40010349.6873073","6129686.08465521","-48635466.082532","-21105733.6142841","-50162533.186557","-36713166.2826267","-3284988.16813338","-23902939.1660971","-32368607.5029521","-5698160.23298074","-133539415.109128","-111307028.885154","-259356226.222548","-161180586.838638","-300982004.173613","-283583270.335852","-261157248.520261","-258429277.175128","-395077161.965288","-373243823.096405","-339695286.751492","-373388923.277553","-362644693.882423","",
"Belgium","BEL","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11622181453.1176","10806024030.8731","11434413829.7619","7700999844.66491","7553988245.75251","7043546782.48605","-4300219760.99251","8777353551.11963","7337927601.44296","-10168977415.4153","-413616611.594275","5078944279.8718","4041465918.74957","6363243452.05958","2646800222.52589","6180354945.89861","-5250876554.09341","",
