"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.2768707275391","99.2905883789063","99.3052062988281","100","100","100","100","100","100","91.6603980031457","100","100","100","100","100","100","100","100","100","93.3562921509542","100","100","100","100","100","100","100","","",
"Afghanistan","AFG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","26.9293174743652","33.0157508850098","42.4","45.2371215820313","42.7","43.2220189082037","69.1","70.1534805297852","89.5","71.5","97.7","97.7","","",
"Angola","AGO","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","25.0732555389404","26.145881652832","27.194372177124","28.2168846130371","29.2239036560059","37.5","31.245735168457","32.2876853942871","33.3684196472168","34.6","35.6707878112793","36.8786849975586","32","42","40.6245269775391","41.88623046875","","",
"Albania","ALB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Andorra","AND","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Arab World","ARB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.2625656058119","76.653498146481","79.0211016494171","80.209278968822","84.1169614493742","82.8633653405965","85.0834073664276","84.6744583791117","86.0076198836319","86.4282717227449","87.0705755726273","88.1768363866731","87.34273858827","89.1301207532004","89.6786850627696","90.2736865998321","","",
"United Arab Emirates","ARE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Argentina","ARG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.5110634674458","96.1091842651367","96.3805694580078","96.6278228759766","96.8490905761719","97.0548706054688","97.2587203979492","97.4742202758789","97.7149276733398","98.82","99.3411865234375","99.6030960083008","99.5784072875977","100","99.8235778808594","99.9668807983398","100","","",
"Armenia","ARM","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.9","100","98","99.2359161376953","99.2819519042969","99.8","99.3065795898438","99.3092193603516","99.3235092163086","99.3630065917969","99.8","99.8926162719727","99.9785232543945","100","100","100","100","100","","",
"American Samoa","ASM","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","97.9119415283203","98.0101089477539","92.2","100","100","100","98.3518218994141","98.4822311401367","94.5520140336941","100","100","100","100","100","100","","",
"Australia","AUS","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Austria","AUT","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Azerbaijan","AZE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97","98.9082224496759","98.6345138549805","100","99.0234756469727","99.1842269897461","99.3189849853516","99.5","99.5556106567383","99.6846008300781","99.8388061523438","99.9399871826172","99.9","100","100","100","100","100","100","","",
"Burundi","BDI","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9","2.75987958908081","3.09756112098694","3.42589259147644","3.73994588851929","4.03479290008545","4.30550575256348","3.20731707317073","4.77947854995728","5.00679397583008","4.8","5.50992727279663","5.3","6.16447401046753","6.5","7.0911226272583","7","8.47091770172119","9.29845809936523","9.3","","",
"Belgium","BEL","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Benin","BEN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5","16.7558822631836","18.0730686187744","19.3907623291016","20.7040348052979","21.9","23.2975997924805","24.5680370330811","25.814338684082","27.0346622467041","27.9","29.4423980712891","30.6569480895996","31.8967113494873","34.2","36.9","38.4","37.2789535522461","34.1","40.1601715087891","41.6182327270508","43.0777473449707","","",
"Burkina Faso","BFA","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","5.26082992553711","5.90819692611694","6.55918645858765","7.21470499038696","7.87468481063843","6.9","9.19123458862305","9.8379487991333","10.4703845977783","11.4","11.6727094650269","12.2358255386353","12.7834482192993","13.3291454315186","13.8864879608154","14.4690437316895","13.1","15.7603559494019","16.7589511871338","18.337574005127","19.2","21.7893447875977","23.6528739929199","25.4737434387207","","",
"Bangladesh","BGD","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.29","12.0085296630859","14.5696516036987","17.8","19.6982364654541","22.2675094604492","22.4","27.4195728302002","29.9983425140381","32","35.1376876831055","37.6884078979492","40.2199211120605","40.6","44.23","50.5251024590164","46.5","52.6142120361328","55.115047454834","55.26","59.6","62.874813079834","61.5","62.4","73.174201965332","75.92","88","","",
"Bulgaria","BGR","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bahrain","BHR","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bahamas, The","BHS","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","96.065547","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bosnia and Herzegovina","BIH","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","99.4","98.5","100","100","100","99.3872769868445","99.7","100","100","100","99.705780546902","100","100","100","100","100","100","","",
"Belarus","BLR","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Belize","BLZ","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67","70.3152618408203","71.4193267822266","72.5252075195313","73.6338119506836","74.7460327148438","75.8627777099609","76.9839935302734","78.1057052612305","79","80.3309478759766","81.4246139526367","82.4990768432617","83.5494079589844","84.5737533569336","90.9885308574549","86.5895385742188","87.6081085205078","88.6518936157227","89.9172243747798","91.6817359855335","92.0405044555664","93.2502365112305","94.4861450195313","91.8","97.0015869140625","98.2651214599609","","",
"Bermuda","BMU","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bolivia","BOL","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.2070121765137","58.556941986084","59.9070243835449","61.2580108642578","64.1","63.9663200378418","71","67.330431","71.2","70.929888","69.963045","69.258539","63.996855","72.3","76.1041641235352","68.288209","76.211281","80.156567","84.674991","86.765597","87.9120101928711","88.335943","90.387375","89.505686","90.038729","91.522822","91.8","91.8","","",
"Brazil","BRA","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.475116","90.1516571044922","88.803833","89.999927","91.5416870117188","91.728598","92.867095","93.354139","94.193812","94.76296","94.3932952880859","96.016528","96.652996","96.980098","96.765107","97.093513","97.594314","98.125382","98.526625","98.856938","98.8462677001953","99.328691","99.519494","99.575151","99.650247","99.710902","99.7","100","","",
"Barbados","BRB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","99.9967346191406","99.9777984619141","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Brunei Darussalam","BRN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bhutan","BTN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.15","40.1065483093262","44.0667114257813","41.1","51.9244918823242","59.8081116441343","59.6906890869141","71.8","67.4491806030273","71.3594665527344","73.2829108748978","81.7524795532227","91.5","87.4326095581055","91.5261993408203","95.6460571289063","99.7746353149414","97.7","","",
"Botswana","BWA","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1","10.5489110946655","12.6260280609131","14.7049560546875","16.7866020202637","18.8718700408936","20.9616661071777","23.0559234619141","25.1506881713867","27.2410316467285","24.8","31.3887367248535","33.4362449645996","35.4596176147461","37.4570121765137","39.4389114379883","41.418888092041","43.1","45.4273452758789","52.6711654663086","53.24","53.3774375915527","53.9178695678711","56.126823425293","58.3532295227051","60.5883598327637","62.8249473571777","","",
"Central African Republic","CAF","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3.2486879825592","3.81623959541321","4.3882532119751","4.96077251434326","6","6.08761739730835","6.63208675384521","7.15734958648682","7.65847826004028","8.13362789154053","7.80516932525804","9.05101490020752","9.52039051055908","10.0149793624878","9.8","13.2012872695923","16.0999584197998","18.7120380401611","21.3389186859131","24.2307262420654","27.1277122497559","29.9820384979248","","",
"Canada","CAN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Central Europe and the Baltics","CEB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Switzerland","CHE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Channel Islands","CHI","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.257427","94.6276092529297","94.560057","95.1183547973633","95.3659896850586","95.616340637207","95.617315","96.1288223266602","97.241124","96.6552581787109","97.938687","97.1640090942383","97.3994293212891","98.782325","97.8077239990234","97.9738235473633","99.368108","98.2731170654297","98.4334487915039","99.593662","99.2451629638672","99.588193","100","99.6","100","99.714844","100","100","","",
"China","CHN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.2447967529297","93.5757827758789","93.9069137573242","94.2389450073242","94.5727920532227","94.9093627929688","95.2495498657227","95.5942687988281","95.9434432983398","96.2931289672852","96.6383895874023","96.9743041992188","97.2959365844727","97.5983657836914","97.8766555786133","98.1289749145508","98.3657913208008","98.6006851196289","98.8472290039063","99.1189804077148","99.7","99.874641418457","99.9749298095703","100","100","100","100","100","","",
"Cote d'Ivoire","CIV","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.6594924926758","37.787281036377","38.9146156311035","40.039249420166","36.5","42.2695693969727","43.3698501586914","44.456600189209","45.5271148681641","48.2","47.6174240112305","48.6439170837402","51.4","50.6790618896484","51.6955146789551","58.9","53.745677947998","54.7862396240234","55.8373031616211","56.8971138000488","57.9639282226563","59.0359878540039","55.8","61.1888618469238","61.9","63.3129463195801","64.3","65.6357574462891","","",
