"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","3.17164450754715","3.27566331966833","3.38105111287127","3.48760191151715","3.59558619121353","3.70427025246276","3.81560941129665","3.9239413818906","4.02707965535223","4.12698957643337","4.22325146984305","4.31619863107705","4.48221832949361","4.73336156035822","5.00812457957214","5.31362202068537","5.65077450961683","6.02201482525727","6.44836393253439","6.95238316803688","7.32095380298043","7.78442495497725","8.3464441140745","8.99329463946025","9.68921425347738","10.3864918419917","11.0794066791244","11.7068466514898","12.2176225608441","12.494155934045","12.482126611747","12.1715537321292","11.6756593089415","11.171235694542","10.8108486391238","10.6494976963011","10.6886664749775","10.8760567038723","11.1439415759586","11.3929739380266","11.5549298884362","11.6095635356487","11.5960827883298","11.5627545963153","11.4615489889384","11.3243417462125","11.2668841191949","11.265526261178","11.289996535638","11.2991869324866","11.26930911291","11.1950286035524","11.0922444503093","10.9800964617182","10.8845746972637","10.8199742991165","10.7883084842018","10.7815017467297","10.792339238057","",
"Angola","AGO","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","4.02254253168646","4.21468281860597","4.48196936849329","4.7722687622657","5.09628173733279","5.4606044116959","5.87696632575788","6.34439873763539","6.84453948366949","7.33907218260652","7.79620617737611","8.08819792553176","8.22670596323756","8.32329017777847","8.41397761995332","8.52084282460137","8.65019879774859","8.79261083645761","8.94504182996485","9.09827381678509","9.24735973061238","9.3910661556128","9.53489073433896","9.68004642331789","10.0270064111885","10.3860802206626","10.7608048014212","11.1509694319059","11.5601122148888","11.9876798998357","12.4392301196129","12.9147668023441","13.4157059217534","13.9380510160994","14.3702929268447","14.8173214508269","15.2799731735617","15.7538645886077","16.2419648791658","16.7417907086773","17.2536650818186","17.773851654748","18.3061628135228","18.8450788150349","19.387151554698","19.9245101345597","20.4617432115423","21.0006351001894","21.5491420992814","22.1096245534112","22.6939979995073","23.3025101998661","23.938113419222","24.5980747069663","25.2001064963082","25.1868815018702","25.1900945840864","25.2051129117099","25.2329115687424","",
"Albania","ALB","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","14.3728581664676","14.698097031074","15.0381443175659","15.4105446854961","15.8244904118491","16.2596162277094","16.6394088946881","16.8984352030052","17.1738100021369","17.4719196985315","17.7897718563728","18.1294326971468","18.4911033916124","18.8666177130761","19.2146519133504","19.5103925395832","19.6800313261737","19.8046922065503","19.8708317859317","19.9344660002196","20.0105410000765","20.0851845233615","20.1477888893304","20.1918348978601","20.2640833130459","20.3525819148214","20.4631062470074","20.6245110303876","20.8306698844106","21.0103941129323","21.2193392470532","21.4246616258763","21.2561540328965","21.4285951189715","21.5353265910922","21.9149765774322","22.0128746979329","22.0885868120126","22.1640158134782","22.241923728892","22.323765638582","22.408992285654","22.5299234890596","22.6171515565563","22.6000623162322","22.6154159126427","22.6449336549565","22.5433015021387","22.666346827829","22.7977635611586","22.9119136067764","22.6590846473169","22.530958734037","22.4915509573431","22.519086876348","22.7819950362315","23.1259312941326","23.3304545522806","23.5495002980389","",
"United Arab Emirates","ARE","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","61.6676405029323","61.6959006309774","60.6361155211474","59.5005194597618","59.1825498590978","59.9084460519028","61.7898934840226","64.2223936950362","66.8553937807663","69.5075477829311","69.637633574115","68.1044145153908","66.0973369509387","64.1691838306844","62.7355594490118","61.9573920164289","60.5172732716539","58.5275734894145","57.4917295824816","57.5965200928576","58.8771653805901","59.1885902918996","58.5572189703693","58.3598638619604","58.2532375145965","58.0160215025429","57.7075872177436","57.3891320451558","57.0477780249849","56.730936946052","56.4869243154791","56.2584886170581","56.0299597007342","55.8656395196073","55.8624206486706","56.0378702242981","56.6216879351399","57.4540253249092","58.2526249336169","58.9993236759929","59.634716862653","60.4337517057915","61.2841237020941","61.353198280572","59.8049191730756","56.6546322379569","52.516596624941","48.3994392460946","45.1827050391657","43.4019268009638","43.1234172492406","43.578866445425","45.1073094895027","47.4098898554128","50.0557456310521","52.6678685940688","55.1294843061303","57.545295489092","59.9724700312814","",
"Argentina","ARG","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","40.8502113024459","41.1564851983925","41.4336144023094","41.7235037306682","42.0282000556716","42.3435568702574","42.6745223789329","43.0172865769215","43.365518016518","43.7052896231679","44.0343130967484","44.1551023944745","44.1982827769648","44.233834459895","44.2777640450577","44.337258623132","44.4166483499267","44.5082324640291","44.6063339677877","44.6978155465269","44.7758552605543","44.6972256662002","44.5468253226271","44.3909853606619","44.236835792927","44.0872153715552","43.9452256434452","43.8109549273251","43.6900258357169","43.5856899190479","43.5038990422995","43.4347833973216","43.3191827357341","43.2226465200541","43.1446691117481","43.0824789243879","43.0364723474818","43.0040146753149","42.9840354470712","42.9723018630047","42.9668154357541","42.9638118737668","43.0249482315696","43.1288435467168","43.2411179141458","43.3605633887557","43.4903615633523","43.6279465214136","43.7696655901573","43.9073712018056","44.1555530434067","44.0532927918987","43.8753602611212","43.7055621842415","43.5459309342739","43.3967164863294","43.2579876361677","43.1279998000218","43.0081024392632","",
"Armenia","ARM","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","28.6939317151881","28.7469636753589","28.8267979613103","28.9398039447857","29.0944386506114","29.2904822868162","29.5366853043496","29.8297185231926","30.1626350450598","30.5194061702169","30.81730868238","31.0356500810756","31.2736607550464","31.5339285885433","31.8299283136031","32.1663438365212","32.5465059096844","32.9636124104779","33.4187735640386","33.6501581281614","33.6022471460639","33.5864916444734","33.6082818333282","33.6440956649411","33.6655812227846","33.6588787568122","33.6011878792452","33.5201844060758","33.5166131712101","33.395975765692","33.1957952286648","33.3226256098695","33.7395510711142","34.3489117804126","34.9858252983631","35.509991458804","35.8613871948958","36.0637058187623","36.1462572462265","36.1756892634627","36.2035528511779","36.2272170170194","36.2657870294379","36.3128460150858","36.374936681863","36.4661156037915","36.6022525721637","36.7752977032808","36.9430234645679","37.0442839078534","37.0343712323868","36.8963316319826","36.8306746794377","36.7639039972612","36.6797108779245","36.6175215420811","36.5881669372027","36.5829838200033","36.5991186323081","",
"American Samoa","ASM","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","54.1999461488602","54.6152723457026","54.6622323589648","54.9989315068493","55.3179278230501","55.6393484369512","55.790052356021","57.7117382829053","59.4116829044883","60.960523526054","62.6385224274406","63.4589935842931","63.1031190711088","62.9432137518685","62.1603803832981","62.1923414669258","62.3688234874938","62.3037415445321","62.2185750104471","62.1861650819898","62.070283147291","61.7277617739666","61.5127816576624","61.5564187650465","61.6758878023675","61.649993654017","61.4602020176797","61.4300383056954","61.3321457519265","61.1991328860976","61.1993307979443","61.3258562832678","61.2349699914261","61.2879945661403","61.294516942033","61.2111553784861","61.0644475998034","60.5148998217854","60.0184276628721","59.4684349572017","58.8963974312118","58.2421882243857","58.2718177839747","58.2954351257074","58.3654669753669","58.3416606193736","58.2312650075611","59.0291104111852","59.0211396193739","58.9776366075504","59.2358346477243","59.5951776954224","59.6872496119707","59.792264216444","60.0378919704413","60.3172951623478","60.5264531834214","60.6631246580543","60.8680313578917","",
