"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","112720000","127140000","131945000","127170000","136430000","154950000","175435000","220304999","215915000","255345000","224545000","201350001","250969999","248935000","235455000","321360614.52514","374002932.960894","336945700","339224000","324813400","401389600","455457100","691873900","686970110","708713690","689775980","768622300","653170670","680351000","815800560","922550890","907111452.513966","980247680","",
"Afghanistan","AFG","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","45547800","44619680","45434560","47114050","38528800","45589800","41373600","49488930","67614026.9490591","81289660.8667313","126230158.218425","201456356.929145","217260903.825979","256505577.344226","431038896.524611","605029119.75129","934779039.414711","940035968.528784","657880757.48599","698660805.64221","582311039.774343","526217137.222427","610761731.107206","635742142.31282","746832947.388954","657015441.573253","630659707.861329","637925667.368511","576118920.253472","","","","","","","","","","","","","","","","","3042274496.10726","4265888740.23846","5162440806.75156","6344641959.56008","7152304397.72645","7288702710.90529","7528549879.63682","6976966153.82054","7281910524.1067","8097280955.90196","8206682106.31946","",
"Angola","AGO","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","228335521.177058","555691254.40397","392514285.939726","202442614.084957","491400189.57731","1198212373.02401","731866198.100655","375545950.307129","634199422.3308","1379588147.35472","3196850749.33725","8149079645.64961","11196800894.0338","17869411576.4837","13664098153.6474","19678661657.2159","27039761554.085","31161778888.6797","31500815461.6599","27032344084.4907","23790543425.2351","23672191989.4347","17455327770.6619","15410405365.47","",
"Albania","ALB","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166509702.571381","223594867.335972","265298057.978901","323376838.747386","342425753.029904","417921457.174903","523112274.341877","646305676.491804","770581227.384293","866478231.283188","1038294231.23302","1387912853.56432","1439592137.1131","1812802559.88129","2161936583.38148","2363791896.73249","2368942443.29456","2540673823.18045","2471402724.94026","2599863597.31882","2773278107.16848","2665215805.2185","3138517990.16501","3108607051.81759","3588583656.8278","3893560031.06681","",
"Andorra","AND","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","91723795.1680123","452878020.575418","987879902.290253","1979903725.58128","894066095.315775","942089886.92439","1727429507.68922","2354590963.61751","3471503445.10964","2588863919.62548","2384157753.81783","2538886189.44221","3471498477.32865","3689328862.79941","5120925342.79505","4768739333.46745","4776310581.99332","4890564527.19409","5646813747.1307","5977160986.47751","6415331634.69035","6963509610.43122","7778376180.61089","8350159123.92297","8603051266.48806","9305872456.3249","10790300349.0117","13631620189.1667","14256130113.4802","15355431325.3937","15087811903.6616","18529923697.6481","21010295842.2662","27617445822.5769","77238765358.1158","31694454694.0486","26104201597.7902","32785291883.4009","37269318422.5758","47035150430.9523","68202650660.2746","78424381665.0826","93929134196.4176","85390832746.3078","95377648625.516","99503335478.7452","",
"Argentina","ARG","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","527233600","386407550","114741240","269807440","153293600","236095840","216174480","727208400","780833300","538310000","681788410","304314527.124964","572449755.175402","1597255505.79734","1889579481.31192","848224746.10848","1983316224.28095","3843942355.42708","5933322541.78131","11626505760.127","9296756057.32018","5006226776.17427","4503960609.47172","2840273965.03204","2590505132.02895","4702644000","4427405700","3733969300","5157480786.56928","3216875257.73386","6222040362.99099","7462543636.08691","11447031156.7334","15499431243.972","16003265688.189","15979453701.6387","19719017351.0624","22424600096.7817","24855741222.2541","26350163486.3723","25152117244.4134","14555552759.6102","10492424818.7375","14157284136.3645","19659591803.9788","28081718501.5579","32022297112.9806","46149456855.7802","46385380206.9801","48006988635.3253","52207549724.0928","46265800525.8807","43223270863.843","30533919650.6264","31410813269.5239","25520565580.4894","38414518491.6132","55314409205.2189","66221501691.4418","",
"Armenia","ARM","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1293750.05156269","13586867.7923464","36108082.6908787","111182285.173205","168201671.082148","239225950.402881","293162998.658431","303511811.181036","314200332.802207","329632780.091138","430974325.401014","501977062.059943","547758869.582332","669480407.701409","1071917964.48804","1659090453.02799","1406800823.43428","2003623407.8546","1865824296.86233","1932471998.58389","1799374398.90816","2251610255.35403","1489443370.96659","1775293493.7543","2204113991.25512","2314113951.27386","2259321868.53197","",
"American Samoa","ASM","Total reserves (includes gold, current US$)","FI.RES.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
