"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","2.1","","","","","","","","","","1.3","",
"Albania","ALB","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9","","","","","","3.5","","","3.5","","","3.7","","","","3.7","","2.9","3.1","3","3.1","","",
"Andorra","AND","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","","","","","",
"Argentina","ARG","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","2","","","","","","2","1.7","","","","1.7","1.6","1.5","1.5","1.1","1","1.1","1.1","1.1","0.9","0.7","0.9","1","1.1","1.2","1.2","1.3","1.3","1.3","1.3","1.7","1.7","1.8","1.8","","1.8","1.8","1.8","",
"Armenia","ARM","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","3.2","3.3","3.7","3.1","3.3","3.7","3.5","3.9","4","3.9","3.8","3.8","3.6","3.5","3.4","3.3","3.5","3.3","",
"American Samoa","ASM","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","2.8","","","","2.7","","","","2.6","","","","","","2.8","","","","","","2.7","","2.7","3","","","","2.8","","2.7","","","","2.8","","","","","",
"Austria","AUT","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4","","","","","","","3","2.3","","3.1","","","3.4","","","3.3","3.4","3.5","3.4","3.1","3","2.8","3.1","2.9","2.8","3.1","3.1","3","2.8","3","","",
"Azerbaijan","AZE","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","","","","","","3.1","4.8","4.5","4.8","4.8","","","","","","","","","","","","","","",
"Burundi","BDI","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","","","","","","1.7","","","","","","","","4","","","","","","","2.8","","","","","","",
"Belgium","BEL","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","3.9","","","","3.7","","","3.3","","3.5","","","3.3","","","3.3","3.4","3.4","3.4","3.4","3.4","3.2","3.3","3.3","3.4","3.3","3.4","3.4","3.4","3.3","","",
"Benin","BEN","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9","","","","","","","","2.5","","","","1","","","","",
"Burkina Faso","BFA","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","","","","2","","","","","2.3","","","","","","2.7","","","","","3.6","","","","","",
"Bangladesh","BGD","Income share held by lowest 10%","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","4.1","","4.5","","","4.2","","","4.1","","","","3.8","","","","","3.7","","","","","3.8","","","","","3.9","","","","","","3.7","","","",
