"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5271.626953125","4981.2412109375","3471.51391601563","2522.79296875","3571.873046875","3263.68798828125","3017.76293945313","2816.44506835938","2613.69995117188","2387.498046875","2145.96606445313","3356.30395507813","3433.76098632813","3277.78393554688","3469.10302734375","3565.34790039063","3943.85791015625","4022.11108398438","4755.85009765625","4999.61279296875","5064.02392578125","5497.7109375","5419.23486328125","5279.43115234375","5082.166015625","4977.48193359375","4900.77587890625","4896.6748046875","4916.10693359375",
"Angola","AGO","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10781.833984375","9617.3994140625","7083.98388671875","6930.41796875","7711.39208984375","8397.599609375","8913.7822265625","8947.984375","8916.798828125","9120.7109375","9226.810546875","10226.6923828125","10315.404296875","10920.771484375","12230.9775390625","13577.583984375","15581.4248046875","16611.8671875","16139.1826171875","15823.9833984375","15568.8564453125","15792.7744140625","16287.06640625","16439.095703125","16303.580078125","15608.1552734375","15155.7197265625","14947.6474609375","14784.7001953125",
"Albania","ALB","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9054.9501953125","8576.322265625","9657.673828125","10714.1611328125","12466.158203125","13757.6845703125","12035.0361328125","13053.6162109375","14830.568359375","15586.9677734375","16755.84375","17459.076171875","18697.18359375","19994.169921875","21368.7578125","22710.748046875","24299.09375","24759.798828125","26018.53515625","27203.609375","26752.552734375","26027.546875","28669.173828125","29050.4765625","28173.65625","28424.58203125","28917.279296875","29957.7578125","31132.7109375",
"Andorra","AND","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41077.5568064261","41574.5473760135","41245.5556174097","40871.128133505","42527.8428180148","42960.6307565792","43571.2908681831","44901.1546645433","44342.842896425","45508.7185607427","45181.8223282841","44429.6348955407","44809.5101873365","46842.4910469961","47819.3163116207","48691.4649488666","48789.8847340586","49845.1347334634","48589.6457596909","49112.9138855699","49571.3349051223","51284.970770319","51191.6200002037","51427.132174299","52169.3934492831","52625.2626403702","52195.5672387307","52704.6714107701","53424.8698579491",
"United Arab Emirates","ARE","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209467.5","201158.703125","189045.515625","188360.625","188094.265625","189943.15625","195209.484375","185172.625","179684.671875","186944.84375","176441.53125","167748.53125","166960.359375","162920.96875","148155.890625","138178.734375","119864.4375","105429.5625","88081.0234375","81310.34375","82800.9765625","84228.03125","87315.78125","90195.765625","93487.5390625","95563.1484375","96140.09375","97711.2421875","100218.2890625",
"Argentina","ARG","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30595.951171875","33582.6171875","36128.2890625","38007.10546875","39522.05078125","39947.4609375","41017.08203125","40721.359375","39477.90234375","39037.015625","37930.2421875","34639.7421875","35086.578125","36672.17578125","38671.69921875","40406.6953125","43211.17578125","44585.90234375","41502.3515625","45130.23046875","46783.81640625","45869.00390625","46581.38671875","45360.98828125","46003.43359375","44633.890625","45356.50390625","46753.1015625","48109.37109375",
"Armenia","ARM","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8195.841796875","4871.1767578125","4722.15380859375","5176.708984375","5664.6640625","6254.259765625","6626.31005859375","7028.60107421875","7421.02099609375","7874.001953125","8612.1513671875","9723.19140625","11017.0947265625","12125.3623046875","13688.3583984375","15380.3203125","17368.05859375","20040.650390625","17526.3828125","17257.744140625","17636.76171875","18686.255859375","18865.669921875","19891.373046875","20921.677734375","21160.1875","22797.287109375","23776.978515625","24805.095703125",
"American Samoa","ASM","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63113.8671875","63645.3515625","65948.265625","66371.984375","66515.1953125","68315.5390625","70435.703125","72299.8203125","74580.6875","75634.09375","76219.1328125","77826.640625","78436.9296875","80075.6015625","79801.3828125","79861.5390625","80314.171875","81096.6953125","82278.140625","82095.15625","82622.6796875","85011.3984375","86659.328125","88321.9765625","88756.859375","89982.8046875","90194.484375","91559.3828125","92936.21875",
"Austria","AUT","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71084.265625","71399.5625","71619.859375","70754.0390625","72325.5390625","75136.9921875","76753.3359375","79097.171875","80652.0390625","83141.0859375","83885.7421875","84197.84375","84496.90625","90169.2734375","89315.4921875","90841.1015625","91852.640625","91450.5","88005.0546875","88549.2421875","90058.0625","89771.40625","89290.2421875","90047.5390625","90672.484375","91395.3125","93507.7109375","95137.21875","96643.1875",
"Azerbaijan","AZE","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20594.83984375","15645.443359375","12015.125","9573.25","8344.90234375","8412.16015625","8887.7001953125","9765.279296875","10447.021484375","11524.5263671875","12277.3330078125","13154.9638671875","14182.9501953125","15054.755859375","18422.955078125","24047.181640625","29335.7890625","31550.662109375","33608.58984375","34437.38671875","33733.015625","33784.6484375","35098.76953125","35120.0703125","34904.54296875","33202.328125","32779.484375","33306.6953125","34190.171875",
"Burundi","BDI","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2425.3701171875","2437.44799804688","2275.55493164063","2183.251953125","2003.49304199219","1838.56701660156","1810.02197265625","1891.12194824219","1856.63098144531","1816.44396972656","1794.71997070313","1809.03796386719","1717.84094238281","1730.64099121094","1678.07104492188","1702.27001953125","1717.71105957031","1742.06201171875","1745.40100097656","1753.7939453125","1782.88598632813","1809.18505859375","1846.44104003906","1884.54895019531","1754.11999511719","1687.78002929688","1640.84802246094","1593.15100097656","1614.05200195313",
"Belgium","BEL","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82544.484375","82770.2890625","82707.3671875","85501.0546875","86504.40625","87950.9765625","90319.6015625","91751.359375","91953.9453125","92240.328125","94795.7109375","96290.2578125","97046.640625","98208.59375","98044.9609375","99855.2578125","100513.6328125","99891.875","98228.765625","99481.59375","101055.125","100974.6875","100868.015625","101583.921875","102617.375","103133.2265625","103229.3984375","103711.921875","105301.421875",
"Benin","BEN","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3809.43798828125","3783.81201171875","3857.5048828125","3780.97607421875","3863.7529296875","3908.85107421875","4008.11694335938","4042.63500976563","4130.369140625","4240.88818359375","4334.8828125","4403.17919921875","4404.73193359375","4450.8681640625","4383.751953125","4426.26513671875","4557.97607421875","4651.55517578125","4636.966796875","4606.90087890625","4691.7880859375","4772.26806640625","4954.3349609375","5098.326171875","5036.384765625","5071.60791015625","5174.65576171875","5307.39404296875","5455.67822265625",
