"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Net migration","SM.POP.NETM","","","-4323","","","","","-4275","","","","","-3537","","","","","-5470","","","","","-1921","","","","","-5194","","","","","14218","","","","","6926","","","","","6263","","","","","-441","","","","","1253","","","","","1004","","",
"Afghanistan","AFG","Net migration","SM.POP.NETM","","","-20000","","","","","-20000","","","","","-20000","","","","","-1153959","","","","","-3345095","","","","","-1525351","","","","","3076383","","","","","-867540","","","","","744193","","","","","-1046361","","","","","521769","","","","","-314602","","",
"Angola","AGO","Net migration","SM.POP.NETM","","","-296717","","","","","-587286","","","","","199800","","","","","199800","","","","","234148","","","","","188491","","","","","142812","","","","","199800","","","","","261100","","","","","357301","","","","","166267","","","","","32066","","",
"Albania","ALB","Net migration","SM.POP.NETM","","","-99","","","","","-99","","","","","-99","","","","","-99","","","","","-99","","","","","-99","","","","","-443212","","","","","-179606","","","","","-176774","","","","","-217358","","","","","-136590","","","","","-69998","","",
"Andorra","AND","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Net migration","SM.POP.NETM","","","-499808","","","","","-835129","","","","","-920852","","","","","1644984","","","","","497963","","","","","-562598","","","","","-255813","","","","","-1739489","","","","","183214","","","","","3760036","","","","","47229","","","","","-1408824","","",
"United Arab Emirates","ARE","Net migration","SM.POP.NETM","","","37882","","","","","53823","","","","","260488","","","","","372430","","","","","184159","","","","","256638","","","","","368126","","","","","498394","","","","","1189616","","","","","3592436","","","","","270000","","","","","200000","","",
"Argentina","ARG","Net migration","SM.POP.NETM","","","122000","","","","","130000","","","","","142000","","","","","-230000","","","","","140000","","","","","160000","","","","","-105000","","","","","-128000","","","","","-125000","","","","","-120000","","","","","30000","","","","","24000","","",
"Armenia","ARM","Net migration","SM.POP.NETM","","","70335","","","","","103399","","","","","86404","","","","","17214","","","","","-51230","","","","","-67528","","","","","-496288","","","","","-223873","","","","","-160521","","","","","-183361","","","","","-30535","","","","","-24989","","",
"American Samoa","ASM","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Net migration","SM.POP.NETM","","","-1880","","","","","-1202","","","","","-7018","","","","","-4428","","","","","-3763","","","","","-2890","","","","","2231","","","","","2469","","","","","252","","","","","1887","","","","","943","","","","","0","","",
"Australia","AUS","Net migration","SM.POP.NETM","","","384343","","","","","806193","","","","","259531","","","","","235744","","","","","453572","","","","","654209","","","","","351078","","","","","388419","","","","","589282","","","","","1210802","","","","","989375","","","","","791229","","",
"Austria","AUT","Net migration","SM.POP.NETM","","","15996","","","","","50401","","","","","82001","","","","","5502","","","","","18002","","","","","110999","","","","","227841","","","","","65082","","","","","178117","","","","","153763","","","","","267172","","","","","324998","","",
"Azerbaijan","AZE","Net migration","SM.POP.NETM","","","0","","","","","-40000","","","","","-50466","","","","","-50466","","","","","-101568","","","","","-161568","","","","","-115116","","","","","-111849","","","","","36523","","","","","53579","","","","","8499","","","","","6002","","",
"Burundi","BDI","Net migration","SM.POP.NETM","","","-84989","","","","","-57900","","","","","-266496","","","","","-150290","","","","","-139146","","","","","-180004","","","","","-320001","","","","","-455304","","","","","-24721","","","","","30004","","","","","-70001","","","","","10003","","",
"Belgium","BEL","Net migration","SM.POP.NETM","","","38304","","","","","47288","","","","","70980","","","","","73523","","","","","18478","","","","","42556","","","","","106947","","","","","50870","","","","","219560","","","","","294270","","","","","258672","","","","","240000","","",
"Benin","BEN","Net migration","SM.POP.NETM","","","-24295","","","","","-23742","","","","","-24845","","","","","-19393","","","","","-10848","","","","","-8723","","","","","68259","","","","","-2851","","","","","25005","","","","","-48776","","","","","-42268","","","","","-10000","","",
"Burkina Faso","BFA","Net migration","SM.POP.NETM","","","-144723","","","","","-144723","","","","","-170263","","","","","-217400","","","","","-217400","","","","","-183699","","","","","-150001","","","","","-137499","","","","","-125000","","","","","-125000","","","","","-125000","","","","","-125000","","",
"Bangladesh","BGD","Net migration","SM.POP.NETM","","","-142378","","","","","-161822","","","","","-3045287","","","","","-1137344","","","","","-793826","","","","","-219363","","","","","-813794","","","","","-719899","","","","","-1492537","","","","","-3254778","","","","","-2306839","","","","","-1847503","","",
"Bulgaria","BGR","Net migration","SM.POP.NETM","","","-1437","","","","","-6423","","","","","-43396","","","","","-94868","","","","","-22346","","","","","-184143","","","","","-356464","","","","","-133824","","","","","-85500","","","","","-83742","","","","","-24472","","","","","-24001","","",
"Bahrain","BHR","Net migration","SM.POP.NETM","","","-4195","","","","","-8033","","","","","19123","","","","","48962","","","","","3234","","","","","12899","","","","","5480","","","","","39180","","","","","155500","","","","","272000","","","","","42000","","","","","239000","","",
"Bahamas, The","BHS","Net migration","SM.POP.NETM","","","13873","","","","","13929","","","","","949","","","","","2981","","","","","646","","","","","-811","","","","","-322","","","","","-3001","","","","","11877","","","","","14536","","","","","4999","","","","","4999","","",
"Bosnia and Herzegovina","BIH","Net migration","SM.POP.NETM","","","-50002","","","","","-96958","","","","","-82247","","","","","-74132","","","","","-29999","","","","","-134587","","","","","-740715","","","","","-159283","","","","","-6000","","","","","-59246","","","","","-258529","","","","","-107926","","",
