"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Rural population (% of total population)","SP.RUR.TOTL.ZS","49.224","49.239","49.254","49.27","49.285","49.3","49.315","49.33","49.346","49.361","49.376","49.391","49.407","49.422","49.437","49.452","49.468","49.483","49.498","49.513","49.528","49.544","49.559","49.574","49.589","49.605","49.62","49.635","49.65","49.665","49.681","49.696","50.002","50.412","50.823","51.233","51.644","52.054","52.464","52.873","53.283","53.661","54.028","54.394","54.76","55.125","55.489","55.853","56.217","56.579","56.941","57.06","57.043","57.01","56.959","56.892","56.808","56.707","56.589","",
"Afghanistan","AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","91.599","91.316","91.024","90.724","90.414","90.096","89.767","89.43","89.082","88.725","88.357","87.979","87.59","87.191","86.781","86.359","85.926","85.483","85.027","84.558","84.005","83.438","82.853","82.253","81.635","81.003","80.353","79.686","79.002","78.912","78.823","78.734","78.645","78.556","78.466","78.376","78.286","78.195","78.105","78.014","77.922","77.831","77.739","77.647","77.5","77.297","77.093","76.887","76.68","76.472","76.263","76.052","75.84","75.627","75.413","75.197","74.98","74.75","74.505","",
"Angola","AGO","Rural population (% of total population)","SP.RUR.TOTL.ZS","89.565","89.202","88.796","88.376","87.942","87.496","87.035","86.559","86.068","85.564","85.043","84.368","83.545","82.69","81.798","80.872","79.908","78.912","77.878","76.808","75.702","74.563","73.388","72.179","70.935","69.662","68.357","67.022","65.657","64.269","62.856","61.42","59.961","58.489","57","55.831","54.654","53.475","52.29","51.103","49.913","48.726","47.539","46.355","45.173","44","43.236","42.476","41.718","40.966","40.217","39.472","38.732","37.998","37.269","36.554","35.851","35.161","34.486","",
"Albania","ALB","Rural population (% of total population)","SP.RUR.TOTL.ZS","69.295","69.057","68.985","68.914","68.842","68.77","68.698","68.626","68.554","68.452","68.26","68.067","67.873","67.679","67.484","67.288","67.092","66.895","66.698","66.5","66.238","65.976","65.713","65.448","65.183","64.917","64.65","64.381","64.112","63.842","63.572","63.3","62.751","62.201","61.646","61.089","60.527","59.965","59.399","58.831","58.259","57.565","56.499","55.427","54.349","53.269","52.185","51.098","50.009","48.924","47.837","46.753","45.67","44.613","43.577","42.566","41.579","40.617","39.681","",
"Andorra","AND","Rural population (% of total population)","SP.RUR.TOTL.ZS","41.55","39.017","36.538","34.128","31.795","29.555","27.407","25.359","23.412","21.576","19.845","18.22","16.699","15.284","13.968","12.748","11.618","10.58","9.622","8.743","7.93600000000001","7.2","6.526","5.911","5.351","4.84099999999999","4.675","4.822","4.973","5.128","5.288","5.47","5.676","5.889","6.11","6.339","6.575","6.81999999999999","7.07299999999999","7.334","7.605","7.944","8.35899999999999","8.79300000000001","9.249","9.715","10.193","10.692","10.996","11.088","11.181","11.274","11.369","11.463","11.559","11.655","11.752","11.85","11.938","",
"Arab World","ARB","Rural population (% of total population)","SP.RUR.TOTL.ZS","68.7658574626","68.0200807336137","67.2708714830974","66.4984028655846","65.6964025352427","64.8523004269456","64.0502101452474","63.3589396717215","62.6560399366045","61.9437904754246","61.2193349183997","60.5087624602039","59.7760002367208","59.0535050653709","58.4047127527538","57.7980925672303","57.2282588809027","56.7065154796543","56.1982826524423","55.6902621478495","55.1534239819254","54.5932631303342","54.0253642801394","53.4251087064221","52.7833042759061","52.1667885719644","51.5596590936029","51.0201171834769","50.5611832537521","50.1549820386976","49.6047515097874","49.2169467637464","49.2212894390834","48.848790775741","48.5905754824001","48.1043164312664","47.9374268351244","47.7359285931963","47.5029846898911","47.2591516920328","47.0106978036315","46.748555642399","46.4843761606991","46.1988331789349","45.8944194778095","45.5296904456764","45.1342618171994","44.8509242761973","44.4209242635878","43.990229950842","43.5591208066638","43.2080521101597","42.9014625590548","42.5990612877917","42.3075197644622","41.9685333240976","41.6547247239303","41.3585165072653","41.0745814068609","",
"United Arab Emirates","ARE","Rural population (% of total population)","SP.RUR.TOTL.ZS","26.5","25.617","24.752","23.907","23.081","22.277","21.492","20.728","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.097","19.894","19.691","19.49","19.29","19.317","19.534","19.753","19.974","20.196","20.376","20.518","20.661","20.804","20.949","21.094","21.24","21.386","21.533","21.681","21.507","21.062","20.622","20.19","19.764","19.345","18.933","18.528","18.129","17.738","17.352","16.977","16.613","16.258","15.913","15.577","15.251","14.934","14.625","14.326","14.035","13.752","13.478","",
"Argentina","ARG","Rural population (% of total population)","SP.RUR.TOTL.ZS","26.389","25.783","25.233","24.691","24.156","23.631","23.112","22.602","22.099","21.606","21.12","20.679","20.257","19.842","19.433","19.031","18.634","18.245","17.861","17.484","17.113","16.687","16.241","15.806","15.379","14.962","14.555","14.157","13.767","13.387","13.016","12.672","12.458","12.248","12.04","11.836","11.634","11.436","11.241","11.048","10.858","10.671","10.49","10.314","10.14","9.96899999999999","9.8","9.634","9.47","9.309","9.151","9.01000000000001","8.879","8.751","8.623","8.497","8.373","8.251","8.13","",
"Armenia","ARM","Rural population (% of total population)","SP.RUR.TOTL.ZS","48.725","47.853","46.981","46.111","45.242","44.378","43.517","42.659","41.805","40.958","40.136","39.343","38.555","37.775","37","36.389","35.781","35.179","34.581","34.161","33.95","33.741","33.533","33.325","33.117","32.91","32.704","32.499","32.294","32.31","32.579","32.85","33.122","33.394","33.668","33.943","34.219","34.496","34.774","35.053","35.334","35.615","35.764","35.863","35.962","36.062","36.161","36.261","36.36","36.46","36.56","36.66","36.76","36.836","36.888","36.915","36.918","36.897","36.851","",
"American Samoa","ASM","Rural population (% of total population)","SP.RUR.TOTL.ZS","33.789","33.359","32.932","32.507","32.084","31.666","31.25","30.837","30.426","30.02","29.616","29.216","28.818","28.424","28.033","27.646","27.261","26.88","26.503","26.129","25.67","24.957","24.257","23.571","22.897","22.238","21.592","20.96","20.341","19.737","19.052","18.114","17.211","16.346","15.515","14.72","13.957","13.229","12.533","11.869","11.413","11.509","11.606","11.703","11.802","11.9","12","12.1","12.201","12.303","12.406","12.498","12.58","12.652","12.712","12.762","12.802","12.83","12.847","",
