Codigo;Municipios;Estimativas.Populacionais.2018
4300034;Aceguá;4487
4300059;Água Santa;4057
4300109;Agudo;16537
4300208;Ajuricaba;7546
4300307;Alecrim;6513
4300406;Alegrete;72516
4300455;Alegria;4231
4300471;Almirante Tamandaré do Sul;2083
4300505;Alpestre;7406
4300554;Alto Alegre;1869
4300570;Alto Feliz;3245
4300604;Alvorada;212901
4300638;Amaral Ferrador;6330
4300646;Ametista do Sul;7432
4300661;André da Rocha;1215
4300703;Anta Gorda;6614
4300802;Antônio Prado;12878
4300851;Arambaré;3877
4300877;Araricá;5811
4300901;Aratiba;6507
4301008;Arroio do Meio;21528
4301073;Arroio do Padre;2784
4301057;Arroio do Sal;10093
4301107;Arroio dos Ratos;14201
4301206;Arroio do Tigre;13068
4301305;Arroio Grande;18013
4301404;Arvorezinha;10317
4301503;Augusto Pestana;7462
4301552;Áurea;3676
4301602;Bagé;120104
4301636;Balneário Pinhal;13216
4301651;Barão;6591
4301701;Barão de Cotegipe;6916
4301750;Barão do Triunfo;7019
4301800;Barracão;5013
4301859;Barra do Guarita;3327
4301875;Barra do Quaraí;4273
4301909;Barra do Ribeiro;13442
4301925;Barra do Rio Azul;1824
4301958;Barra Funda;2621
4302006;Barros Cassal;10542
4302055;Benjamin Constant do Sul;2271
4302105;Bento Gonçalves;121826
4302154;Boa Vista das Missões;2064
4302204;Boa Vista do Buricá;7118
4302220;Boa Vista do Cadeado;2519
4302238;Boa Vista do Incra;2494
4302253;Boa Vista do Sul;3014
4302303;Bom Jesus;11501
4302352;Bom Princípio;14145
4302378;Bom Progresso;2294
4302402;Bom Retiro do Sul;12739
4302451;Boqueirão do Leão;7268
4302501;Bossoroca;6375
4302584;Bozano;2341
4302600;Braga;3731
4302659;Brochier;5087
4302709;Butiá;21137
4302808;Caçapava do Sul;33812
4302907;Cacequi;12493
4303004;Cachoeira do Sul;83590
4303103;Cachoeirinha;133657
4303202;Cacique Doble;5094
4303301;Caibaté;5081
4303400;Caiçara;4872
4303509;Camaquã;65268
4303558;Camargo;2899
4303608;Cambará do Sul;6292
4303673;Campestre da Serra;3310
4303707;Campina das Missões;6181
4303806;Campinas do Sul;5852
4303905;Campo Bom;65218
4304002;Campo Novo;5207
4304101;Campos Borges;3774
4304200;Candelária;30649
4304309;Cândido Godói;6587
4304358;Candiota;9450
4304408;Canela;45054
4304507;Canguçu;53121
4304606;Canoas;357168
4304614;Canudos do Vale;1705
4304622;Capão Bonito do Sul;2015
4304630;Capão da Canoa;52685
4304655;Capão do Cipó;3233
4304663;Capão do Leão;26524
4304689;Capela de Santana;12559
4304697;Capitão;3090
4304671;Capivari do Sul;4463
4304713;Caraá;7921
4304705;Carazinho;62704
4304804;Carlos Barbosa;29886
4304853;Carlos Gomes;1522
4304903;Casca;9225
4304952;Caseiros;3368
4305009;Catuípe;9324
4305108;Caxias do Sul;468919
4305116;Centenário;3033
4305124;Cerrito;6043
4305132;Cerro Branco;4318
4305157;Cerro Grande;2533
4305173;Cerro Grande do Sul;10968
4305207;Cerro Largo;14590
4305306;Chapada;9882
4305355;Charqueadas;37595
4305371;Charrua;3189
4305405;Chiapetta;4178
4305439;Chuí;5930
4305447;Chuvisca;5141
4305454;Cidreira;15273
4305504;Ciríaco;4674
4305587;Colinas;2938
4305603;Colorado;3478
4305702;Condor;7157
4305801;Constantina;10451
4305835;Coqueiro Baixo;1485
4305850;Coqueiros do Sul;2369
4305871;Coronel Barros;2837
4305900;Coronel Bicaco;7404
4305934;Coronel Pilar;1739
4305959;Cotiporã;3903
4305975;Coxilha;2923
4306007;Crissiumal;13960
4306056;Cristal;7624
4306072;Cristal do Sul;2897
4306106;Cruz Alta;61700
4306130;Cruzaltense;1878
4306205;Cruzeiro do Sul;13267
