date,confirmed,deaths,is_last,codigo,municipio,confirmed_per_100k_inhabitants,death_rate,place_type
2020-04-12,1,0,TRUE,4300406,Alegrete,1.3589,NA,city
2020-04-12,5,1,TRUE,4300604,Alvorada,2.3775,0.2,city
2020-04-12,2,0,TRUE,4300703,Anta Gorda,33.43922,NA,city
2020-04-12,1,0,TRUE,4301057,Arroio Do Sal,9.93542,NA,city
2020-04-12,3,0,TRUE,4301107,Arroio Dos Ratos,21.19992,NA,city
2020-04-12,27,0,TRUE,4301602,Bagé,22.28771,NA,city
2020-04-12,11,0,TRUE,4302105,Bento Gonçalves,9.13212,NA,city
2020-04-12,1,0,TRUE,4302402,Bom Retiro Do Sul,8.11162,NA,city
2020-04-12,2,0,TRUE,4303004,Cachoeira Do Sul,2.43306,NA,city
2020-04-12,6,0,TRUE,4303103,Cachoeirinha,4.60501,NA,city
2020-04-12,4,0,TRUE,4303905,Campo Bom,5.99592,NA,city
2020-04-12,1,0,TRUE,4304507,Canguçu,1.78428,NA,city
2020-04-12,13,1,TRUE,4304606,Canoas,3.75055,0.0769,city
2020-04-12,4,0,TRUE,4304630,Capão Da Canoa,7.5402,NA,city
2020-04-12,1,0,TRUE,4304663,Capão Do Leão,3.94415,NA,city
2020-04-12,1,0,TRUE,4304804,Carlos Barbosa,3.35199,NA,city
2020-04-12,34,0,TRUE,4305108,Caxias Do Sul,6.65484,NA,city
2020-04-12,1,0,TRUE,4305173,Cerro Grande Do Sul,8.1706,NA,city
2020-04-12,1,0,TRUE,4305355,Charqueadas,2.45164,NA,city
2020-04-12,2,0,TRUE,4305454,Cidreira,12.30466,NA,city
2020-04-12,1,0,TRUE,4306205,Cruzeiro Do Sul,8.09848,NA,city
2020-04-12,2,0,TRUE,4306403,Dois Irmãos,6.12164,NA,city
2020-04-12,1,0,TRUE,4306601,Dom Pedrito,2.60004,NA,city
2020-04-12,1,0,TRUE,4306767,Eldorado Do Sul,2.42219,NA,city
2020-04-12,2,0,TRUE,4306809,Encantado,8.80824,NA,city
2020-04-12,2,1,TRUE,4306908,Encruzilhada Do Sul,7.72887,0.5,city
2020-04-12,3,0,TRUE,4307005,Erechim,2.83388,NA,city
2020-04-12,3,0,TRUE,4307609,Estância Velha,5.99736,NA,city
2020-04-12,2,0,TRUE,4307708,Esteio,2.40379,NA,city
2020-04-12,2,0,TRUE,4307807,Estrela,5.86235,NA,city
2020-04-12,5,0,TRUE,4307906,Farroupilha,6.91267,NA,city
2020-04-12,2,0,TRUE,4308607,Garibaldi,5.70288,NA,city
2020-04-12,1,0,TRUE,4309050,Glorinha,12.34873,NA,city
2020-04-12,13,0,TRUE,4309209,Gravataí,4.61781,NA,city
2020-04-12,1,0,TRUE,4309308,Guaíba,1.01892,NA,city
2020-04-12,3,0,TRUE,4309555,Harmonia,61.65228,NA,city
2020-04-12,1,0,TRUE,4310330,Imbé,4.38596,NA,city
2020-04-12,4,1,TRUE,4310801,Ivoti,16.46565,0.25,city
2020-04-12,16,0,TRUE,4311403,Lajeado,19.04444,NA,city
2020-04-12,9,1,TRUE,4311809,Marau,20.37997,0.1111,city
2020-04-12,2,0,TRUE,4312252,Minas Do Leão,24.7678,NA,city
2020-04-12,1,0,TRUE,4312401,Montenegro,1.53224,NA,city
2020-04-12,1,0,TRUE,4313102,Nova Palma,15.35627,NA,city
2020-04-12,25,2,TRUE,4313409,Novo Hamburgo,10.13179,0.08,city
2020-04-12,2,0,TRUE,4313508,Osório,4.34839,NA,city
2020-04-12,2,0,TRUE,4314001,Paraí,26.11989,NA,city
2020-04-12,1,0,TRUE,4314035,Pareci Novo,26.06203,NA,city
2020-04-12,18,2,TRUE,4314100,Passo Fundo,8.855,0.1111,city
2020-04-12,5,0,TRUE,4314407,Pelotas,1.46026,NA,city
2020-04-12,1,0,TRUE,4314605,Piratini,4.83957,NA,city
2020-04-12,314,6,TRUE,4314902,Porto Alegre,21.1623,0.0191,city
2020-04-12,3,0,TRUE,4315602,Rio Grande,1.42177,NA,city
2020-04-12,1,0,TRUE,4316006,Rolante,4.68406,NA,city
2020-04-12,2,0,TRUE,4316600,Sananduva,12.29256,NA,city
2020-04-12,1,0,TRUE,4316808,Santa Cruz Do Sul,0.76678,NA,city
2020-04-12,8,0,TRUE,4316907,Santa Maria,2.83564,NA,city
2020-04-12,7,0,TRUE,4317103,Sant'ana Do Livramento,9.08772,NA,city
2020-04-12,4,0,TRUE,4317202,Santa Rosa,5.46045,NA,city
2020-04-12,1,0,TRUE,4317400,Santiago,2.02327,NA,city
2020-04-12,2,0,TRUE,4317608,Santo Antônio Da Patrulha,4.66266,NA,city
