CNES - Recursos Físicos - Equipamentos - Rio Grande do Sul
Equipamentos Existentes por Município
Equipamento: .. RESPIRADOR/VENTILADOR
Período:Fev/2020
"Município";"Equipamentos_Existentes"
"430003 Aceguá";1
"430010 Agudo";5
"430020 Ajuricaba";2
"430030 Alecrim";2
"430040 Alegrete";23
"430050 Alpestre";1
"430060 Alvorada";9
"430064 Ametista do Sul";1
"430070 Anta Gorda";1
"430080 Antônio Prado";2
"430100 Arroio do Meio";4
"430120 Arroio do Tigre";2
"430130 Arroio Grande";2
"430140 Arvorezinha";2
"430160 Bagé";48
"430163 Balneário Pinhal";3
"430165 Barão";1
"430187 Barra do Quaraí";1
"430210 Bento Gonçalves";66
"430220 Boa Vista do Buricá";2
"430235 Bom Princípio";2
"430270 Butiá";2
"430280 Caçapava do Sul";3
"430300 Cachoeira do Sul";32
"430310 Cachoeirinha";9
"430320 Cacique Doble";1
"430330 Caibaté";2
"430350 Camaquã";10
"430360 Cambará do Sul";1
"430370 Campina das Missões";2
"430380 Campinas do Sul";2
"430390 Campo Bom";10
"430410 Campos Borges";1
"430420 Candelária";1
"430430 Cândido Godói";2
"430435 Candiota";2
"430440 Canela";6
"430450 Canguçu";15
"430460 Canoas";99
"430463 Capão da Canoa";11
"430470 Carazinho";10
"430480 Carlos Barbosa";2
"430490 Casca";2
"430510 Caxias do Sul";267
"430520 Cerro Largo";2
"430530 Chapada";1
"430535 Charqueadas";2
"430545 Cidreira";1
"430570 Condor";1
"430580 Constantina";2
"430590 Coronel Bicaco";1
"430600 Crissiumal";1
"430605 Cristal";1
"430610 Cruz Alta";15
"430630 David Canabarro";1
"430640 Dois Irmãos";3
"430650 Dom Feliciano";3
"430660 Dom Pedrito";3
"430676 Eldorado do Sul";2
"430680 Encantado";5
"430700 Erechim";30
"430750 Espumoso";3
"430760 Estância Velha";2
"430770 Esteio";14
"430780 Estrela";37
"430790 Farroupilha";13
"430800 Faxinal do Soturno";8
"430810 Feliz";2
"430820 Flores da Cunha";4
"430830 Fontoura Xavier";2
"430850 Frederico Westphalen";2
"430860 Garibaldi";2
"430890 Getúlio Vargas";7
"430900 Giruá";2
"430905 Glorinha";1
"430910 Gramado";26
"430920 Gravataí";34
"430930 Guaíba";2
"430940 Guaporé";3
"430950 Guarani das Missões";2
"430710 Herval";1
"430960 Horizontina";2
"430970 Humaitá";1
"430980 Ibiaçá";1
"431000 Ibirubá";2
"431010 Igrejinha";4
"431020 Ijuí";54
"431040 Independência";1
"431050 Iraí";1
"431060 Itaqui";3
"431070 Itatiba do Sul";1
"431075 Ivorá";1
"431080 Ivoti";2
"431090 Jacutinga";1
"431110 Jaguari";2
"431112 Jaquirana";1
"431120 Júlio de Castilhos";1
"431130 Lagoa Vermelha";5
"431125 Lagoão";1
"431140 Lajeado";29
"431150 Lavras do Sul";2
"431160 Liberato Salzano";1
"431170 Machadinho";1
"431179 Maratá";1
"431180 Marau";8
"431190 Marcelino Ramos";2
"431205 Marques de Souza";2
"431220 Maximiliano de Almeida";1
"431240 Montenegro";30
"431245 Morro Redondo";2
"431247 Morro Reuter";4
"431250 Mostardas";1
"431260 Muçum";1
"431265 Não-Me-Toque";2
"431270 Nonoai";2
"431275 Nova Alvorada";1
"431290 Nova Bassano";1
"431310 Nova Palma";1
"431320 Nova Petrópolis";3
"431330 Nova Prata";5
"431340 Novo Hamburgo";106
"431350 Osório";8
"431360 Paim Filho";1
"431370 Palmeira das Missões";5
"431390 Panambi";2
"431400 Paraí";2
"431405 Parobé";6
"431410 Passo Fundo";174
"431420 Pedro Osório";1
"431430 Pejuçara";2
"431440 Pelotas";151
"431442 Picada Café";1
"431450 Pinheiro Machado";1
"431460 Piratini";2
"431470 Planalto";3
"431480 Portão";3
"431490 Porto Alegre";1211
"431500 Porto Lucena";1
"431510 Porto Xavier";1
"431514 Presidente Lucena";1
"431515 Progresso";6
"431530 Quaraí";4
"431535 Quinze de Novembro";1
"431550 Restinga Seca";2
"431560 Rio Grande";36
"431570 Rio Pardo";3
"431580 Roca Sales";1
"431590 Rodeio Bonito";1
"431600 Rolante";2
"431610 Ronda Alta";3
"431630 Roque Gonzales";2
"431640 Rosário do Sul";8
"431650 Salvador do Sul";1
"431660 Sananduva";1
"431710 Sant'Ana do Livramento";24
"431680 Santa Cruz do Sul";23
"431690 Santa Maria";119
"431720 Santa Rosa";26
"431730 Santa Vitória do Palmar";5
"431700 Santana da Boa Vista";1
"431740 Santiago";12
"431750 Santo Ângelo";37
"431760 Santo Antônio da Patrulha";4
"431755 Santo Antônio do Palma";1
"431780 Santo Augusto";4
"431790 Santo Cristo";4
"431800 São Borja";15
"431810 São Francisco de Assis";1
"431820 São Francisco de Paula";1
"431830 São Gabriel";7
"431840 São Jerônimo";5
"431849 São José do Inhacorá";1
"431850 São José do Norte";4
"431860 São José do Ouro";2
"431870 São Leopoldo";24
"431880 São Lourenço do Sul";5
"431890 São Luiz Gonzaga";2
"431900 São Marcos";5
"431910 São Martinho";2
"431915 São Miguel das Missões";2
"431920 São Nicolau";1
"431930 São Paulo das Missões";4
"431940 São Pedro do Sul";6
"431950 São Sebastião do Caí";2
"431960 São Sepé";2
"431980 São Vicente do Sul";1
"431990 Sapiranga";12
"432000 Sapucaia do Sul";31
"432010 Sarandi";3
"432020 Seberi";2
"432035 Sentinela do Sul";1
"432040 Serafina Corrêa";2
"432060 Severiano de Almeida";1
"432065 Silveira Martins";1
"432070 Sobradinho";2
"432080 Soledade";2
"432100 Tapera";1
"432110 Tapes";1
"432120 Taquara";12
"432130 Taquari";2
"432140 Tenente Portela";15
"432143 Terra de Areia";1
"432145 Teutônia";3
"432150 Torres";10
"432160 Tramandaí";37
"432170 Três Coroas";1
"432180 Três de Maio";10
"432190 Três Passos";11
"432200 Triunfo";4
"432210 Tucunduva";2
"432220 Tupanciretã";3
"432230 Tuparendi";4
"432240 Uruguaiana";40
"432250 Vacaria";16
"432253 Vale do Sol";2
"432260 Venâncio Aires";25
"432270 Vera Cruz";3
"432280 Veranópolis";3
"432300 Viamão";19
"432350 Vista Alegre";1
"Total";3485
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
