CNES - Recursos Físicos - Equipamentos - Rio Grande do Sul
Equipamentos Existentes por Município
Grupo de Equipamentos: Equipamentos para Manutencao da Vida
Período:Fev/2020
"Município";"Equipamentos_Existentes"
"430003 Aceguá";17
"430010 Agudo";38
"430020 Ajuricaba";14
"430030 Alecrim";24
"430040 Alegrete";201
"430045 Alegria";12
"430050 Alpestre";9
"430055 Alto Alegre";1
"430057 Alto Feliz";3
"430060 Alvorada";123
"430063 Amaral Ferrador";4
"430064 Ametista do Sul";14
"430070 Anta Gorda";11
"430080 Antônio Prado";33
"430085 Arambaré";1
"430087 Araricá";10
"430090 Aratiba";30
"430100 Arroio do Meio";66
"430105 Arroio do Sal";5
"430120 Arroio do Tigre";29
"430110 Arroio dos Ratos";2
"430130 Arroio Grande";18
"430140 Arvorezinha";31
"430150 Augusto Pestana";5
"430155 Áurea";5
"430160 Bagé";356
"430163 Balneário Pinhal";23
"430165 Barão";10
"430175 Barão do Triunfo";1
"430185 Barra do Guarita";2
"430187 Barra do Quaraí";5
"430190 Barra do Ribeiro";7
"430192 Barra do Rio Azul";1
"430195 Barra Funda";1
"430180 Barracão";2
"430200 Barros Cassal";10
"430205 Benjamin Constant do Sul";1
"430210 Bento Gonçalves";570
"430220 Boa Vista do Buricá";36
"430222 Boa Vista do Cadeado";8
"430223 Boa Vista do Incra";1
"430230 Bom Jesus";26
"430235 Bom Princípio";31
"430240 Bom Retiro do Sul";34
"430245 Boqueirão do Leão";9
"430250 Bossoroca";8
"430258 Bozano";8
"430265 Brochier";3
"430270 Butiá";26
"430280 Caçapava do Sul";41
"430290 Cacequi";11
"430300 Cachoeira do Sul";363
"430310 Cachoeirinha";109
"430320 Cacique Doble";9
"430330 Caibaté";17
"430340 Caiçara";12
"430350 Camaquã";150
"430355 Camargo";2
"430360 Cambará do Sul";15
"430367 Campestre da Serra";9
"430370 Campina das Missões";32
"430380 Campinas do Sul";17
"430390 Campo Bom";66
"430400 Campo Novo";7
"430410 Campos Borges";2
"430420 Candelária";58
"430430 Cândido Godói";39
"430435 Candiota";9
"430440 Canela";65
"430450 Canguçu";182
"430460 Canoas";1642
"430463 Capão da Canoa";119
"430466 Capão do Leão";5
"430468 Capela de Santana";1
"430467 Capivari do Sul";3
"430471 Caraá";3
"430470 Carazinho";153
"430480 Carlos Barbosa";102
"430485 Carlos Gomes";2
"430490 Casca";19
"430495 Caseiros";2
"430500 Catuípe";1
"430510 Caxias do Sul";3750
"430511 Centenário";2
"430513 Cerro Branco";4
"430517 Cerro Grande do Sul";2
"430520 Cerro Largo";22
"430530 Chapada";17
"430535 Charqueadas";18
"430540 Chiapetta";8
"430543 Chuí";3
"430544 Chuvisca";4
"430545 Cidreira";12
"430550 Ciríaco";6
"430558 Colinas";6
"430570 Condor";13
"430580 Constantina";18
"430585 Coqueiros do Sul";2
"430590 Coronel Bicaco";6
"430595 Cotiporã";5
"430600 Crissiumal";44
"430605 Cristal";6
"430610 Cruz Alta";157
"430620 Cruzeiro do Sul";11
"430630 David Canabarro";13
"430635 Dezesseis de Novembro";2
"430637 Dilermando de Aguiar";2
"430640 Dois Irmãos";45
"430645 Dois Lajeados";23
"430650 Dom Feliciano";22
"430660 Dom Pedrito";49
"430655 Dom Pedro de Alcântara";2
"430670 Dona Francisca";4
"430675 Doutor Ricardo";11
"430676 Eldorado do Sul";22
"430680 Encantado";57
"430690 Encruzilhada do Sul";32
"430692 Engenho Velho";3
"430695 Entre Rios do Sul";4
"430700 Erechim";522
"430720 Erval Grande";2
"430730 Erval Seco";1
"430740 Esmeralda";8
"430750 Espumoso";48
"430755 Estação";16
"430760 Estância Velha";25
"430770 Esteio";226
"430780 Estrela";403
"430781 Estrela Velha";6
"430783 Eugênio de Castro";1
"430786 Fagundes Varela";6
"430790 Farroupilha";244
"430800 Faxinal do Soturno";66
"430807 Fazenda Vilanova";4
"430810 Feliz";21
"430820 Flores da Cunha";79
"430830 Fontoura Xavier";9
"430840 Formigueiro";5
"430843 Forquetinha";3
"430845 Fortaleza dos Valos";11
"430850 Frederico Westphalen";37
"430860 Garibaldi";83
"430870 Gaurama";12
"430880 General Câmara";2
"430885 Gentil";4
"430890 Getúlio Vargas";50
"430900 Giruá";22
"430905 Glorinha";3
"430910 Gramado";209
"430915 Gramado Xavier";1
"430920 Gravataí";483
"430925 Guabiju";6
"430930 Guaíba";68
"430940 Guaporé";59
"430950 Guarani das Missões";32
"430955 Harmonia";7
"430710 Herval";15
"430957 Herveiras";1
"430960 Horizontina";18
"430970 Humaitá";14
"430980 Ibiaçá";4
"430990 Ibiraiaras";9
"431000 Ibirubá";33
"431010 Igrejinha";96
"431020 Ijuí";691
"431030 Ilópolis";15
"431033 Imbé";8
"431036 Imigrante";9
"431040 Independência";12
"431043 Ipê";8
"431046 Ipiranga do Sul";2
"431050 Iraí";15
"431053 Itaara";1
"431060 Itaqui";44
"431065 Itati";9
"431070 Itatiba do Sul";12
"431075 Ivorá";8
"431080 Ivoti";43
"431085 Jaboticaba";5
"431090 Jacutinga";10
"431100 Jaguarão";28
"431110 Jaguari";17
"431112 Jaquirana";12
"431113 Jari";3
"431120 Júlio de Castilhos";21
"431127 Lagoa dos Três Cantos";2
"431130 Lagoa Vermelha";62
"431125 Lagoão";5
"431140 Lajeado";449
"431150 Lavras do Sul";9
"431160 Liberato Salzano";12
"431162 Lindolfo Collor";5
"431170 Machadinho";6
"431175 Manoel Viana";3
"431177 Maquiné";4
"431179 Maratá";17
"431180 Marau";96
"431190 Marcelino Ramos";7
"431198 Mariana Pimentel";7
"431200 Mariano Moro";1
"431205 Marques de Souza";26
"431210 Mata";4
"431213 Mato Castelhano";4
"431220 Maximiliano de Almeida";12
"431225 Minas do Leão";4
"431235 Montauri";2
"431238 Monte Belo do Sul";1
"431240 Montenegro";354
"431242 Mormaço";2
"431245 Morro Redondo";6
"431247 Morro Reuter";19
"431250 Mostardas";15
"431260 Muçum";14
"431261 Muitos Capões";8
"431265 Não-Me-Toque";44
"431270 Nonoai";45
"431275 Nova Alvorada";15
"431280 Nova Araçá";4
"431290 Nova Bassano";12
"431300 Nova Bréscia";30
"431301 Nova Candelária";1
"431303 Nova Esperança do Sul";3
"431306 Nova Hartz";6
"431308 Nova Pádua";1
"431310 Nova Palma";11
"431320 Nova Petrópolis";36
"431330 Nova Prata";139
"431335 Nova Roma do Sul";1
"431337 Nova Santa Rita";7
"431340 Novo Hamburgo";1551
"431344 Novo Tiradentes";1
"431346 Novo Xingu";1
"431350 Osório";41
"431360 Paim Filho";6
"431365 Palmares do Sul";9
"431370 Palmeira das Missões";46
"431380 Palmitinho";38
"431390 Panambi";50
"431395 Pantano Grande";9
"431400 Paraí";47
"431402 Paraíso do Sul";7
"431405 Parobé";57
"431406 Passa Sete";1
"431407 Passo do Sobrado";5
"431410 Passo Fundo";3499
"431420 Pedro Osório";10
"431430 Pejuçara";6
"431440 Pelotas";1673
"431442 Picada Café";7
"431447 Pinhal Grande";6
"431449 Pinheirinho do Vale";2
"431450 Pinheiro Machado";12
"431454 Pinto Bandeira";1
"431460 Piratini";21
"431470 Planalto";20
"431475 Poço das Antas";10
"431478 Ponte Preta";2
"431480 Portão";17
"431490 Porto Alegre";11895
"431500 Porto Lucena";22
"431510 Porto Xavier";13
"431514 Presidente Lucena";7
"431515 Progresso";30
"431530 Quaraí";27
"431532 Quevedos";2
"431535 Quinze de Novembro";10
"431540 Redentora";1
"431545 Relvado";4
"431550 Restinga Seca";27
"431560 Rio Grande";411
"431570 Rio Pardo";42
"431575 Riozinho";8
"431580 Roca Sales";16
"431590 Rodeio Bonito";48
"431600 Rolante";31
"431610 Ronda Alta";35
"431620 Rondinha";6
"431630 Roque Gonzales";18
"431640 Rosário do Sul";123
"431643 Saldanha Marinho";9
"431645 Salto do Jacuí";12
"431650 Salvador do Sul";15
"431660 Sananduva";17
"431710 Sant'Ana do Livramento";296
"431670 Santa Bárbara do Sul";7
"431673 Santa Cecília do Sul";1
"431675 Santa Clara do Sul";15
"431680 Santa Cruz do Sul";388
"431690 Santa Maria";2075
"431695 Santa Maria do Herval";8
"431720 Santa Rosa";321
"431725 Santa Tereza";1
"431730 Santa Vitória do Palmar";27
"431700 Santana da Boa Vista";11
"431740 Santiago";195
"431750 Santo Ângelo";436
"431760 Santo Antônio da Patrulha";36
"431770 Santo Antônio das Missões";6
"431755 Santo Antônio do Palma";1
"431780 Santo Augusto";40
"431790 Santo Cristo";48
"431800 São Borja";113
"431805 São Domingos do Sul";10
"431810 São Francisco de Assis";28
"431820 São Francisco de Paula";18
"431830 São Gabriel";95
"431840 São Jerônimo";37
"431843 São João do Polêsine";2
"431844 São Jorge";1
"431846 São José do Herval";2
"431848 São José do Hortêncio";9
"431849 São José do Inhacorá";14
"431850 São José do Norte";27
"431860 São José do Ouro";30
"431862 São José dos Ausentes";14
"431870 São Leopoldo";322
"431880 São Lourenço do Sul";42
"431890 São Luiz Gonzaga";77
"431900 São Marcos";34
"431910 São Martinho";20
"431912 São Martinho da Serra";1
"431915 São Miguel das Missões";13
"431920 São Nicolau";5
"431930 São Paulo das Missões";41
"431935 São Pedro da Serra";2
"431940 São Pedro do Sul";31
"431950 São Sebastião do Caí";38
"431960 São Sepé";32
"431970 São Valentim";4
"431980 São Vicente do Sul";18
"431990 Sapiranga";136
"432000 Sapucaia do Sul";266
"432010 Sarandi";35
"432020 Seberi";39
"432026 Segredo";14
"432030 Selbach";11
"432035 Sentinela do Sul";1
"432040 Serafina Corrêa";47
"432045 Sério";10
"432050 Sertão";16
"432055 Sertão Santana";4
"432060 Severiano de Almeida";13
"432065 Silveira Martins";9
"432067 Sinimbu";8
"432070 Sobradinho";50
"432080 Soledade";56
"432090 Tapejara";31
"432100 Tapera";15
"432110 Tapes";15
"432120 Taquara";99
"432130 Taquari";30
"432132 Taquaruçu do Sul";3
"432135 Tavares";7
"432140 Tenente Portela";179
"432143 Terra de Areia";23
"432145 Teutônia";53
"432149 Toropi";2
"432150 Torres";91
"432160 Tramandaí";329
"432163 Três Arroios";10
"432166 Três Cachoeiras";4
"432170 Três Coroas";31
"432180 Três de Maio";112
"432183 Três Forquilhas";3
"432185 Três Palmeiras";12
"432190 Três Passos";124
"432195 Trindade do Sul";19
"432200 Triunfo";54
"432210 Tucunduva";17
"432220 Tupanciretã";31
"432225 Tupandi";4
"432230 Tuparendi";17
"432237 Unistalda";3
"432240 Uruguaiana";429
"432250 Vacaria";257
"432253 Vale do Sol";11
"432254 Vale Real";1
"432255 Vanini";1
"432260 Venâncio Aires";236
"432270 Vera Cruz";39
"432280 Veranópolis";127
"432290 Viadutos";9
"432300 Viamão";224
"432310 Vicente Dutra";6
"432340 Vila Maria";6
"432345 Vila Nova do Sul";2
"432350 Vista Alegre";2
"432370 Vista Gaúcha";6
"432377 Westfalia";4
"432380 Xangri-lá";16
"Total";43402
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
