microregiao,mesorregiao,codigo,equip_vida,ventilador_mecanico,date,confirmed,deaths,is_last,confirmed_per_100k_inhabitants,death_rate,place_type
Porto Alegre,Metropolitana,4314902,11895,1211,2020-04-12,314,6,TRUE,21.1623,0.0191,city
Caxias Do Sul,Nordeste,4305108,3750,267,2020-04-12,34,0,TRUE,6.65484,NA,city
Canoas,Metropolitana,4304606,1642,99,2020-04-12,13,1,TRUE,3.75055,0.0769,city
Pelotas,Sudeste,4314407,1673,151,2020-04-12,5,0,TRUE,1.46026,NA,city
Santa Maria,Centro Ocidental,4316907,2075,119,2020-04-12,8,0,TRUE,2.83564,NA,city
Gravataí,Metropolitana,4309209,483,34,2020-04-12,13,0,TRUE,4.61781,NA,city
Viamão,Metropolitana,4323002,224,19,2020-04-12,8,0,TRUE,3.1345,NA,city
Novo Hamburgo,Metropolitana,4313409,1551,106,2020-04-12,25,2,TRUE,10.13179,0.08,city
São Leopoldo,Metropolitana,4318705,322,24,2020-04-12,16,1,TRUE,6.75576,0.0625,city
Rio Grande,Sudeste,4315602,411,36,2020-04-12,3,0,TRUE,1.42177,NA,city
Alvorada,Metropolitana,4300604,123,9,2020-04-12,5,1,TRUE,2.3775,0.2,city
Passo Fundo,Noroeste,4314100,3499,174,2020-04-12,18,2,TRUE,8.855,0.1111,city
Sapucaia Do Sul,Metropolitana,4320008,266,31,2020-04-12,3,0,TRUE,2.12653,NA,city
Santa Cruz Do Sul,Centro Oriental,4316808,388,23,2020-04-12,1,0,TRUE,0.76678,NA,city
Cachoeirinha,Metropolitana,4303103,109,9,2020-04-12,6,0,TRUE,4.60501,NA,city
Uruguaiana,Sudoeste,4322400,429,40,2020-04-12,3,0,TRUE,2.36276,NA,city
Bagé,Sudoeste,4301602,356,48,2020-04-12,27,0,TRUE,22.28771,NA,city
Bento Gonçalves,Nordeste,4302105,570,66,2020-04-12,11,0,TRUE,9.13212,NA,city
Erechim,Noroeste,4307005,522,30,2020-04-12,3,0,TRUE,2.83388,NA,city
Guaíba,Metropolitana,4309308,68,2,2020-04-12,1,0,TRUE,1.01892,NA,city
Lajeado,Centro Oriental,4311403,449,29,2020-04-12,16,0,TRUE,19.04444,NA,city
Ijuí,Noroeste,4310207,691,54,NA,NA,NA,NA,NA,NA,NA
Esteio,Metropolitana,4307708,226,14,2020-04-12,2,0,TRUE,2.40379,NA,city
Cachoeira Do Sul,Centro Oriental,4303004,363,32,2020-04-12,2,0,TRUE,2.43306,NA,city
Sapiranga,Metropolitana,4319901,136,12,2020-04-12,1,0,TRUE,1.22348,NA,city
Santo Ângelo,Noroeste,4317509,436,37,NA,NA,NA,NA,NA,NA,NA
Sant'ana Do Livramento,Sudoeste,4317103,296,24,2020-04-12,7,0,TRUE,9.08772,NA,city
Alegrete,Sudoeste,4300406,201,23,2020-04-12,1,0,TRUE,1.3589,NA,city
Santa Rosa,Noroeste,4317202,321,26,2020-04-12,4,0,TRUE,5.46045,NA,city
Farroupilha,Nordeste,4307906,244,13,2020-04-12,5,0,TRUE,6.91267,NA,city
Venâncio Aires,Centro Oriental,4322608,236,25,NA,NA,NA,NA,NA,NA,NA
Campo Bom,Metropolitana,4303905,66,10,2020-04-12,4,0,TRUE,5.99592,NA,city
Camaquã,Metropolitana,4303509,150,10,2020-03-30,0,0,TRUE,NA,NA,city
Vacaria,Nordeste,4322509,257,16,2020-04-12,1,0,TRUE,1.51016,NA,city
Montenegro,Metropolitana,4312401,354,30,2020-04-12,1,0,TRUE,1.53224,NA,city
Carazinho,Noroeste,4304705,153,10,NA,NA,NA,NA,NA,NA,NA
São Gabriel,Sudoeste,4318309,95,7,2020-04-12,1,0,TRUE,1.61018,NA,city
Cruz Alta,Noroeste,4306106,157,15,NA,NA,NA,NA,NA,NA,NA
São Borja,Sudoeste,4318002,113,15,NA,NA,NA,NA,NA,NA,NA
Parobé,Metropolitana,4314050,57,6,NA,NA,NA,NA,NA,NA,NA
Taquara,Metropolitana,4321204,99,12,2020-04-12,1,0,TRUE,1.74016,NA,city
Canguçu,Sudeste,4304507,182,15,2020-04-12,1,0,TRUE,1.78428,NA,city
Capão Da Canoa,Metropolitana,4304630,119,11,2020-04-12,4,0,TRUE,7.5402,NA,city
Tramandaí,Metropolitana,4321600,329,37,2020-04-12,1,0,TRUE,1.93367,NA,city
Estância Velha,Metropolitana,4307609,25,2,2020-04-12,3,0,TRUE,5.99736,NA,city
Santiago,Centro Ocidental,4317400,195,12,2020-04-12,1,0,TRUE,2.02327,NA,city
Osório,Metropolitana,4313508,41,8,2020-04-12,2,0,TRUE,4.34839,NA,city
Canela,Metropolitana,4304408,65,6,NA,NA,NA,NA,NA,NA,NA
Marau,Noroeste,4311809,96,8,2020-04-12,9,1,TRUE,20.37997,0.1111,city
Panambi,Noroeste,4313904,50,2,NA,NA,NA,NA,NA,NA,NA
São Lourenço Do Sul,Sudeste,4318804,42,5,2020-04-12,1,0,TRUE,2.29453,NA,city
Santo Antônio Da Patrulha,Metropolitana,4317608,36,4,2020-04-12,2,0,TRUE,4.66266,NA,city
Eldorado Do Sul,Metropolitana,4306767,22,2,2020-04-12,1,0,TRUE,2.42219,NA,city
Charqueadas,Metropolitana,4305355,18,2,2020-04-12,1,0,TRUE,2.45164,NA,city
Rosário Do Sul,Sudoeste,4316402,123,8,NA,NA,NA,NA,NA,NA,NA
Torres,Metropolitana,4321501,91,10,2020-04-12,9,0,TRUE,23.2366,NA,city
Dom Pedrito,Sudoeste,4306601,49,3,2020-04-12,1,0,TRUE,2.60004,NA,city
Rio Pardo,Centro Oriental,4315701,42,3,NA,NA,NA,NA,NA,NA,NA
Itaqui,Sudoeste,4310603,44,3,NA,NA,NA,NA,NA,NA,NA
Portão,Metropolitana,4314803,17,3,NA,NA,NA,NA,NA,NA,NA
Igrejinha,Metropolitana,4310108,96,4,NA,NA,NA,NA,NA,NA,NA
Gramado,Metropolitana,4309100,209,26,NA,NA,NA,NA,NA,NA,NA
Garibaldi,Nordeste,4308607,83,2,2020-04-12,2,0,TRUE,5.70288,NA,city
Estrela,Centro Oriental,4307807,403,37,2020-04-12,2,0,TRUE,5.86235,NA,city
Caçapava Do Sul,Sudeste,4302808,41,3,NA,NA,NA,NA,NA,NA,NA
São Luiz Gonzaga,Noroeste,4318903,77,2,NA,NA,NA,NA,NA,NA,NA
Palmeira Das Missões,Noroeste,4313706,46,5,NA,NA,NA,NA,NA,NA,NA
Teutônia,Centro Oriental,4321451,53,3,NA,NA,NA,NA,NA,NA,NA
Dois Irmãos,Metropolitana,4306403,45,3,2020-04-12,2,0,TRUE,6.12164,NA,city
Candelária,Centro Oriental,4304200,58,1,NA,NA,NA,NA,NA,NA,NA
Frederico Westphalen,Noroeste,4308508,37,2,NA,NA,NA,NA,NA,NA,NA
Soledade,Noroeste,4320800,56,2,NA,NA,NA,NA,NA,NA,NA
Flores Da Cunha,Nordeste,4308201,79,4,NA,NA,NA,NA,NA,NA,NA
Carlos Barbosa,Nordeste,4304804,102,2,2020-04-12,1,0,TRUE,3.35199,NA,city
Santa Vitória Do Palmar,Sudeste,4317301,27,5,NA,NA,NA,NA,NA,NA,NA
Triunfo,Metropolitana,4322004,54,4,NA,NA,NA,NA,NA,NA,NA
Nova Santa Rita,Metropolitana,4313375,7,NA,NA,NA,NA,NA,NA,NA,NA
Três Coroas,Metropolitana,4321709,31,1,NA,NA,NA,NA,NA,NA,NA
Lagoa Vermelha,Nordeste,4311304,62,5,NA,NA,NA,NA,NA,NA,NA
São José Do Norte,Sudeste,4318507,27,4,NA,NA,NA,NA,NA,NA,NA
Nova Prata,Nordeste,4313300,139,5,NA,NA,NA,NA,NA,NA,NA
Vera Cruz,Centro Oriental,4322707,39,3,NA,NA,NA,NA,NA,NA,NA
Taquari,Centro Oriental,4321303,30,2,2020-04-12,4,0,TRUE,14.89092,NA,city
Jaguarão,Sudeste,4311007,28,NA,NA,NA,NA,NA,NA,NA,NA
Veranópolis,Nordeste,4322806,127,3,2020-04-12,1,0,TRUE,3.81083,NA,city
Encruzilhada Do Sul,Sudeste,4306908,32,NA,2020-04-12,2,1,TRUE,7.72887,0.5,city
Guaporé,Nordeste,4309407,59,3,NA,NA,NA,NA,NA,NA,NA
São Sebastião Do Caí,Metropolitana,4319505,38,2,2020-04-12,2,0,TRUE,7.78665,NA,city
Capão Do Leão,Sudeste,4304663,5,NA,2020-04-12,1,0,TRUE,3.94415,NA,city
Sarandi,Noroeste,4320107,35,3,2020-04-12,1,0,TRUE,4.08347,NA,city
Ivoti,Metropolitana,4310801,43,2,2020-04-12,4,1,TRUE,16.46565,0.25,city
São Jerônimo,Metropolitana,4318408,37,5,NA,NA,NA,NA,NA,NA,NA
Tapejara,Noroeste,4320909,31,NA,NA,NA,NA,NA,NA,NA,NA
Tupanciretã,Centro Ocidental,4322202,31,3,NA,NA,NA,NA,NA,NA,NA
Três De Maio,Noroeste,4321808,112,10,NA,NA,NA,NA,NA,NA,NA
Três Passos,Noroeste,4321907,124,11,NA,NA,NA,NA,NA,NA,NA
São Sepé,Centro Ocidental,4319604,32,2,NA,NA,NA,NA,NA,NA,NA
Imbé,Metropolitana,4310330,8,NA,2020-04-12,1,0,TRUE,4.38596,NA,city
Encantado,Centro Oriental,4306809,57,5,2020-04-12,2,0,TRUE,8.80824,NA,city
Quaraí,Sudoeste,4315305,27,4,NA,NA,NA,NA,NA,NA,NA
