CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Rio Grande do Sul
Quantidade existente por Município e Leitos complementares
Período:Fev/2020
"Município";"Unidade intermediária neonatal";"Unidade isolamento";"UTI adulto I";"UTI adulto II";"UTI adulto III";"UTI pediátrica II";"UTI pediátrica III";"UTI neonatal I";"UTI neonatal II";"UTI neonatal III";"UTI de Queimados";"UTI coronariana tipo II -UCO tipo II";"UTI coronariana tipo III - UCO tipo III";"Unidade de cuidados intermed neonatal convencional";"Unidade de cuidados intermed neonatal canguru";"Unidade de cuidados intermed pediatrico";"Unidade de cuidados intermed adulto";"Total"
"430010 Agudo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430020 Ajuricaba";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430040 Alegrete";-;-;-;8;-;-;-;-;10;-;-;-;-;-;-;-;-;18
"430060 Alvorada";-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;10
"430160 Bagé";-;-;-;26;-;10;-;-;10;-;-;-;-;-;-;-;-;46
"430210 Bento Gonçalves";-;-;-;20;-;9;-;-;10;-;-;-;-;-;-;-;-;39
"430230 Bom Jesus";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430245 Boqueirão do Leão";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430270 Butiá";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430300 Cachoeira do Sul";-;-;-;10;-;-;-;-;10;-;-;-;-;-;6;-;-;26
"430310 Cachoeirinha";-;-;-;-;-;-;-;-;10;-;-;-;-;10;-;-;-;20
"430330 Caibaté";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430360 Cambará do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430380 Campinas do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430390 Campo Bom";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"430400 Campo Novo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430440 Canela";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"430450 Canguçu";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"430460 Canoas";-;26;-;28;37;-;10;-;-;20;-;-;-;10;5;-;-;136
"430463 Capão da Canoa";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"430470 Carazinho";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"430510 Caxias do Sul";-;-;10;86;-;15;5;-;30;17;-;4;-;10;5;-;-;182
"430530 Chapada";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3
"430540 Chiapetta";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430570 Condor";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430580 Constantina";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
