"Últ Atualização","Cód","Hospital","Leitos","Pacientes","Taxa Ocupação","Confirmados","Suspeitos"
"30/04/2020 21:57","2252066","HOSPITAL SAO JOSE SERIO","0","0","-","0","0"
"30/04/2020 18:29","2254956","HOSPITAL PANAMBI","0","0","-","0","0"
"30/04/2020 16:55","2234432","HOSPITAL SANTA BARBARA","0","0","-","0","0"
"30/04/2020 16:10","2244179","HOSPITAL DE IVORA","0","0","-","0","0"
"30/04/2020 16:06","2707632","HOSPITAL MUNICIPAL GETULIO VARGAS","0","0","-","0","0"
"30/04/2020 13:56","2244128","HOSPITAL NOSSA SENHORA DA PIEDADE","0","0","-","0","0"
"30/04/2020 13:42","9131981","HOSPITAL SAO LUCAS","0","0","-","0","0"
"30/04/2020 13:17","6844138","HOSPITAL SAO JOSE DE DOIS IRMAOS IBSAUDE","0","0","-","0","0"
"30/04/2020 13:16","2236346","HOSPITAL SINIMBU","0","0","-","0","0"
"30/04/2020 09:34","2263866","HOSPITAL MUNICIPAL BOM PASTOR","0","0","-","0","0"
"30/04/2020 09:30","2233339","SANTA CASA DE MISERICORDIA DE PEDRO OSORIO","0","0","-","0","0"
"30/04/2020 09:12","2259982","HOSPITAL DE PORTO XAVIER","0","0","-","0","0"
"30/04/2020 08:57","2246813","HOSPITAL NOTRE DAME SAO SEBASTIAO","0","0","-","0","0"
"30/04/2020 08:53","2259850","HOSPITAL ROQUE GONZALES CAIBATE","0","0","-","0","0"
"30/04/2020 07:13","2227665","HOSPITAL BOM PASTOR","0","0","-","0","0"
"29/04/2020 17:28","2233312","SANTA CASA DE MISERIC S LOURENCO DO SUL","0","0","-","0","0"
"29/04/2020 17:14","9570047","HOSPITAL BDW","2","0","0%","0","0"
"29/04/2020 17:05","2248247","FUNDACAO HOSPITALAR DE CARIDADE DE QUARAI","0","0","-","0","0"
"29/04/2020 16:58","9563873","HOSPITAL SAO JOSE","0","0","-","0","0"
"29/04/2020 16:49","2244217","HOSPITAL MUNICIPAL PEDRO CALIL","0","0","-","0","0"
"29/04/2020 16:40","7607547","ASSOCIACAO BENEFICENTE OSWALDO CRUZ DE HORIZONTINA","0","0","-","0","0"
"29/04/2020 14:23","6953689","ASDOMF","0","0","-","0","0"
"28/04/2020 12:39","2237156","HBMPA","20","4","20%","1","0"
"28/04/2020 12:22","2241218","HOSPITAL BENEFICENTE NOSSA SENHORA APARECIDA","0","0","-","0","0"
"28/04/2020 09:41","2244187","HOSPITAL DE MATA","0","0","-","0","0"
"13/04/2020 10:40","2250772","HOSPITAL OSWALDO CRUZ","0","0","-","0","0"
"03/05/2020 21:57","2233436","HOSPITAL NOSSA SENHORA DA GLORIA","0","0","-","0","0"
"03/05/2020 21:54","5922216","HOSPITAL CASA DE SAUDE","0","0","-","0","0"
"03/05/2020 21:30","2260069","HOSPITAL SAO JOSE","0","0","-","0","0"
"03/05/2020 21:22","2249537","HOSPITAL N S DA POMPEIA VIADUTOS","0","0","-","0","0"
"03/05/2020 21:17","2708000","HOSPITAL DE CARIDADE DE CRISSIUMAL","0","0","-","0","0"
"03/05/2020 21:08","2265893","HOSPITAL ADESCO","0","0","-","0","0"
"03/05/2020 21:06","2235382","ASSOC HOSP SANTO ANTONIO DE PADUA","0","0","-","0","0"
"03/05/2020 20:56","2246902","HOSPITAL NOTRE DAME JULIA BILLIART","0","0","-","0","0"
"03/05/2020 20:51","2235412","HOSPITAL DOS TRABALHADORES ATRA","0","0","-","0","0"
"03/05/2020 20:49","2793237","ASSOCIACAO HOSPITALAR MANOEL FRANCISCO GUERREIRO","0","0","-","0","0"
"03/05/2020 20:35","2261987","SANTA CASA DE CARIDADE DE BAGE","25","10","40%","0","0"
"03/05/2020 20:32","2228602","HOSPITAL DIVINA PROVIDENCIA FREDWEST","10","2","20%","1","0"
"03/05/2020 20:25","2224615","HOSPITAL SAO LUIZ","0","0","-","0","0"
"03/05/2020 20:25","5230241","ACONSEL","0","0","-","0","0"
"03/05/2020 20:24","2263823","HOSPITAL SANTA LUCIA LTDA","12","3","25%","0","0"
"03/05/2020 20:14","2262029","FUNDACAO MEDICO HOSPITALAR","0","0","-","0","0"
"03/05/2020 20:03","5026253","HOSPITAL PORTO ALEGRE","17","5","29.4%","0","2"
"03/05/2020 20:01","2252082","HOSPITAL SANTA ISABEL PROGRESSO","0","0","-","0","0"
"03/05/2020 20:01","2246910","HOSPITAL ALTO JACUI NAO ME TOQUE","0","0","-","0","0"
"03/05/2020 19:47","2228580","HOSPITAL SANTA TEREZINHA PALMITINHO","0","0","-","0","0"
"03/05/2020 19:37","2236362","HOSPITAL CANDELARIA","0","0","-","0","0"
"03/05/2020 19:27","2263882","HOSPITAL MUNICIPAL DR ADERBAL SCHNEIDER","0","0","-","0","0"
"03/05/2020 19:20","2246953","HOSPITAL CRISTO REDENTOR MARAU","0","0","-","0","0"
"03/05/2020 19:08","9016554","HOSPITAL SAO JOAO EVANGELISTA","0","0","-","0","0"
"03/05/2020 19:07","2250829","HOSPITAL DE CARIDADE DE SANTO CRISTO","0","0","-","0","0"
"03/05/2020 19:04","2228734","HOSPITAL SAO JOSE RODEIO BONITO","0","0","-","0","0"
"03/05/2020 19:02","2259931","HOSPITAL SANTA TERESA GUARANI DAS MISSOES","0","0","-","0","0"
"03/05/2020 18:56","2240335","HOSPITAL SAO CARLOS","10","7","70%","1","0"
"03/05/2020 18:56","2707977","HOSPITAL COMUNITARIO SAO PEREGRINO LAZZIOZI","0","0","-","0","0"
"03/05/2020 18:55","2244322","HOSPITAL SANTO ANTONIO","0","0","-","0","0"
"03/05/2020 18:54","2257548","HOSPITAL NOSSA SENHORA APARECIDA DE CAMAQUA","0","0","-","0","0"
"03/05/2020 18:48","2244098","HOSPITAL BERNARDINA SALLES DE BARROS","0","0","-","0","0"
"03/05/2020 18:42","2232022","HOSPITAL CENTENARIO","10","8","80%","0","2"
